期間,融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%)
2002M04,"34,494",104.96,"552,841",51.39,"33,125",89.35,"528,722",39.92,"17,867",17.21,"302,553",10.07,"4,142",132.17,"111,253",43.49,"4,051",115.48,"107,031",29.15,527,121.43,"19,224",68.42
2002M05,"23,170",95.84,"328,127",44.85,"24,711",81.45,"371,922",33.37,"16,326",21.34,"258,758",16.27,"3,904",74.75,"104,077",14.94,"3,556",68.29,"97,819",13.67,875,143.73,"25,482",60.21
2002M06,"19,697",94.54,"260,335",35.22,"20,069",91.19,"279,635",36.11,"15,954",21.94,"239,458",14.23,"3,162",91.40,"79,379",25.04,"3,074",85.52,"76,940",19.07,963,172.03,"27,921",89.09
2002M07,"20,103",94.14,"288,387",77.63,"20,450",70.39,"306,555",43.93,"15,607",36.47,"221,290",39.19,"4,141",79.73,"111,855",49.83,"3,751",75.69,"99,829",41.70,"1,353",158.70,"39,947",110.58
2002M08,"17,482",5.26,"270,950",15.55,"17,407",7.73,"272,438",17.06,"15,682",31.94,"219,802",36.74,"3,590",1.73,"102,936",3.76,"3,618",13.20,"104,130",11.45,"1,325",54.79,"38,753",56.66
2002M09,"12,727",20.66,"194,437",53.21,"13,167",13.66,"207,971",28.00,"15,242",40.49,"206,268",64.78,"2,669",26.61,"79,542",42.82,"3,223",36.28,"95,024",53.38,771,28.71,"23,271",25.95
2002M10,"20,367",40.13,"320,639",74.02,"19,285",34.03,"311,625",70.51,"16,324",48.48,"215,282",69.95,"5,090",38.69,"123,935",31.73,"4,660",46.91,"114,410",43.36,"1,201",9.48,"32,796",0.13
2002M11,"27,503",8.44,"403,147",3.59,"26,210",8.86,"385,480",5.98,"17,617",43.46,"232,949",53.11,"4,969",9.69,"114,361",-0.28,"4,760",1.84,"112,843",-4.81,"1,410",47.95,"34,314",18.76
2002M12,"24,909",-33.38,"330,498",-52.65,"24,201",-30.31,"326,236",-48.26,"18,325",22.62,"237,211",7.97,"4,645",7.10,"98,861",-41.59,"4,540",1.66,"98,975",-41.49,"1,515",83.86,"34,200",17.93
2003M01,"34,708",-15.93,"447,377",-47.10,"33,183",-16.69,"426,643",-46.36,"19,850",21.05,"257,945",-4.48,"5,308",2.04,"102,837",-40.63,"5,797",9.69,"113,747",-34.42,"1,026",38.46,"23,290",-19.10
2003M02,"15,086",0.78,"166,220",-42.99,"15,617",-1.08,"180,576",-40.35,"19,319",24.01,"243,589",-5.91,"2,187",45.80,"46,470",-9.89,"2,376",39.19,"50,838",-16.80,837,56.74,"18,922",-1.74
2003M03,"14,282",-56.61,"162,921",-73.53,"15,551",-51.40,"189,357",-68.23,"18,050",9.41,"217,153",-22.01,"2,710",-22.48,"59,997",-45.45,"3,019",-16.00,"66,842",-41.49,528,21.10,"12,077",-19.50
2003M04,"16,936",-50.90,"195,876",-64.57,"18,383",-44.50,"219,897",-58.41,"16,603",-7.07,"193,132",-36.17,"2,938",-29.07,"64,832",-41.73,"3,079",-23.99,"67,580",-36.86,387,-26.57,"9,329",-51.47
2003M05,"14,811",-36.08,"163,111",-50.29,"15,556",-37.05,"178,254",-52.07,"15,858",-2.87,"177,989",-31.21,"3,138",-19.62,"68,475",-34.21,"2,604",-26.77,"56,896",-41.84,921,5.26,"20,908",-17.95
2003M06,"30,682",55.77,"414,299",59.14,"28,694",42.98,"379,637",35.76,"17,846",11.86,"212,651",-11.19,"4,727",49.49,"93,896",18.29,"4,207",36.86,"85,997",11.77,"1,441",49.64,"28,807",3.17
2003M07,"42,056",109.20,"629,772",118.38,"39,964",95.42,"589,209",92.20,"19,938",27.75,"253,214",14.43,"5,835",40.91,"132,119",18.12,"5,617",49.75,"121,706",21.91,"1,659",22.62,"39,220",-1.82
2003M08,"27,159",55.35,"426,619",57.45,"26,844",54.21,"419,813",54.09,"20,253",29.15,"260,020",18.30,"4,092",13.98,"98,634",-4.18,"4,172",15.31,"96,814",-7.03,"1,579",19.17,"41,040",5.90
2003M09,"21,410",68.23,"350,779",80.41,"20,866",58.47,"339,203",63.10,"20,797",36.45,"271,596",31.67,"3,833",43.61,"91,037",14.45,"3,830",18.83,"91,703",-3.49,"1,582",105.19,"40,374",73.49
2003M10,"29,214",43.44,"412,473",28.64,"28,266",46.57,"395,802",27.01,"21,745",33.21,"288,267",33.90,"5,099",0.18,"109,542",-11.61,"4,956",6.35,"104,575",-8.60,"1,725",43.63,"45,341",38.25
2003M11,"22,448",-18.38,"329,225",-18.34,"22,438",-14.39,"324,898",-15.72,"21,755",23.49,"292,594",25.60,"3,074",-38.14,"75,002",-34.42,"3,494",-26.60,"89,823",-20.40,"1,305",-7.45,"30,520",-11.06
2003M12,"18,606",-25.30,"272,624",-17.51,"18,159",-24.97,"267,706",-17.94,"22,202",21.16,"297,512",25.42,"2,452",-47.21,"61,846",-37.44,"2,869",-36.81,"69,133",-30.15,888,-41.39,"23,233",-32.07
2004M01,"22,429",-35.38,"318,046",-28.91,"22,763",-31.40,"319,294",-25.16,"21,868",10.17,"296,264",14.86,"2,537",-52.20,"61,284",-40.41,"2,399",-58.62,"57,834",-49.16,"1,026",0.00,"26,683",14.57
2004M02,"46,168",206.03,"642,544",286.56,"43,519",178.66,"589,444",226.42,"24,517",26.91,"349,364",43.42,"5,048",130.82,"102,277",120.09,"4,816",102.69,"97,790",92.36,"1,258",50.30,"31,170",64.73
2004M03,"47,610",233.36,"728,805",347.34,"48,169",209.75,"728,373",284.66,"23,958",32.73,"349,796",61.08,"5,154",90.18,"109,707",82.85,"5,837",93.34,"123,786",85.19,575,8.90,"17,091",41.52
2004M04,"36,878",117.75,"644,586",229.08,"35,858",95.06,"607,991",176.49,"24,978",50.44,"386,391",100.07,"4,620",57.25,"120,192",85.39,"4,376",42.12,"111,723",65.32,819,111.63,"25,560",173.98
2004M05,"23,443",58.28,"356,737",118.71,"24,561",57.89,"397,619",123.06,"23,860",50.46,"345,509",94.12,"4,343",38.40,"98,752",44.22,"3,953",51.80,"93,793",64.85,"1,209",31.27,"30,519",45.97
2004M06,"18,442",-39.89,"269,988",-34.83,"18,810",-34.45,"285,459",-24.81,"23,492",31.64,"330,038",55.20,"4,112",-13.01,"91,395",-2.66,"4,292",2.02,"95,565",11.13,"1,029",-28.59,"26,349",-8.53
2004M07,"15,524",-63.09,"204,683",-67.50,"16,401",-58.96,"233,565",-60.36,"22,615",13.43,"301,156",18.93,"3,062",-47.52,"73,555",-44.33,"3,291",-41.41,"80,830",-33.59,800,-51.78,"19,074",-51.37
2004M08,"15,796",-41.84,"206,988",-51.48,"15,960",-40.55,"218,217",-48.02,"22,451",10.85,"289,927",11.50,"3,687",-9.90,"81,553",-17.32,"3,245",-22.22,"69,386",-28.33,"1,242",-21.34,"31,241",-23.88
2004M09,"25,270",18.03,"349,659",-0.32,"23,873",14.41,"328,081",-3.28,"23,848",14.67,"311,505",14.69,"4,239",10.59,"94,234",3.51,"4,046",5.64,"88,056",-3.98,"1,435",-9.29,"37,419",-7.32
2004M10,"23,053",-21.09,"310,256",-24.78,"22,824",-19.25,"311,690",-21.25,"24,077",10.72,"310,071",7.56,"3,688",-27.67,"75,018",-31.52,"3,997",-19.35,"84,689",-19.02,"1,126",-34.72,"27,748",-38.80
2004M11,"18,481",-17.67,"247,025",-24.97,"18,878",-15.87,"257,868",-20.63,"23,680",8.85,"299,228",2.27,"4,088",32.99,"86,002",14.67,"3,681",5.35,"77,161",-14.10,"1,533",17.47,"36,589",19.89
2004M12,"15,917",-14.45,"210,023",-22.96,"15,932",-12.26,"214,947",-19.71,"23,665",6.59,"294,304",-1.08,"3,080",25.61,"72,293",16.89,"3,069",6.97,"70,973",2.66,"1,544",73.87,"37,909",63.17
2005M01,"15,006",-33.10,"181,354",-42.98,"15,802",-30.58,"194,444",-39.10,"22,869",4.58,"281,214",-5.08,"2,583",1.81,"60,083",-1.96,"2,875",19.84,"65,553",13.35,"1,252",22.03,"32,439",21.57
2005M02,"12,426",-73.09,"178,920",-72.15,"12,965",-70.21,"183,360",-68.89,"22,330",-8.92,"276,774",-20.78,"1,844",-63.47,"53,135",-48.05,"1,947",-59.57,"53,041",-45.76,"1,149",-8.66,"32,533",4.37
2005M03,"20,194",-57.58,"321,555",-55.88,"21,320",-55.74,"331,798",-54.45,"21,204",-11.50,"266,531",-23.80,"2,680",-48.00,"67,074",-38.86,"3,225",-44.75,"81,279",-34.34,604,5.04,"18,328",7.24
2005M04,"12,697",-65.57,"197,219",-69.40,"14,520",-59.51,"227,142",-62.64,"19,381",-22.41,"236,608",-38.76,"1,985",-57.03,"61,729",-48.64,"2,053",-53.09,"62,254",-44.28,536,-34.55,"17,803",-30.35
2005M05,"13,143",-43.94,"206,114",-42.22,"13,874",-43.51,"217,664",-45.26,"18,650",-21.84,"225,058",-34.86,"2,627",-39.51,"69,840",-29.28,"2,200",-44.35,"59,807",-36.24,963,-20.35,"27,836",-8.79
2005M06,"23,524",27.56,"314,331",16.42,"22,552",19.89,"303,827",6.43,"19,622",-16.47,"235,562",-28.63,"4,592",11.67,"96,770",5.88,"4,017",-6.41,"90,809",-4.98,"1,538",49.47,"33,797",28.27
2005M07,"21,032",35.48,"336,238",64.27,"20,460",24.75,"316,168",35.37,"20,194",-10.71,"255,632",-15.12,"2,949",-3.69,"74,302",1.02,"3,540",7.57,"83,144",2.86,947,18.38,"24,955",30.83
2005M08,"17,282",9.41,"325,813",57.41,"17,336",8.62,"325,699",49.25,"20,140",-10.29,"255,746",-11.79,"2,648",-28.18,"85,574",4.93,"2,821",-13.07,"86,106",24.10,774,-37.68,"24,423",-21.82
