期間,總指數_原始值,總指數_年增率(%),第 1 類動物產品_原始值,第 1 類動物產品_年增率(%),03魚、甲殼及軟體類動物_原始值,03魚、甲殼及軟體類動物_年增率(%),第 4 類調製食品、飲料、酒及菸類_原始值,第 4 類調製食品、飲料、酒及菸類_年增率(%),第 5 類礦產品_原始值,第 5 類礦產品_年增率(%),27能源礦產品_原始值,27能源礦產品_年增率(%),第 6 類化學或有關工業產品_原始值,第 6 類化學或有關工業產品_年增率(%),28無機化學產品及貴金屬化合物_原始值,28無機化學產品及貴金屬化合物_年增率(%),29有機化學產品_原始值,29有機化學產品_年增率(%),32著色料、漆類及油墨_原始值,32著色料、漆類及油墨_年增率(%),38雜項化學產品_原始值,38雜項化學產品_年增率(%),第 7 類塑、橡膠及其製品_原始值,第 7 類塑、橡膠及其製品_年增率(%),39塑膠及其製品_原始值,39塑膠及其製品_年增率(%),40橡膠及其製品_原始值,40橡膠及其製品_年增率(%),第10類木漿、紙及其製品_原始值,第10類木漿、紙及其製品_年增率(%),48紙、紙板及其製品_原始值,48紙、紙板及其製品_年增率(%),第11類紡織及其製品_原始值,第11類紡織及其製品_年增率(%),54人造纖維絲、絲紗及其梭織物_原始值,54人造纖維絲、絲紗及其梭織物_年增率(%),55人造纖維棉_原始值,55人造纖維棉_年增率(%),58花邊及窄幅梭織物_原始值,58花邊及窄幅梭織物_年增率(%),59浸漬、塗佈或黏合織物及工業用織物_原始值,59浸漬、塗佈或黏合織物及工業用織物_年增率(%),60針織品或鉤針織品_原始值,60針織品或鉤針織品_年增率(%),第13類石料製品、玻璃及玻璃器_原始值,第13類石料製品、玻璃及玻璃器_年增率(%),70玻璃及玻璃器_原始值,70玻璃及玻璃器_年增率(%),第15類基本金屬及其製品_原始值,第15類基本金屬及其製品_年增率(%),72鋼鐵_原始值,72鋼鐵_年增率(%),73鋼鐵製品_原始值,73鋼鐵製品_年增率(%),74銅及其製品_原始值,74銅及其製品_年增率(%),76鋁及其製品_原始值,76鋁及其製品_年增率(%),82基本金屬製工具及其零件_原始值,82基本金屬製工具及其零件_年增率(%),83基本金屬雜項製品_原始值,83基本金屬雜項製品_年增率(%),第16類機器、電機、電視影像及聲音記錄機等設備_原始值,第16類機器、電機、電視影像及聲音記錄機等設備_年增率(%),84鍋爐、機器、機械用具及其零件_原始值,84鍋爐、機器、機械用具及其零件_年增率(%),85電機、電視影像、聲音記錄等設備及其零件_原始值,85電機、電視影像、聲音記錄等設備及其零件_年增率(%),第17類運輸工具_原始值,第17類運輸工具_年增率(%),87運輸工具_原始值,87運輸工具_年增率(%),第18類光學、計量、醫療儀器、樂器及其零件_原始值,第18類光學、計量、醫療儀器、樂器及其零件_年增率(%),90光學、計量、檢查、醫療儀器及其零件_原始值,90光學、計量、檢查、醫療儀器及其零件_年增率(%),第20類雜項製品_原始值,第20類雜項製品_年增率(%),94座物、家具、燈具及其零件_原始值,94座物、家具、燈具及其零件_年增率(%)
1991,98.45,0.53,-,-,-,-,-,-,-,-,-,-,51.11,0.41,-,-,-,-,-,-,-,-,54.46,-0.73,57.95,-0.99,34.51,1.74,-,-,-,-,60.62,0.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.40,-1.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.83,2.78,-,-,-,-,-,-,-,-,-,-
1992,93.16,-5.37,-,-,-,-,-,-,-,-,-,-,47.94,-6.20,-,-,-,-,-,-,-,-,50.77,-6.78,53.88,-7.02,33.01,-4.35,-,-,-,-,57.85,-4.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.39,-7.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89.02,-4.10,-,-,-,-,-,-,-,-,-,-
1993,97.99,5.18,-,-,-,-,-,-,-,-,-,-,50.17,4.65,-,-,-,-,-,-,-,-,53.63,5.63,56.87,5.55,35.08,6.27,-,-,-,-,59.59,3.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.04,5.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88.97,-0.06,-,-,-,-,-,-,-,-,-,-
1994,98.55,0.57,-,-,-,-,-,-,-,-,-,-,48.74,-2.85,-,-,-,-,-,-,-,-,55.49,3.47,58.99,3.73,35.47,1.11,-,-,-,-,63.16,5.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.22,0.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89.22,0.28,-,-,-,-,-,-,-,-,-,-
1995,105.34,6.89,-,-,-,-,-,-,-,-,-,-,51.17,4.99,-,-,-,-,-,-,-,-,63.04,13.61,67.62,14.63,36.86,3.92,-,-,-,-,70.12,11.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55.72,6.70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.24,2.26,-,-,-,-,-,-,-,-,-,-
1996,107.10,1.67,-,-,-,-,-,-,-,-,-,-,52.97,3.52,-,-,-,-,-,-,-,-,58.84,-6.66,62.40,-7.72,38.50,4.45,-,-,-,-,71.04,1.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.72,1.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.44,1.32,-,-,-,-,-,-,-,-,-,-
1997,109.29,2.04,-,-,-,-,-,-,-,-,-,-,54.72,3.30,-,-,-,-,-,-,-,-,61.09,3.82,64.93,4.05,39.15,1.69,-,-,-,-,75.72,6.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.16,2.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94.38,2.10,-,-,-,-,-,-,-,-,-,-
1998,115.39,5.58,66.43,-,67.54,-,80.34,-,17.73,-,16.43,-,59.45,8.64,-,-,42.46,-,107.36,-,84.85,-,66.36,8.63,71.47,10.07,42.90,9.58,79.06,-,79.06,-,82.13,8.47,69.66,-,64.89,-,109.49,-,90.07,-,92.75,-,132.94,-,161.22,-,63.33,8.89,51.41,-,67.67,-,44.43,-,103.69,-,105.65,-,112.58,-,200.41,-,209.37,-,188.23,-,106.60,12.95,106.56,-,165.45,-,170.54,-,106.32,-,96.98,-
1999,105.54,-8.54,76.62,15.34,84.26,24.76,79.30,-1.29,21.88,23.41,21.08,28.30,57.73,-2.89,-,-,40.21,-5.30,100.74,-6.17,89.66,5.67,62.41,-5.95,66.00,-7.65,45.34,5.69,79.17,0.14,79.17,0.14,76.87,-6.40,66.44,-4.62,59.98,-7.57,109.69,0.18,86.79,-3.64,78.69,-15.16,111.30,-16.28,123.85,-23.18,57.47,-9.25,44.24,-13.95,62.52,-7.61,39.06,-12.09,93.14,-10.17,100.67,-4.71,103.45,-8.11,173.78,-13.29,179.22,-14.40,165.57,-12.04,103.60,-2.81,103.99,-2.41,152.44,-7.86,155.66,-8.73,100.65,-5.33,91.78,-5.36
2000,104.62,-0.87,60.26,-21.35,62.56,-25.75,60.03,-24.30,34.20,56.31,33.48,58.82,62.15,7.66,-,-,43.54,8.28,95.23,-5.47,113.21,26.27,64.48,3.32,66.84,1.27,52.46,15.70,81.43,2.85,81.43,2.85,76.61,-0.34,73.03,9.92,62.68,4.50,107.54,-1.96,75.43,-13.09,78.29,-0.51,111.74,0.40,138.09,11.50,58.07,1.04,48.54,9.72,62.32,-0.32,41.15,5.35,89.43,-3.98,96.37,-4.27,100.54,-2.81,169.06,-2.72,168.51,-5.98,166.96,0.84,99.14,-4.30,99.52,-4.30,145.23,-4.73,148.32,-4.72,96.89,-3.74,87.61,-4.54
2001,104.95,0.32,53.16,-11.78,52.83,-15.55,55.46,-7.61,31.53,-7.81,30.67,-8.39,63.59,2.32,-,-,42.90,-1.47,100.05,5.06,107.47,-5.07,64.81,0.51,66.21,-0.94,56.72,8.12,77.33,-5.04,77.33,-5.04,78.73,2.77,72.54,-0.67,63.07,0.62,109.78,2.08,78.81,4.48,82.49,5.36,109.15,-2.32,124.26,-10.02,59.19,1.93,41.53,-14.44,65.84,5.65,43.12,4.79,93.16,4.17,105.32,9.29,105.58,5.01,166.89,-1.28,172.65,2.46,158.47,-5.09,98.59,-0.55,98.67,-0.85,150.53,3.65,153.77,3.67,100.24,3.46,92.18,5.22
2002,103.39,-1.49,54.22,1.99,54.98,4.07,57.11,2.98,33.15,5.14,32.33,5.41,62.80,-1.24,-,-,45.40,5.83,97.57,-2.48,96.40,-10.30,64.70,-0.17,66.45,0.36,55.18,-2.72,81.47,5.35,81.47,5.35,78.18,-0.70,71.67,-1.20,60.25,-4.47,107.35,-2.21,81.89,3.91,82.28,-0.25,95.34,-12.65,94.42,-24.01,60.63,2.43,45.65,9.92,68.53,4.09,38.03,-11.80,97.63,4.80,107.91,2.46,105.65,0.07,160.48,-3.84,166.92,-3.32,151.47,-4.42,97.56,-1.04,97.53,-1.16,146.95,-2.38,148.33,-3.54,99.74,-0.50,92.19,0.01
2003,101.84,-1.50,58.18,7.30,60.65,10.31,58.25,2.00,37.65,13.57,36.87,14.04,66.58,6.02,-,-,51.17,12.71,97.84,0.28,93.35,-3.16,68.78,6.31,70.59,6.23,58.39,5.82,82.54,1.31,82.54,1.31,79.57,1.78,70.80,-1.21,67.93,12.75,104.83,-2.35,84.03,2.61,84.70,2.94,92.00,-3.50,92.00,-2.56,66.86,10.28,58.65,28.48,74.41,8.58,39.06,2.71,98.96,1.36,108.81,0.83,106.41,0.72,148.20,-7.65,148.93,-10.78,144.73,-4.45,99.43,1.92,99.43,1.95,150.70,2.55,151.66,2.24,98.96,-0.78,92.16,-0.03
2004,103.49,1.62,66.07,13.56,67.41,11.15,62.72,7.67,43.03,14.29,42.21,14.48,76.09,14.28,-,-,67.03,30.99,95.07,-2.83,94.82,1.57,77.90,13.26,80.49,14.02,63.02,7.93,83.31,0.93,83.31,0.93,79.95,0.48,72.43,2.30,72.75,7.10,101.82,-2.87,85.45,1.69,83.32,-1.63,106.79,16.08,106.79,16.08,79.88,19.47,79.11,34.88,85.20,14.50,49.72,27.29,99.97,1.02,105.95,-2.63,106.40,-0.01,139.80,-5.67,139.83,-6.11,137.14,-5.24,96.68,-2.77,96.68,-2.77,152.85,1.43,154.13,1.63,98.80,-0.16,94.09,2.09
2005,100.94,-2.46,62.05,-6.08,62.68,-7.02,72.16,15.05,56.71,31.79,56.00,32.67,76.07,-0.03,-,-,66.20,-1.24,100.22,5.42,90.36,-4.70,79.82,2.46,81.85,1.69,68.16,8.16,81.61,-2.04,81.61,-2.04,78.85,-1.38,74.66,3.08,71.62,-1.55,100.54,-1.26,83.19,-2.64,80.48,-3.41,97.77,-8.45,97.77,-8.45,83.33,4.32,83.69,5.79,88.44,3.80,56.20,13.03,100.53,0.56,102.78,-2.99,103.44,-2.78,129.33,-7.49,130.12,-6.94,126.18,-7.99,92.61,-4.21,92.61,-4.21,136.93,-10.42,137.72,-10.65,98.01,-0.80,93.77,-0.34
2006,103.46,2.50,64.89,4.58,65.11,3.88,74.58,3.35,68.04,19.98,67.36,20.29,80.17,5.39,-,-,71.04,7.31,101.51,1.29,95.99,6.23,83.40,4.49,85.56,4.53,70.96,4.11,82.72,1.36,82.72,1.36,80.22,1.74,76.00,1.79,74.13,3.50,100.07,-0.47,84.44,1.50,80.87,0.48,91.53,-6.38,91.53,-6.38,90.85,9.02,84.48,0.94,92.19,4.24,90.43,60.91,120.03,19.40,104.30,1.48,104.23,0.76,128.20,-0.87,123.87,-4.80,129.77,2.85,91.97,-0.69,91.97,-0.69,131.41,-4.03,131.83,-4.28,99.52,1.54,93.88,0.12
2007,107.14,3.56,63.34,-2.39,62.27,-4.36,83.62,12.12,77.74,14.26,77.27,14.71,89.57,11.73,-,-,84.15,18.45,102.95,1.42,102.88,7.18,89.06,6.79,91.92,7.43,72.62,2.34,87.30,5.54,87.30,5.54,83.93,4.62,78.52,3.32,81.05,9.34,100.16,0.09,90.74,7.46,83.08,2.73,96.09,4.98,96.09,4.98,103.84,14.30,102.90,21.80,104.00,12.81,99.28,9.79,124.23,3.50,107.05,2.64,110.83,6.33,124.61,-2.80,119.50,-3.53,126.95,-2.17,95.90,4.27,95.90,4.27,130.00,-1.07,130.28,-1.18,100.43,0.91,94.54,0.70
2008,104.84,-2.15,75.51,19.21,77.36,24.23,91.34,9.23,100.48,29.25,100.27,29.77,90.07,0.56,110.94,-,84.99,1.00,104.23,1.24,101.25,-1.58,94.53,6.14,95.73,4.14,87.67,20.72,95.92,9.87,95.92,9.87,84.83,1.07,79.59,1.36,80.65,-0.49,98.10,-2.06,96.16,5.97,85.22,2.58,94.63,-1.52,94.63,-1.52,107.24,3.27,115.40,12.15,101.89,-2.03,92.99,-6.34,119.86,-3.52,106.38,-0.63,112.34,1.36,113.69,-8.76,111.32,-6.85,114.64,-9.70,96.25,0.36,96.25,0.36,115.98,-10.78,116.26,-10.76,101.06,0.63,97.57,3.20
2009,97.93,-6.59,72.45,-4.05,75.38,-2.56,104.94,14.89,66.73,-33.59,66.16,-34.02,79.27,-11.99,76.82,-30.76,68.87,-18.97,104.40,0.16,100.40,-0.84,84.83,-10.26,86.20,-9.96,76.91,-12.27,87.05,-9.25,87.05,-9.25,87.72,3.41,84.28,5.89,76.72,-4.87,100.37,2.31,100.46,4.47,90.49,6.18,89.82,-5.08,89.82,-5.08,89.03,-16.98,86.93,-24.67,90.28,-11.39,76.66,-17.56,97.89,-18.33,109.39,2.83,111.29,-0.93,113.10,-0.52,111.52,0.18,113.73,-0.79,101.46,5.41,101.46,5.41,110.16,-5.02,110.19,-5.22,105.11,4.01,101.76,4.29
2010,99.91,2.02,80.77,11.48,81.96,8.73,102.43,-2.39,79.42,19.02,79.16,19.65,92.45,16.63,100.53,30.86,89.23,29.56,100.62,-3.62,99.37,-1.03,93.78,10.55,95.33,10.59,84.90,10.39,102.50,17.75,102.50,17.75,93.36,6.43,93.65,11.12,91.12,18.77,98.19,-2.17,99.64,-0.82,90.24,-0.28,101.72,13.25,101.72,13.25,99.10,11.31,99.25,14.17,99.45,10.16,94.91,23.81,101.97,4.17,103.58,-5.31,105.05,-5.61,107.39,-5.05,105.61,-5.30,108.10,-4.95,98.92,-2.50,98.92,-2.50,107.07,-2.80,107.13,-2.78,100.83,-4.07,98.54,-3.16
2011,100.00,0.09,100.00,23.81,100.00,22.01,100.00,-2.37,100.00,25.91,100.00,26.33,100.00,8.17,100.00,-0.53,100.00,12.07,100.00,-0.62,100.00,0.63,100.00,6.63,100.00,4.90,100.00,17.79,100.00,-2.44,100.00,-2.44,100.00,7.11,100.00,6.78,100.00,9.75,100.00,1.84,100.00,0.36,100.00,10.82,100.00,-1.69,100.00,-1.69,100.00,0.91,100.00,0.76,100.00,0.55,100.00,5.36,100.00,-1.93,100.00,-3.46,100.00,-4.81,100.00,-6.88,100.00,-5.31,100.00,-7.49,100.00,1.09,100.00,1.09,100.00,-6.60,100.00,-6.66,100.00,-0.82,100.00,1.48
2012,98.38,-1.62,107.31,7.31,107.60,7.60,105.37,5.37,103.91,3.91,103.69,3.69,92.09,-7.91,92.88,-7.12,87.49,-12.51,103.43,3.43,98.42,-1.58,96.74,-3.26,96.01,-3.99,100.96,0.96,94.83,-5.17,94.83,-5.17,96.82,-3.18,94.16,-5.84,88.86,-11.14,99.75,-0.25,100.00,0.00,104.84,4.84,93.63,-6.37,93.63,-6.37,92.24,-7.76,88.00,-12.00,93.69,-6.31,93.52,-6.48,96.08,-3.92,102.68,2.68,99.18,-0.82,99.91,-0.09,100.29,0.29,99.75,-0.25,101.29,1.29,101.29,1.29,99.58,-0.42,99.53,-0.47,102.55,2.55,103.20,3.20
2013,96.35,-2.06,87.18,-18.76,79.79,-25.85,108.66,3.12,99.99,-3.77,99.75,-3.80,92.47,0.41,89.37,-3.78,89.21,1.97,99.96,-3.35,95.49,-2.98,94.84,-1.96,95.90,-0.11,88.32,-12.52,93.56,-1.34,93.56,-1.34,95.37,-1.50,95.57,1.50,86.07,-3.14,95.69,-4.07,95.08,-4.92,101.41,-3.27,83.76,-10.54,83.76,-10.54,88.76,-3.77,83.20,-5.45,89.43,-4.55,90.03,-3.73,93.11,-3.09,104.01,1.30,101.68,2.52,98.49,-1.42,101.78,1.49,97.48,-2.28,101.03,-0.26,101.03,-0.26,98.44,-1.14,98.40,-1.14,102.73,0.18,101.54,-1.61
