期間,總件數_原始值,總件數_年增率(%),室外集會_原始值,室外集會_年增率(%),室外遊行_原始值,室外遊行_年增率(%),室內集會_原始值,室內集會_年增率(%),申請核准_原始值,申請核准_年增率(%),申請不核准_原始值,申請不核准_年增率(%),未申請_原始值,未申請_年增率(%),政治性_原始值,政治性_年增率(%),社會性_原始值,社會性_年增率(%),經濟性_原始值,經濟性_年增率(%),涉外性_原始值,涉外性_年增率(%),其他活動性質_原始值,其他活動性質_年增率(%),使用警力(人次)_原始值,使用警力(人次)_年增率(%)
2009M08,119,5.31,95,3.26,17,0.00,7,75.00,74,13.85,1,--,44,-8.33,70,75.00,43,-29.51,2,-66.67,0,-100.00,4,-20.00,"11,791",53.91
2009M09,222,101.82,160,79.78,57,418.18,5,-50.00,154,144.44,2,100.00,66,43.48,145,353.12,67,4.69,8,60.00,1,--,1,-88.89,"13,576",132.74
2009M10,749,705.38,675,812.16,65,333.33,9,125.00,696,"1,380.85",5,150.00,48,9.09,679,"1,516.67",67,39.58,3,0.00,0,--,0,--,"32,698",71.25
2009M11,"2,626","1,698.63","1,907","1,733.65",676,"1,948.48",43,377.78,"2,455","2,721.84",4,--,167,183.05,"2,472","2,448.45",141,327.27,8,33.33,1,-66.67,4,-42.86,"110,735",569.26
2009M12,"1,679","1,829.89",575,842.62,"1,090","4,092.31",14,--,"1,560","3,020.00",1,--,118,218.92,"1,600","4,471.43",68,83.78,9,-30.77,0,-100.00,2,100.00,"102,034","1,114.69"
2010M01,196,232.20,176,329.27,20,42.86,-,--,146,342.42,0,--,50,92.31,142,545.45,45,164.71,4,-73.33,1,-50.00,4,33.33,"10,477",33.75
2010M02,188,100.00,152,100.00,36,140.00,-,--,152,130.30,0,-100.00,36,33.33,152,141.27,25,-10.71,8,300.00,1,0.00,2,--,"15,586",62.29
2010M03,178,-5.82,152,8.57,26,-43.48,-,--,115,-15.44,1,--,62,16.98,114,-4.20,48,2.13,9,-30.77,1,--,6,-40.00,"10,627",-9.01
2010M04,302,89.94,227,95.69,75,78.57,-,--,233,97.46,0,--,69,68.29,207,120.21,60,30.43,22,57.14,0,-100.00,13,333.33,"13,920",37.55
2010M05,"1,273",710.83,"1,146",863.03,127,243.24,-,--,"1,221",853.91,0,--,52,79.31,"1,193",919.66,45,40.62,24,700.00,2,-33.33,9,350.00,"34,551",57.89
2010M06,"1,243",856.15,778,607.27,465,"2,635.29",-,--,"1,196","1,307.06",5,--,42,-6.67,"1,209","1,374.39",24,-35.14,5,-44.44,0,--,5,150.00,"31,011",220.99
2010M07,149,22.13,123,19.42,26,116.67,-,--,95,28.38,0,-100.00,54,14.89,90,16.88,46,35.29,3,-70.00,1,--,9,800.00,"8,521",16.61
2010M08,238,100.00,224,135.79,14,-17.65,-,--,155,109.46,3,200.00,80,81.82,160,128.57,66,53.49,2,0.00,0,--,10,150.00,"18,222",54.54
2010M09,373,68.02,329,105.62,44,-22.81,-,--,316,105.19,1,-50.00,56,-15.15,301,107.59,58,-13.43,6,-25.00,0,-100.00,8,700.00,"17,800",31.11
2010M10,"1,766",135.78,"1,545",128.89,221,240.00,-,--,"1,705",144.97,1,-80.00,60,25.00,"1,652",143.30,90,34.33,3,0.00,2,--,19,--,"70,099",114.38
2010M11,"3,147",19.84,"2,148",12.64,999,47.78,-,--,"3,074",25.21,1,-75.00,72,-56.89,"3,028",22.49,103,-26.95,7,-12.50,0,-100.00,9,125.00,"130,020",17.42
2010M12,214,-87.25,173,-69.91,41,-96.24,-,--,160,-89.74,0,-100.00,54,-54.24,110,-93.12,59,-13.24,10,11.11,1,--,34,"1,600.00","12,007",-88.23
2011M01,171,-12.76,152,-13.64,19,-5.00,-,--,120,-17.81,0,--,51,2.00,86,-39.44,66,46.67,8,100.00,0,-100.00,11,175.00,"10,155",-3.07
2011M02,134,-28.72,115,-24.34,19,-47.22,-,--,89,-41.45,0,--,45,25.00,97,-36.18,23,-8.00,3,-62.50,0,-100.00,11,450.00,"8,621",-44.69
2011M03,201,12.92,143,-5.92,58,123.08,-,--,152,32.17,0,-100.00,49,-20.97,148,29.82,42,-12.50,3,-66.67,2,100.00,6,0.00,"9,183",-13.59
2011M04,186,-38.41,158,-30.40,28,-62.67,-,--,108,-53.65,2,--,76,10.14,100,-51.69,60,0.00,9,-59.09,1,--,16,23.08,"10,044",-27.84
2011M05,171,-86.57,139,-87.87,32,-74.80,-,--,94,-92.30,1,--,76,46.15,85,-92.88,52,15.56,13,-45.83,0,-100.00,21,133.33,"11,720",-66.08
2011M06,171,-86.24,143,-81.62,28,-93.98,-,--,100,-91.64,1,-80.00,70,66.67,93,-92.31,44,83.33,4,-20.00,0,--,30,500.00,"6,969",-77.53
