期間,發生次數(次)_原始值,發生次數(次)_年增率(%),發生次數(次)_原始值,發生次數(次)_年增率(%),發生次數(次)_原始值,發生次數(次)_年增率(%),發生次數(次)_原始值,發生次數(次)_年增率(%),發生次數(次)_原始值,發生次數(次)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%)
1992,4,-42.86,...,...,...,...,...,...,...,...,13,-75.00,...,...,...,...,...,...,...,...,4,-97.53,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8,33.33,...,...,...,...,...,...,...,...,6,-25.00,...,...,...,...,...,...,...,...,15,-31.82,...,...,...,...,...,...,...,...
1993,5,25.00,...,...,...,...,...,...,...,...,0,-100.00,...,...,...,...,...,...,...,...,50,"1,150.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,-62.50,...,...,...,...,...,...,...,...,1,-83.33,...,...,...,...,...,...,...,...,6,-60.00,...,...,...,...,...,...,...,...
1994,8,60.00,...,...,...,...,...,...,...,...,240,--,...,...,...,...,...,...,...,...,651,"1,202.00",...,...,...,...,...,...,...,...,"124,717",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,62,"1,966.67",...,...,...,...,...,...,...,...,11,"1,000.00",...,...,...,...,...,...,...,...,117,"1,850.00",...,...,...,...,...,...,...,...
1995,7,-12.50,...,...,...,...,...,...,...,...,20,-91.67,...,...,...,...,...,...,...,...,33,-94.93,...,...,...,...,...,...,...,...,163,-99.87,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10,-83.87,...,...,...,...,...,...,...,...,26,136.36,...,...,...,...,...,...,...,...,30,-74.36,...,...,...,...,...,...,...,...
1996,6,-14.29,...,...,...,...,...,...,...,...,505,"2,425.00",...,...,...,...,...,...,...,...,882,"2,572.73",...,...,...,...,...,...,...,...,"7,500","4,501.23",...,...,...,...,...,...,...,...,"7,374",...,...,...,...,...,...,...,...,...,56,460.00,...,...,...,...,...,...,...,...,22,-15.38,...,...,...,...,...,...,...,...,475,"1,483.33",...,...,...,...,...,...,...,...
1997,5,-16.67,...,...,...,...,...,...,...,...,121,-76.04,...,...,...,...,...,...,...,...,30,-96.60,...,...,...,...,...,...,...,...,"38,972",419.63,...,...,...,...,...,...,...,...,"1,577",-78.61,...,...,...,...,...,...,...,...,56,0.00,...,...,...,...,...,...,...,...,3,-86.36,...,...,...,...,...,...,...,...,126,-73.47,...,...,...,...,...,...,...,...
1998,7,40.00,...,...,...,...,...,...,...,...,32,-73.55,...,...,...,...,...,...,...,...,207,590.00,...,...,...,...,...,...,...,...,"58,315",49.63,...,...,...,...,...,...,...,...,"5,040",219.59,...,...,...,...,...,...,...,...,42,-25.00,...,...,...,...,...,...,...,...,16,433.33,...,...,...,...,...,...,...,...,59,-53.17,...,...,...,...,...,...,...,...
1999,4,-42.86,1,...,1,...,2,...,0,...,"51,722","161,531.25",0,...,4,...,"51,718",...,0,...,"53,831","25,905.31",1,...,0,...,"53,830",...,0,...,"394,730",576.89,"2,268",...,827,...,"391,635",...,0,...,"5,004",-0.71,0,...,0,...,"5,004",...,0,...,"2,418","5,657.14",1,...,2,...,"2,415",...,0,...,35,118.75,5,...,1,...,29,...,0,...,"11,569","19,508.47",0,...,2,...,"11,567",...,0,...
2000,11,175.00,6,500.00,2,100.00,2,0.00,1,--,434,-99.16,434,--,0,-100.00,0,-100.00,0,--,"1,725",-96.80,"1,725","172,400.00",0,--,0,-100.00,0,--,"97,087",-75.40,"90,168","3,875.66","1,804",118.14,"5,100",-98.70,15,--,293,-94.14,0,--,293,--,0,-100.00,0,--,93,-96.15,78,"7,700.00",6,200.00,5,-99.79,4,--,33,-5.71,32,540.00,1,0.00,0,-100.00,0,--,232,-97.99,178,--,6,200.00,48,-99.59,0,--
2001,9,-18.18,8,33.33,0,-100.00,1,-50.00,0,-100.00,646,48.85,646,48.85,0,--,0,--,0,--,"1,978",14.67,"1,978",14.67,0,--,0,--,0,--,"37,496",-61.38,"37,243",-58.70,0,-100.00,253,-95.04,0,-100.00,"2,472",743.69,"2,472",--,0,-100.00,0,--,0,--,225,141.94,225,188.46,0,-100.00,0,-100.00,0,-100.00,129,290.91,129,303.12,0,-100.00,0,--,0,--,588,153.45,585,228.65,0,-100.00,3,-93.75,0,--
