期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),金融、保險及不動產業_原始值,金融、保險及不動產業_年增率(%),金融、保險及不動產業_原始值,金融、保險及不動產業_年增率(%),金融、保險及不動產業_原始值,金融、保險及不動產業_年增率(%),工商服務業_原始值,工商服務業_年增率(%),工商服務業_原始值,工商服務業_年增率(%),工商服務業_原始值,工商服務業_年增率(%),社會服務及個人服務業_原始值,社會服務及個人服務業_年增率(%),社會服務及個人服務業_原始值,社會服務及個人服務業_年增率(%),社會服務及個人服務業_原始值,社會服務及個人服務業_年增率(%),公共行政業_原始值,公共行政業_年增率(%),公共行政業_原始值,公共行政業_年增率(%),公共行政業_原始值,公共行政業_年增率(%)
1988,"8,107",1.06,"5,043",1.56,"3,064",0.23,"1,113",-9.20,782,-7.89,331,-12.16,28,-8.05,24,-8.68,4,-4.34,"2,802",-0.68,"1,604",1.59,"1,199",-3.55,35,0.99,31,1.19,4,-0.51,577,6.15,519,5.85,58,8.93,"1,530",7.08,863,6.22,667,8.21,423,1.37,360,1.36,63,1.43,160,17.18,82,16.24,78,18.19,122,16.62,70,20.28,51,11.96,"1,011",3.64,502,2.85,510,4.42,305,0.73,207,0.10,98,2.10
1989,"8,258",1.86,"5,149",2.09,"3,110",1.49,"1,066",-4.28,758,-3.06,308,-7.16,24,-14.29,21,-14.85,4,-11.08,"2,796",-0.22,"1,615",0.71,"1,181",-1.46,35,0.20,31,-0.51,4,5.57,620,7.44,553,6.51,67,15.72,"1,605",4.88,907,5.17,697,4.50,432,2.07,368,2.31,64,0.73,193,20.28,97,17.34,96,23.39,130,7.03,73,4.07,57,11.08,"1,048",3.68,517,3.14,531,4.20,309,1.37,209,0.96,100,2.24
1990,"8,283",0.30,"5,175",0.51,"3,108",-0.04,"1,064",-0.13,748,-1.35,316,2.86,20,-17.52,17,-17.48,3,-17.77,"2,653",-5.11,"1,563",-3.19,"1,090",-7.73,36,1.53,31,0.66,5,7.75,673,8.51,603,9.04,70,4.18,"1,621",1.04,915,0.84,706,1.30,441,2.14,369,0.07,73,14.09,220,14.20,107,10.46,114,17.95,148,13.82,82,11.95,66,16.21,"1,098",4.71,532,2.92,565,6.45,308,-0.24,208,-0.29,100,-0.14
1991,"8,439",1.88,"5,274",1.92,"3,165",1.82,"1,093",2.67,764,2.15,329,3.90,19,-3.70,16,-5.95,3,8.66,"2,598",-2.07,"1,538",-1.60,"1,060",-2.74,37,2.43,32,2.17,5,4.21,715,6.37,641,6.40,74,6.13,"1,712",5.57,967,5.68,745,5.43,448,1.52,377,2.25,71,-2.17,227,2.86,108,0.65,119,4.94,149,0.65,82,0.49,67,0.83,"1,147",4.52,554,4.09,593,4.94,294,-4.66,195,-6.12,98,-1.63
1992,"8,632",2.29,"5,380",2.00,"3,252",2.76,"1,065",-2.50,748,-2.05,317,-3.56,18,-4.34,15,-5.59,3,1.58,"2,585",-0.50,"1,542",0.26,"1,043",-1.60,37,-0.68,32,-0.84,5,0.37,778,8.78,691,7.70,88,18.17,"1,771",3.47,991,2.49,780,4.74,450,0.43,374,-0.70,76,6.42,247,8.78,117,9.04,129,8.54,171,14.76,97,17.57,74,11.32,"1,200",4.59,568,2.54,632,6.51,309,5.36,205,4.83,105,6.40
1993,"8,745",1.31,"5,422",0.79,"3,323",2.19,"1,005",-5.68,713,-4.63,291,-8.16,19,2.82,15,1.24,4,9.78,"2,483",-3.95,"1,472",-4.57,"1,012",-3.03,36,-0.52,31,-0.60,5,0.02,879,12.91,769,11.31,110,25.53,"1,806",1.98,996,0.52,810,3.84,463,3.00,384,2.64,79,4.80,277,12.19,131,12.06,145,12.30,205,19.78,111,14.56,94,26.57,"1,259",4.92,595,4.72,664,5.10,313,1.15,204,-0.39,109,4.15
1994,"8,939",2.21,"5,511",1.63,"3,428",3.15,976,-2.83,703,-1.47,273,-6.17,18,-7.01,14,-5.72,3,-12.29,"2,485",0.06,"1,472",0.03,"1,013",0.11,36,-0.17,31,-0.51,5,2.03,967,10.05,840,9.35,127,14.93,"1,875",3.79,"1,014",1.84,860,6.19,473,1.99,391,1.67,82,3.57,290,4.88,136,3.38,154,6.24,214,4.46,114,3.26,100,5.86,"1,288",2.31,591,-0.77,698,5.08,317,1.20,204,-0.17,113,3.75
1995,"9,045",1.19,"5,558",0.85,"3,487",1.73,954,-2.24,684,-2.70,270,-1.06,15,-12.69,13,-12.42,3,-13.83,"2,449",-1.44,"1,463",-0.64,986,-2.60,36,-1.10,31,-1.83,5,3.52,"1,003",3.74,874,3.97,129,2.15,"1,919",2.39,"1,022",0.76,897,4.30,469,-0.88,388,-0.70,81,-1.75,311,7.13,145,7.00,166,7.25,223,4.26,120,4.96,103,3.46,"1,347",4.60,615,4.17,732,4.96,317,0.19,203,-0.35,114,1.16
1996,"9,068",0.26,"5,508",-0.89,"3,560",2.09,918,-3.82,650,-4.92,268,-1.02,14,-8.03,12,-6.46,2,-15.00,"2,422",-1.13,"1,470",0.45,952,-3.46,35,-1.56,30,-1.79,5,-0.21,928,-7.49,816,-6.67,112,-13.09,"1,976",2.94,"1,041",1.84,935,4.19,472,0.85,383,-1.20,89,10.68,334,7.33,152,4.54,182,9.77,233,4.11,125,4.29,107,3.90,"1,412",4.81,624,1.50,788,7.59,324,2.19,205,0.95,119,4.39
1997,"9,176",1.19,"5,562",0.98,"3,613",1.50,878,-4.34,624,-4.07,254,-4.99,13,-7.55,11,-8.53,2,-2.74,"2,570",6.11,"1,566",6.54,"1,004",5.44,35,-0.24,30,-0.15,5,-0.74,885,-4.69,781,-4.21,103,-8.14,"1,995",0.97,"1,049",0.81,946,1.16,465,-1.66,376,-1.76,88,-1.24,351,5.16,161,6.22,189,4.27,240,3.23,132,5.67,108,0.38,"1,421",0.63,625,0.13,796,1.03,323,-0.28,206,0.39,118,-1.42
1998,"9,289",1.24,"5,610",0.87,"3,679",1.81,822,-6.37,587,-5.93,235,-7.43,12,-5.10,10,-6.47,2,1.24,"2,611",1.61,"1,597",2.01,"1,014",0.98,35,-1.82,29,-2.22,5,0.57,865,-2.23,769,-1.59,96,-7.02,"2,047",2.60,"1,073",2.22,974,3.03,477,2.63,388,3.04,89,0.87,385,9.62,177,9.62,208,9.62,260,8.26,142,7.67,117,8.99,"1,461",2.80,639,2.21,822,3.26,315,-2.56,199,-3.23,116,-1.40
1999,"9,385",1.03,"5,624",0.24,"3,761",2.23,776,-5.59,556,-5.24,220,-6.46,11,-11.77,9,-11.13,2,-14.50,"2,603",-0.30,"1,602",0.32,"1,001",-1.29,35,1.98,30,1.74,5,3.33,843,-2.53,752,-2.23,91,-5.01,"2,130",4.08,"1,103",2.80,"1,028",5.49,476,-0.17,381,-1.72,95,6.57,406,5.53,184,3.90,222,6.93,284,9.10,161,13.08,122,4.27,"1,502",2.83,647,1.22,856,4.08,318,1.00,199,0.02,119,2.70
2000,"9,491",1.14,"5,670",0.82,"3,821",1.60,740,-4.70,533,-4.09,206,-6.24,11,-0.68,9,0.11,2,-4.19,"2,655",1.98,"1,629",1.64,"1,026",2.53,36,2.85,31,2.69,6,3.77,832,-1.32,745,-0.95,87,-4.35,"2,163",1.53,"1,121",1.64,"1,042",1.43,481,1.04,381,-0.05,100,5.39,412,1.50,185,0.84,227,2.04,313,10.50,179,11.01,134,9.84,"1,534",2.09,659,1.92,875,2.22,315,-1.00,198,-0.25,117,-2.25
2001,"9,383",-1.15,"5,553",-2.07,"3,830",0.22,708,-4.35,512,-4.05,196,-5.12,10,-10.69,8,-11.39,2,-7.46,"2,587",-2.57,"1,592",-2.26,995,-3.05,35,-2.61,30,-2.03,5,-5.85,746,-10.34,666,-10.49,79,-9.06,"2,165",0.07,"1,105",-1.40,"1,060",1.65,486,1.09,382,0.35,104,3.94,410,-0.53,180,-3.00,230,1.49,339,8.33,198,10.54,142,5.40,"1,570",2.37,670,1.71,900,2.88,327,3.92,209,5.38,118,1.44
