期間,總人口_原始值,總人口_年增率(%),總人口_原始值,總人口_年增率(%),總人口_原始值,總人口_年增率(%),未滿15歲人口_原始值,未滿15歲人口_年增率(%),未滿15歲人口_原始值,未滿15歲人口_年增率(%),未滿15歲人口_原始值,未滿15歲人口_年增率(%),未滿15歲人口-未婚_原始值,未滿15歲人口-未婚_年增率(%),未滿15歲人口-未婚_原始值,未滿15歲人口-未婚_年增率(%),未滿15歲人口-未婚_原始值,未滿15歲人口-未婚_年增率(%),未滿15歲人口-有偶_原始值,未滿15歲人口-有偶_年增率(%),未滿15歲人口-有偶_原始值,未滿15歲人口-有偶_年增率(%),未滿15歲人口-有偶_原始值,未滿15歲人口-有偶_年增率(%),未滿15歲人口-離婚_原始值,未滿15歲人口-離婚_年增率(%),未滿15歲人口-離婚_原始值,未滿15歲人口-離婚_年增率(%),未滿15歲人口-離婚_原始值,未滿15歲人口-離婚_年增率(%),未滿15歲人口-喪偶_原始值,未滿15歲人口-喪偶_年增率(%),未滿15歲人口-喪偶_原始值,未滿15歲人口-喪偶_年增率(%),未滿15歲人口-喪偶_原始值,未滿15歲人口-喪偶_年增率(%),15歲以上人口_原始值,15歲以上人口_年增率(%),15歲以上人口_原始值,15歲以上人口_年增率(%),15歲以上人口_原始值,15歲以上人口_年增率(%),15歲以上人口-未婚_原始值,15歲以上人口-未婚_年增率(%),15歲以上人口-未婚_原始值,15歲以上人口-未婚_年增率(%),15歲以上人口-未婚_原始值,15歲以上人口-未婚_年增率(%),15歲以上人口-有偶_原始值,15歲以上人口-有偶_年增率(%),15歲以上人口-有偶_原始值,15歲以上人口-有偶_年增率(%),15歲以上人口-有偶_原始值,15歲以上人口-有偶_年增率(%),15歲以上人口-離婚_原始值,15歲以上人口-離婚_年增率(%),15歲以上人口-離婚_原始值,15歲以上人口-離婚_年增率(%),15歲以上人口-離婚_原始值,15歲以上人口-離婚_年增率(%),15歲以上人口-喪偶_原始值,15歲以上人口-喪偶_年增率(%),15歲以上人口-喪偶_原始值,15歲以上人口-喪偶_年增率(%),15歲以上人口-喪偶_原始值,15歲以上人口-喪偶_年增率(%)
1986,"19,509,082",1.01,"10,114,710",0.91,"9,394,372",1.12,"5,658,666",-1.01,"2,914,320",-0.99,"2,744,346",-1.03,"5,658,592",-1.01,"2,914,315",-0.99,"2,744,277",-1.03,74,1.37,5,400.00,69,-4.17,0,--,0,--,0,--,0,--,0,--,0,--,"13,850,416",1.86,"7,200,390",1.70,"6,650,026",2.03,"4,788,913",1.11,"2,810,982",0.69,"1,977,931",1.70,"8,206,604",2.03,"4,104,616",2.10,"4,101,988",1.95,"228,765",10.28,"119,474",9.79,"109,291",10.82,"626,134",2.61,"165,318",3.80,"460,816",2.19
1987,"19,725,010",1.11,"10,217,434",1.02,"9,507,576",1.21,"5,600,598",-1.03,"2,884,945",-1.01,"2,715,653",-1.05,"5,600,542",-1.03,"2,884,943",-1.01,"2,715,599",-1.05,56,-24.32,2,-60.00,54,-21.74,0,--,0,--,0,--,0,--,0,--,0,--,"14,124,412",1.98,"7,332,489",1.83,"6,791,923",2.13,"4,880,194",1.91,"2,856,232",1.61,"2,023,962",2.33,"8,347,803",1.72,"4,173,274",1.67,"4,174,529",1.77,"251,518",9.95,"131,358",9.95,"120,160",9.95,"644,897",3.00,"171,625",3.82,"473,272",2.70
1988,"19,954,397",1.16,"10,328,081",1.08,"9,626,316",1.25,"5,578,872",-0.39,"2,876,977",-0.28,"2,701,895",-0.51,"5,578,811",-0.39,"2,876,972",-0.28,"2,701,839",-0.51,61,8.93,5,150.00,56,3.70,0,--,0,--,0,--,0,--,0,--,0,--,"14,375,525",1.78,"7,451,104",1.62,"6,924,421",1.95,"4,940,975",1.25,"2,887,672",1.10,"2,053,303",1.45,"8,496,036",1.78,"4,242,767",1.67,"4,253,269",1.89,"278,616",10.77,"144,788",10.22,"133,828",11.37,"659,898",2.33,"175,877",2.48,"484,021",2.27
1989,"20,156,587",1.01,"10,424,102",0.93,"9,732,485",1.10,"5,543,197",-0.64,"2,859,569",-0.61,"2,683,628",-0.68,"5,543,136",-0.64,"2,859,562",-0.61,"2,683,574",-0.68,61,0.00,7,40.00,54,-3.57,0,--,0,--,0,--,0,--,0,--,0,--,"14,613,390",1.65,"7,564,533",1.52,"7,048,857",1.80,"4,972,862",0.65,"2,892,556",0.17,"2,080,306",1.32,"8,661,316",1.95,"4,333,592",2.14,"4,327,724",1.75,"300,959",8.02,"155,807",7.61,"145,152",8.46,"678,253",2.78,"182,578",3.81,"495,675",2.41
1990,"20,401,305",1.21,"10,540,635",1.12,"9,860,670",1.32,"5,525,365",-0.32,"2,849,217",-0.36,"2,676,148",-0.28,"5,525,299",-0.32,"2,849,211",-0.36,"2,676,088",-0.28,65,6.56,6,-14.29,59,9.26,1,--,0,--,1,--,0,--,0,--,0,--,"14,875,940",1.80,"7,691,418",1.68,"7,184,522",1.92,"5,046,846",1.49,"2,921,138",0.99,"2,125,708",2.18,"8,800,405",1.61,"4,407,072",1.70,"4,393,333",1.52,"329,411",9.45,"171,289",9.94,"158,122",8.94,"699,278",3.10,"191,919",5.12,"507,359",2.36
1991,"20,605,831",1.00,"10,640,276",0.95,"9,965,555",1.06,"5,427,150",-1.78,"2,802,637",-1.63,"2,624,513",-1.93,"5,427,064",-1.78,"2,802,621",-1.64,"2,624,443",-1.93,83,27.69,16,166.67,67,13.56,3,200.00,0,--,3,200.00,0,--,0,--,0,--,"15,178,681",2.04,"7,837,639",1.90,"7,341,042",2.18,"5,148,040",2.01,"2,976,576",1.90,"2,171,464",2.15,"8,958,079",1.79,"4,480,712",1.67,"4,477,367",1.91,"359,495",9.13,"185,402",8.24,"174,093",10.10,"713,067",1.97,"194,949",1.58,"518,118",2.12
1992,"20,802,622",0.96,"10,734,609",0.89,"10,068,013",1.03,"5,361,347",-1.21,"2,772,819",-1.06,"2,588,528",-1.37,"5,361,250",-1.21,"2,772,812",-1.06,"2,588,438",-1.37,97,16.87,7,-56.25,90,34.33,0,-100.00,0,--,0,-100.00,0,--,0,--,0,--,"15,441,275",1.73,"7,961,790",1.58,"7,479,485",1.89,"5,217,763",1.35,"3,009,743",1.11,"2,208,020",1.68,"9,111,326",1.71,"4,560,392",1.78,"4,550,934",1.64,"385,829",7.33,"196,978",6.24,"188,851",8.48,"726,357",1.86,"194,677",-0.14,"531,680",2.62
1993,"20,995,416",0.93,"10,824,161",0.83,"10,171,255",1.03,"5,279,705",-1.52,"2,729,155",-1.57,"2,550,550",-1.47,"5,279,624",-1.52,"2,729,137",-1.58,"2,550,487",-1.47,81,-16.49,18,157.14,63,-30.00,0,--,0,--,0,--,0,--,0,--,0,--,"15,715,711",1.78,"8,095,006",1.67,"7,620,705",1.89,"5,313,253",1.83,"3,052,827",1.43,"2,260,426",2.37,"9,243,887",1.45,"4,632,837",1.59,"4,611,050",1.32,"412,663",6.95,"209,319",6.27,"203,344",7.67,"745,908",2.69,"200,023",2.75,"545,885",2.67
1994,"21,177,874",0.87,"10,907,032",0.77,"10,270,842",0.98,"5,169,581",-2.09,"2,679,741",-1.81,"2,489,840",-2.38,"5,169,499",-2.09,"2,679,726",-1.81,"2,489,773",-2.38,77,-4.94,14,-22.22,63,0.00,4,--,1,--,3,--,1,--,0,--,1,--,"16,008,293",1.86,"8,227,291",1.63,"7,781,002",2.10,"5,494,163",3.40,"3,152,094",3.25,"2,342,069",3.61,"9,318,065",0.80,"4,666,829",0.73,"4,651,236",0.87,"439,759",6.57,"221,349",5.75,"218,410",7.41,"756,306",1.39,"187,019",-6.50,"569,287",4.29
1995,"21,357,431",0.85,"10,990,657",0.77,"10,366,774",0.93,"5,076,083",-1.81,"2,633,171",-1.74,"2,442,912",-1.88,"5,075,918",-1.81,"2,633,128",-1.74,"2,442,790",-1.89,160,107.79,42,200.00,118,87.30,4,0.00,1,0.00,3,0.00,1,0.00,0,--,1,0.00,"16,281,348",1.71,"8,357,486",1.58,"7,923,862",1.84,"5,591,542",1.77,"3,202,757",1.61,"2,388,785",1.99,"9,421,965",1.12,"4,725,013",1.25,"4,696,952",0.98,"481,493",9.49,"240,442",8.63,"241,051",10.37,"786,348",3.97,"189,274",1.21,"597,074",4.88
1996,"21,525,433",0.79,"11,065,798",0.68,"10,459,635",0.90,"4,982,543",-1.84,"2,587,645",-1.73,"2,394,898",-1.97,"4,982,377",-1.84,"2,587,590",-1.73,"2,394,787",-1.97,160,0.00,53,26.19,107,-9.32,6,50.00,2,100.00,4,33.33,0,-100.00,0,--,0,-100.00,"16,542,890",1.61,"8,478,153",1.44,"8,064,737",1.78,"5,659,715",1.22,"3,244,425",1.30,"2,415,290",1.11,"9,535,033",1.20,"4,782,972",1.23,"4,752,061",1.17,"530,359",10.15,"262,213",9.05,"268,146",11.24,"817,783",4.00,"188,543",-0.39,"629,240",5.39
1997,"21,742,815",1.01,"11,163,764",0.89,"10,579,051",1.14,"4,914,280",-1.37,"2,553,635",-1.31,"2,360,645",-1.43,"4,914,163",-1.37,"2,553,605",-1.31,"2,360,558",-1.43,111,-30.62,27,-49.06,84,-21.50,3,-50.00,2,0.00,1,-75.00,3,--,1,--,2,--,"16,828,535",1.73,"8,610,129",1.56,"8,218,406",1.91,"5,749,199",1.58,"3,284,982",1.25,"2,464,217",2.03,"9,647,683",1.18,"4,846,579",1.33,"4,801,104",1.03,"582,167",9.77,"286,154",9.13,"296,013",10.39,"849,486",3.88,"192,414",2.05,"657,072",4.42
1998,"21,928,591",0.85,"11,243,408",0.71,"10,685,183",1.00,"4,815,400",-2.01,"2,504,032",-1.94,"2,311,368",-2.09,"4,815,346",-2.01,"2,504,025",-1.94,"2,311,321",-2.09,50,-54.95,6,-77.78,44,-47.62,2,-33.33,1,-50.00,1,0.00,2,-33.33,0,-100.00,2,0.00,"17,113,191",1.69,"8,739,376",1.50,"8,373,815",1.89,"5,872,881",2.15,"3,339,615",1.66,"2,533,266",2.80,"9,728,171",0.83,"4,892,877",0.96,"4,835,294",0.71,"634,162",8.93,"310,367",8.46,"323,795",9.39,"877,977",3.35,"196,517",2.13,"681,460",3.71
1999,"22,092,387",0.75,"11,312,728",0.62,"10,779,659",0.88,"4,734,596",-1.68,"2,463,745",-1.61,"2,270,851",-1.75,"4,734,549",-1.68,"2,463,741",-1.61,"2,270,808",-1.75,44,-12.00,3,-50.00,41,-6.82,2,0.00,1,0.00,1,0.00,1,-50.00,0,--,1,-50.00,"17,357,791",1.43,"8,848,983",1.25,"8,508,808",1.61,"5,945,659",1.24,"3,364,354",0.74,"2,581,305",1.90,"9,818,044",0.92,"4,948,319",1.13,"4,869,725",0.71,"689,440",8.72,"335,866",8.22,"353,574",9.20,"904,648",3.04,"200,444",2.00,"704,204",3.34
2000,"22,276,672",0.83,"11,392,050",0.70,"10,884,622",0.97,"4,703,093",-0.67,"2,449,631",-0.57,"2,253,462",-0.77,"4,703,052",-0.67,"2,449,626",-0.57,"2,253,426",-0.77,38,-13.64,4,33.33,34,-17.07,2,0.00,1,0.00,1,0.00,1,0.00,0,--,1,0.00,"17,573,579",1.24,"8,942,419",1.06,"8,631,160",1.44,"5,990,604",0.76,"3,371,213",0.20,"2,619,391",1.48,"9,908,126",0.92,"5,007,204",1.19,"4,900,922",0.64,"744,394",7.97,"360,615",7.37,"383,779",8.54,"930,455",2.85,"203,387",1.47,"727,068",3.25
2001,"22,405,568",0.58,"11,441,651",0.44,"10,963,917",0.73,"4,661,884",-0.88,"2,429,165",-0.84,"2,232,719",-0.92,"4,661,850",-0.88,"2,429,161",-0.84,"2,232,689",-0.92,31,-18.42,3,-25.00,28,-17.65,2,0.00,1,0.00,1,0.00,1,0.00,0,--,1,0.00,"17,743,684",0.97,"9,012,486",0.78,"8,731,198",1.16,"6,024,053",0.56,"3,371,660",0.01,"2,652,393",1.26,"9,960,660",0.53,"5,047,682",0.81,"4,912,978",0.25,"803,276",7.91,"387,168",7.36,"416,108",8.42,"955,695",2.71,"205,976",1.27,"749,719",3.12
2002,"22,520,776",0.51,"11,485,409",0.38,"11,035,367",0.65,"4,598,892",-1.35,"2,397,192",-1.32,"2,201,700",-1.39,"4,598,856",-1.35,"2,397,185",-1.32,"2,201,671",-1.39,35,12.90,7,133.33,28,0.00,1,-50.00,0,-100.00,1,0.00,0,-100.00,0,--,0,-100.00,"17,921,884",1.00,"9,088,217",0.84,"8,833,667",1.17,"6,067,180",0.72,"3,379,567",0.23,"2,687,613",1.33,"10,008,726",0.48,"5,084,695",0.73,"4,924,031",0.22,"865,989",7.81,"415,531",7.33,"450,458",8.26,"979,989",2.54,"208,424",1.19,"771,565",2.91
2003,"22,604,550",0.37,"11,515,062",0.26,"11,089,488",0.49,"4,481,620",-2.55,"2,337,165",-2.50,"2,144,455",-2.60,"4,481,607",-2.55,"2,337,161",-2.50,"2,144,446",-2.60,13,-62.86,4,-42.86,9,-67.86,0,-100.00,0,--,0,-100.00,0,--,0,--,0,--,"18,122,930",1.12,"9,177,897",0.99,"8,945,033",1.26,"6,151,231",1.39,"3,410,118",0.90,"2,741,113",1.99,"10,038,668",0.30,"5,113,084",0.56,"4,925,584",0.03,"929,196",7.30,"443,994",6.85,"485,202",7.71,"1,003,835",2.43,"210,701",1.09,"793,134",2.80
2004,"22,689,122",0.37,"11,541,585",0.23,"11,147,537",0.52,"4,387,082",-2.11,"2,288,831",-2.07,"2,098,251",-2.15,"4,387,070",-2.11,"2,288,829",-2.07,"2,098,241",-2.15,12,-7.69,2,-50.00,10,11.11,0,--,0,--,0,--,0,--,0,--,0,--,"18,302,040",0.99,"9,252,754",0.82,"9,049,286",1.17,"6,249,669",1.60,"3,452,830",1.25,"2,796,839",2.03,"10,021,216",-0.17,"5,106,743",-0.12,"4,914,473",-0.23,"1,001,407",7.77,"479,297",7.95,"522,110",7.61,"1,029,748",2.58,"213,884",1.51,"815,864",2.87
2005,"22,770,383",0.36,"11,562,440",0.18,"11,207,943",0.54,"4,259,049",-2.92,"2,221,157",-2.96,"2,037,892",-2.88,"4,259,035",-2.92,"2,221,155",-2.96,"2,037,880",-2.88,14,16.67,2,0.00,12,20.00,0,--,0,--,0,--,0,--,0,--,0,--,"18,511,334",1.14,"9,341,283",0.96,"9,170,051",1.33,"6,352,447",1.64,"3,499,950",1.36,"2,852,497",1.99,"10,029,173",0.08,"5,110,181",0.07,"4,918,992",0.09,"1,073,257",7.17,"514,080",7.26,"559,177",7.10,"1,056,457",2.59,"217,072",1.49,"839,385",2.88
2006,"22,876,527",0.47,"11,591,707",0.25,"11,284,820",0.69,"4,145,631",-2.66,"2,161,180",-2.70,"1,984,451",-2.62,"4,145,624",-2.66,"2,161,178",-2.70,"1,984,446",-2.62,7,-50.00,2,0.00,5,-58.33,0,--,0,--,0,--,0,--,0,--,0,--,"18,730,896",1.19,"9,430,527",0.96,"9,300,369",1.42,"6,441,018",1.39,"3,540,848",1.17,"2,900,170",1.67,"10,058,108",0.29,"5,118,941",0.17,"4,939,167",0.41,"1,147,975",6.96,"550,320",7.05,"597,655",6.88,"1,083,795",2.59,"220,418",1.54,"863,377",2.86
2007,"22,958,360",0.36,"11,608,767",0.15,"11,349,593",0.57,"4,030,645",-2.77,"2,100,985",-2.79,"1,929,660",-2.76,"4,030,638",-2.77,"2,100,983",-2.79,"1,929,655",-2.76,7,0.00,2,0.00,5,0.00,0,--,0,--,0,--,0,--,0,--,0,--,"18,927,715",1.05,"9,507,782",0.82,"9,419,933",1.29,"6,535,786",1.47,"3,583,708",1.21,"2,952,078",1.79,"10,070,986",0.13,"5,120,397",0.03,"4,950,589",0.23,"1,211,868",5.57,"580,295",5.45,"631,573",5.68,"1,109,075",2.33,"223,382",1.34,"885,693",2.58
2008,"23,037,031",0.34,"11,626,351",0.15,"11,410,680",0.54,"3,905,203",-3.11,"2,036,600",-3.06,"1,868,603",-3.16,"3,905,199",-3.11,"2,036,597",-3.06,"1,868,602",-3.16,3,-57.14,2,0.00,1,-80.00,1,--,1,--,0,--,0,--,0,--,0,--,"19,131,828",1.08,"9,589,751",0.86,"9,542,077",1.30,"6,601,228",1.00,"3,612,897",0.81,"2,988,331",1.23,"10,128,749",0.57,"5,143,798",0.46,"4,984,951",0.69,"1,268,316",4.66,"607,215",4.64,"661,101",4.68,"1,133,535",2.21,"225,841",1.10,"907,694",2.48
2009,"23,119,772",0.36,"11,636,734",0.09,"11,483,038",0.63,"3,778,018",-3.26,"1,970,302",-3.26,"1,807,716",-3.26,"3,778,017",-3.26,"1,970,301",-3.26,"1,807,716",-3.26,1,-66.67,1,-50.00,0,-100.00,0,-100.00,0,-100.00,0,--,0,--,0,--,0,--,"19,341,754",1.10,"9,666,432",0.80,"9,675,322",1.40,"6,728,720",1.93,"3,675,047",1.72,"3,053,673",2.19,"10,123,793",-0.05,"5,126,297",-0.34,"4,997,496",0.25,"1,330,451",4.90,"636,369",4.80,"694,082",4.99,"1,158,790",2.23,"228,719",1.27,"930,071",2.47
2010,"23,162,123",0.18,"11,635,225",-0.01,"11,526,898",0.38,"3,624,311",-4.07,"1,891,299",-4.01,"1,733,012",-4.13,"3,624,302",-4.07,"1,891,297",-4.01,"1,733,005",-4.13,7,600.00,1,0.00,6,--,2,--,1,--,1,--,0,--,0,--,0,--,"19,537,812",1.01,"9,743,926",0.80,"9,793,886",1.23,"6,819,872",1.35,"3,718,696",1.19,"3,101,176",1.56,"10,143,762",0.20,"5,129,013",0.05,"5,014,749",0.35,"1,390,544",4.52,"664,650",4.44,"725,894",4.58,"1,183,634",2.14,"231,567",1.25,"952,067",2.36
2011,"23,224,912",0.27,"11,645,674",0.09,"11,579,238",0.45,"3,501,790",-3.38,"1,827,145",-3.39,"1,674,645",-3.37,"3,501,787",-3.38,"1,827,143",-3.39,"1,674,644",-3.37,1,-85.71,1,0.00,0,-100.00,2,0.00,1,0.00,1,0.00,0,--,0,--,0,--,"19,723,122",0.95,"9,818,529",0.77,"9,904,593",1.13,"6,858,488",0.57,"3,736,448",0.48,"3,122,040",0.67,"10,214,026",0.69,"5,159,436",0.59,"5,054,590",0.79,"1,442,951",3.77,"689,001",3.66,"753,950",3.87,"1,207,657",2.03,"233,644",0.90,"974,013",2.31
2012,"23,315,822",0.39,"11,673,319",0.24,"11,642,503",0.55,"3,411,677",-2.57,"1,779,522",-2.61,"1,632,155",-2.54,"3,411,674",-2.57,"1,779,522",-2.61,"1,632,152",-2.54,2,100.00,0,-100.00,2,--,1,-50.00,0,-100.00,1,0.00,0,--,0,--,0,--,"19,904,145",0.92,"9,893,797",0.77,"10,010,348",1.07,"6,942,080",1.22,"3,777,383",1.10,"3,164,697",1.37,"10,235,154",0.21,"5,166,294",0.13,"5,068,860",0.28,"1,496,101",3.68,"714,025",3.63,"782,076",3.73,"1,230,810",1.92,"236,095",1.05,"994,715",2.13
2013,"23,373,517",0.25,"11,684,674",0.10,"11,688,843",0.40,"3,346,601",-1.91,"1,745,101",-1.93,"1,601,500",-1.88,"3,346,597",-1.91,"1,745,100",-1.93,"1,601,497",-1.88,4,100.00,1,--,3,50.00,0,-100.00,0,--,0,-100.00,0,--,0,--,0,--,"20,026,916",0.62,"9,939,573",0.46,"10,087,343",0.77,"6,957,942",0.23,"3,784,045",0.18,"3,173,897",0.29,"10,271,403",0.35,"5,180,986",0.28,"5,090,417",0.43,"1,543,498",3.17,"735,827",3.05,"807,671",3.27,"1,254,073",1.89,"238,715",1.11,"1,015,358",2.08
