期間,民意代表企業主管及經理人員_原始值,民意代表企業主管及經理人員_年增率(%),民意代表企業主管及經理人員_原始值,民意代表企業主管及經理人員_年增率(%),民意代表企業主管及經理人員_原始值,民意代表企業主管及經理人員_年增率(%),專業人員_原始值,專業人員_年增率(%),專業人員_原始值,專業人員_年增率(%),專業人員_原始值,專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),事務工作人員_原始值,事務工作人員_年增率(%),事務工作人員_原始值,事務工作人員_年增率(%),事務工作人員_原始值,事務工作人員_年增率(%),服務工作人員及售貨員_原始值,服務工作人員及售貨員_年增率(%),服務工作人員及售貨員_原始值,服務工作人員及售貨員_年增率(%),服務工作人員及售貨員_原始值,服務工作人員及售貨員_年增率(%),農林漁牧工作人員_原始值,農林漁牧工作人員_年增率(%),農林漁牧工作人員_原始值,農林漁牧工作人員_年增率(%),農林漁牧工作人員_原始值,農林漁牧工作人員_年增率(%),生產及有關工人、機械設備操作工及體力工_原始值,生產及有關工人、機械設備操作工及體力工_年增率(%),生產及有關工人、機械設備操作工及體力工_原始值,生產及有關工人、機械設備操作工及體力工_年增率(%),生產及有關工人、機械設備操作工及體力工_原始值,生產及有關工人、機械設備操作工及體力工_年增率(%)
1988,347,10.31,295,9.15,51,17.44,372,4.40,198,2.76,174,6.35,797,8.81,458,7.51,339,10.62,623,5.36,220,4.24,403,5.99,"1,359",5.66,768,5.82,591,5.46,"1,099",-9.32,771,-7.99,328,-12.30,"3,510",-0.55,"2,333",1.36,"1,177",-4.13
1989,371,6.87,315,6.75,55,7.55,395,5.95,210,5.69,185,6.25,863,8.27,495,8.00,368,8.64,650,4.39,226,3.16,424,5.06,"1,397",2.78,794,3.40,603,1.99,"1,053",-4.19,748,-2.93,305,-7.14,"3,530",0.57,"2,360",1.16,"1,170",-0.61
1990,391,5.35,332,5.10,59,6.80,427,8.12,223,6.40,204,10.08,963,11.59,560,13.17,403,9.45,661,1.64,224,-1.31,438,3.21,"1,383",-1.03,772,-2.84,611,1.36,"1,054",0.12,741,-1.03,314,2.93,"3,405",-3.53,"2,324",-1.50,"1,081",-7.63
1991,408,4.48,352,6.16,56,-4.98,434,1.78,223,-0.07,211,3.81,"1,019",5.86,596,6.41,423,5.10,698,5.56,224,0.03,474,8.39,"1,410",2.01,741,-3.99,670,9.59,"1,082",2.62,756,2.10,326,3.85,"3,387",-0.52,"2,383",2.52,"1,004",-7.05
1992,432,5.74,373,6.09,58,3.56,462,6.34,237,6.12,225,6.57,"1,088",6.70,635,6.60,452,6.85,732,4.95,227,1.63,505,6.52,"1,440",2.09,733,-1.07,707,5.59,"1,055",-2.47,741,-2.01,314,-3.52,"3,424",1.07,"2,434",2.13,990,-1.42
1993,441,2.21,387,3.64,54,-6.94,485,4.98,255,7.90,229,1.92,"1,231",13.20,747,17.63,484,6.97,806,10.10,223,-1.67,583,15.39,"1,405",-2.43,688,-6.08,717,1.37,995,-5.67,706,-4.76,290,-7.82,"3,382",-1.22,"2,415",-0.76,967,-2.38
1994,436,-1.19,378,-2.22,57,6.12,479,-1.27,243,-4.95,236,2.83,"1,296",5.26,789,5.55,507,4.81,839,4.10,223,-0.28,617,5.78,"1,438",2.35,684,-0.57,754,5.16,965,-3.05,694,-1.64,271,-6.49,"3,486",3.08,"2,500",3.49,986,2.04
1995,436,-0.06,379,0.14,57,-1.39,500,4.53,246,1.26,255,7.88,"1,338",3.21,810,2.70,527,3.99,877,4.49,222,-0.34,655,6.24,"1,479",2.87,704,2.90,775,2.85,942,-2.39,675,-2.75,267,-1.47,"3,473",-0.37,"2,521",0.88,952,-3.52
1996,429,-1.52,373,-1.47,56,-1.87,542,8.30,264,7.44,278,9.14,"1,376",2.91,832,2.65,545,3.31,922,5.17,223,0.63,699,6.70,"1,530",3.41,715,1.47,815,5.17,906,-3.78,642,-4.89,264,-0.97,"3,362",-3.19,"2,459",-2.48,903,-5.08
1997,420,-2.10,359,-3.86,61,9.71,560,3.37,275,3.97,286,2.80,"1,426",3.59,870,4.65,555,1.96,938,1.71,225,0.58,713,2.07,"1,550",1.34,725,1.42,826,1.27,865,-4.59,615,-4.16,250,-5.62,"3,416",1.61,"2,494",1.41,923,2.17
1998,425,1.14,365,1.63,60,-1.75,578,3.15,279,1.48,299,4.76,"1,498",5.07,896,2.88,603,8.49,955,1.82,226,0.37,730,2.27,"1,597",3.05,750,3.56,847,2.61,810,-6.34,579,-5.91,231,-7.40,"3,426",0.28,"2,517",0.92,909,-1.46
1999,414,-2.43,357,-2.19,58,-3.90,601,4.04,290,4.17,311,3.92,"1,571",4.84,932,4.11,638,5.91,995,4.20,239,5.76,757,3.72,"1,667",4.33,771,2.77,895,5.72,764,-5.71,548,-5.31,215,-6.73,"3,373",-1.55,"2,486",-1.20,887,-2.51
2000,412,-0.69,353,-1.16,59,2.23,610,1.46,305,5.10,305,-1.94,"1,591",1.32,949,1.75,643,0.70,"1,027",3.15,238,-0.22,789,4.22,"1,712",2.73,787,2.09,925,3.29,726,-4.88,525,-4.26,202,-6.47,"3,413",1.20,"2,513",1.09,900,1.50
2001,406,-1.35,346,-2.02,60,2.68,615,0.88,312,2.28,303,-0.52,"1,615",1.47,959,1.11,656,2.00,"1,025",-0.13,234,-1.82,792,0.37,"1,744",1.89,788,0.04,957,3.46,695,-4.27,505,-3.83,191,-5.43,"3,281",-3.87,"2,410",-4.12,871,-3.16
2002,424,4.45,362,4.70,62,3.04,649,5.52,330,5.95,319,5.08,"1,662",2.90,972,1.35,689,5.17,"1,041",1.55,236,1.03,805,1.70,"1,791",2.66,805,2.17,986,3.05,699,0.50,509,0.84,190,-0.41,"3,188",-2.83,"2,333",-3.19,856,-1.82
2003,427,0.67,359,-0.70,68,8.68,678,4.48,344,4.16,334,4.81,"1,716",3.24,988,1.64,727,5.51,"1,062",1.95,245,3.66,817,1.44,"1,817",1.47,811,0.84,"1,006",1.99,683,-2.24,493,-3.17,190,0.24,"3,191",0.06,"2,338",0.22,853,-0.35
2004,447,4.63,373,3.90,73,8.52,726,7.02,376,9.18,350,4.79,"1,774",3.41,"1,020",3.26,754,3.62,"1,106",4.20,250,2.19,856,4.80,"1,849",1.73,821,1.13,"1,028",2.21,629,-7.97,452,-8.23,176,-7.29,"3,256",2.05,"2,387",2.12,869,1.87
2005,449,0.49,374,0.32,74,1.38,795,9.51,413,9.84,382,9.16,"1,834",3.37,"1,041",1.99,793,5.25,"1,132",2.36,256,2.44,876,2.34,"1,866",0.93,826,0.67,"1,040",1.15,578,-8.13,415,-8.17,162,-8.02,"3,289",1.02,"2,427",1.66,862,-0.76
2006,452,0.72,371,-0.83,81,8.48,831,4.59,438,6.11,393,2.96,"1,929",5.20,"1,077",3.52,852,7.42,"1,138",0.54,260,1.39,879,0.30,"1,926",3.22,840,1.67,"1,086",4.46,541,-6.27,387,-6.72,154,-5.13,"3,293",0.11,"2,437",0.39,856,-0.68
2007,462,2.14,381,2.57,81,0.13,866,4.11,452,3.16,414,5.16,"2,020",4.69,"1,094",1.54,926,8.67,"1,133",-0.50,256,-1.40,876,-0.23,"1,964",1.96,849,1.07,"1,115",2.65,531,-1.91,373,-3.84,158,2.94,"3,320",0.81,"2,464",1.13,855,-0.09
2008,461,-0.09,379,-0.50,82,1.83,913,5.51,477,5.56,436,5.46,"2,134",5.64,"1,134",3.68,1000,7.96,"1,124",-0.79,252,-1.60,872,-0.55,"1,938",-1.30,844,-0.56,"1,094",-1.86,519,-2.31,365,-1.92,153,-3.21,"3,314",-0.17,"2,451",-0.55,863,0.94
2009,442,-4.09,356,-5.94,86,4.40,912,-0.10,469,-1.66,443,1.60,"2,169",1.63,"1,154",1.75,"1,015",1.49,"1,139",1.32,250,-1.01,889,1.99,"1,919",-0.99,838,-0.69,"1,081",-1.22,528,1.73,374,2.37,154,0.19,"3,170",-4.34,"2,335",-4.72,835,-3.28
2010,439,-0.79,349,-2.08,90,4.59,921,0.97,475,1.25,446,0.68,"2,189",0.95,"1,163",0.77,"1,026",1.16,"1,210",6.26,262,4.89,948,6.64,"1,977",3.01,874,4.30,"1,102",2.01,535,1.28,378,1.17,156,1.54,"3,223",1.66,"2,379",1.87,844,1.09
