期間,總人口數(千人)_原始值,總人口數(千人)_年增率(%),總人口數(千人)_原始值,總人口數(千人)_年增率(%),總人口數(千人)_原始值,總人口數(千人)_年增率(%),15歲以上民間人口(千人)_原始值,15歲以上民間人口(千人)_年增率(%),15歲以上民間人口(千人)_原始值,15歲以上民間人口(千人)_年增率(%),15歲以上民間人口(千人)_原始值,15歲以上民間人口(千人)_年增率(%),勞動力(千人)_原始值,勞動力(千人)_年增率(%),勞動力(千人)_原始值,勞動力(千人)_年增率(%),勞動力(千人)_原始值,勞動力(千人)_年增率(%),就業人數(千人)_原始值,就業人數(千人)_年增率(%),就業人數(千人)_原始值,就業人數(千人)_年增率(%),就業人數(千人)_原始值,就業人數(千人)_年增率(%),失業人數(千人)_原始值,失業人數(千人)_年增率(%),失業人數(千人)_原始值,失業人數(千人)_年增率(%),失業人數(千人)_原始值,失業人數(千人)_年增率(%),15歲以上民間人口占總人口數(%)_原始值,15歲以上民間人口占總人口數(%)_年增率(%),15歲以上民間人口占總人口數(%)_原始值,15歲以上民間人口占總人口數(%)_年增率(%),15歲以上民間人口占總人口數(%)_原始值,15歲以上民間人口占總人口數(%)_年增率(%),勞動力占總人口數(%)_原始值,勞動力占總人口數(%)_年增率(%),勞動力占總人口數(%)_原始值,勞動力占總人口數(%)_年增率(%),勞動力占總人口數(%)_原始值,勞動力占總人口數(%)_年增率(%),勞動力參與率(%)_原始值,勞動力參與率(%)_年增率(%),勞動力參與率(%)_原始值,勞動力參與率(%)_年增率(%),勞動力參與率(%)_原始值,勞動力參與率(%)_年增率(%),就業人口占總人口數(%)_原始值,就業人口占總人口數(%)_年增率(%),就業人口占總人口數(%)_原始值,就業人口占總人口數(%)_年增率(%),就業人口占總人口數(%)_原始值,就業人口占總人口數(%)_年增率(%),就業人口占15歲以上民間人口(%)_原始值,就業人口占15歲以上民間人口(%)_年增率(%),就業人口占15歲以上民間人口(%)_原始值,就業人口占15歲以上民間人口(%)_年增率(%),就業人口占15歲以上民間人口(%)_原始值,就業人口占15歲以上民間人口(%)_年增率(%),就業人口占勞動力(%)_原始值,就業人口占勞動力(%)_年增率(%),就業人口占勞動力(%)_原始值,就業人口占勞動力(%)_年增率(%),就業人口占勞動力(%)_原始值,就業人口占勞動力(%)_年增率(%),失業率(%)_原始值,失業率(%)_年增率(%),失業率(%)_原始值,失業率(%)_年增率(%),失業率(%)_原始值,失業率(%)_年增率(%)
1988,"19,781",1.13,"10,242",1.04,"9,539",1.22,"13,696",1.97,"6,856",1.84,"6,840",2.10,"8,247",0.77,"5,130",1.29,"3,116",-0.07,"8,107",1.06,"5,043",1.56,"3,064",0.23,139,-13.42,87,-12.49,52,-14.94,69.24,-,66.94,-,71.71,-,41.69,-,50.09,-,32.67,-,60.21,-,74.83,-,45.56,-,40.99,-,49.24,-,32.12,-,59.19,-,73.56,-,44.79,-,98.31,-,98.30,-,98.32,-,1.69,-,1.70,-,1.68,-
1989,"20,008",1.15,"10,351",1.07,"9,656",1.23,"13,955",1.89,"6,989",1.95,"6,966",1.84,"8,390",1.74,"5,231",1.96,"3,159",1.37,"8,258",1.86,"5,149",2.09,"3,110",1.49,132,-5.55,82,-5.52,49,-5.59,69.75,-,67.52,-,72.14,-,41.93,-,50.53,-,32.71,-,60.12,-,74.84,-,45.35,-,41.27,-,49.74,-,32.20,-,59.18,-,73.67,-,44.64,-,98.43,-,98.43,-,98.44,-,1.57,-,1.57,-,1.56,-
1990,"20,233",1.12,"10,458",1.03,"9,774",1.22,"14,219",1.89,"7,116",1.82,"7,102",1.96,"8,423",0.40,"5,263",0.62,"3,160",0.04,"8,283",0.30,"5,175",0.51,"3,108",-0.04,140,6.69,88,7.49,52,5.37,70.28,-,68.04,-,72.67,-,41.63,-,50.32,-,32.33,-,59.24,-,73.96,-,44.50,-,40.94,-,49.48,-,31.80,-,58.25,-,72.72,-,43.76,-,98.33,-,98.32,-,98.36,-,1.67,-,1.68,-,1.64,-
1991,"20,456",1.11,"10,566",1.03,"9,891",1.19,"14,496",1.95,"7,256",1.96,"7,240",1.93,"8,569",1.73,"5,355",1.74,"3,214",1.70,"8,439",1.88,"5,274",1.92,"3,165",1.82,130,-7.65,80,-9.00,49,-5.34,70.86,-,68.67,-,73.20,-,41.89,-,50.68,-,32.49,-,59.11,-,73.80,-,44.39,-,41.25,-,49.92,-,32.00,-,58.22,-,72.69,-,43.71,-,98.49,-,98.50,-,98.47,-,1.51,-,1.50,-,1.53,-
1992,"20,652",0.96,"10,659",0.88,"9,993",1.03,"14,771",1.90,"7,401",1.99,"7,370",1.80,"8,765",2.29,"5,460",1.97,"3,304",2.81,"8,632",2.29,"5,380",2.00,"3,252",2.76,132,2.18,81,0.06,52,5.66,71.52,-,69.43,-,73.76,-,42.44,-,51.23,-,33.07,-,59.34,-,73.78,-,44.83,-,41.80,-,50.47,-,32.55,-,58.44,-,72.69,-,44.13,-,98.49,-,98.53,-,98.43,-,1.51,-,1.47,-,1.57,-
1993,"20,841",0.91,"10,748",0.83,"10,093",1.00,"15,087",2.14,"7,564",2.21,"7,522",2.06,"8,874",1.25,"5,497",0.66,"3,377",2.21,"8,745",1.31,"5,422",0.79,"3,323",2.19,128,-3.15,75,-7.43,54,3.47,72.39,-,70.38,-,74.53,-,42.58,-,51.14,-,33.46,-,58.82,-,72.67,-,44.89,-,41.96,-,50.45,-,32.93,-,57.97,-,71.68,-,44.18,-,98.55,-,98.64,-,98.41,-,1.45,-,1.36,-,1.59,-
1994,"21,037",0.94,"10,839",0.85,"10,198",1.04,"15,401",2.09,"7,724",2.12,"7,677",2.05,"9,081",2.33,"5,595",1.79,"3,485",3.21,"8,939",2.21,"5,511",1.63,"3,428",3.15,142,10.63,84,13.29,58,6.94,73.21,-,71.26,-,75.28,-,43.17,-,51.62,-,34.18,-,58.96,-,72.44,-,45.40,-,42.49,-,50.84,-,33.61,-,58.04,-,71.34,-,44.65,-,98.44,-,98.49,-,98.35,-,1.56,-,1.51,-,1.65,-
1995,"21,217",0.86,"10,922",0.76,"10,295",0.96,"15,687",1.86,"7,856",1.70,"7,832",2.02,"9,210",1.42,"5,659",1.13,"3,551",1.89,"9,045",1.19,"5,558",0.85,"3,487",1.73,165,16.26,101,19.65,64,11.28,73.94,-,71.92,-,76.07,-,43.41,-,51.81,-,34.49,-,58.71,-,72.03,-,45.34,-,42.63,-,50.88,-,33.87,-,57.66,-,70.75,-,44.53,-,98.21,-,98.21,-,98.20,-,1.79,-,1.79,-,1.80,-
1996,"21,383",0.78,"10,997",0.69,"10,385",0.88,"15,932",1.56,"7,960",1.33,"7,972",1.79,"9,310",1.09,"5,662",0.06,"3,648",2.73,"9,068",0.26,"5,508",-0.89,"3,560",2.09,242,46.93,154,52.58,88,38.02,74.51,-,72.38,-,76.76,-,43.54,-,51.49,-,35.13,-,58.44,-,71.13,-,45.76,-,42.41,-,50.08,-,34.28,-,56.92,-,69.20,-,44.65,-,97.40,-,97.28,-,97.58,-,2.60,-,2.72,-,2.42,-
1997,"21,569",0.87,"11,081",0.76,"10,488",0.98,"16,170",1.50,"8,062",1.28,"8,109",1.71,"9,432",1.30,"5,731",1.21,"3,701",1.45,"9,176",1.19,"5,562",0.98,"3,613",1.50,256,5.67,169,9.35,88,-0.76,74.97,-,72.75,-,77.31,-,43.73,-,51.72,-,35.29,-,58.33,-,71.09,-,45.64,-,42.54,-,50.19,-,34.45,-,56.74,-,69.00,-,44.56,-,97.28,-,97.06,-,97.63,-,2.72,-,2.94,-,2.37,-
1998,"21,784",1.00,"11,176",0.85,"10,608",1.15,"16,448",1.72,"8,188",1.57,"8,260",1.87,"9,546",1.21,"5,780",0.85,"3,767",1.77,"9,289",1.24,"5,610",0.87,"3,679",1.81,257,0.26,169,0.33,88,0.15,75.51,-,73.27,-,77.86,-,43.82,-,51.72,-,35.51,-,58.04,-,70.58,-,45.60,-,42.64,-,50.20,-,34.68,-,56.48,-,68.52,-,44.54,-,97.31,-,97.07,-,97.67,-,2.69,-,2.93,-,2.33,-
1999,"21,957",0.79,"11,249",0.66,"10,708",0.94,"16,687",1.45,"8,311",1.50,"8,376",1.41,"9,668",1.27,"5,812",0.56,"3,856",2.37,"9,385",1.03,"5,624",0.24,"3,761",2.23,283,10.05,188,11.16,95,7.92,76.00,-,73.88,-,78.23,-,44.03,-,51.66,-,36.01,-,57.93,-,69.93,-,46.03,-,42.74,-,49.99,-,35.12,-,56.24,-,67.67,-,44.90,-,97.08,-,96.77,-,97.54,-,2.92,-,3.23,-,2.46,-
2000,"22,126",0.77,"11,322",0.64,"10,805",0.91,"16,963",1.65,"8,452",1.70,"8,511",1.60,"9,784",1.21,"5,867",0.96,"3,917",1.58,"9,491",1.14,"5,670",0.82,"3,821",1.60,293,3.56,197,4.97,95,0.75,76.66,-,74.66,-,78.77,-,44.22,-,51.83,-,36.25,-,57.68,-,69.42,-,46.02,-,42.90,-,50.08,-,35.37,-,55.95,-,67.08,-,44.90,-,97.01,-,96.64,-,97.56,-,2.99,-,3.36,-,2.44,-
2001,"22,281",0.70,"11,385",0.56,"10,897",0.85,"17,179",1.28,"8,551",1.17,"8,628",1.38,"9,832",0.49,"5,855",-0.21,"3,977",1.55,"9,383",-1.15,"5,553",-2.07,"3,830",0.22,450,53.62,302,53.07,148,54.76,77.10,-,75.11,-,79.18,-,44.13,-,51.43,-,36.50,-,57.23,-,68.47,-,46.10,-,42.11,-,48.77,-,35.15,-,54.62,-,64.94,-,44.39,-,95.43,-,94.84,-,96.29,-,4.57,-,5.16,-,3.71,-
2002,"22,397",0.52,"11,427",0.37,"10,969",0.66,"17,387",1.21,"8,642",1.06,"8,745",1.35,"9,969",1.39,"5,896",0.70,"4,074",2.42,"9,454",0.76,"5,547",-0.10,"3,907",2.02,515,14.53,348,15.29,167,12.97,77.63,-,75.62,-,79.72,-,44.51,-,51.59,-,37.14,-,57.34,-,68.22,-,46.59,-,42.21,-,48.54,-,35.62,-,54.38,-,64.19,-,44.68,-,94.83,-,94.09,-,95.90,-,5.17,-,5.91,-,4.10,-
2003,"22,493",0.43,"11,463",0.31,"11,030",0.56,"17,572",1.06,"8,722",0.93,"8,849",1.19,"10,076",1.07,"5,904",0.15,"4,172",2.40,"9,573",1.26,"5,579",0.57,"3,994",2.24,503,-2.37,326,-6.52,177,6.28,78.12,-,76.09,-,80.23,-,44.80,-,51.51,-,37.82,-,57.34,-,67.69,-,47.14,-,42.56,-,48.67,-,36.21,-,54.48,-,63.96,-,45.14,-,95.01,-,94.49,-,95.75,-,4.99,-,5.51,-,4.25,-
2004,"22,574",0.36,"11,489",0.23,"11,085",0.50,"17,760",1.07,"8,806",0.95,"8,954",1.19,"10,240",1.63,"5,968",1.08,"4,272",2.41,"9,786",2.22,"5,680",1.82,"4,106",2.80,454,-9.68,288,-11.50,166,-6.35,78.67,-,76.64,-,80.78,-,45.36,-,51.95,-,38.54,-,57.66,-,67.78,-,47.71,-,43.35,-,49.44,-,37.04,-,55.10,-,64.50,-,45.86,-,95.56,-,95.17,-,96.11,-,4.44,-,4.83,-,3.89,-
2005,"22,651",0.34,"11,510",0.18,"11,142",0.51,"17,949",1.06,"8,890",0.96,"9,058",1.17,"10,371",1.27,"6,012",0.74,"4,359",2.02,"9,942",1.60,"5,753",1.28,"4,190",2.04,428,-5.73,259,-10.02,169,1.70,79.24,-,77.24,-,81.30,-,45.78,-,52.23,-,39.12,-,57.78,-,67.62,-,48.12,-,43.89,-,49.98,-,37.60,-,55.39,-,64.71,-,46.25,-,95.87,-,95.69,-,96.12,-,4.13,-,4.31,-,3.88,-
2006,"22,738",0.38,"11,531",0.18,"11,207",0.59,"18,166",1.21,"8,992",1.14,"9,175",1.28,"10,522",1.46,"6,056",0.73,"4,467",2.48,"10,111",1.70,"5,810",1.00,"4,301",2.66,411,-4.01,245,-5.39,166,-1.90,79.89,-,77.98,-,81.86,-,46.28,-,52.52,-,39.85,-,57.92,-,67.35,-,48.68,-,44.47,-,50.39,-,38.38,-,55.66,-,64.62,-,46.88,-,96.09,-,95.95,-,96.29,-,3.91,-,4.05,-,3.71,-
2007,"22,821",0.36,"11,547",0.14,"11,274",0.59,"18,392",1.24,"9,095",1.15,"9,297",1.33,"10,713",1.81,"6,116",1.00,"4,597",2.91,"10,294",1.81,"5,868",1.00,"4,426",2.90,419,1.90,248,1.02,171,3.20,80.59,-,78.77,-,82.46,-,46.94,-,52.97,-,40.77,-,58.25,-,67.24,-,49.44,-,45.11,-,50.82,-,39.26,-,55.97,-,64.52,-,47.60,-,96.09,-,95.95,-,96.28,-,3.91,-,4.05,-,3.72,-
2008,"22,905",0.37,"11,567",0.18,"11,338",0.57,"18,623",1.26,"9,201",1.16,"9,422",1.35,"10,853",1.31,"6,173",0.93,"4,680",1.81,"10,403",1.06,"5,902",0.58,"4,501",1.70,450,7.42,271,9.27,179,4.73,81.30,-,79.55,-,83.10,-,47.38,-,53.37,-,41.28,-,58.28,-,67.09,-,49.67,-,45.42,-,51.03,-,39.70,-,55.86,-,64.15,-,47.77,-,95.86,-,95.61,-,96.17,-,4.14,-,4.39,-,3.83,-
2009,"22,977",0.31,"11,577",0.09,"11,400",0.54,"18,855",1.24,"9,307",1.15,"9,547",1.33,"10,917",0.59,"6,180",0.11,"4,737",1.23,"10,279",-1.20,"5,776",-2.13,"4,502",0.03,639,41.96,404,49.05,235,31.24,82.06,-,80.39,-,83.75,-,47.51,-,53.38,-,41.56,-,57.90,-,66.40,-,49.62,-,44.73,-,49.89,-,39.49,-,54.51,-,62.06,-,47.16,-,94.15,-,93.47,-,95.04,-,5.85,-,6.53,-,4.96,-
2010,"23,036",0.25,"11,580",0.02,"11,455",0.49,"19,062",1.10,"9,385",0.83,"9,678",1.36,"11,070",1.40,"6,242",1.01,"4,828",1.91,"10,493",2.09,"5,880",1.79,"4,613",2.47,577,-9.66,362,-10.25,215,-8.65,82.75,-,81.04,-,84.48,-,48.06,-,53.90,-,42.15,-,58.07,-,66.51,-,49.89,-,45.55,-,50.77,-,40.27,-,55.05,-,62.65,-,47.67,-,94.79,-,94.20,-,95.55,-,5.21,-,5.80,-,4.45,-
2011,"23,077",0.18,"11,579",-0.01,"11,497",0.36,"19,253",1.00,"9,455",0.75,"9,798",1.24,"11,200",1.17,"6,304",0.99,"4,896",1.42,"10,709",2.06,"6,006",2.15,"4,702",1.93,491,-14.86,297,-17.96,194,-9.64,83.43,-,81.66,-,85.22,-,48.53,-,54.44,-,42.59,-,58.17,-,66.67,-,49.97,-,46.41,-,51.87,-,40.90,-,55.62,-,63.52,-,47.99,-,95.61,-,95.29,-,96.04,-,4.39,-,4.71,-,3.96,-
2012,"23,148",0.31,"11,596",0.14,"11,552",0.48,"19,436",0.95,"9,530",0.79,"9,906",1.10,"11,341",1.26,"6,369",1.04,"4,972",1.54,"10,860",1.41,"6,083",1.28,"4,777",1.58,481,-2.15,286,-3.80,195,0.38,83.97,-,82.19,-,85.75,-,48.99,-,54.93,-,43.04,-,58.35,-,66.83,-,50.19,-,46.92,-,52.46,-,41.35,-,55.88,-,63.83,-,48.22,-,95.76,-,95.51,-,96.08,-,4.24,-,4.49,-,3.92,-
2013,"23,218",0.31,"11,614",0.16,"11,605",0.46,"19,587",0.78,"9,592",0.65,"9,995",0.90,"11,445",0.92,"6,402",0.52,"5,043",1.44,"10,967",0.99,"6,116",0.54,"4,851",1.56,478,-0.54,286,0.12,192,-1.51,84.36,-,82.59,-,86.13,-,49.29,-,55.12,-,43.46,-,58.43,-,66.74,-,50.46,-,47.23,-,52.66,-,41.81,-,55.99,-,63.76,-,48.54,-,95.82,-,95.53,-,96.20,-,4.18,-,4.47,-,3.80,-
