期間,大專校院-人文_原始值,大專校院-人文_年增率(%),大專校院-人文_原始值,大專校院-人文_年增率(%),大專校院-社會_原始值,大專校院-社會_年增率(%),大專校院-社會_原始值,大專校院-社會_年增率(%),大專校院-科技_原始值,大專校院-科技_年增率(%),大專校院-科技_原始值,大專校院-科技_年增率(%),研究所-合計_原始值,研究所-合計_年增率(%),研究所-合計_原始值,研究所-合計_年增率(%),碩士班_原始值,碩士班_年增率(%),碩士班_原始值,碩士班_年增率(%),博士班_原始值,博士班_年增率(%),博士班_原始值,博士班_年增率(%),工業技術-合計_原始值,工業技術-合計_年增率(%),工業技術-合計_原始值,工業技術-合計_年增率(%),高職工科_原始值,高職工科_年增率(%),高職工科_原始值,高職工科_年增率(%),工程類專科生_原始值,工程類專科生_年增率(%),工程類專科生_原始值,工程類專科生_年增率(%),工程類學士班_原始值,工程類學士班_年增率(%),工程類學士班_原始值,工程類學士班_年增率(%),工程類碩士班_原始值,工程類碩士班_年增率(%),工程類碩士班_原始值,工程類碩士班_年增率(%),工程類博士班_原始值,工程類博士班_年增率(%),工程類博士班_原始值,工程類博士班_年增率(%),醫藥衛生-合計_原始值,醫藥衛生-合計_年增率(%),醫藥衛生-合計_原始值,醫藥衛生-合計_年增率(%),高職醫事護理_原始值,高職醫事護理_年增率(%),高職醫事護理_原始值,高職醫事護理_年增率(%),醫事類專科生_原始值,醫事類專科生_年增率(%),醫事類專科生_原始值,醫事類專科生_年增率(%),醫事類學士班_原始值,醫事類學士班_年增率(%),醫事類學士班_原始值,醫事類學士班_年增率(%),醫事類碩士班_原始值,醫事類碩士班_年增率(%),醫事類碩士班_原始值,醫事類碩士班_年增率(%),醫事類博士班_原始值,醫事類博士班_年增率(%),醫事類博士班_原始值,醫事類博士班_年增率(%),法律-合計_原始值,法律-合計_年增率(%),法律-合計_原始值,法律-合計_年增率(%),法律類專科生_原始值,法律類專科生_年增率(%),法律類專科生_原始值,法律類專科生_年增率(%),法律類學士班_原始值,法律類學士班_年增率(%),法律類學士班_原始值,法律類學士班_年增率(%),法律類碩士班_原始值,法律類碩士班_年增率(%),法律類碩士班_原始值,法律類碩士班_年增率(%),法律類博士班_原始值,法律類博士班_年增率(%),法律類博士班_原始值,法律類博士班_年增率(%),藝術-合計_原始值,藝術-合計_年增率(%),藝術-合計_原始值,藝術-合計_年增率(%),藝術職校_原始值,藝術職校_年增率(%),藝術職校_原始值,藝術職校_年增率(%),藝術專校_原始值,藝術專校_年增率(%),藝術專校_原始值,藝術專校_年增率(%),藝術類學士班_原始值,藝術類學士班_年增率(%),藝術類學士班_原始值,藝術類學士班_年增率(%),藝術類碩士班_原始值,藝術類碩士班_年增率(%),藝術類碩士班_原始值,藝術類碩士班_年增率(%),藝術類博士班_原始值,藝術類博士班_年增率(%),藝術類博士班_原始值,藝術類博士班_年增率(%),農業-合計_原始值,農業-合計_年增率(%),農業-合計_原始值,農業-合計_年增率(%),高職農業科_原始值,高職農業科_年增率(%),高職農業科_原始值,高職農業科_年增率(%),農業專科生_原始值,農業專科生_年增率(%),農業專科生_原始值,農業專科生_年增率(%),農業類學士班_原始值,農業類學士班_年增率(%),農業類學士班_原始值,農業類學士班_年增率(%),農業類碩士班_原始值,農業類碩士班_年增率(%),農業類碩士班_原始值,農業類碩士班_年增率(%),農業類博士班_原始值,農業類博士班_年增率(%),農業類博士班_原始值,農業類博士班_年增率(%),資訊-合計_原始值,資訊-合計_年增率(%),資訊-合計_原始值,資訊-合計_年增率(%),資訊類專科_原始值,資訊類專科_年增率(%),資訊類專科_原始值,資訊類專科_年增率(%),資訊類學士班_原始值,資訊類學士班_年增率(%),資訊類學士班_原始值,資訊類學士班_年增率(%),資訊類碩士班_原始值,資訊類碩士班_年增率(%),資訊類碩士班_原始值,資訊類碩士班_年增率(%),資訊類博士班_原始值,資訊類博士班_年增率(%),資訊類博士班_原始值,資訊類博士班_年增率(%)
1986,"63,705",-2.44,"15,739",2.08,"137,575",1.69,"31,399",1.00,"241,368",5.87,"52,700",3.99,"13,437",8.21,"4,352",9.95,"11,294",6.17,"4,103",8.12,"2,143",20.39,249,52.76,"367,941",3.30,"93,757",1.00,"215,746",2.88,"60,268",0.64,"114,867",4.75,"24,590",2.50,"33,127",0.18,"7,362",-3.25,"3,439",8.97,"1,454",13.33,762,25.54,83,45.61,"50,040",4.66,"9,906",6.01,"12,496",2.46,"3,250",3.83,"21,072",5.87,"3,984",10.73,"15,924",4.37,"2,514",2.07,435,14.47,151,5.59,113,48.68,7,-30.00,"5,524",3.27,"1,373",5.78,-,--,-,--,"5,217",3.82,"1,307",7.40,275,-3.51,65,-18.75,32,-17.95,1,0.00,"9,702",6.13,"2,066",0.58,697,14.64,160,0.00,"5,637",3.39,"1,174",-7.49,"3,276",9.46,701,15.87,92,3.37,31,55.00,-,--,-,--,"39,427",4.82,"10,770",3.32,"25,423",4.01,"7,563",1.12,"7,943",5.77,"1,804",4.76,"5,256",6.14,"1,137",17.10,633,10.28,238,-1.65,172,27.41,28,180.00,"69,873",5.67,"15,609",3.69,"53,322",5.08,"11,864",4.80,"14,956",7.10,"3,109",-3.09,"1,267",11.43,595,19.00,328,17.56,41,70.83
1987,"63,982",0.43,"15,441",-1.89,"144,503",5.04,"31,549",0.48,"256,179",6.14,"55,252",4.84,"15,121",12.53,"4,997",14.82,"12,426",10.02,"4,700",14.55,"2,695",25.76,297,19.28,"379,138",3.04,"98,722",5.30,"217,912",1.00,"63,966",6.14,"121,992",6.20,"25,186",2.42,"34,341",3.66,"7,816",6.17,"3,894",13.23,"1,652",13.62,999,31.10,102,22.89,"52,537",4.99,"10,338",4.36,"12,770",2.19,"3,002",-7.63,"22,488",6.72,"4,355",9.31,"16,614",4.33,"2,751",9.43,501,15.17,217,43.71,164,45.13,13,85.71,"5,840",5.72,"1,246",-9.25,-,--,-,--,"5,523",5.87,"1,179",-9.79,277,0.73,60,-7.69,40,25.00,7,600.00,"10,558",8.82,"2,204",6.68,805,15.49,206,28.75,"6,032",7.01,"1,229",4.68,"3,629",10.78,738,5.28,92,0.00,31,0.00,-,--,-,--,"40,424",2.53,"11,107",3.13,"25,794",1.46,"7,643",1.06,"8,139",2.47,"1,962",8.76,"5,529",5.19,"1,198",5.36,742,17.22,276,15.97,220,27.91,28,0.00,"75,614",8.22,"16,096",3.12,"57,482",7.80,"11,861",-0.03,"16,271",8.79,"3,536",13.73,"1,428",12.71,646,8.57,433,32.01,53,29.27
1988,"67,921",6.16,"13,745",-10.98,"154,094",6.64,"33,690",6.79,"274,515",7.16,"58,241",5.41,"17,341",14.68,"5,257",5.20,"14,119",13.62,"4,943",5.17,"3,222",19.55,314,5.72,"383,799",1.23,"103,061",4.40,"211,007",-3.17,"67,221",5.09,"131,257",7.59,"26,110",3.67,"35,896",4.53,"7,751",-0.83,"4,401",13.02,"1,857",12.41,"1,238",23.92,122,19.61,"55,439",5.52,"11,324",9.54,"12,926",1.22,"3,415",13.76,"24,549",9.16,"4,746",8.98,"17,158",3.27,"2,935",6.69,593,18.36,210,-3.23,213,29.88,18,38.46,"6,168",5.62,"1,284",3.05,-,--,-,--,"5,804",5.09,"1,235",4.75,327,18.05,48,-20.00,37,-7.50,1,-85.71,"11,568",9.57,"2,423",9.94,"1,058",31.43,230,11.65,"6,557",8.70,"1,417",15.30,"3,855",6.23,750,1.63,98,6.52,26,-16.13,-,--,-,--,"40,529",0.26,"11,914",7.27,"25,410",-1.49,"8,225",7.61,"8,268",1.58,"2,044",4.18,"5,757",4.12,"1,235",3.09,831,11.99,373,35.14,263,19.55,37,32.14,"82,885",9.62,"17,176",6.71,"63,218",9.98,"12,728",7.31,"17,514",7.64,"3,637",2.86,"1,603",12.25,750,16.10,550,27.02,61,15.09
1989,"72,942",7.39,"15,767",14.71,"165,172",7.19,"34,729",3.08,"296,950",8.17,"63,817",9.57,"19,549",12.73,"6,184",17.63,"15,750",11.55,"5,774",16.81,"3,799",17.91,410,30.57,"394,956",2.91,"100,037",-2.93,"215,508",2.13,"60,497",-10.00,"135,788",3.45,"28,780",10.23,"37,247",3.76,"8,442",8.91,"4,928",11.97,"2,150",15.78,"1,485",19.95,168,37.70,"60,371",8.90,"11,875",4.87,"14,009",8.38,"3,175",-7.03,"27,645",12.61,"5,336",12.43,"17,721",3.28,"3,071",4.63,730,23.10,270,28.57,266,24.88,23,27.78,"6,416",4.02,"1,285",0.08,-,--,-,--,"5,990",3.20,"1,224",-0.89,378,15.60,56,16.67,48,29.73,5,400.00,"12,242",5.83,"2,638",8.87,"1,265",19.57,220,-4.35,"6,918",5.51,"1,625",14.68,"3,940",2.20,759,1.20,119,21.43,34,30.77,-,--,-,--,"39,244",-3.17,"11,521",-3.30,"23,668",-6.86,"7,693",-6.47,"8,432",1.98,"2,078",1.66,"5,946",3.28,"1,331",7.77,909,9.39,385,3.22,289,9.89,34,-8.11,"90,737",9.47,"18,861",9.81,"69,391",9.76,"13,966",9.73,"18,884",7.82,"4,052",11.41,"1,790",11.67,764,1.87,672,22.18,79,29.51
1990,"76,438",4.79,"19,167",21.56,"171,683",3.94,"37,809",8.87,"328,502",10.63,"72,217",13.16,"22,372",14.44,"6,927",12.01,"17,935",13.87,"6,409",11.00,"4,437",16.79,518,26.34,"402,934",2.02,"103,838",3.80,"202,978",-5.81,"58,361",-3.53,"153,571",13.10,"34,425",19.61,"39,014",4.74,"8,474",0.38,"5,618",14.00,"2,382",10.79,"1,753",18.05,196,16.67,"67,102",11.15,"13,551",14.11,"15,664",11.81,"3,422",7.78,"31,629",14.41,"6,636",24.36,"18,595",4.93,"3,131",1.95,898,23.01,317,17.41,316,18.80,45,95.65,"6,615",3.10,"1,302",1.32,-,--,-,--,"6,136",2.44,"1,247",1.88,420,11.11,49,-12.50,59,22.92,6,20.00,"12,980",6.03,"3,198",21.23,"1,703",34.62,435,97.73,"7,148",3.32,"1,889",16.25,"3,975",0.89,836,10.14,154,29.41,38,11.76,-,--,-,--,"39,871",1.60,"10,661",-7.46,"23,478",-0.80,"6,789",-11.75,"8,872",5.22,"2,090",0.58,"6,191",4.12,"1,366",2.63,"1,006",10.67,382,-0.78,324,12.11,34,0.00,"99,419",9.57,"21,671",14.90,"76,079",9.64,"16,345",17.03,"20,495",8.53,"4,328",6.81,"2,018",12.74,913,19.50,827,23.07,85,7.59
1991,"77,282",1.10,"19,257",0.47,"180,029",4.86,"43,716",15.62,"355,065",8.09,"81,381",12.69,"26,787",19.73,"8,296",19.76,"21,306",18.80,"7,688",19.96,"5,481",23.53,608,17.37,"427,106",6.00,"111,183",7.07,"211,601",4.25,"60,284",3.30,"164,847",7.34,"38,867",12.90,"41,738",6.98,"8,961",5.75,"6,729",19.78,"2,807",17.84,"2,191",24.99,264,34.69,"74,552",11.10,"16,530",21.98,"18,546",18.40,"4,528",32.32,"34,847",10.17,"8,119",22.35,"19,631",5.57,"3,366",7.51,"1,116",24.28,475,49.84,412,30.38,42,-6.67,"6,907",4.41,"1,448",11.21,-,--,-,--,"6,303",2.72,"1,352",8.42,537,27.86,89,81.63,67,13.56,7,16.67,"13,046",0.51,"3,189",-0.28,"1,622",-4.76,434,-0.23,"7,143",-0.07,"1,825",-3.39,"4,078",2.59,889,6.34,203,31.82,41,7.89,-,--,-,--,"41,832",4.92,"10,997",3.15,"24,644",4.97,"7,105",4.65,"8,698",-1.96,"2,112",1.05,"7,027",13.50,"1,311",-4.03,"1,099",9.24,430,12.57,364,12.35,39,14.71,"106,345",6.97,"24,525",13.17,"80,490",5.80,"18,679",14.28,"22,374",9.17,"4,727",9.22,"2,427",20.27,985,7.89,"1,054",27.45,134,57.65
1992,"84,829",9.77,"19,787",2.75,"189,534",5.28,"47,003",7.52,"378,799",6.68,"89,810",10.36,"31,271",16.74,"9,948",19.91,"24,711",15.98,"9,240",20.19,"6,560",19.69,708,16.45,"446,819",4.62,"116,085",4.41,"220,125",4.03,"61,316",1.71,"171,755",4.19,"41,437",6.61,"44,878",7.52,"9,863",10.07,"7,516",11.70,"3,194",13.79,"2,545",16.16,275,4.17,"81,364",9.14,"20,728",25.40,"20,999",13.23,"7,104",56.89,"38,080",9.28,"9,201",13.33,"20,405",3.94,"3,826",13.67,"1,340",20.07,539,13.47,540,31.07,58,38.10,"7,240",4.82,"1,599",10.43,-,--,-,--,"6,513",3.33,"1,397",3.33,659,22.72,185,107.87,68,1.49,17,142.86,"13,425",2.91,"3,376",5.86,"1,648",1.60,601,38.48,"7,407",3.70,"1,899",4.05,"4,095",0.42,805,-9.45,275,35.47,71,73.17,-,--,-,--,"44,669",6.78,"12,282",11.69,"26,004",5.52,"7,390",4.01,"8,693",-0.06,"2,494",18.09,"8,247",17.36,"1,829",39.51,"1,278",16.29,511,18.84,447,22.80,58,48.72,"112,796",6.07,"26,012",6.06,"84,118",4.51,"19,629",5.09,"24,410",9.10,"5,040",6.62,"2,966",22.21,"1,227",24.57,"1,302",23.53,116,-13.43
1993,"88,093",3.85,"20,603",4.12,"200,717",5.90,"52,749",12.22,"400,375",5.70,"99,497",10.79,"35,830",14.58,"11,256",13.15,"28,117",13.78,"10,448",13.07,"7,713",17.58,808,14.12,"462,380",3.48,"127,798",10.09,"225,108",2.26,"66,608",8.63,"177,833",3.54,"46,044",11.12,"47,908",6.75,"11,108",12.62,"8,625",14.76,"3,726",16.66,"2,906",14.18,312,13.45,"86,370",6.15,"20,479",-1.20,"21,794",3.79,"6,257",-11.92,"41,444",8.83,"9,610",4.45,"20,894",2.40,"3,915",2.33,"1,595",19.03,642,19.11,643,19.07,55,-5.17,"7,519",3.85,"1,638",2.44,-,--,-,--,"6,719",3.16,"1,480",5.94,715,8.50,150,-18.92,85,25.00,8,-52.94,"13,570",1.08,"3,656",8.29,"1,561",-5.28,453,-24.63,"7,408",0.01,"2,237",17.80,"4,247",3.71,893,10.93,354,28.73,73,2.82,-,--,-,--,"46,068",3.13,"12,567",2.32,"26,827",3.16,"8,027",8.62,"8,366",-3.76,"2,047",-17.92,"8,974",8.82,"1,859",1.64,"1,407",10.09,574,12.33,494,10.51,60,3.45,"119,585",6.02,"30,286",16.43,"87,554",4.08,"22,636",15.32,"26,833",9.93,"5,969",18.43,"3,551",19.72,"1,508",22.90,"1,647",26.50,173,49.14
1994,"90,496",2.73,"20,908",1.48,"213,134",6.19,"54,718",3.73,"416,550",4.04,"105,995",6.53,"39,227",9.48,"12,554",11.53,"30,832",9.66,"11,706",12.04,"8,395",8.84,848,4.95,"466,749",0.94,"131,398",2.82,"225,529",0.19,"67,497",1.33,"178,548",0.40,"47,201",2.51,"50,161",4.70,"12,107",8.99,"9,397",8.95,"4,220",13.26,"3,114",7.16,373,19.55,"92,494",7.09,"23,301",13.78,"23,850",9.43,"6,872",9.83,"44,213",6.68,"11,412",18.75,"21,943",5.02,"4,301",9.86,"1,774",11.22,652,1.56,714,11.04,64,16.36,"7,846",4.35,"1,552",-5.25,-,--,-,--,"7,011",4.35,"1,395",-5.74,751,5.03,155,3.33,84,-1.18,2,-75.00,"13,548",-0.16,"3,758",2.79,"1,680",7.62,566,24.94,"6,736",-9.07,"2,072",-7.38,"4,790",12.79,"1,011",13.21,342,-3.39,109,49.32,-,--,-,--,"47,658",3.45,"13,362",6.33,"27,250",1.58,"8,370",4.27,"8,622",3.06,"2,046",-0.05,"9,728",8.40,"2,236",20.28,"1,515",7.68,647,12.72,543,9.92,63,5.00,"124,812",4.37,"31,546",4.16,"89,781",2.54,"22,904",1.18,"29,129",8.56,"6,670",11.74,"4,118",15.97,"1,775",17.71,"1,784",8.32,197,13.87
1995,"93,373",3.18,"21,024",0.55,"227,880",6.92,"58,703",7.28,"430,094",3.25,"109,790",3.58,"42,097",7.32,"13,702",9.14,"33,200",7.68,"12,649",8.06,"8,897",5.98,"1,053",24.17,"468,269",0.33,"132,869",1.12,"222,614",-1.29,"67,243",-0.38,"180,011",0.82,"48,234",2.19,"52,508",4.68,"12,517",3.39,"9,987",6.28,"4,440",5.21,"3,149",1.12,435,16.62,"95,847",3.63,"24,682",5.93,"24,809",4.02,"7,771",13.08,"45,085",1.97,"11,822",3.59,"23,165",5.57,"4,253",-1.12,"1,997",12.57,758,16.26,791,10.78,78,21.88,"8,227",4.86,"1,866",20.23,-,--,-,--,"7,319",4.39,"1,685",20.79,806,7.32,176,13.55,102,21.43,5,150.00,"14,393",6.24,"3,669",-2.37,"1,743",3.75,541,-4.42,"6,487",-3.70,"2,046",-1.25,"5,564",16.16,944,-6.63,599,75.15,138,26.61,-,--,-,--,"48,647",2.08,"13,462",0.75,"27,359",0.40,"8,334",-0.43,"9,058",5.06,"2,139",4.55,"10,141",4.25,"2,300",2.86,"1,543",1.85,624,-3.55,546,0.55,65,3.17,"130,695",4.71,"33,354",5.73,"93,715",4.38,"24,047",4.99,"30,732",5.50,"7,106",6.54,"4,403",6.92,"1,989",12.06,"1,845",3.42,212,7.61
1996,"99,477",6.54,"21,413",1.85,"243,810",6.99,"62,137",5.85,"452,260",5.15,"112,834",2.77,"44,873",6.59,"14,503",5.85,"35,508",6.95,"13,316",5.27,"9,365",5.26,"1,187",12.73,"471,973",0.79,"134,721",1.39,"219,558",-1.37,"68,190",1.41,"181,293",0.71,"48,454",0.46,"57,154",8.85,"13,028",4.08,"10,648",6.62,"4,616",3.96,"3,320",5.43,433,-0.46,"102,297",6.73,"25,138",1.85,"24,851",0.17,"8,207",5.61,"49,021",8.73,"11,362",-3.89,"25,440",9.82,"4,614",8.49,"2,136",6.96,858,13.19,849,7.33,97,24.36,"8,348",1.47,"1,863",-0.16,-,--,-,--,"7,403",1.15,"1,669",-0.95,846,4.96,189,7.39,99,-2.94,5,0.00,"15,728",9.28,"3,408",-7.11,"1,944",11.53,545,0.74,"6,372",-1.77,"1,685",-17.64,"6,664",19.77,"1,007",6.67,748,24.87,171,23.91,-,--,-,--,"49,362",1.47,"14,256",5.90,"27,143",-0.79,"8,598",3.17,"9,333",3.04,"2,367",10.66,"10,729",5.80,"2,558",11.22,"1,588",2.92,654,4.81,569,4.21,79,21.54,"137,821",5.45,"34,592",3.71,"96,997",3.50,"24,821",3.22,"34,224",11.36,"7,498",5.52,"4,626",5.06,"2,006",0.85,"1,974",6.99,267,25.94
1997,"109,409",9.98,"29,303",36.85,"267,316",9.64,"66,859",7.60,"479,461",6.01,"119,250",5.69,"48,619",8.35,"15,428",6.38,"38,606",8.72,"14,146",6.23,"10,013",6.92,"1,282",8.00,"474,762",0.59,"138,091",2.50,"214,153",-2.46,"65,683",-3.68,"181,382",0.05,"49,886",2.96,"64,195",12.32,"16,096",23.55,"11,498",7.98,"5,869",27.14,"3,534",6.45,557,28.64,"108,468",6.03,"26,957",7.24,"24,409",-1.78,"7,909",-3.63,"52,417",6.93,"12,604",10.93,"28,447",11.82,"5,694",23.41,"2,275",6.51,676,-21.21,920,8.36,74,-23.71,"8,856",6.09,"1,910",2.52,-,--,-,--,"7,853",6.08,"1,702",1.98,892,5.44,197,4.23,111,12.12,11,120.00,"18,105",15.11,"5,075",48.91,"2,283",17.44,962,76.51,"6,869",7.80,"1,827",8.43,"8,047",20.75,"2,051",103.67,906,21.12,235,37.43,-,--,-,--,"49,769",0.82,"14,123",-0.93,"26,367",-2.86,"8,432",-1.93,"9,419",0.92,"2,284",-3.51,"11,639",8.48,"2,691",5.20,"1,718",8.19,642,-1.83,626,10.02,74,-6.33,"147,687",7.16,"36,716",6.14,"101,110",4.24,"25,602",3.15,"39,466",15.32,"8,483",13.14,"5,070",9.60,"2,363",17.80,"2,041",3.39,268,0.37
1998,"128,263",17.23,"25,549",-12.81,"284,884",6.57,"73,069",9.29,"502,774",4.86,"126,012",5.67,"53,870",10.80,"16,323",5.80,"43,025",11.45,"15,016",6.15,"10,845",8.31,"1,307",1.95,"495,352",4.34,"141,189",2.24,"206,199",-3.71,"65,764",0.12,"187,920",3.60,"49,971",0.17,"81,964",27.68,"18,671",16.00,"14,700",27.85,"6,212",5.84,"4,569",29.29,571,2.51,"111,499",2.79,"28,372",5.25,"24,075",-1.37,"7,914",0.06,"51,300",-2.13,"13,117",4.07,"33,243",16.86,"6,517",14.45,"2,078",-8.66,723,6.95,803,-12.72,101,36.49,"9,247",4.42,"1,836",-3.87,-,--,-,--,"8,192",4.32,"1,656",-2.70,942,5.61,171,-13.20,113,1.80,9,-18.18,"21,731",20.03,"5,052",-0.45,"3,890",70.39,970,0.83,"7,032",2.37,"1,974",8.05,"9,786",21.61,"1,884",-8.14,"1,023",12.91,224,-4.68,-,--,-,--,"49,875",0.21,"14,302",1.27,"25,778",-2.23,"8,073",-4.26,"9,589",1.80,"2,478",8.49,"12,156",4.44,"3,009",11.82,"1,707",-0.64,671,4.52,645,3.04,71,-4.05,"162,785",10.22,"40,722",10.91,"108,947",7.75,"28,065",9.62,"45,540",15.39,"9,893",16.62,"6,016",18.66,"2,494",5.54,"2,282",11.81,270,0.75
1999,"143,490",11.87,"29,463",15.32,"320,915",12.65,"82,429",12.81,"529,878",5.39,"135,998",7.92,"67,233",24.81,"18,212",11.57,"54,980",27.79,"16,757",11.59,"12,253",12.98,"1,455",11.32,"494,304",-0.21,"143,977",1.97,"196,300",-4.80,"63,789",-3.00,"176,192",-6.24,"50,942",1.94,"99,172",20.99,"21,833",16.94,"17,454",18.73,"6,795",9.39,"5,186",13.50,606,6.13,"115,598",3.68,"29,259",3.13,"22,574",-6.23,"7,659",-3.22,"50,331",-1.89,"12,917",-1.52,"39,254",18.08,"7,739",18.75,"2,531",21.80,842,16.46,908,13.08,102,0.99,"10,018",8.34,"1,870",1.85,-,--,-,--,"8,821",7.68,"1,670",0.85,"1,078",14.44,187,9.36,119,5.31,13,44.44,"23,515",8.21,"5,369",6.27,"3,188",-18.05,976,0.62,"7,068",0.51,"2,003",1.47,"11,807",20.65,"2,063",9.50,"1,452",41.94,327,45.98,-,--,-,--,"49,660",-0.43,"14,243",-0.41,"24,817",-3.73,"7,768",-3.78,"9,171",-4.36,"2,512",1.37,"13,037",7.25,"3,210",6.68,"1,948",14.12,668,-0.45,687,6.51,85,19.72,"178,296",9.53,"46,702",14.68,"111,479",2.32,"31,108",10.84,"56,418",23.89,"12,360",24.94,"7,808",29.79,"2,932",17.56,"2,591",13.54,302,11.85
2000,"160,181",11.63,"33,137",12.47,"358,502",11.71,"87,762",6.47,"573,419",8.22,"145,662",7.11,"83,861",24.73,"22,215",21.98,"70,039",27.39,"20,752",23.84,"13,822",12.81,"1,463",0.55,"494,903",0.12,"144,738",0.53,"179,620",-8.50,"59,666",-6.46,"160,987",-8.63,"47,075",-7.59,"127,612",28.68,"29,430",34.80,"20,778",19.04,"7,977",17.40,"5,810",12.03,590,-2.64,"123,013",6.41,"31,318",7.04,"18,615",-17.54,"7,058",-7.85,"52,646",4.60,"12,978",0.47,"47,553",21.14,"10,150",31.15,"3,156",24.69,"1,022",21.38,"1,043",14.87,110,7.84,"10,951",9.31,"2,025",8.29,-,--,-,--,"9,517",7.89,"1,818",8.86,"1,312",21.71,200,6.95,122,2.52,7,-46.15,"26,234",11.56,"6,007",11.88,"3,049",-4.36,"1,064",9.02,"6,959",-1.54,"2,047",2.20,"14,077",19.23,"2,463",19.39,"2,123",46.21,433,32.42,26,--,-,--,"47,905",-3.53,"13,886",-2.51,"22,475",-9.44,"7,617",-1.94,"7,508",-18.13,"2,260",-10.03,"14,761",13.22,"3,169",-1.28,"2,410",23.72,757,13.32,751,9.32,83,-2.35,"198,767",11.48,"51,031",9.27,"109,325",-1.93,"30,447",-2.12,"76,768",36.07,"16,754",35.55,"9,853",26.19,"3,544",20.87,"2,821",8.88,286,-5.30
2001,"176,872",10.42,"37,791",14.04,"398,560",11.17,"99,194",13.03,"611,793",6.69,"159,899",9.77,"103,213",23.08,"27,401",23.34,"87,251",24.57,"25,900",24.81,"15,962",15.48,"1,501",2.60,"486,776",-1.64,"147,072",1.61,"159,718",-11.08,"55,656",-6.72,"136,344",-15.31,"43,328",-7.96,"159,963",25.35,"38,436",30.60,"24,020",15.60,"9,042",13.35,"6,731",15.85,610,3.39,"129,164",5.00,"32,805",4.75,"14,025",-24.66,"6,386",-9.52,"54,943",4.36,"13,547",4.38,"55,290",16.27,"11,488",13.18,"3,689",16.89,"1,248",22.11,"1,217",16.68,136,23.64,"12,203",11.43,"2,251",11.16,50,--,-,--,"10,313",8.36,"1,984",9.13,"1,704",29.88,256,28.00,136,11.48,11,57.14,"29,408",12.10,"6,915",15.12,"3,071",0.72,899,-15.51,"6,244",-10.27,"2,110",3.08,"17,201",22.19,"3,275",32.97,"2,829",33.25,631,45.73,63,142.31,-,--,"46,297",-3.36,"13,863",-0.17,"19,831",-11.76,"7,130",-6.39,"5,928",-21.04,"2,215",-1.99,"16,978",15.02,"3,529",11.36,"2,769",14.90,897,18.49,791,5.33,92,10.84,"217,594",9.47,"58,148",13.95,"100,301",-8.25,"30,094",-1.16,"101,757",32.55,"23,323",39.21,"12,366",25.50,"4,445",25.42,"3,170",12.37,286,0.00
2002,"189,405",7.09,"42,089",11.37,"425,419",6.74,"110,361",11.26,"625,468",2.24,"166,417",4.08,"122,130",18.33,"32,615",19.03,"103,425",18.54,"30,856",19.14,"18,705",17.18,"1,759",17.19,"468,918",-3.67,"141,690",-3.66,"145,134",-9.13,"48,501",-12.86,"106,065",-22.21,"36,958",-14.70,"181,767",13.63,"45,187",17.56,"28,221",17.49,"10,300",13.91,"7,731",14.86,744,21.97,"130,376",0.94,"32,953",0.45,"9,773",-30.32,"4,182",-34.51,"54,553",-0.71,"12,948",-4.42,"60,219",8.91,"14,258",24.11,"4,364",18.30,"1,440",15.38,"1,467",20.54,125,-8.09,"13,470",10.38,"2,229",-0.98,98,96.00,-,--,"11,061",7.25,"1,897",-4.39,"2,158",26.64,320,25.00,153,12.50,12,9.09,"32,419",10.24,"7,588",9.73,"2,990",-2.64,953,6.01,"5,639",-9.69,"1,654",-21.61,"19,951",15.99,"4,186",27.82,"3,722",31.57,795,25.99,117,85.71,-,--,"43,309",-6.45,"12,118",-12.59,"16,722",-15.68,"5,559",-22.03,"4,330",-26.96,"1,486",-32.91,"18,387",8.30,"4,013",13.71,"3,050",10.15,969,8.03,820,3.67,91,-1.09,"229,982",5.69,"62,339",7.21,"86,269",-13.99,"27,239",-9.49,"124,982",22.82,"29,384",25.99,"15,119",22.26,"5,385",21.15,"3,612",13.94,331,15.73
2003,"200,489",5.85,"44,498",5.72,"437,432",2.82,"112,261",1.72,"632,273",1.09,"165,049",-0.82,"143,567",17.55,"37,945",16.34,"121,909",17.87,"35,981",16.61,"21,658",15.79,"1,964",11.65,"460,453",-1.81,"130,670",-7.78,"140,347",-3.30,"41,579",-14.27,"81,077",-23.56,"28,477",-22.95,"197,308",8.55,"47,914",6.03,"32,776",16.14,"11,875",15.29,"8,945",15.70,825,10.89,"127,681",-2.07,"31,457",-4.54,"6,576",-32.71,"2,922",-30.13,"53,073",-2.71,"12,441",-3.92,"61,116",1.49,"14,277",0.13,"5,147",17.94,"1,659",15.21,"1,769",20.59,158,26.40,"15,075",11.92,"2,817",26.38,123,25.51,-,--,"12,103",9.42,"2,366",24.72,"2,671",23.77,445,39.06,178,16.34,6,-50.00,"35,446",9.34,"7,858",3.56,"2,977",-0.43,851,-10.70,"5,292",-6.15,"1,559",-5.74,"22,377",12.16,"4,546",8.60,"4,631",24.42,921,15.85,169,44.44,1,--,"42,672",-1.47,"12,483",3.01,"15,157",-9.36,"4,938",-11.17,"3,233",-25.33,"1,431",-3.70,"20,372",10.80,"4,986",24.25,"3,094",1.44,"1,018",5.06,816,-0.49,110,20.88,"236,083",2.65,"63,851",2.43,"72,290",-16.20,"22,981",-15.63,"141,546",13.25,"34,179",16.32,"18,125",19.88,"6,322",17.40,"4,122",14.12,369,11.48
