期間,對金融機構放款--居住民_原始值,對金融機構放款--居住民_年增率(%),對金融機構放款--非居住民_原始值,對金融機構放款--非居住民_年增率(%),證券投資_原始值,證券投資_年增率(%),對金融機構債權--小計_原始值,對金融機構債權--小計_年增率(%),對金融機構債權--外匯指定銀行_原始值,對金融機構債權--外匯指定銀行_年增率(%),對金融機構債權--OBU相互間_原始值,對金融機構債權--OBU相互間_年增率(%),對金融機構債權--國外金融機構_原始值,對金融機構債權--國外金融機構_年增率(%),其他資產_原始值,其他資產_年增率(%),資產合計=負債合計_原始值,資產合計=負債合計_年增率(%),非金融機構存款_原始值,非金融機構存款_年增率(%),對金融機構負債--小計_原始值,對金融機構負債--小計_年增率(%),對金融機構負債--國內金融機構_原始值,對金融機構負債--國內金融機構_年增率(%),對金融機構負債--OBU相互間_原始值,對金融機構負債--OBU相互間_年增率(%),對金融機構負債--國外金融機構_原始值,對金融機構負債--國外金融機構_年增率(%),證券發行_原始值,證券發行_年增率(%),其他負債_原始值,其他負債_年增率(%)
1998M02,"1,920",36.17,"10,045",41.52,"3,887",39.07,"20,271",-12.82,"6,530",-34.99,"3,226",13.27,"10,515",1.49,"2,017",-20.72,"38,140",2.80,"4,972",75.07,"29,628",-3.27,"11,447",1.47,"3,031",9.58,"15,150",-8.64,"1,097",14.15,"2,443",-8.50
1998M03,"1,947",24.49,"10,151",41.06,"3,821",24.75,"20,458",-16.00,"6,719",-34.37,"3,047",-5.23,"10,692",-1.94,"1,758",-22.21,"38,135",-0.79,"4,983",63.11,"29,704",-6.98,"11,120",-0.46,"2,830",-10.04,"15,754",-10.57,"1,082",12.71,"2,366",-5.02
1998M04,"2,028",28.60,"10,896",45.73,"4,176",28.29,"19,182",-17.42,"6,788",-37.12,"2,830",-10.95,"9,564",3.35,"1,845",-24.66,"38,127",0.37,"5,113",64.62,"29,266",-5.78,"11,312",6.12,"2,576",-16.63,"15,378",-11.17,"1,382",20.70,"2,366",-11.49
1998M05,"2,015",25.62,"11,108",42.81,"4,176",21.40,"18,644",-22.30,"7,196",-33.82,"2,736",-27.91,"8,712",-6.57,"1,924",-30.79,"37,867",-4.37,"5,044",56.16,"28,793",-9.48,"10,936",5.38,"2,527",-31.87,"15,330",-13.49,"1,382",17.92,"2,648",-21.82
1998M06,"2,262",35.94,"11,339",35.99,"4,209",11.61,"18,775",-16.70,"6,664",-36.31,"2,571",-24.05,"9,540",9.78,"2,090",-32.36,"38,675",-1.85,"5,181",53.88,"29,271",-4.42,"11,762",15.40,"2,328",-28.55,"15,181",-11.62,"1,382",9.08,"2,841",-31.41
1998M07,"2,359",31.49,"11,408",35.13,"4,214",14.48,"19,394",-15.56,"6,700",-35.16,"2,947",-26.75,"9,747",13.17,"2,331",-15.36,"39,706",0.17,"5,531",54.80,"29,879",-5.27,"11,978",16.67,"2,700",-29.61,"15,201",-12.83,"1,382",19.45,"2,914",-13.51
1998M08,"2,394",21.15,"11,689",32.47,"4,268",12.82,"18,789",-15.10,"6,360",-33.49,"2,976",-25.45,"9,453",10.23,"3,200",2.17,"40,340",1.24,"5,715",41.74,"29,282",-5.09,"11,391",23.19,"2,729",-28.58,"15,162",-14.74,"1,382",17.42,"3,961",4.65
1998M09,"2,421",18.91,"11,839",31.31,"4,244",9.69,"20,264",-8.01,"6,139",-31.01,"3,407",-14.68,"10,718",17.30,"3,354",23.90,"42,122",6.22,"6,315",48.83,"30,441",-1.38,"13,279",42.16,"3,162",-17.09,"14,000",-20.96,"1,382",21.02,"3,984",17.00
1998M10,"2,491",16.51,"11,875",30.61,"4,370",13.39,"21,438",1.09,"6,363",-22.98,"3,756",2.01,"11,319",22.21,"2,861",5.53,"43,035",10.34,"6,172",43.57,"31,845",5.51,"13,750",36.87,"3,507",-0.54,"14,588",-12.18,"1,382",14.03,"3,636",9.95
1998M11,"2,535",14.45,"11,823",27.94,"4,333",9.67,"19,947",-5.40,"5,864",-28.82,"3,065",-5.98,"11,018",14.91,"2,841",4.95,"41,479",5.81,"6,209",41.63,"30,122",-0.37,"12,866",29.37,"2,807",-8.18,"14,449",-16.15,"1,382",13.09,"3,766",12.05
1998M12,"2,678",44.99,"11,871",20.04,"4,223",8.70,"19,174",-3.86,"6,206",-19.93,"2,771",-14.16,"10,197",13.76,"2,686",-24.59,"40,632",3.85,"6,241",37.13,"29,470",0.79,"11,583",17.64,"2,504",-17.36,"15,383",-5.99,"1,382",17.42,"3,539",-14.91
1999M01,"2,694",43.99,"11,961",18.37,"4,170",8.31,"19,697",-3.69,"6,424",-16.09,"3,065",-12.75,"10,208",9.98,"2,761",25.73,"41,283",7.30,"6,246",38.00,"30,410",0.87,"13,773",26.32,"2,801",-15.40,"13,836",-13.17,"1,382",20.49,"3,245",22.36
1999M02,"2,681",39.64,"11,798",17.45,"4,230",8.82,"18,582",-8.33,"5,889",-9.82,"2,721",-15.65,"9,972",-5.16,"3,043",50.87,"40,334",5.75,"6,341",27.53,"29,062",-1.91,"13,926",21.66,"2,468",-18.57,"12,668",-16.38,"1,382",25.98,"3,549",45.27
1999M03,"2,698",38.57,"11,855",16.79,"4,253",11.31,"17,881",-12.60,"5,505",-18.07,"2,480",-18.61,"9,896",-7.44,"2,850",62.12,"39,537",3.68,"6,547",31.39,"28,886",-2.75,"14,317",28.75,"2,247",-20.60,"12,322",-21.78,"1,354",25.14,"2,750",16.23
1999M04,"2,791",37.62,"11,864",8.88,"4,276",2.39,"19,284",0.53,"6,116",-9.90,"2,932",3.60,"10,236",7.03,"2,817",52.68,"41,032",7.62,"6,729",31.61,"29,885",2.12,"15,188",34.26,"2,701",4.85,"11,996",-21.99,"1,309",-5.28,"3,109",31.40
1999M05,"2,814",39.65,"11,989",7.93,"4,248",1.72,"17,300",-7.21,"5,535",-23.08,"2,375",-13.19,"9,390",7.78,"2,617",36.02,"38,968",2.91,"6,844",35.69,"27,964",-2.88,"14,430",31.95,"2,147",-15.04,"11,387",-25.72,"1,309",-5.28,"2,851",7.67
1999M06,"2,875",27.10,"12,250",8.03,"4,084",-2.97,"17,797",-5.21,"6,301",-5.45,"2,176",-15.36,"9,320",-2.31,"2,378",13.78,"39,384",1.83,"6,862",32.45,"28,528",-2.54,"15,753",33.93,"1,969",-15.42,"10,806",-28.82,"1,309",-5.28,"2,685",-5.49
1999M07,"2,868",21.58,"12,560",10.10,"3,937",-6.57,"17,957",-7.41,"5,864",-12.48,"2,028",-31.18,"10,065",3.26,"2,555",9.61,"39,877",0.43,"7,352",32.92,"28,502",-4.61,"16,261",35.76,"1,855",-31.30,"10,386",-31.68,"1,309",-5.28,"2,714",-6.86
1999M08,"2,912",21.64,"12,445",6.47,"3,788",-11.25,"19,199",2.18,"6,311",-0.77,"2,361",-20.67,"10,527",11.36,"3,183",-0.53,"41,527",2.94,"7,253",26.91,"29,575",1.00,"17,056",49.73,"2,138",-21.66,"10,381",-31.53,"1,309",-5.28,"3,390",-14.42
1999M09,"2,980",23.09,"12,387",4.63,"3,707",-12.65,"20,718",2.24,"6,849",11.57,"2,555",-25.01,"11,314",5.56,"2,519",-24.90,"42,311",0.45,"7,367",16.66,"30,795",1.16,"17,905",34.84,"2,322",-26.57,"10,568",-24.51,"1,309",-5.28,"2,840",-28.71
1999M10,"3,150",26.46,"12,173",2.51,"3,656",-16.34,"19,894",-7.20,"6,522",2.50,"2,714",-27.74,"10,658",-5.84,"2,872",0.38,"41,745",-3.00,"7,661",24.13,"29,634",-6.94,"17,363",26.28,"2,468",-29.63,"9,803",-32.80,"1,309",-5.28,"3,141",-13.61
1999M11,"3,277",29.27,"12,351",4.47,"3,549",-18.09,"21,257",6.57,"6,965",18.78,"2,683",-12.46,"11,609",5.36,"2,721",-4.22,"43,155",4.04,"7,733",24.55,"30,919",2.65,"18,701",45.35,"2,449",-12.75,"9,769",-32.39,"1,329",-3.84,"3,174",-15.72
1999M12,"3,379",26.18,"12,434",4.74,"4,273",1.18,"18,911",-1.37,"7,136",14.99,"1,851",-33.20,"9,924",-2.68,"2,271",-15.45,"41,268",1.57,"8,004",28.25,"30,670",4.07,"18,289",57.90,"1,842",-26.44,"10,539",-31.49,0,-100.00,"2,594",-26.70
2000M01,"3,364",24.87,"12,550",4.92,"4,236",1.58,"21,394",8.62,"7,721",20.19,"2,272",-25.87,"11,401",11.69,"2,251",-18.47,"43,795",6.08,"7,537",20.67,"33,779",11.08,"20,569",49.34,"2,263",-19.21,"10,947",-20.88,0,-100.00,"2,479",-23.61
2000M02,"3,308",23.39,"12,331",4.52,"4,197",-0.78,"20,759",11.72,"7,507",27.47,"2,682",-1.43,"10,570",6.00,"2,266",-25.53,"42,861",6.27,"7,683",21.16,"33,299",14.58,"20,037",43.88,"2,680",8.59,"10,582",-16.47,0,-100.00,"1,879",-47.06
2000M03,"3,295",22.13,"12,468",5.17,"4,194",-1.39,"20,069",12.24,"6,930",25.89,"2,010",-18.95,"11,129",12.46,"1,780",-37.54,"41,806",5.74,"7,770",18.68,"32,063",11.00,"18,832",31.54,"2,058",-8.41,"11,173",-9.32,0,-100.00,"1,973",-28.25
2000M04,"3,183",14.05,"12,613",6.31,"4,062",-5.00,"19,130",-0.80,"8,438",37.97,"1,825",-37.76,"8,867",-13.37,"1,738",-38.30,"40,726",-0.75,"7,923",17.74,"30,802",3.07,"16,426",8.15,"1,877",-30.51,"12,499",4.19,0,-100.00,"2,001",-35.64
2000M05,"3,102",10.23,"12,774",6.55,"4,042",-4.85,"19,604",13.32,"7,665",38.48,"1,886",-20.59,"10,053",7.06,"2,831",8.18,"42,353",8.69,"8,155",19.16,"31,114",11.26,"16,598",15.02,"1,943",-9.50,"12,573",10.42,0,-100.00,"3,084",8.17
2000M06,"3,116",8.38,"12,825",4.69,"3,864",-5.39,"20,228",13.66,"7,223",14.63,"1,957",-10.06,"11,048",18.54,"2,285",-3.91,"42,318",7.45,"8,428",22.82,"31,166",9.25,"17,645",12.01,"1,965",-0.20,"11,556",6.94,0,-100.00,"2,724",1.45
2000M07,"3,171",10.56,"13,044",3.85,"3,815",-3.10,"18,997",5.79,"7,448",27.01,"1,848",-8.88,"9,701",-3.62,"2,544",-0.43,"41,571",4.25,"8,817",19.93,"29,753",4.39,"16,211",-0.31,"1,851",-0.22,"11,691",12.56,0,-100.00,"3,001",10.57
2000M08,"3,133",7.59,"13,672",9.86,"3,802",0.37,"18,930",-1.40,"7,098",12.47,"1,575",-33.29,"10,257",-2.56,"2,782",-12.60,"42,319",1.91,"9,229",27.24,"29,781",0.70,"17,031",-0.15,"1,582",-26.01,"11,168",7.58,0,-100.00,"3,309",-2.39
2000M09,"3,195",7.21,"13,569",9.54,"3,797",2.43,"19,927",-3.82,"6,520",-4.80,"1,424",-44.27,"11,983",5.91,"2,188",-13.14,"42,676",0.86,"9,827",33.39,"30,017",-2.53,"17,957",0.29,"1,433",-38.29,"10,627",0.56,0,-100.00,"2,832",-0.28
2000M10,"3,244",2.98,"13,576",11.53,"3,792",3.72,"24,037",20.83,"8,823",35.28,"2,149",-20.82,"13,065",22.58,"2,158",-24.86,"46,807",12.13,"10,096",31.78,"33,875",14.31,"20,165",16.14,"2,151",-12.84,"11,559",17.91,0,-100.00,"2,836",-9.71
2000M11,"3,218",-1.80,"13,623",10.30,"3,840",8.20,"24,453",15.04,"6,853",-1.61,"1,568",-41.56,"16,032",38.10,"2,285",-16.02,"47,419",9.88,"10,628",37.44,"33,851",9.48,"23,747",26.98,"1,572",-35.81,"8,532",-12.66,0,-100.00,"2,940",-7.37
2000M12,"3,281",-2.90,"13,769",10.74,"3,831",-10.34,"24,528",29.70,"5,927",-16.94,"1,957",5.73,"16,644",67.71,"1,928",-15.10,"47,337",14.71,"10,654",33.11,"34,119",11.25,"26,726",46.13,"1,960",6.41,"5,433",-48.45,0,--,"2,564",-1.16
2001M01,"3,260",-3.09,"13,733",9.43,"3,893",-8.10,"25,323",18.36,"6,694",-13.30,"2,067",-9.02,"16,562",45.27,"2,003",-11.02,"48,212",10.09,"10,825",43.62,"34,981",3.56,"27,576",34.07,"2,059",-9.01,"5,346",-51.16,0,--,"2,406",-2.94
2001M02,"3,213",-2.87,"13,501",9.49,"4,039",-3.76,"26,439",27.36,"6,968",-7.18,"1,895",-29.34,"17,576",66.28,"1,844",-18.62,"49,036",14.41,"10,660",38.75,"36,014",8.15,"28,309",41.28,"1,915",-28.54,"5,790",-45.28,0,--,"2,362",25.71
2001M03,"3,215",-2.43,"13,228",6.10,"4,027",-3.98,"26,569",32.39,"6,923",-0.10,"1,510",-24.88,"18,136",62.96,"1,675",-5.90,"48,714",16.52,"10,952",40.95,"35,485",10.67,"29,316",55.67,"1,509",-26.68,"4,660",-58.29,0,--,"2,277",15.41
2001M04,"3,206",0.72,"13,114",3.97,"4,087",0.62,"27,911",45.90,"7,372",-12.63,"1,859",1.86,"18,680",110.67,"1,554",-10.59,"49,872",22.46,"11,251",42.00,"36,422",18.25,"30,163",83.63,"1,862",-0.80,"4,397",-64.82,0,--,"2,199",9.90
2001M05,"3,171",2.22,"13,226",3.54,"4,158",2.87,"28,831",47.07,"7,532",-1.74,"1,728",-8.38,"19,571",94.68,"1,422",-49.77,"50,808",19.96,"11,334",38.98,"37,303",19.89,"29,983",80.64,"1,728",-11.07,"5,592",-55.52,0,--,"2,171",-29.60
2001M06,"3,209",2.98,"13,192",2.86,"4,192",8.49,"31,192",54.20,"7,538",4.36,"1,730",-11.60,"21,924",98.44,"1,438",-37.07,"53,223",25.77,"11,444",35.79,"39,503",26.75,"31,899",80.78,"1,731",-11.91,"5,873",-49.18,0,--,"2,276",-16.45
2001M07,"3,192",0.66,"13,151",0.82,"4,325",13.37,"32,931",73.35,"7,643",2.62,"2,152",16.45,"23,136",138.49,"1,289",-49.33,"54,888",32.03,"11,645",32.07,"41,300",38.81,"33,489",106.58,"2,151",16.21,"5,660",-51.59,0,--,"1,943",-35.25
2001M08,"3,154",0.67,"12,877",-5.81,"4,259",12.02,"33,204",75.40,"8,717",22.81,"1,982",25.84,"22,505",119.41,"1,686",-39.40,"55,180",30.39,"12,091",31.01,"40,943",37.48,"33,032",93.95,"1,975",24.84,"5,936",-46.85,0,--,"2,146",-35.15
2001M09,"3,194",-0.03,"12,940",-4.64,"4,162",9.61,"33,932",70.28,"10,420",59.82,"1,784",25.28,"21,728",81.32,"1,494",-31.72,"55,722",30.57,"12,004",22.15,"41,512",38.29,"32,971",83.61,"1,779",24.15,"6,762",-36.37,0,--,"2,206",-22.10
2001M10,"3,109",-4.16,"12,664",-6.72,"4,156",9.60,"34,221",42.37,"8,959",1.54,"1,953",-9.12,"23,309",78.41,"1,371",-36.47,"55,521",18.62,"12,214",20.98,"41,246",21.76,"33,340",65.34,"1,944",-9.62,"5,962",-48.42,0,--,"2,061",-27.33
2001M11,"3,081",-4.26,"12,635",-7.25,"4,250",10.68,"32,673",33.62,"7,596",10.84,"2,058",31.25,"23,019",43.58,"1,432",-37.33,"54,071",14.03,"12,532",17.91,"39,344",16.23,"31,312",31.86,"2,061",31.11,"5,971",-30.02,0,--,"2,195",-25.34
2001M12,"2,985",-9.02,"12,736",-7.50,"4,206",9.79,"29,773",21.38,"7,601",28.24,"1,974",0.87,"20,198",21.35,"1,206",-37.45,"50,906",7.54,"12,429",16.66,"36,522",7.04,"29,610",10.79,"1,974",0.71,"4,938",-9.11,0,--,"1,955",-23.75
2002M01,"2,921",-10.40,"12,760",-7.09,"4,466",14.72,"29,697",17.27,"8,215",22.72,"2,171",5.03,"19,311",16.60,"1,390",-30.60,"51,234",6.27,"12,645",16.81,"36,649",4.77,"30,204",9.53,"2,163",5.05,"4,282",-19.90,0,--,"1,940",-19.37
2002M02,"2,873",-10.58,"12,510",-7.34,"4,653",15.20,"30,217",14.29,"8,095",16.17,"1,991",5.07,"20,131",14.54,"1,287",-30.21,"51,540",5.11,"12,900",21.01,"36,683",1.86,"29,628",4.66,"1,996",4.23,"5,059",-12.63,0,--,"1,957",-17.15
2002M03,"2,853",-11.26,"12,631",-4.51,"4,844",20.29,"30,705",15.57,"8,302",19.92,"1,897",25.63,"20,506",13.07,"1,511",-9.79,"52,544",7.86,"13,191",20.44,"37,178",4.77,"30,748",4.88,"1,888",25.12,"4,542",-2.53,0,--,"2,175",-4.48
2002M04,"2,889",-9.89,"12,511",-4.60,"4,972",21.65,"28,862",3.41,"8,984",21.87,"2,060",10.81,"17,818",-4.61,"1,373",-11.65,"50,607",1.47,"13,229",17.58,"35,322",-3.02,"28,378",-5.92,"2,057",10.47,"4,887",11.14,0,--,"2,056",-6.50
2002M05,"2,866",-9.62,"12,579",-4.89,"5,108",22.85,"28,968",0.48,"10,099",34.08,"2,025",17.19,"16,844",-13.93,"1,377",-3.16,"50,898",0.18,"13,170",16.20,"35,621",-4.51,"28,748",-4.12,"2,018",16.78,"4,855",-13.18,0,--,"2,107",-2.95
2002M06,"2,851",-11.16,"12,792",-3.03,"5,180",23.57,"28,974",-7.11,"10,830",43.67,"2,061",19.13,"16,083",-26.64,"1,347",-6.33,"51,144",-3.91,"13,028",13.84,"36,107",-8.60,"28,578",-10.41,"2,057",18.83,"5,472",-6.83,0,--,"2,009",-11.73
2002M07,"2,959",-7.30,"12,838",-2.38,"5,371",24.18,"31,066",-5.66,"12,838",67.97,"2,214",2.88,"16,014",-30.78,"1,509",17.07,"53,743",-2.09,"12,732",9.33,"38,586",-6.57,"29,547",-11.77,"2,222",3.30,"6,817",20.44,0,--,"2,425",24.81
2002M08,"2,986",-5.33,"12,637",-1.86,"5,674",33.22,"24,303",-26.81,"10,564",21.19,"1,707",-13.87,"12,032",-46.54,"1,746",3.56,"47,346",-14.20,"13,063",8.04,"31,819",-22.28,"23,595",-28.57,"1,716",-13.11,"6,508",9.64,0,--,"2,464",14.82
2002M09,"2,930",-8.27,"12,637",-2.34,"5,701",36.98,"26,218",-22.73,"11,424",9.64,"2,167",21.47,"12,627",-41.89,"1,457",-2.48,"48,943",-12.17,"13,214",10.08,"33,544",-19.19,"24,927",-24.40,"2,160",21.42,"6,457",-4.51,0,--,"2,185",-0.95
2002M10,"2,919",-6.11,"12,508",-1.23,"5,731",37.90,"25,843",-24.48,"11,153",24.49,"2,061",5.53,"12,629",-45.82,"1,481",8.02,"48,482",-12.68,"13,679",11.99,"32,603",-20.95,"23,973",-28.10,"2,062",6.07,"6,568",10.16,0,--,"2,200",6.74
2002M11,"2,935",-4.74,"12,444",-1.51,"5,884",38.45,"26,491",-18.92,"12,307",62.02,"1,810",-12.05,"12,374",-46.24,"1,807",26.19,"49,561",-8.34,"14,181",13.16,"32,770",-16.71,"24,170",-22.81,"1,801",-12.62,"6,799",13.87,0,--,"2,610",18.91
2002M12,"2,899",-2.88,"12,261",-3.73,"5,896",40.18,"27,454",-7.79,"11,857",55.99,"1,212",-38.60,"14,385",-28.78,"1,808",49.92,"50,318",-1.16,"14,326",15.26,"33,443",-8.43,"25,411",-14.18,"1,217",-38.35,"6,815",38.01,0,--,"2,549",30.38
2003M01,"2,920",-0.03,"12,183",-4.52,"6,189",38.58,"27,697",-6.73,"15,382",87.24,"1,743",-19.71,"10,572",-45.25,"1,763",26.83,"50,752",-0.94,"14,355",13.52,"34,013",-7.19,"25,953",-14.07,"1,753",-18.96,"6,307",47.29,-,-,"2,384",22.89
2003M02,"2,965",3.20,"12,116",-3.15,"6,403",37.61,"28,346",-6.19,"13,663",68.78,"1,779",-10.65,"12,904",-35.90,"1,765",37.14,"51,595",0.11,"14,577",13.00,"34,520",-5.90,"26,127",-11.82,"1,782",-10.72,"6,611",30.68,-,-,"2,498",27.64
2003M03,"2,921",2.38,"12,307",-2.57,"6,708",38.48,"30,305",-1.30,"14,002",68.66,"1,902",0.26,"14,401",-29.77,"1,860",23.10,"54,101",2.96,"14,936",13.23,"36,543",-1.71,"27,418",-10.83,"1,901",0.69,"7,224",59.05,-,-,"2,622",20.55
2003M04,"2,936",1.63,"12,310",-1.61,"6,751",35.78,"29,053",0.66,"14,562",62.09,"1,351",-34.42,"13,140",-26.25,"1,984",44.50,"53,034",4.80,"14,870",12.40,"34,955",-1.04,"25,302",-10.84,"1,347",-34.52,"8,306",69.96,-,-,"3,209",56.08
2003M05,"2,947",2.83,"12,446",-1.06,"7,043",37.88,"29,531",1.94,"14,643",44.99,"1,592",-21.38,"13,296",-21.06,"2,035",47.79,"54,002",6.10,"15,244",15.75,"35,878",0.72,"25,972",-9.66,"1,592",-21.11,"8,314",71.25,-,-,"2,880",36.69
2003M06,"2,953",3.58,"12,490",-2.36,"6,853",32.30,"30,135",4.01,"15,314",41.40,"1,731",-16.01,"13,090",-18.61,"1,845",36.97,"54,276",6.12,"15,593",19.69,"35,994",-0.31,"25,666",-10.19,"1,730",-15.90,"8,598",57.13,-,-,"2,689",33.85
2003M07,"2,988",0.98,"12,656",-1.42,"6,982",29.99,"30,993",-0.23,"15,254",18.82,"1,534",-30.71,"14,205",-11.30,"1,994",32.14,"55,613",3.48,"16,041",25.99,"36,817",-4.58,"26,470",-10.41,"1,539",-30.74,"8,808",29.21,-,-,"2,755",13.61
2003M08,"2,936",-1.67,"12,831",1.54,"7,146",25.94,"30,974",27.45,"12,703",20.25,"1,712",0.29,"16,559",37.62,"1,862",6.64,"55,749",17.75,"16,241",24.33,"36,870",15.87,"26,347",11.66,"1,712",-0.23,"8,811",35.39,-,-,"2,638",7.06
2003M09,"2,942",0.41,"12,832",1.54,"7,524",31.98,"31,924",21.76,"16,341",43.04,"1,726",-20.35,"13,857",9.74,"2,508",72.13,"57,730",17.95,"16,196",22.57,"38,263",14.07,"26,836",7.66,"1,717",-20.51,"9,710",50.38,-,-,"3,271",49.70
2003M10,"2,941",0.75,"12,482",-0.21,"7,430",29.65,"32,325",25.08,"15,343",37.57,"2,151",4.37,"14,831",17.44,"3,019",103.85,"58,197",20.04,"16,166",18.18,"38,254",17.33,"26,540",10.71,"2,151",4.32,"9,563",45.60,-,-,"3,777",71.68
2003M11,"2,976",1.40,"12,518",0.59,"7,612",29.37,"34,493",30.21,"17,066",38.67,"2,121",17.18,"15,306",23.69,"2,928",62.04,"60,527",22.13,"16,176",14.07,"40,684",24.15,"28,676",18.64,"2,121",17.77,"9,887",45.42,-,-,"3,667",40.50
2003M12,"2,952",1.83,"12,987",5.92,"7,648",29.72,"35,395",28.92,"17,143",44.58,"2,039",68.23,"16,213",12.71,"3,541",95.85,"62,523",24.26,"16,307",13.83,"42,263",26.37,"29,822",17.36,"2,038",67.46,"10,403",52.65,-,-,"3,953",55.08
2004M01,"3,178",8.84,"13,205",8.39,"7,684",24.16,"35,043",26.52,"17,418",13.24,"2,078",19.22,"15,547",47.06,"3,851",118.43,"62,961",24.06,"16,212",12.94,"42,571",25.16,"30,199",16.36,"2,087",19.05,"10,285",63.07,-,-,"4,178",75.25
