期間,想工作而未找工作_原始值,想工作而未找工作_年增率(%),想工作而未找工作_原始值,想工作而未找工作_年增率(%),想工作而未找工作_原始值,想工作而未找工作_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),料理家務_原始值,料理家務_年增率(%),料理家務_原始值,料理家務_年增率(%),料理家務_原始值,料理家務_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%)
1988,75,-5.83,47,-5.41,28,-6.52,"1,561",4.95,808,3.51,753,6.53,"2,460",2.90,11,-24.89,"2,449",3.07,"1,015",6.42,562,6.40,453,6.44,338,0.51,297,1.22,41,-4.41
1989,75,0.18,49,3.47,27,-5.28,"1,588",1.72,818,1.19,770,2.29,"2,513",2.13,13,16.83,"2,500",2.06,"1,051",3.57,583,3.79,468,3.30,338,0.07,296,-0.47,42,4.08
1990,85,13.33,56,15.63,29,9.16,"1,662",4.63,850,3.94,812,5.36,"2,597",3.37,19,44.29,"2,579",3.15,"1,100",4.71,618,5.96,482,3.15,351,3.71,310,4.92,40,-4.77
1991,85,-0.10,55,-1.67,30,2.92,"1,721",3.56,876,3.11,844,4.03,"2,636",1.50,15,-21.47,"2,622",1.67,"1,155",5.00,662,7.15,493,2.24,329,-6.08,293,-5.64,36,-9.45
1992,68,-20.20,44,-20.64,24,-19.39,"1,778",3.30,896,2.26,881,4.37,"2,606",-1.15,11,-28.05,"2,595",-1.00,"1,220",5.62,696,5.15,524,6.25,335,1.61,293,0.20,41,12.95
1993,84,23.41,55,25.16,29,20.26,"1,890",6.30,963,7.49,926,5.09,"2,596",-0.36,9,-11.95,"2,587",-0.32,"1,304",6.90,740,6.36,564,7.61,338,1.16,300,2.11,39,-5.64
1994,86,2.85,57,4.22,29,0.27,"1,909",1.01,971,0.79,938,1.25,"2,611",0.57,10,5.92,"2,601",0.55,"1,368",4.86,782,5.60,586,3.90,347,2.37,309,3.23,37,-4.24
1995,107,24.09,68,19.66,39,32.75,"1,951",2.24,984,1.30,968,3.21,"2,624",0.49,10,-3.07,"2,614",0.50,"1,438",5.16,822,5.07,617,5.27,357,2.92,314,1.46,43,15.05
1996,119,11.28,78,14.44,41,5.70,"2,003",2.66,"1,006",2.29,997,3.04,"2,595",-1.09,9,-0.44,"2,586",-1.09,"1,527",6.19,872,6.16,655,6.22,376,5.47,332,5.63,45,4.33
1997,107,-9.95,72,-8.30,36,-13.11,"2,059",2.76,"1,016",0.97,"1,043",4.56,"2,607",0.44,8,-11.05,"2,598",0.48,"1,592",4.28,904,3.69,688,5.06,373,-0.85,330,-0.35,43,-4.62
1998,115,7.40,78,8.97,37,4.25,"2,089",1.50,"1,033",1.71,"1,056",1.29,"2,642",1.33,10,23.01,"2,631",1.26,"1,656",4.01,935,3.35,722,4.87,399,7.04,352,6.55,47,10.88
1999,142,23.20,98,24.84,45,19.73,"2,090",0.03,"1,042",0.86,"1,048",-0.77,"2,639",-0.08,9,-15.21,"2,631",-0.02,"1,704",2.86,968,3.54,736,1.98,444,11.28,383,8.72,62,30.40
2000,147,3.49,104,6.92,43,-4.04,"2,129",1.88,"1,070",2.71,"1,059",1.05,"2,673",1.26,8,-6.28,"2,664",1.29,"1,766",3.66,996,2.91,770,4.64,463,4.26,406,5.97,58,-6.43
2001,201,36.30,142,35.97,59,37.08,"2,156",1.25,"1,098",2.61,"1,058",-0.12,"2,673",0.02,8,0.87,"2,665",0.02,"1,831",3.67,"1,020",2.39,811,5.33,486,4.96,428,5.45,58,1.47
2002,225,11.98,160,12.85,64,9.87,"2,139",-0.80,"1,098",-0.06,"1,041",-1.57,"2,672",-0.04,10,17.78,"2,662",-0.09,"1,865",1.85,"1,032",1.15,833,2.71,517,6.29,447,4.47,70,19.63
2003,229,2.09,164,2.44,65,1.22,"2,154",0.69,"1,110",1.09,"1,044",0.27,"2,634",-1.45,11,13.59,"2,623",-1.50,"1,921",3.03,"1,054",2.16,867,4.11,558,7.96,479,7.27,78,12.36
2004,230,0.36,160,-2.28,70,7.02,"2,147",-0.30,"1,099",-0.93,"1,048",0.37,"2,567",-2.51,15,34.52,"2,552",-2.67,"1,994",3.81,"1,079",2.39,915,5.54,580,4.06,484,0.93,97,23.18
2005,209,-9.12,139,-13.41,70,0.74,"2,155",0.38,"1,114",1.33,"1,041",-0.62,"2,523",-1.74,17,12.20,"2,506",-1.82,"2,075",4.05,"1,104",2.30,971,6.10,616,6.11,505,4.33,111,15.04
2006,198,-5.47,124,-10.43,73,4.35,"2,190",1.61,"1,138",2.14,"1,052",1.03,"2,445",-3.09,13,-24.50,"2,432",-2.95,"2,121",2.23,"1,114",0.96,"1,007",3.68,691,12.13,547,8.36,144,29.24
