期間,總指數_原始值,總指數_年增率(%),第 1 類動物產品_原始值,第 1 類動物產品_年增率(%),03魚、甲殼及軟體類動物_原始值,03魚、甲殼及軟體類動物_年增率(%),第 4 類調製食品、飲料、酒及菸類_原始值,第 4 類調製食品、飲料、酒及菸類_年增率(%),第 5 類礦產品_原始值,第 5 類礦產品_年增率(%),27能源礦產品_原始值,27能源礦產品_年增率(%),第 6 類化學或有關工業產品_原始值,第 6 類化學或有關工業產品_年增率(%),28無機化學產品及貴金屬化合物_原始值,28無機化學產品及貴金屬化合物_年增率(%),29有機化學產品_原始值,29有機化學產品_年增率(%),32著色料、漆類及油墨_原始值,32著色料、漆類及油墨_年增率(%),38雜項化學產品_原始值,38雜項化學產品_年增率(%),第 7 類塑、橡膠及其製品_原始值,第 7 類塑、橡膠及其製品_年增率(%),39塑膠及其製品_原始值,39塑膠及其製品_年增率(%),40橡膠及其製品_原始值,40橡膠及其製品_年增率(%),第10類木漿、紙及其製品_原始值,第10類木漿、紙及其製品_年增率(%),48紙、紙板及其製品_原始值,48紙、紙板及其製品_年增率(%),第11類紡織及其製品_原始值,第11類紡織及其製品_年增率(%),54人造纖維絲、絲紗及其梭織物_原始值,54人造纖維絲、絲紗及其梭織物_年增率(%),55人造纖維棉_原始值,55人造纖維棉_年增率(%),58花邊及窄幅梭織物_原始值,58花邊及窄幅梭織物_年增率(%),59浸漬、塗佈或黏合織物及工業用織物_原始值,59浸漬、塗佈或黏合織物及工業用織物_年增率(%),60針織品或鉤針織品_原始值,60針織品或鉤針織品_年增率(%),第13類石料製品、玻璃及玻璃器_原始值,第13類石料製品、玻璃及玻璃器_年增率(%),70玻璃及玻璃器_原始值,70玻璃及玻璃器_年增率(%),第15類基本金屬及其製品_原始值,第15類基本金屬及其製品_年增率(%),72鋼鐵_原始值,72鋼鐵_年增率(%),73鋼鐵製品_原始值,73鋼鐵製品_年增率(%),74銅及其製品_原始值,74銅及其製品_年增率(%),76鋁及其製品_原始值,76鋁及其製品_年增率(%),82基本金屬製工具及其零件_原始值,82基本金屬製工具及其零件_年增率(%),83基本金屬雜項製品_原始值,83基本金屬雜項製品_年增率(%),第16類機器、電機、電視影像及聲音記錄機等設備_原始值,第16類機器、電機、電視影像及聲音記錄機等設備_年增率(%),84鍋爐、機器、機械用具及其零件_原始值,84鍋爐、機器、機械用具及其零件_年增率(%),85電機、電視影像、聲音記錄等設備及其零件_原始值,85電機、電視影像、聲音記錄等設備及其零件_年增率(%),第17類運輸工具_原始值,第17類運輸工具_年增率(%),87運輸工具_原始值,87運輸工具_年增率(%),第18類光學、計量、醫療儀器、樂器及其零件_原始值,第18類光學、計量、醫療儀器、樂器及其零件_年增率(%),90光學、計量、檢查、醫療儀器及其零件_原始值,90光學、計量、檢查、醫療儀器及其零件_年增率(%),第20類雜項製品_原始值,第20類雜項製品_年增率(%),94座物、家具、燈具及其零件_原始值,94座物、家具、燈具及其零件_年增率(%)
1991,107.86,0.77,-,-,-,-,-,-,-,-,-,-,55.98,0.65,-,-,-,-,-,-,-,-,59.64,-0.57,63.46,-0.81,37.82,1.97,-,-,-,-,66.42,1.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.48,-0.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101.76,3.04,-,-,-,-,-,-,-,-,-,-
1992,108.80,0.87,-,-,-,-,-,-,-,-,-,-,55.98,0.00,-,-,-,-,-,-,-,-,59.29,-0.59,62.92,-0.85,38.57,1.98,-,-,-,-,67.58,1.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.68,-1.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,104.01,2.21,-,-,-,-,-,-,-,-,-,-
1993,109.18,0.35,-,-,-,-,-,-,-,-,-,-,55.88,-0.18,-,-,-,-,-,-,-,-,59.74,0.76,63.36,0.70,39.10,1.37,-,-,-,-,66.40,-1.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.97,0.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,99.17,-4.65,-,-,-,-,-,-,-,-,-,-
1994,109.48,0.27,-,-,-,-,-,-,-,-,-,-,54.13,-3.13,-,-,-,-,-,-,-,-,61.65,3.20,65.53,3.42,39.42,0.82,-,-,-,-,70.18,5.69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.01,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,99.16,-0.01,-,-,-,-,-,-,-,-,-,-
1995,116.91,6.79,-,-,-,-,-,-,-,-,-,-,56.76,4.86,-,-,-,-,-,-,-,-,70.00,13.54,75.09,14.59,40.91,3.78,-,-,-,-,77.84,10.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61.84,6.60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101.32,2.18,-,-,-,-,-,-,-,-,-,-
1996,114.63,-1.95,-,-,-,-,-,-,-,-,-,-,56.68,-0.14,-,-,-,-,-,-,-,-,62.97,-10.04,66.78,-11.07,41.22,0.76,-,-,-,-,76.04,-2.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.70,-1.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98.97,-2.32,-,-,-,-,-,-,-,-,-,-
1997,111.95,-2.34,-,-,-,-,-,-,-,-,-,-,56.04,-1.13,-,-,-,-,-,-,-,-,62.51,-0.73,66.43,-0.52,40.11,-2.69,-,-,-,-,77.54,1.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.53,-1.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96.71,-2.28,-,-,-,-,-,-,-,-,-,-
1998,101.30,-9.51,58.40,-,59.39,-,70.55,-,15.57,-,14.43,-,52.17,-6.91,-,-,37.25,-,94.29,-,74.48,-,58.27,-6.78,62.75,-5.54,37.69,-6.03,69.40,-,69.40,-,72.10,-7.02,61.15,-,56.93,-,96.23,-,79.13,-,81.43,-,116.63,-,141.40,-,55.58,-6.64,45.14,-,59.38,-,38.98,-,90.99,-,92.81,-,98.87,-,176.03,-,183.94,-,165.30,-,93.64,-3.17,93.61,-,145.30,-,149.76,-,93.39,-,85.18,-
1999,96.07,-5.16,69.79,19.50,76.78,29.28,72.13,2.24,19.98,28.32,19.26,33.47,52.54,0.71,-,-,36.59,-1.77,91.74,-2.70,81.63,9.60,56.81,-2.51,60.07,-4.27,41.30,9.58,72.06,3.83,72.06,3.83,70.00,-2.91,60.55,-0.98,54.59,-4.11,99.91,3.82,79.04,-0.11,71.65,-12.01,101.23,-13.20,112.64,-20.34,52.31,-5.88,40.29,-10.74,56.90,-4.18,35.55,-8.80,84.77,-6.84,91.67,-1.23,94.18,-4.74,158.23,-10.11,163.15,-11.30,150.78,-8.78,94.33,0.74,94.69,1.15,138.78,-4.49,141.71,-5.38,91.66,-1.85,83.57,-1.89
2000,98.41,2.44,56.80,-18.61,58.99,-23.17,56.48,-21.70,32.16,60.96,31.47,63.40,58.41,11.17,-,-,40.92,11.83,89.62,-2.31,106.41,30.36,60.66,6.78,62.88,4.68,49.32,19.42,76.65,6.37,76.65,6.37,72.07,2.96,68.70,13.46,58.94,7.97,101.20,1.29,71.00,-10.17,73.67,2.82,104.91,3.64,129.48,14.95,54.61,4.40,45.68,13.38,58.60,2.99,38.66,8.75,84.11,-0.78,90.68,-1.08,94.58,0.42,159.09,0.54,158.57,-2.81,157.12,4.20,93.30,-1.09,93.66,-1.09,136.64,-1.54,139.54,-1.53,91.20,-0.50,82.46,-1.33
2001,91.25,-7.28,46.29,-18.50,46.01,-22.00,48.27,-14.54,27.38,-14.86,26.63,-15.38,55.31,-5.31,-,-,37.27,-8.92,87.01,-2.91,93.82,-11.83,56.35,-7.11,57.56,-8.46,49.34,0.04,67.24,-12.28,67.24,-12.28,68.45,-5.02,63.10,-8.15,54.81,-7.01,95.45,-5.68,68.52,-3.49,71.72,-2.65,95.05,-9.40,108.49,-16.21,51.45,-5.79,36.12,-20.93,57.21,-2.37,37.51,-2.97,80.95,-3.76,91.56,0.97,91.80,-2.94,145.17,-8.75,150.14,-5.32,137.89,-12.24,85.75,-8.09,85.82,-8.37,130.91,-4.19,133.74,-4.16,87.17,-4.42,80.16,-2.79
2002,87.85,-3.73,46.13,-0.35,46.79,1.70,48.60,0.68,28.18,2.92,27.49,3.23,53.36,-3.53,-,-,38.56,3.46,82.96,-4.65,81.97,-12.63,54.98,-2.43,56.46,-1.91,46.90,-4.95,69.24,2.97,69.24,2.97,66.45,-2.92,60.92,-3.45,51.17,-6.64,91.28,-4.37,69.62,1.61,69.95,-2.47,80.99,-14.79,80.22,-26.06,51.51,0.12,38.80,7.42,58.23,1.78,32.30,-13.89,82.95,2.47,91.75,0.21,89.79,-2.19,136.40,-6.04,141.88,-5.50,128.74,-6.64,82.93,-3.29,82.91,-3.39,124.91,-4.58,126.08,-5.73,84.80,-2.72,78.39,-2.21
2003,86.93,-1.05,49.71,7.76,51.82,10.75,49.75,2.37,32.14,14.05,31.47,14.48,56.82,6.48,-,-,43.66,13.23,83.57,0.74,79.71,-2.76,58.71,6.78,60.25,6.71,49.85,6.29,70.43,1.72,70.43,1.72,67.93,2.23,60.44,-0.79,57.96,13.27,89.52,-1.93,71.77,3.09,72.33,3.40,78.49,-3.09,78.49,-2.16,57.06,10.77,50.06,29.02,63.51,9.07,33.33,3.19,84.45,1.81,92.94,1.30,90.85,1.18,126.52,-7.24,127.15,-10.38,123.57,-4.02,84.90,2.38,84.90,2.40,128.71,3.04,129.53,2.74,84.52,-0.33,78.72,0.42
2004,90.96,4.64,58.16,17.00,59.35,14.53,55.17,10.89,37.84,17.73,37.11,17.92,66.88,17.70,-,-,58.91,34.93,83.61,0.05,83.36,4.58,68.47,16.62,70.75,17.43,55.41,11.15,73.21,3.95,73.21,3.95,70.28,3.46,63.68,5.36,63.93,10.30,89.52,0.00,75.15,4.71,73.27,1.30,93.83,19.54,93.83,19.54,70.21,23.05,69.53,38.89,74.88,17.90,43.70,31.11,87.87,4.05,93.18,0.26,93.53,2.95,122.91,-2.85,122.94,-3.31,120.57,-2.43,85.00,0.12,85.00,0.12,134.36,4.39,135.49,4.60,86.88,2.79,82.76,5.13
2005,92.19,1.35,56.72,-2.48,57.29,-3.47,65.92,19.49,51.68,36.58,51.04,37.54,69.47,3.87,-,-,60.46,2.63,91.56,9.51,82.54,-0.98,72.90,6.47,74.75,5.65,62.24,12.33,74.50,1.76,74.50,1.76,72.02,2.48,68.19,7.08,65.38,2.27,91.82,2.57,76.01,1.14,73.52,0.34,89.48,-4.64,89.48,-4.64,76.14,8.45,76.56,10.11,80.77,7.87,51.22,17.21,91.76,4.43,93.90,0.77,94.46,0.99,118.16,-3.86,118.88,-3.30,115.27,-4.40,84.64,-0.42,84.64,-0.42,125.07,-6.91,125.79,-7.16,89.53,3.05,85.68,3.53
2006,93.40,1.31,58.65,3.40,58.85,2.72,67.37,2.20,61.44,18.89,60.83,19.18,72.33,4.12,-,-,64.06,5.95,91.70,0.15,86.69,5.03,75.27,3.25,77.22,3.30,64.07,2.94,74.67,0.23,74.67,0.23,72.43,0.57,68.62,0.63,66.87,2.28,90.40,-1.55,76.26,0.33,73.05,-0.64,82.60,-7.69,82.60,-7.69,81.96,7.64,76.19,-0.48,83.18,2.98,81.53,59.18,108.35,18.08,94.22,0.34,94.12,-0.36,115.80,-2.00,111.90,-5.87,117.19,1.67,83.05,-1.88,83.05,-1.88,118.69,-5.10,119.07,-5.34,89.90,0.41,84.81,-1.02
2007,95.82,2.59,56.70,-3.32,55.75,-5.27,74.82,11.06,69.59,13.26,69.17,13.71,80.09,10.73,-,-,75.22,17.42,92.11,0.45,92.04,6.17,79.65,5.82,82.21,6.46,64.96,1.39,78.06,4.54,78.06,4.54,75.07,3.64,70.23,2.35,72.46,8.36,89.61,-0.87,81.19,6.46,74.34,1.77,85.89,3.98,85.89,3.98,92.83,13.26,91.98,20.72,92.98,11.78,88.74,8.84,111.07,2.51,95.79,1.67,99.14,5.33,111.46,-3.75,106.90,-4.47,113.55,-3.11,85.78,3.29,85.78,3.29,116.32,-2.00,116.56,-2.11,89.86,-0.04,84.60,-0.25
2008,97.85,2.12,70.45,24.25,72.17,29.45,85.05,13.67,94.16,35.31,93.98,35.87,84.17,5.09,103.84,-,79.55,5.76,97.20,5.53,94.39,2.55,88.27,10.82,89.41,8.76,81.74,25.83,89.54,14.71,89.54,14.71,79.08,5.34,74.18,5.62,75.23,3.82,91.46,2.06,89.65,10.42,79.46,6.89,88.19,2.68,88.19,2.68,100.10,7.83,107.70,17.09,95.07,2.25,86.96,-2.01,111.89,0.74,99.17,3.53,104.71,5.62,106.03,-4.87,103.85,-2.85,106.91,-5.85,89.70,4.57,89.70,4.57,108.28,-6.91,108.55,-6.87,94.18,4.81,90.92,7.47
2009,87.13,-10.96,64.53,-8.40,67.15,-6.96,93.35,9.76,59.47,-36.84,58.96,-37.26,70.55,-16.18,68.52,-34.01,61.32,-22.92,92.90,-4.42,89.31,-5.38,75.48,-14.49,76.70,-14.22,68.44,-16.27,77.47,-13.48,77.47,-13.48,78.06,-1.29,75.03,1.15,68.28,-9.24,89.29,-2.37,89.38,-0.30,80.51,1.32,79.85,-9.46,79.85,-9.46,79.22,-20.86,77.32,-28.21,80.32,-15.51,68.31,-21.45,87.07,-22.18,97.32,-1.87,98.93,-5.52,100.61,-5.11,99.22,-4.46,101.17,-5.37,90.26,0.62,90.26,0.62,98.01,-9.48,98.04,-9.68,93.49,-0.73,90.54,-0.42
2010,93.14,6.90,75.41,16.86,76.51,13.94,95.51,2.31,74.09,24.58,73.85,25.25,86.22,22.21,93.73,36.79,83.22,35.71,93.83,1.00,92.66,3.75,87.45,15.86,88.89,15.89,79.16,15.66,95.53,23.31,95.53,23.31,87.08,11.56,87.36,16.43,84.97,24.44,91.57,2.55,92.91,3.95,84.19,4.57,94.75,18.66,94.75,18.66,92.37,16.60,92.48,19.61,92.73,15.45,88.50,29.56,95.03,9.14,96.59,-0.75,97.93,-1.01,100.09,-0.52,98.44,-0.79,100.75,-0.42,92.26,2.22,92.26,2.22,99.80,1.83,99.86,1.86,94.03,0.58,91.91,1.51
2011,100.00,7.37,100.00,32.61,100.00,30.70,100.00,4.70,100.00,34.97,100.00,35.41,100.00,15.98,100.00,6.69,100.00,20.16,100.00,6.58,100.00,7.92,100.00,14.35,100.00,12.50,100.00,26.33,100.00,4.68,100.00,4.68,100.00,14.84,100.00,14.47,100.00,17.69,100.00,9.21,100.00,7.63,100.00,18.78,100.00,5.54,100.00,5.54,100.00,8.26,100.00,8.13,100.00,7.84,100.00,12.99,100.00,5.23,100.00,3.53,100.00,2.11,100.00,-0.09,100.00,1.58,100.00,-0.74,100.00,8.39,100.00,8.39,100.00,0.20,100.00,0.14,100.00,6.35,100.00,8.80
2012,97.75,-2.25,106.67,6.67,106.96,6.96,104.74,4.74,103.27,3.27,103.05,3.05,91.47,-8.53,92.26,-7.74,86.89,-13.11,102.82,2.82,97.80,-2.20,96.10,-3.90,95.37,-4.63,100.30,0.30,94.18,-5.82,94.18,-5.82,96.18,-3.82,93.54,-6.46,88.23,-11.77,99.13,-0.87,99.37,-0.63,104.19,4.19,92.96,-7.04,92.96,-7.04,91.61,-8.39,87.38,-12.62,93.05,-6.95,92.86,-7.14,95.44,-4.56,102.07,2.07,98.55,-1.45,99.28,-0.72,99.67,-0.33,99.12,-0.88,100.65,0.65,100.65,0.65,98.96,-1.04,98.91,-1.09,101.93,1.93,102.58,2.58
2013,95.37,-2.43,86.37,-19.03,79.06,-26.08,107.58,2.71,98.98,-4.15,98.74,-4.18,91.49,0.02,88.42,-4.16,88.24,1.55,98.98,-3.73,94.53,-3.34,93.85,-2.34,94.90,-0.49,87.42,-12.84,92.57,-1.71,92.57,-1.71,94.39,-1.86,94.58,1.11,85.13,-3.51,94.73,-4.44,94.13,-5.27,100.40,-3.64,82.86,-10.86,82.86,-10.86,87.82,-4.14,82.31,-5.80,88.48,-4.91,89.05,-4.10,92.14,-3.46,102.98,0.89,100.64,2.12,97.50,-1.79,100.75,1.08,96.50,-2.64,100.01,-0.64,100.01,-0.64,97.46,-1.52,97.42,-1.51,101.72,-0.21,100.54,-1.99
