期間,新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%)
2003M10,497,36.91,36,33.33,-,--,14,16.67,10,0.00,10,900.00,4,--,10,42.86,10,400.00,18,5.88,6,20.00,12,-7.69,-,--,9,350.00,43,19.44,8,-11.11,11,57.14,82,74.47,117,50.00,32,33.33,22,-24.14,6,-45.45,14,27.27,10,66.67,13,62.50,347,26.64,9,200.00,-,--,17,112.50,9,12.50,11,--,7,133.33,8,300.00,4,-20.00,10,42.86,3,-50.00,9,28.57,1,--,4,0.00,29,20.83,5,-16.67,5,-50.00,56,12.00,67,81.08,25,257.14,19,280.00,12,-72.73,15,7.14,7,16.67,15,-16.67
2003M11,421,-2.55,29,26.09,-,--,9,-40.00,4,-63.64,4,300.00,5,66.67,7,133.33,7,40.00,17,88.89,5,-28.57,9,-35.71,2,0.00,4,33.33,42,40.00,10,-33.33,8,-42.86,77,-11.49,76,-8.43,28,-6.67,31,19.23,16,-5.88,10,-23.08,12,71.43,9,-35.71,"1,132",362.04,56,"1,300.00",-,--,105,"2,000.00",29,222.22,25,525.00,26,"2,500.00",35,"1,650.00",18,500.00,35,191.67,6,-14.29,16,433.33,2,--,18,800.00,61,177.27,19,850.00,12,20.00,277,739.39,144,227.27,24,242.86,24,"1,100.00",42,27.27,80,280.95,14,250.00,64,326.67
2003M12,471,24.60,39,44.44,-,--,11,37.50,14,27.27,2,--,4,33.33,12,33.33,5,-44.44,18,-5.26,5,-16.67,18,80.00,1,--,7,40.00,34,25.93,6,-33.33,15,275.00,71,26.79,98,28.95,40,14.29,24,-4.00,11,22.22,14,40.00,14,0.00,8,33.33,"1,108",253.99,59,637.50,-,--,48,220.00,32,255.56,24,"2,300.00",22,214.29,30,"1,400.00",13,116.67,38,660.00,9,50.00,22,266.67,2,--,12,300.00,74,311.11,18,125.00,24,200.00,130,176.60,180,252.94,33,175.00,33,175.00,82,49.09,88,486.67,48,500.00,87,690.91
2004M01,314,-21.11,24,-20.00,-,--,13,0.00,7,40.00,3,0.00,4,33.33,4,0.00,7,-22.22,19,58.33,2,-33.33,10,-9.09,1,0.00,6,-25.00,31,-3.12,5,-16.67,6,-14.29,52,-1.89,55,-31.25,20,-41.18,15,-51.61,5,-44.44,11,-42.11,6,-45.45,8,-42.86,300,-19.79,21,40.00,-,--,13,-45.83,9,12.50,8,166.67,12,50.00,8,-33.33,5,25.00,13,-13.33,1,-85.71,10,400.00,1,--,3,-40.00,24,-33.33,11,10.00,3,-50.00,30,-42.31,40,-13.04,23,109.09,16,100.00,15,-72.73,11,-8.33,8,-38.46,15,-28.57
2004M02,353,72.20,26,52.94,-,--,10,100.00,9,350.00,1,-50.00,-,--,5,150.00,3,0.00,13,116.67,2,0.00,11,57.14,1,0.00,3,--,27,12.50,8,100.00,4,-33.33,63,110.00,76,76.74,29,141.67,36,111.76,10,11.11,7,40.00,3,0.00,6,20.00,622,193.40,45,800.00,-,--,20,122.22,33,371.43,12,300.00,38,"1,800.00",12,71.43,21,950.00,13,30.00,7,600.00,14,250.00,1,--,7,250.00,24,60.00,49,716.67,13,116.67,64,72.97,88,175.00,18,28.57,25,400.00,23,-14.81,41,583.33,7,75.00,47,487.50
2004M03,399,16.67,18,12.50,-,--,10,66.67,15,7.14,5,--,5,150.00,4,-20.00,7,-12.50,12,-25.00,6,0.00,14,100.00,-,--,5,-16.67,28,-20.00,12,100.00,12,20.00,69,35.29,85,7.59,24,-4.00,30,11.11,13,85.71,12,140.00,6,20.00,7,16.67,372,-10.36,13,-31.58,-,--,15,-31.82,15,-21.05,10,900.00,8,60.00,4,-33.33,8,33.33,12,-7.69,1,-75.00,6,-45.45,1,--,7,-30.00,46,48.39,15,36.36,10,-23.08,39,-40.00,48,-11.11,25,108.33,31,342.86,25,-63.77,10,-9.09,8,33.33,15,-25.00
2004M04,450,-2.81,28,21.74,-,--,12,9.09,9,-40.00,-,--,4,300.00,7,-22.22,7,-41.67,16,-23.81,8,166.67,13,0.00,-,--,7,40.00,38,15.15,12,33.33,13,0.00,89,39.06,91,-16.51,25,-32.43,29,3.57,15,0.00,7,-22.22,7,-50.00,13,-13.33,261,-44.23,7,-53.33,-,--,9,-55.00,12,-7.69,3,50.00,5,-58.33,2,-77.78,3,-66.67,12,71.43,6,500.00,3,-72.73,2,100.00,4,0.00,29,-21.62,1,-96.55,8,-33.33,44,-39.73,44,-47.62,21,200.00,20,42.86,6,-89.83,9,-62.50,2,-66.67,9,-52.63
2004M05,364,-12.29,20,-39.39,-,--,8,-38.46,7,-41.67,2,-33.33,2,0.00,7,75.00,4,-42.86,18,5.88,4,-20.00,9,-40.00,-,--,3,-40.00,35,9.38,9,-10.00,8,-38.46,55,-11.29,74,-29.52,25,13.64,36,100.00,8,14.29,17,54.55,7,-36.36,6,-25.00,463,43.79,20,42.86,-,--,16,6.67,12,9.09,3,-25.00,14,180.00,9,80.00,13,18.18,13,30.00,3,200.00,10,100.00,-,--,3,0.00,39,30.00,16,128.57,13,8.33,43,-8.51,61,24.49,35,118.75,38,322.22,32,-3.03,36,176.92,11,83.33,23,43.75
2004M06,424,0.47,28,-17.65,-,--,8,14.29,9,-59.09,5,66.67,3,0.00,6,0.00,4,-71.43,12,-7.69,8,300.00,17,13.33,1,0.00,3,-25.00,24,-29.41,9,-25.00,13,550.00,61,-10.29,103,15.73,27,-6.90,37,42.31,17,88.89,16,100.00,8,-27.27,5,-50.00,321,-6.14,12,50.00,-,--,10,-9.09,17,6.25,10,150.00,4,-20.00,7,-41.67,6,--,12,9.09,2,-50.00,7,0.00,-,--,1,-66.67,31,-11.43,9,50.00,9,350.00,40,-24.53,54,-23.94,32,190.91,19,72.73,14,-65.00,7,-22.22,4,-42.86,14,0.00
2004M07,419,-12.34,29,-17.14,-,--,5,-37.50,6,-60.00,3,0.00,3,-25.00,6,0.00,9,80.00,28,40.00,5,-28.57,12,20.00,2,--,1,-75.00,29,-39.58,4,-75.00,9,-10.00,71,14.52,97,-11.01,30,-16.67,27,-3.57,7,-58.82,12,-14.29,15,66.67,9,-25.00,345,-71.91,13,-92.35,-,--,17,-66.00,7,-91.57,5,-50.00,3,-94.00,7,-70.83,10,-61.54,18,-68.97,1,-92.86,3,-82.35,1,-50.00,4,-33.33,32,-53.62,7,-80.00,5,-81.48,45,-53.61,52,-61.19,37,-37.29,32,6.67,21,-73.08,12,-75.51,2,-93.75,11,-89.81
