期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),金屬、機械加工類_原始值,金屬、機械加工類_年增率(%),金屬、機械加工類_原始值,金屬、機械加工類_年增率(%),焊接、配管類_原始值,焊接、配管類_年增率(%),焊接、配管類_原始值,焊接、配管類_年增率(%),電機、電匠類_原始值,電機、電匠類_年增率(%),電機、電匠類_原始值,電機、電匠類_年增率(%),電子、儀表類_原始值,電子、儀表類_年增率(%),電子、儀表類_原始值,電子、儀表類_年增率(%),營建、土木類_原始值,營建、土木類_年增率(%),營建、土木類_原始值,營建、土木類_年增率(%),紡織、服飾類_原始值,紡織、服飾類_年增率(%),紡織、服飾類_原始值,紡織、服飾類_年增率(%),印刷、製版類_原始值,印刷、製版類_年增率(%),印刷、製版類_原始值,印刷、製版類_年增率(%),電腦設計類_原始值,電腦設計類_年增率(%),電腦設計類_原始值,電腦設計類_年增率(%),美容、美髮及其他服務類_原始值,美容、美髮及其他服務類_年增率(%),美容、美髮及其他服務類_原始值,美容、美髮及其他服務類_年增率(%),其他技工類_原始值,其他技工類_年增率(%),其他技工類_原始值,其他技工類_年增率(%),漁業人員_原始值,漁業人員_年增率(%),漁業人員_原始值,漁業人員_年增率(%)
1999,"29,053",-7.42,"27,065",-9.25,"6,901",-12.98,"6,466",-12.89,"1,134",11.61,972,0.62,"3,396",-17.13,"3,130",-17.24,"2,137",-9.30,"1,860",-12.88,"1,360",-11.80,"1,341",-8.15,507,-24.10,479,-25.85,359,-0.83,336,-11.11,"5,769",-3.24,"5,315",-4.49,"3,499",5.11,"3,376",1.29,"2,747",-12.60,"2,692",-14.24,"1,244",27.59,"1,098",10.24
2000,"28,140",-3.14,"30,030",10.96,"6,428",-6.85,"7,032",8.75,775,-31.66,923,-5.04,"2,950",-13.13,"3,359",7.32,"2,115",-1.03,"2,294",23.33,"1,210",-11.03,"1,280",-4.55,"1,015",100.20,"1,024",113.78,248,-30.92,294,-12.50,"4,858",-15.79,"5,289",-0.49,"3,580",2.31,"3,463",2.58,"3,755",36.69,"3,830",42.27,"1,206",-3.05,"1,242",13.11
2001,"34,525",22.69,"33,342",11.03,"7,878",22.56,"7,665",9.00,972,25.42,978,5.96,"3,416",15.80,"3,274",-2.53,"2,253",6.52,"2,179",-5.01,"1,387",14.63,"1,343",4.92,"2,342",130.74,"2,119",106.93,303,22.18,331,12.59,"6,586",35.57,"6,389",20.80,"5,138",43.52,"4,827",39.39,"3,329",-11.34,"3,297",-13.92,921,-23.63,940,-24.32
2002,"42,351",22.67,"40,410",21.20,"7,384",-6.27,"6,959",-9.21,876,-9.88,846,-13.50,"3,219",-5.77,"2,989",-8.70,"5,655",151.00,"5,750",163.88,"1,103",-20.48,"1,013",-24.57,"1,690",-27.84,"1,487",-29.83,264,-12.87,232,-29.91,"6,722",2.06,"6,235",-2.41,"10,346",101.36,"9,930",105.72,"3,471",4.27,"3,382",2.58,"1,621",76.00,"1,587",68.83
2003,"37,041",-12.54,"35,347",-12.53,"5,736",-22.32,"5,760",-17.23,801,-8.56,781,-7.68,"2,980",-7.42,"2,984",-0.17,"8,975",58.71,"7,829",36.16,831,-24.66,947,-6.52,441,-73.91,467,-68.59,275,4.17,296,27.59,"4,670",-30.53,"4,463",-28.42,"7,348",-28.98,"7,006",-29.45,"3,754",8.15,"3,584",5.97,"1,230",-24.12,"1,230",-22.50
2004,"29,933",-19.19,"28,835",-18.42,"6,446",12.38,"6,040",4.86,"1,000",24.84,996,27.53,"3,128",4.97,"3,166",6.10,"3,959",-55.89,"3,716",-52.54,"1,224",47.29,"1,209",27.67,581,31.75,508,8.78,60,-78.18,102,-65.54,"4,294",-8.05,"4,318",-3.25,"5,350",-27.19,"4,933",-29.59,"3,085",-17.82,"3,059",-14.65,806,-34.47,788,-35.93
2005,"30,300",1.23,"28,108",-2.52,"7,370",14.33,"6,726",11.36,812,-18.80,738,-25.90,"3,086",-1.34,"3,037",-4.07,"4,991",26.07,"4,217",13.48,"1,182",-3.43,"1,083",-10.42,631,8.61,596,17.32,57,-5.00,53,-48.04,"3,055",-28.85,"2,818",-34.74,"5,188",-3.03,"5,166",4.72,"2,913",-5.58,"2,677",-12.49,"1,015",25.93,997,26.52
2006,"19,751",-34.82,"18,292",-34.92,"6,468",-12.24,"5,996",-10.85,914,12.56,834,13.01,"3,063",-0.75,"2,991",-1.51,"1,945",-61.03,"1,585",-62.41,691,-41.54,604,-44.23,445,-29.48,405,-32.05,47,-17.54,43,-18.87,"2,402",-21.37,"2,188",-22.36,"2,326",-55.17,"2,176",-57.88,564,-80.64,579,-78.37,886,-12.71,891,-10.63
2007,"20,828",5.45,"19,283",5.42,"6,678",3.25,"6,146",2.50,875,-4.27,854,2.40,"3,074",0.36,"2,725",-8.89,"1,795",-7.71,"1,737",9.59,866,25.33,734,21.52,425,-4.49,384,-5.19,56,19.15,44,2.33,"2,848",18.57,"2,641",20.70,"2,789",19.91,"2,639",21.28,446,-20.92,429,-25.91,976,10.16,950,6.62
2008,"22,035",5.80,"20,532",6.48,"7,208",7.94,"6,528",6.22,"1,093",24.91,929,8.78,"2,903",-5.56,"2,831",3.89,"2,197",22.40,"1,964",13.07,764,-11.78,708,-3.54,305,-28.24,341,-11.20,60,7.14,24,-45.45,"3,009",5.65,"2,902",9.88,"3,182",14.09,"3,042",15.27,422,-5.38,395,-7.93,892,-8.61,868,-8.63
2009,"27,490",24.76,"25,848",25.89,"7,005",-2.82,"6,625",1.49,945,-13.54,834,-10.23,"3,616",24.56,"3,305",16.74,"2,058",-6.33,"1,852",-5.70,"1,899",148.56,"1,804",154.80,580,90.16,573,68.04,30,-50.00,26,8.33,"3,037",0.93,"2,805",-3.34,"4,452",39.91,"4,275",40.53,584,38.39,563,42.53,"3,284",268.16,"3,186",267.05
2010,"23,077",-16.05,"21,464",-16.96,"6,285",-10.28,"5,806",-12.36,828,-12.38,756,-9.35,"3,090",-14.55,"3,093",-6.41,"2,139",3.94,"1,855",0.16,"1,115",-41.28,"1,036",-42.57,432,-25.52,400,-30.19,23,-23.33,20,-23.08,"2,724",-10.31,"2,426",-13.51,"3,842",-13.70,"3,567",-16.56,469,-19.69,449,-20.25,"2,130",-35.14,"2,056",-35.47
2011,"21,337",-7.54,"19,909",-7.24,"5,621",-10.56,"5,451",-6.11,798,-3.62,697,-7.80,"2,771",-10.32,"2,531",-18.17,"2,100",-1.82,"1,988",7.17,"1,043",-6.46,945,-8.78,507,17.36,495,23.75,24,4.35,19,-5.00,"2,703",-0.77,"2,477",2.10,"4,364",13.59,"3,952",10.79,450,-4.05,414,-7.80,956,-55.12,940,-54.28
2012,"23,355",9.46,"21,483",7.91,"6,622",17.81,"6,247",14.60,926,16.04,894,28.26,"3,128",12.88,"2,723",7.59,"1,878",-10.57,"1,730",-12.98,"1,189",14.00,"1,060",12.17,524,3.35,445,-10.10,24,0.00,19,0.00,"2,717",0.52,"2,460",-0.69,"4,958",13.61,"4,533",14.70,468,4.00,469,13.29,921,-3.66,903,-3.94
2013,"25,114",7.53,"23,106",7.55,"7,094",7.13,"6,332",1.36,"1,067",15.23,911,1.90,"3,241",3.61,"3,107",14.10,"1,548",-17.57,"1,414",-18.27,"1,344",13.04,"1,098",3.58,552,5.34,558,25.39,15,-37.50,33,73.68,"2,701",-0.59,"2,423",-1.50,"5,934",19.69,"5,686",25.44,610,30.34,559,19.19,"1,008",9.45,985,9.08
