期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),妨害安寧秩序_原始值,妨害安寧秩序_年增率(%),妨害安寧秩序_原始值,妨害安寧秩序_年增率(%),妨害善良風俗_原始值,妨害善良風俗_年增率(%),妨害善良風俗_原始值,妨害善良風俗_年增率(%),妨害公務_原始值,妨害公務_年增率(%),妨害公務_原始值,妨害公務_年增率(%),妨害他人身體及財產_原始值,妨害他人身體及財產_年增率(%),妨害他人身體及財產_原始值,妨害他人身體及財產_年增率(%)
2010M03,631,-7.48,"1,103",6.67,242,21.61,254,22.12,370,-22.92,824,0.12,12,--,12,--,7,133.33,13,333.33
2010M04,574,-21.15,905,-13.97,178,-26.75,178,-35.51,389,-19.46,719,-6.99,0,--,0,--,7,250.00,8,166.67
2010M05,463,-17.91,801,4.84,96,-55.35,112,-51.30,356,2.89,673,26.74,0,-100.00,0,-100.00,11,"1,000.00",16,"1,500.00"
2010M06,431,-22.34,625,-14.38,88,-26.05,93,-32.61,332,-21.70,521,-10.02,1,-90.00,1,-90.00,10,400.00,10,233.33
2010M07,"1,053",7.45,"1,254",7.00,745,13.74,752,4.44,300,-7.12,493,9.56,0,--,0,--,8,300.00,9,350.00
2010M08,"1,214",22.38,"1,583",27.46,873,45.99,874,44.70,330,-14.51,696,10.65,0,-100.00,0,-100.00,11,175.00,13,160.00
2010M09,727,6.44,954,1.06,419,10.85,430,12.27,300,-0.99,514,-7.05,1,0.00,1,0.00,7,600.00,9,28.57
2010M10,505,-21.22,750,-10.07,245,-11.55,258,-10.73,248,-30.14,473,-10.25,1,-50.00,1,-50.00,11,57.14,18,12.50
2010M11,359,-17.66,526,-22.99,148,2.07,155,1.97,202,-29.62,352,-33.21,5,400.00,7,600.00,4,33.33,12,300.00
2010M12,322,-32.07,428,-34.56,134,-10.67,137,-13.29,181,-40.66,284,-40.08,0,-100.00,0,-100.00,7,-61.11,7,-66.67
2011M01,346,-16.43,948,26.40,82,-43.06,131,-22.49,258,3.20,806,43.67,1,-93.33,1,-93.33,5,0.00,10,100.00
2011M02,338,-46.52,"1,083",-27.75,84,-65.00,131,-60.18,248,-34.91,946,-18.02,3,50.00,3,50.00,3,-66.67,3,-78.57
2011M03,440,-30.27,905,-17.95,111,-54.13,120,-52.76,306,-17.30,739,-10.32,13,8.33,27,125.00,10,42.86,19,46.15
2011M04,426,-25.78,705,-22.10,161,-9.55,174,-2.25,258,-33.68,511,-28.93,2,--,2,--,5,-28.57,18,125.00
2011M05,350,-24.41,642,-19.85,139,44.79,144,28.57,203,-42.98,479,-28.83,5,--,15,--,3,-72.73,4,-75.00
2011M06,259,-39.91,465,-25.60,85,-3.41,93,0.00,166,-50.00,358,-31.29,4,300.00,4,300.00,4,-60.00,10,0.00
2011M07,"1,159",10.07,"1,345",7.26,966,29.66,968,28.72,182,-39.33,347,-29.61,1,--,1,--,10,25.00,29,222.22
2011M08,"1,324",9.06,"1,531",-3.28,"1,109",27.03,"1,138",30.21,204,-38.18,380,-45.40,3,--,5,--,8,-27.27,8,-38.46
2011M09,727,0.00,"1,000",4.82,444,5.97,454,5.58,273,-9.00,532,3.50,3,200.00,7,600.00,7,0.00,7,-22.22
2011M10,344,-31.88,673,-10.27,135,-44.90,160,-37.98,195,-21.37,497,5.07,2,100.00,2,100.00,12,9.09,14,-22.22
2011M11,328,-8.64,612,16.35,70,-52.70,79,-49.03,243,20.30,513,45.74,1,-80.00,1,-85.71,14,250.00,19,58.33
2011M12,341,5.90,658,53.74,72,-46.27,86,-37.23,256,41.44,549,93.31,2,--,5,--,11,57.14,18,157.14
2012M01,282,-18.50,828,-12.66,54,-34.15,77,-41.22,214,-17.05,731,-9.31,0,-100.00,0,-100.00,14,180.00,20,100.00
2012M02,394,16.57,962,-11.17,104,23.81,134,2.29,278,12.10,814,-13.95,1,-66.67,1,-66.67,11,266.67,13,333.33
2012M03,475,7.95,920,1.66,123,10.81,136,13.33,342,11.76,772,4.47,6,-53.85,6,-77.78,4,-60.00,6,-68.42
2012M04,446,4.69,985,39.72,137,-14.91,142,-18.39,295,14.34,825,61.45,2,0.00,4,100.00,12,140.00,14,-22.22
2012M05,486,38.86,919,43.15,144,3.60,156,8.33,334,64.53,751,56.78,0,-100.00,0,-100.00,8,166.67,12,200.00
2012M06,384,48.26,778,67.31,88,3.53,91,-2.15,280,68.67,661,84.64,4,0.00,8,100.00,12,200.00,18,80.00
2012M07,"1,479",27.61,"1,775",31.97,"1,214",25.67,"1,226",26.65,256,40.66,524,51.01,2,100.00,2,100.00,7,-30.00,23,-20.69
2012M08,"1,373",3.70,"1,814",18.48,"1,035",-6.67,"1,035",-9.05,330,61.76,764,101.05,1,-66.67,1,-80.00,7,-12.50,14,75.00
2012M09,779,7.15,"1,192",19.20,437,-1.58,443,-2.42,333,21.98,735,38.16,3,0.00,3,-57.14,6,-14.29,11,57.14
2012M10,542,57.56,959,42.50,256,89.63,259,61.88,266,36.41,680,36.82,4,100.00,4,100.00,16,33.33,16,14.29
2012M11,499,52.13,824,34.64,105,50.00,108,36.71,380,56.38,700,36.45,3,200.00,3,200.00,11,-21.43,13,-31.58
2012M12,337,-1.17,800,21.58,101,40.28,107,24.42,224,-12.50,681,24.04,4,100.00,4,-20.00,8,-27.27,8,-55.56
2013M01,388,37.59,"1,020",23.19,65,20.37,86,11.69,311,45.33,909,24.35,1,--,2,--,11,-21.43,23,15.00
2013M02,845,114.47,"2,212",129.94,387,272.12,461,244.03,450,61.87,"1,741",113.88,3,200.00,3,200.00,5,-54.55,7,-46.15
2013M03,781,64.42,"1,405",52.72,362,194.31,383,181.62,411,20.18,936,21.24,1,-83.33,1,-83.33,7,75.00,85,"1,316.67"
2013M04,587,31.61,"1,096",11.27,138,0.73,152,7.04,439,48.81,929,12.61,2,0.00,2,-50.00,8,-33.33,13,-7.14
2013M05,514,5.76,895,-2.61,114,-20.83,124,-20.51,389,16.47,755,0.53,2,--,2,--,9,12.50,14,16.67
2013M06,397,3.39,743,-4.50,91,3.41,108,18.68,292,4.29,618,-6.51,2,-50.00,2,-75.00,12,0.00,15,-16.67
2013M07,"1,258",-14.94,"1,794",1.07,908,-25.21,915,-25.37,336,31.25,856,63.36,4,100.00,7,250.00,10,42.86,16,-30.43
2013M08,808,-41.15,"1,313",-27.62,494,-52.27,539,-47.92,301,-8.79,754,-1.31,1,0.00,1,0.00,12,71.43,19,35.71
2013M09,475,-39.02,822,-31.04,201,-54.00,268,-39.50,264,-20.72,544,-25.99,5,66.67,5,66.67,5,-16.67,5,-54.55
2013M10,494,-8.86,958,-0.10,131,-48.83,153,-40.93,356,33.83,794,16.76,3,-25.00,3,-25.00,4,-75.00,8,-50.00
2013M11,387,-22.44,938,13.83,105,0.00,109,0.93,275,-27.63,814,16.29,0,-100.00,0,-100.00,7,-36.36,15,15.38
2013M12,393,16.62,859,7.38,87,-13.86,90,-15.89,295,31.70,751,10.28,0,-100.00,0,-100.00,11,37.50,18,125.00
2014M01,615,58.51,"1,536",50.59,213,227.69,227,163.95,390,25.40,"1,293",42.24,1,0.00,1,-50.00,11,0.00,15,-34.78
2014M02,903,6.86,"1,734",-21.61,445,14.99,461,0.00,449,-0.22,"1,257",-27.80,3,0.00,5,66.67,6,20.00,11,57.14
2014M03,534,-31.63,"1,059",-24.63,145,-59.94,172,-55.09,375,-8.76,873,-6.73,6,500.00,6,500.00,8,14.29,8,-90.59
2014M04,423,-27.94,948,-13.50,91,-34.06,109,-28.29,312,-28.93,813,-12.49,4,100.00,4,100.00,16,100.00,22,69.23
2014M05,392,-23.74,890,-0.56,51,-55.26,54,-56.45,326,-16.20,817,8.21,1,-50.00,1,-50.00,14,55.56,18,28.57
2014M06,281,-29.22,587,-21.00,86,-5.49,96,-11.11,187,-35.96,465,-24.76,1,-50.00,1,-50.00,7,-41.67,25,66.67
2014M07,"1,056",-16.06,"1,580",-11.93,745,-17.95,751,-17.92,304,-9.52,810,-5.37,2,-50.00,2,-71.43,5,-50.00,17,6.25
