期間,勞動力參與率_合計,勞動力參與率_國小以下,勞動力參與率_國中,勞動力參與率_高中,勞動力參與率_高職,勞動力參與率_專科,勞動力參與率_大學以上,勞動力參與率_合計,勞動力參與率_國小以下,勞動力參與率_國中,勞動力參與率_高中,勞動力參與率_高職,勞動力參與率_專科,勞動力參與率_大學以上,勞動力參與率_合計,勞動力參與率_國小以下,勞動力參與率_國中,勞動力參與率_高中,勞動力參與率_高職,勞動力參與率_專科,勞動力參與率_大學以上,失業率_合計,失業率_國小以下,失業率_國中,失業率_高中,失業率_高職,失業率_專科,失業率_大學以上,失業率_合計,失業率_國小以下,失業率_國中,失業率_高中,失業率_高職,失業率_專科,失業率_大學以上,失業率_合計,失業率_國小以下,失業率_國中,失業率_高中,失業率_高職,失業率_專科,失業率_大學以上
1988,60.21,54.09,68.87,52.37,64.27,71.40,63.35,74.83,75.35,83.87,61.94,73.60,76.63,67.84,45.56,37.71,49.55,40.05,55.48,64.21,55.70,1.69,0.62,1.77,2.33,2.83,2.60,2.06,1.70,0.77,1.99,2.22,2.61,2.46,1.68,1.68,0.40,1.30,2.55,3.09,2.82,2.84
1989,60.12,53.33,68.52,52.52,64.88,70.91,63.72,74.84,74.60,83.68,62.14,75.06,76.42,68.56,45.35,36.97,49.18,40.40,55.31,63.42,55.47,1.57,0.58,1.62,2.46,2.44,2.31,1.85,1.57,0.76,1.71,2.34,2.20,2.33,1.56,1.56,0.30,1.43,2.68,2.75,2.27,2.47
1990,59.24,51.86,67.24,52.04,64.68,70.06,62.24,73.96,73.02,83.30,61.67,75.39,75.85,66.32,44.50,35.85,46.79,40.27,54.54,62.27,55.47,1.67,0.58,1.73,2.38,2.55,2.46,2.03,1.68,0.72,1.89,2.26,2.43,2.34,1.78,1.64,0.37,1.37,2.61,2.71,2.65,2.52
1991,59.11,51.04,67.08,52.40,64.81,70.17,62.83,73.80,72.20,83.09,62.17,75.53,75.69,66.87,44.39,35.15,46.31,40.41,54.76,62.83,56.26,1.51,0.56,1.61,2.12,2.18,2.23,1.80,1.50,0.75,1.69,1.96,2.03,2.05,1.45,1.53,0.27,1.43,2.40,2.38,2.52,2.47
1992,59.34,50.60,67.07,52.04,65.18,71.50,62.12,73.78,70.87,83.48,61.92,76.30,77.66,66.10,44.83,35.45,45.84,40.03,54.79,63.34,55.87,1.51,0.49,1.52,2.05,2.17,2.05,2.28,1.47,0.61,1.59,2.04,2.04,1.83,1.77,1.57,0.32,1.34,2.07,2.33,2.41,3.24
1993,58.82,49.24,66.39,51.90,64.74,71.34,61.30,72.67,68.90,82.98,61.26,75.20,77.28,64.86,44.89,34.73,44.97,40.51,54.87,63.65,55.80,1.45,0.47,1.38,1.82,1.95,2.25,2.07,1.36,0.58,1.38,1.78,1.75,1.95,1.57,1.59,0.30,1.38,1.87,2.21,2.73,2.97
1994,58.96,48.28,67.03,52.54,64.74,72.30,61.84,72.44,67.33,83.29,61.83,75.40,77.26,64.58,45.40,34.22,45.85,41.45,54.67,66.02,57.65,1.56,0.60,1.53,1.80,2.04,2.12,2.38,1.51,0.75,1.63,1.70,1.85,1.87,1.95,1.65,0.38,1.30,1.99,2.29,2.50,3.11
1995,58.71,47.10,66.66,52.23,64.64,71.72,62.90,72.03,65.73,82.95,61.36,75.49,77.20,65.40,45.34,33.39,45.33,41.18,54.42,65.17,59.23,1.79,0.69,1.80,2.12,2.29,2.35,2.52,1.79,0.87,1.95,2.11,2.14,2.22,2.12,1.80,0.43,1.46,2.14,2.48,2.52,3.16
1996,58.44,45.45,65.52,52.80,64.58,72.51,63.27,71.13,63.01,81.72,61.65,74.84,78.16,65.55,45.76,32.65,44.66,42.07,54.82,66.01,60.07,2.60,1.40,2.77,2.82,3.06,3.14,3.13,2.72,1.94,3.21,2.98,2.91,2.80,2.65,2.42,0.64,1.75,2.55,3.26,3.60,3.87
1997,58.33,44.60,64.55,52.30,64.88,73.29,63.50,71.09,61.69,80.83,62.29,75.36,79.62,66.33,45.64,32.06,44.15,40.38,55.02,66.05,59.67,2.72,1.77,3.25,2.89,3.06,2.85,2.63,2.94,2.48,3.79,3.07,3.04,2.49,2.32,2.37,0.77,2.03,2.57,3.08,3.36,3.10
1998,58.04,42.74,64.97,52.63,64.91,72.61,63.52,70.58,59.41,81.27,62.99,75.19,78.71,66.34,45.60,30.53,44.27,40.25,55.35,65.83,59.83,2.69,1.65,2.97,2.85,3.18,2.90,2.67,2.93,2.28,3.43,2.99,3.36,2.75,2.33,2.33,0.77,1.90,2.59,2.94,3.10,3.17
1999,57.93,41.07,64.71,52.69,65.19,72.89,62.44,69.93,56.94,80.44,63.47,75.07,78.54,65.13,46.03,29.65,44.90,39.79,56.02,66.68,58.90,2.92,1.99,3.28,2.92,3.35,3.10,2.69,3.23,2.77,3.78,3.27,3.66,2.88,2.42,2.46,0.93,2.14,2.25,2.95,3.40,3.09
2000,57.68,39.58,64.62,51.75,65.67,73.29,61.44,69.42,54.94,80.26,62.31,75.81,78.67,63.74,46.02,28.65,44.77,39.15,56.29,67.40,58.42,2.99,2.05,3.50,2.96,3.48,2.90,2.67,3.36,2.86,4.09,3.27,3.90,2.76,2.44,2.44,0.94,2.15,2.36,2.96,3.07,3.01
2001,57.23,37.92,65.08,50.45,66.27,73.33,59.07,68.47,53.30,79.92,60.27,75.99,78.69,61.13,46.10,27.09,45.89,38.72,57.38,67.56,56.40,4.57,3.56,5.75,4.86,5.21,4.03,3.32,5.16,4.91,6.51,5.41,5.72,4.08,3.08,3.71,1.69,4.04,3.84,4.58,3.96,3.66
2002,57.34,37.07,65.36,49.72,67.38,74.24,57.79,68.22,52.18,79.50,59.41,77.20,79.35,60.03,46.59,26.63,46.37,38.18,58.53,68.83,54.94,5.17,3.87,6.28,5.55,6.04,4.60,3.89,5.91,5.49,7.38,6.16,6.77,4.78,3.54,4.10,1.67,3.77,4.40,5.18,4.37,4.38
2003,57.34,36.14,64.83,50.14,67.92,74.89,56.96,67.69,50.18,78.46,59.20,77.95,80.11,58.82,47.14,26.40,46.38,39.56,58.86,69.42,54.70,4.99,4.10,6.11,5.28,5.71,4.32,3.82,5.51,5.00,7.05,5.84,6.32,4.39,3.36,4.25,2.91,3.96,4.29,4.98,4.22,4.42
2004,57.66,34.82,64.48,50.59,69.09,75.81,57.47,67.78,48.59,77.76,59.40,79.33,81.12,59.37,47.71,25.26,46.51,40.35,59.90,70.32,55.22,4.44,3.35,5.13,4.52,4.98,4.02,4.11,4.83,4.10,5.82,4.90,5.54,4.11,3.68,3.89,2.36,3.56,3.85,4.31,3.90,4.66
2005,57.78,33.52,64.00,50.34,69.20,76.86,58.52,67.62,47.01,77.23,59.10,79.41,82.40,59.88,48.12,24.23,46.21,40.19,59.98,71.24,56.93,4.13,2.71,4.61,4.44,4.57,3.78,4.23,4.31,3.26,5.04,4.45,4.85,3.86,3.79,3.88,1.96,3.63,4.44,4.22,3.69,4.78
2006,57.97,31.90,62.95,49.59,69.61,77.67,60.25,67.27,44.61,75.89,57.98,79.39,83.63,61.50,48.82,23.14,45.75,39.98,60.74,71.69,58.79,3.91,2.31,3.89,4.13,4.43,3.55,4.36,4.05,2.83,4.32,4.30,4.62,3.47,4.14,3.71,1.63,2.93,3.85,4.21,3.65,4.62
2007,58.25,30.88,62.93,50.44,69.85,77.26,61.46,67.24,42.83,76.01,58.69,78.83,83.18,62.55,49.44,22.68,45.75,41.04,61.61,71.31,60.23,3.91,2.26,3.91,3.97,4.41,3.36,4.51,4.05,2.74,4.28,4.19,4.69,3.41,4.16,3.72,1.64,3.11,3.60,4.09,3.31,4.93
2008,58.28,29.71,61.99,50.57,69.31,77.47,62.63,67.09,41.46,74.84,58.64,78.43,83.19,63.83,49.67,21.68,45.04,41.42,60.87,71.78,61.32,4.14,2.66,4.52,4.36,4.33,3.44,4.78,4.39,3.28,5.05,4.67,4.67,3.64,4.45,3.83,1.86,3.38,3.85,3.92,3.21,5.15
2009,57.90,28.23,61.02,49.91,68.12,76.99,63.58,66.40,39.63,73.21,58.10,77.35,83.18,64.17,49.62,20.44,44.87,40.73,59.55,70.89,62.95,5.85,4.35,6.83,6.07,6.23,4.96,5.98,6.53,5.70,7.85,6.60,7.10,5.60,5.89,4.96,2.56,4.62,5.23,5.18,4.23,6.09
2010,58.07,27.89,61.23,49.45,67.88,76.87,63.91,66.51,39.21,73.02,57.45,77.30,83.36,64.87,49.89,20.17,45.51,40.60,59.11,70.54,62.91,5.21,3.27,5.84,5.43,5.63,4.33,5.62,5.80,4.42,6.79,5.94,6.35,4.80,5.69,4.45,1.76,3.81,4.64,4.76,3.79,5.55
2011,58.17,27.40,60.56,49.62,68.05,76.28,64.13,66.67,39.07,72.78,57.35,77.50,83.36,65.27,49.97,19.39,43.86,41.16,59.24,69.46,62.97,4.39,2.52,4.44,4.75,4.63,3.40,5.18,4.71,3.40,5.11,5.32,4.98,3.85,4.98,3.96,1.31,2.92,3.90,4.21,2.88,5.38
2012,58.35,27.36,60.51,49.62,68.04,75.51,64.35,66.83,38.84,72.75,58.00,77.62,82.50,65.95,50.19,19.22,43.23,40.45,59.00,68.81,62.83,4.24,2.32,4.27,4.45,4.15,3.18,5.37,4.49,3.04,5.00,5.11,4.42,3.28,5.21,3.92,1.29,2.54,3.40,3.81,3.06,5.53
2013,58.43,27.23,61.04,48.79,67.80,74.92,64.44,66.74,38.19,72.79,57.06,77.26,82.37,66.66,50.46,19.09,43.81,39.69,58.73,67.83,62.48,4.18,2.29,4.29,4.25,4.06,3.11,5.26,4.47,2.90,4.91,4.48,4.56,3.24,5.33,3.80,1.37,2.78,3.90,3.44,2.96,5.18
