期間,雇主_原始值,雇主_年增率(%),雇主_原始值,雇主_年增率(%),雇主_原始值,雇主_年增率(%),自營作業者_原始值,自營作業者_年增率(%),自營作業者_原始值,自營作業者_年增率(%),自營作業者_原始值,自營作業者_年增率(%),無酬家屬工作者_原始值,無酬家屬工作者_年增率(%),無酬家屬工作者_原始值,無酬家屬工作者_年增率(%),無酬家屬工作者_原始值,無酬家屬工作者_年增率(%),受私人雇用者_原始值,受私人雇用者_年增率(%),受私人雇用者_原始值,受私人雇用者_年增率(%),受私人雇用者_原始值,受私人雇用者_年增率(%),受政府雇用者_原始值,受政府雇用者_年增率(%),受政府雇用者_原始值,受政府雇用者_年增率(%),受政府雇用者_原始值,受政府雇用者_年增率(%)
1979M08,263,20.22,240,21.61,23,7.33,"1,375",-3.71,"1,155",-3.78,220,-3.35,757,-9.12,267,-13.70,490,-6.41,"3,401",4.91,"2,182",7.06,"1,219",1.28,755,4.62,543,5.01,212,3.62
1979M09,255,10.36,231,10.88,24,5.43,"1,355",-2.35,"1,126",-4.81,229,11.91,707,-8.10,269,-4.44,438,-10.22,"3,400",6.15,"2,179",7.07,"1,221",4.53,755,8.00,546,8.88,208,5.75
1979M10,266,6.15,243,6.79,23,-0.14,"1,318",-3.17,"1,095",-5.63,223,11.05,687,-10.97,261,-8.28,426,-12.54,"3,372",5.37,"2,157",4.64,"1,215",6.70,800,14.81,583,16.36,217,10.85
1979M11,286,14.05,259,16.40,26,-4.95,"1,340",1.98,"1,114",-0.51,227,16.27,708,-11.78,262,-12.13,447,-11.57,"3,332",4.05,"2,157",3.24,"1,175",5.55,758,6.13,553,7.03,205,3.78
1979M12,312,32.93,282,34.80,30,17.60,"1,360",2.93,"1,128",0.95,232,13.75,713,-1.75,256,-8.79,457,2.68,"3,388",4.81,"2,178",3.91,"1,210",6.49,735,-0.85,543,1.36,192,-6.59
1980M01,293,15.92,261,15.88,32,16.25,"1,327",-0.36,"1,095",-0.35,233,-0.37,704,-3.18,233,-10.43,471,0.86,"3,478",4.02,"2,207",2.96,"1,271",5.92,768,2.36,550,0.08,218,8.61
1980M02,275,16.52,246,15.75,30,23.36,"1,368",0.47,"1,132",2.07,236,-6.56,725,-2.06,248,-7.85,478,1.24,"3,348",1.57,"2,140",1.76,"1,208",1.23,812,3.34,572,0.28,240,11.43
1980M03,293,23.50,262,21.41,32,44.09,"1,339",0.08,"1,115",2.55,224,-10.61,706,3.28,236,-5.20,470,8.13,"3,224",-1.05,"2,088",-1.08,"1,136",-1.01,845,5.93,601,3.90,244,11.29
1980M04,285,13.70,256,12.92,29,21.09,"1,356",3.12,"1,129",4.17,226,-1.83,678,1.80,240,-0.65,438,3.19,"3,287",-1.46,"2,116",-1.53,"1,171",-1.34,818,6.59,589,5.31,230,10.04
1980M05,289,7.99,258,6.06,31,27.49,"1,352",1.74,"1,116",0.13,236,10.17,684,2.34,222,-7.10,462,7.60,"3,330",2.91,"2,111",2.97,"1,218",2.80,833,2.81,599,0.66,234,8.76
1980M06,293,1.62,266,2.29,28,-4.40,"1,321",-2.58,"1,073",-4.82,248,8.44,721,2.71,227,-4.02,494,6.14,"3,354",3.00,"2,093",3.09,"1,261",2.83,837,7.54,603,5.44,235,13.34
1980M07,289,5.20,261,5.50,28,2.50,"1,358",-3.09,"1,113",-3.93,245,0.89,820,-3.39,267,-6.96,552,-1.56,"3,418",2.60,"2,161",2.94,"1,257",2.02,833,9.88,600,8.08,233,14.81
1980M08,301,14.51,272,13.28,29,27.38,"1,360",-1.11,"1,128",-2.32,232,5.23,711,-6.05,224,-16.13,487,-0.57,"3,476",2.19,"2,210",1.25,"1,266",3.87,824,9.25,594,9.38,231,8.91
1980M09,293,14.86,264,14.18,29,21.54,"1,337",-1.31,"1,114",-1.05,223,-2.55,638,-9.66,215,-20.03,423,-3.28,"3,460",1.75,"2,202",1.02,"1,258",3.06,800,6.03,580,6.15,220,5.73
1980M10,273,2.65,247,1.40,27,15.84,"1,314",-0.32,"1,103",0.68,211,-5.25,650,-5.41,239,-8.63,412,-3.43,"3,458",2.54,"2,218",2.82,"1,239",2.03,823,2.93,585,0.36,238,9.84
1980M11,303,6.06,276,6.19,27,4.81,"1,304",-2.70,"1,102",-1.01,202,-10.99,676,-4.54,231,-11.72,445,-0.33,"3,459",3.82,"2,230",3.37,"1,229",4.63,795,4.91,562,1.53,234,14.04
1980M12,291,-6.68,264,-6.37,27,-9.58,"1,357",-0.26,"1,138",0.93,218,-6.01,697,-2.32,217,-15.21,480,4.89,"3,513",3.69,"2,220",1.90,"1,294",6.93,794,8.12,564,3.88,231,20.09
1981M01,288,-1.65,259,-0.78,29,-8.86,"1,380",3.95,"1,145",4.56,235,1.06,693,-1.59,223,-4.24,469,-0.27,"3,528",1.46,"2,234",1.22,"1,294",1.88,814,6.06,568,3.17,247,13.34
1981M02,298,8.36,264,7.53,34,15.21,"1,421",3.93,"1,187",4.86,235,-0.49,705,-2.83,249,0.31,456,-4.46,"3,338",-0.31,"2,114",-1.19,"1,223",1.24,827,1.90,584,2.08,244,1.48
1981M03,305,3.98,268,2.31,37,17.75,"1,401",4.62,"1,179",5.78,222,-1.16,670,-5.09,238,0.75,433,-8.01,"3,331",3.34,"2,117",1.40,"1,215",6.90,841,-0.52,596,-0.83,244,0.26
1981M04,289,1.40,257,0.44,32,9.88,"1,368",0.88,"1,148",1.62,220,-2.80,615,-9.27,213,-11.30,402,-8.15,"3,426",4.24,"2,202",4.07,"1,224",4.55,805,-1.58,573,-2.68,232,1.23
1981M05,285,-1.37,261,0.95,24,-20.92,"1,367",1.12,"1,135",1.71,232,-1.70,629,-8.07,211,-5.11,418,-9.49,"3,470",4.22,"2,226",5.42,"1,244",2.15,812,-2.49,576,-3.83,236,0.96
1981M06,283,-3.44,251,-5.44,32,15.78,"1,373",3.94,"1,137",5.92,236,-4.62,718,-0.52,221,-2.85,497,0.55,"3,487",3.96,"2,214",5.79,"1,273",0.94,841,0.37,597,-0.85,243,3.50
1981M07,290,0.27,261,-0.33,29,5.95,"1,372",1.08,"1,146",2.98,226,-7.56,784,-4.40,247,-7.49,536,-2.90,"3,555",3.99,"2,249",4.04,"1,306",3.90,844,1.31,604,0.74,239,2.76
1981M08,309,2.73,275,1.06,34,18.28,"1,382",1.62,"1,167",3.52,214,-7.59,695,-2.29,232,3.51,463,-4.96,"3,531",1.60,"2,246",1.64,"1,285",1.53,819,-0.65,578,-2.57,241,4.26
1981M09,318,8.61,280,6.17,38,31.12,"1,380",3.20,"1,152",3.41,227,2.13,680,6.54,243,12.98,437,3.27,"3,451",-0.25,"2,178",-1.09,"1,274",1.21,806,0.70,575,-0.83,231,4.71
1981M10,311,13.93,279,13.04,33,22.09,"1,405",6.92,"1,174",6.43,232,9.50,711,9.34,245,2.46,466,13.33,"3,421",-1.06,"2,174",-1.98,"1,247",0.58,831,0.92,593,1.49,237,-0.48
1981M11,317,4.58,286,3.93,31,11.12,"1,403",7.59,"1,176",6.66,227,12.68,748,10.64,252,8.94,497,11.52,"3,452",-0.22,"2,208",-1.00,"1,244",1.20,834,4.87,585,4.07,249,6.79
1981M12,320,9.76,288,9.20,31,15.18,"1,394",2.75,"1,157",1.60,237,8.77,690,-0.92,233,7.45,457,-4.70,"3,578",1.85,"2,275",2.48,"1,303",0.76,826,4.01,577,2.47,249,7.77
1982M01,313,8.56,286,10.19,27,-6.08,"1,419",2.87,"1,183",3.32,237,0.63,693,0.05,224,0.32,469,-0.08,"3,586",1.62,"2,267",1.47,"1,319",1.87,844,3.66,593,4.52,251,1.68
1982M02,294,-1.31,271,2.39,24,-30.10,"1,424",0.16,"1,195",0.67,229,-2.42,669,-5.15,222,-10.67,447,-2.15,"3,506",5.06,"2,220",4.99,"1,286",5.16,851,2.91,604,3.50,247,1.48
1982M03,292,-4.27,264,-1.35,28,-25.26,"1,421",1.43,"1,188",0.75,233,5.05,632,-5.73,222,-6.43,409,-5.35,"3,476",4.32,"2,198",3.85,"1,277",5.15,861,2.38,614,3.02,246,0.84
1982M04,313,8.48,285,10.94,28,-11.30,"1,377",0.66,"1,146",-0.15,231,4.87,606,-1.55,215,0.90,391,-2.84,"3,505",2.30,"2,227",1.13,"1,278",4.40,840,4.28,591,3.11,249,7.18
1982M05,302,5.98,273,4.86,29,18.03,"1,395",2.01,"1,174",3.39,221,-4.78,644,2.38,209,-0.90,435,4.04,"3,510",1.15,"2,231",0.22,"1,280",2.82,817,0.56,572,-0.67,245,3.56
1982M06,292,3.24,257,2.30,35,10.59,"1,446",5.33,"1,204",5.92,242,2.50,741,3.30,231,4.71,510,2.68,"3,496",0.24,"2,200",-0.65,"1,296",1.78,833,-0.94,592,-0.99,241,-0.81
1982M07,320,10.50,284,8.91,37,24.54,"1,431",4.29,"1,202",4.84,229,1.51,811,3.51,268,8.63,543,1.16,"3,483",-2.03,"2,197",-2.32,"1,286",-1.54,843,-0.04,588,-2.73,255,6.76
1982M08,303,-1.87,269,-1.91,34,-1.55,"1,464",5.99,"1,233",5.59,232,8.20,739,6.43,250,7.89,489,5.70,"3,479",-1.48,"2,186",-2.66,"1,293",0.59,851,3.91,595,2.96,256,6.20
1982M09,267,-16.01,237,-15.49,30,-19.87,"1,470",6.57,"1,227",6.46,244,7.09,718,5.57,240,-1.11,478,9.29,"3,508",1.66,"2,189",0.54,"1,319",3.58,862,6.99,613,6.63,249,7.89
1982M10,264,-15.06,238,-14.46,26,-20.27,"1,480",5.32,"1,239",5.59,241,3.94,758,6.55,258,5.69,499,7.00,"3,492",2.08,"2,178",0.15,"1,314",5.44,861,3.64,609,2.55,252,6.37
1982M11,262,-17.40,238,-17.05,24,-20.67,"1,472",4.89,"1,225",4.19,247,8.48,832,11.21,274,9.04,558,12.32,"3,529",2.25,"2,169",-1.73,"1,360",9.31,881,5.59,611,4.54,270,8.06
1982M12,269,-15.76,242,-16.18,28,-11.81,"1,450",4.06,"1,206",4.26,244,3.06,744,7.81,248,6.37,496,8.54,"3,593",0.40,"2,221",-2.38,"1,372",5.26,893,8.05,622,7.76,270,8.74
1983M01,282,-9.62,256,-10.35,26,-1.94,"1,489",4.89,"1,216",2.83,272,15.20,771,11.33,232,3.63,539,15.00,"3,667",2.28,"2,255",-0.52,"1,412",7.10,854,1.18,599,0.89,256,1.87
1983M02,256,-13.07,233,-13.99,23,-2.65,"1,515",6.42,"1,237",3.58,278,21.23,773,15.58,247,11.43,525,17.64,"3,515",0.24,"2,167",-2.41,"1,348",4.80,854,0.28,589,-2.54,265,7.17
1983M03,271,-7.05,248,-6.25,24,-14.66,"1,464",3.02,"1,212",2.02,252,8.14,735,16.36,238,7.00,497,21.44,"3,545",2.00,"2,199",0.04,"1,346",5.38,838,-2.62,585,-4.79,253,2.77
1983M04,282,-9.97,257,-9.62,24,-13.56,"1,448",5.20,"1,203",5.02,245,6.13,724,19.46,226,5.04,498,27.39,"3,516",0.31,"2,161",-2.95,"1,355",5.99,855,1.82,606,2.63,249,-0.11
1983M05,295,-2.23,266,-2.73,29,2.56,"1,472",5.54,"1,227",4.51,245,11.02,723,12.27,223,6.80,500,14.90,"3,542",0.91,"2,166",-2.91,"1,376",7.57,865,5.85,609,6.44,256,4.46
1983M06,281,-3.72,253,-1.42,28,-20.42,"1,506",4.09,"1,234",2.45,272,12.25,766,3.30,224,-3.22,542,6.26,"3,564",1.95,"2,190",-0.44,"1,374",6.00,891,7.03,625,5.70,266,10.29
1983M07,292,-8.74,262,-7.70,30,-16.81,"1,479",3.33,"1,211",0.77,268,16.72,836,3.06,274,2.07,562,3.54,"3,628",4.16,"2,238",1.87,"1,390",8.09,903,7.11,612,4.12,291,13.99
1983M08,284,-6.56,252,-6.48,32,-7.16,"1,466",0.08,"1,211",-1.73,254,9.70,841,13.69,277,10.78,564,15.18,"3,707",6.56,"2,288",4.64,"1,420",9.79,890,4.52,595,-0.02,294,15.08
1983M09,282,5.50,252,6.50,29,-2.38,"1,475",0.35,"1,230",0.29,245,0.63,781,8.78,257,7.01,524,9.68,"3,699",5.42,"2,257",3.07,"1,442",9.31,882,2.29,599,-2.23,282,13.43
1983M10,290,9.69,263,10.40,27,3.13,"1,510",2.06,"1,259",1.60,251,4.45,782,3.16,234,-9.45,548,9.69,"3,738",7.05,"2,281",4.72,"1,458",10.91,864,0.37,592,-2.79,272,8.00
1983M11,293,11.94,263,10.81,30,23.01,"1,543",4.85,"1,269",3.60,274,11.02,878,5.52,247,-9.85,631,13.07,"3,791",7.41,"2,293",5.70,"1,498",10.15,845,-4.08,587,-4.02,258,-4.22
1983M12,286,6.21,257,6.18,29,6.48,"1,541",6.25,"1,264",4.80,277,13.41,788,5.93,227,-8.48,561,13.13,"3,854",7.28,"2,316",4.30,"1,538",12.11,830,-7.00,583,-6.38,248,-8.41
1984M01,291,3.14,263,2.92,28,5.29,"1,525",2.45,"1,250",2.80,275,0.88,838,8.61,246,6.03,592,9.72,"3,913",6.69,"2,349",4.14,"1,564",10.75,809,-5.33,563,-5.89,245,-4.03
1984M02,295,15.45,266,14.27,29,27.30,"1,529",0.90,"1,263",2.11,265,-4.49,845,9.41,259,4.72,586,11.62,"3,791",7.85,"2,286",5.52,"1,505",11.61,811,-5.06,557,-5.44,254,-4.22
1984M03,277,2.19,250,0.82,28,16.43,"1,514",3.44,"1,258",3.84,256,1.49,786,6.87,239,0.28,547,10.02,"3,798",7.14,"2,299",4.51,"1,500",11.44,839,0.11,569,-2.73,270,6.65
1984M04,297,5.40,266,3.36,31,26.84,"1,472",1.67,"1,212",0.69,261,6.46,746,3.07,229,1.44,517,3.81,"3,767",7.14,"2,282",5.62,"1,484",9.57,868,1.57,587,-3.17,281,13.11
1984M05,287,-2.70,256,-3.77,31,7.05,"1,541",4.74,"1,271",3.66,270,10.13,730,0.97,209,-6.45,522,4.28,"3,770",6.43,"2,276",5.08,"1,494",8.56,873,0.92,598,-1.87,275,7.57
1984M06,294,4.49,266,5.02,28,-0.24,"1,530",1.60,"1,246",0.97,284,4.43,777,1.40,215,-3.83,561,3.56,"3,808",6.85,"2,272",3.76,"1,535",11.77,900,0.97,625,-0.08,275,3.44
1984M07,300,2.46,277,5.93,22,-27.35,"1,504",1.68,"1,231",1.65,273,1.84,867,3.68,256,-6.54,611,8.66,"3,868",6.62,"2,341",4.62,"1,527",9.83,878,-2.77,600,-1.98,278,-4.44
1984M08,300,5.78,272,8.05,28,-12.40,"1,486",1.38,"1,243",2.64,242,-4.67,807,-4.03,250,-9.64,557,-1.27,"3,865",4.25,"2,324",1.60,"1,541",8.53,872,-1.92,596,0.14,276,-6.09
1984M09,301,6.97,272,7.75,29,0.24,"1,466",-0.64,"1,212",-1.44,253,3.42,721,-7.68,221,-14.03,500,-4.56,"3,908",5.66,"2,348",4.05,"1,560",8.20,896,1.67,619,3.22,278,-1.63
1984M10,307,5.75,279,5.81,28,5.13,"1,521",0.71,"1,267",0.62,254,1.18,741,-5.23,223,-4.80,518,-5.42,"3,892",4.11,"2,333",2.28,"1,559",6.96,864,-0.05,600,1.39,264,-3.18
1984M11,307,4.69,277,5.23,30,-0.09,"1,535",-0.55,"1,273",0.31,261,-4.55,797,-9.23,242,-2.01,555,-12.06,"3,901",2.92,"2,340",2.04,"1,562",4.27,848,0.34,583,-0.56,264,2.38
1984M12,324,13.42,286,11.29,39,32.08,"1,536",-0.34,"1,268",0.36,267,-3.57,793,0.57,236,4.01,557,-0.83,"3,934",2.08,"2,363",2.01,"1,572",2.19,838,0.94,578,-0.70,260,4.81
1985M01,311,6.70,278,5.47,33,18.36,"1,536",0.72,"1,258",0.58,279,1.34,848,1.19,244,-0.63,603,1.94,"3,958",1.16,"2,368",0.83,"1,590",1.65,886,9.59,607,7.70,279,13.92
1985M02,302,2.26,272,2.40,30,0.91,"1,529",0.03,"1,261",-0.19,268,1.08,868,2.68,259,0.07,609,3.83,"3,942",3.98,"2,385",4.33,"1,556",3.45,860,6.13,575,3.25,286,12.46
1985M03,317,14.44,286,14.56,31,13.41,"1,529",0.96,"1,277",1.50,251,-1.66,820,4.38,244,2.11,576,5.37,"3,795",-0.10,"2,280",-0.83,"1,515",1.02,874,4.21,582,2.23,293,8.40
1985M04,323,8.55,290,8.80,33,6.34,"1,528",3.75,"1,266",4.47,262,0.42,791,6.05,239,4.15,553,6.90,"3,862",2.52,"2,312",1.28,"1,550",4.43,849,-2.27,573,-2.42,276,-1.96
1985M05,313,8.85,279,9.07,34,7.08,"1,571",1.92,"1,289",1.40,282,4.36,753,3.08,206,-1.34,547,4.85,"3,926",4.14,"2,363",3.82,"1,563",4.61,812,-7.00,547,-8.39,264,-3.99
1985M06,301,2.26,263,-1.32,38,36.21,"1,577",3.09,"1,289",3.49,288,1.32,806,3.73,218,1.21,588,4.70,"3,928",3.15,"2,353",3.56,"1,574",2.54,823,-8.50,557,-10.81,266,-3.25
1985M07,339,13.08,301,8.65,37,68.51,"1,533",1.93,"1,251",1.63,282,3.25,839,-3.23,249,-2.62,589,-3.49,"3,919",1.33,"2,355",0.60,"1,564",2.46,848,-3.44,573,-4.43,274,-1.31
1985M08,327,8.97,293,7.57,34,22.81,"1,508",1.48,"1,259",1.22,249,2.83,784,-2.81,244,-2.43,540,-2.98,"3,842",-0.60,"2,298",-1.15,"1,544",0.24,896,2.75,611,2.47,286,3.35
1985M09,330,9.50,294,8.12,36,22.23,"1,492",1.80,"1,247",2.89,245,-3.41,741,2.82,229,3.74,512,2.41,"3,863",-1.14,"2,309",-1.66,"1,555",-0.36,923,2.99,625,1.09,298,7.21
1985M10,315,2.75,281,1.05,34,19.52,"1,552",2.00,"1,292",1.96,260,2.16,783,5.71,228,2.30,555,7.18,"3,882",-0.24,"2,345",0.53,"1,538",-1.39,886,2.62,593,-1.16,293,11.22
1985M11,317,3.35,279,0.84,38,26.73,"1,588",3.46,"1,309",2.85,278,6.41,793,-0.45,230,-5.22,564,1.63,"3,892",-0.26,"2,343",0.15,"1,549",-0.86,847,-0.06,581,-0.34,266,0.56
1985M12,332,2.53,294,3.05,38,-1.29,"1,589",3.48,"1,316",3.72,274,2.33,819,3.35,223,-5.73,597,7.20,"3,944",0.24,"2,348",-0.62,"1,596",1.53,880,4.97,614,6.11,266,2.44
1986M01,325,4.63,282,1.58,43,30.25,"1,607",4.59,"1,312",4.35,294,5.69,903,6.47,255,4.15,648,7.41,"3,960",0.05,"2,319",-2.08,"1,641",3.22,934,5.34,644,6.18,289,3.53
1986M02,302,0.01,264,-3.08,38,28.35,"1,609",5.21,"1,314",4.16,295,10.14,923,6.37,276,6.30,648,6.40,"3,828",-2.88,"2,254",-5.48,"1,574",1.11,918,6.65,619,7.77,298,4.40
1986M03,318,0.13,285,-0.48,33,5.68,"1,571",2.75,"1,298",1.60,273,8.60,886,8.03,258,6.05,628,8.87,"3,864",1.82,"2,294",0.64,"1,570",3.60,886,1.31,601,3.28,285,-2.59
1986M04,324,0.55,292,0.89,32,-2.48,"1,531",0.23,"1,252",-1.13,280,6.83,861,8.87,262,9.64,600,8.54,"3,975",2.94,"2,351",1.72,"1,624",4.75,873,2.87,598,4.45,275,-0.39
1986M05,324,3.64,293,4.86,31,-6.46,"1,556",-0.94,"1,270",-1.50,286,1.64,815,8.21,241,16.87,574,4.94,"4,052",3.21,"2,388",1.06,"1,664",6.46,871,7.37,595,8.77,276,4.45
1986M06,331,10.17,294,11.92,38,-1.84,"1,559",-1.12,"1,257",-2.49,302,5.04,819,1.66,229,5.26,590,0.33,"4,109",4.61,"2,398",1.91,"1,710",8.65,883,7.21,596,6.88,287,7.90
1986M07,345,1.95,308,2.15,37,0.36,"1,555",1.43,"1,256",0.38,299,6.08,863,2.97,248,-0.47,615,4.42,"4,174",6.50,"2,410",2.34,"1,764",12.77,931,9.78,626,9.20,305,10.99
1986M08,359,9.89,324,10.44,36,5.06,"1,557",3.26,"1,281",1.80,276,10.65,790,0.76,233,-4.67,557,3.21,"4,113",7.07,"2,353",2.39,"1,761",14.02,958,6.82,644,5.50,313,9.65
1986M09,346,4.76,304,3.45,42,15.50,"1,535",2.86,"1,262",1.17,273,11.47,788,6.26,228,-0.44,559,9.26,"4,113",6.45,"2,396",3.78,"1,717",10.41,946,2.50,637,1.89,309,3.76
1986M10,316,0.31,280,-0.69,37,8.71,"1,530",-1.38,"1,259",-2.56,272,4.50,809,3.37,234,2.60,575,3.68,"4,262",9.78,"2,489",6.13,"1,774",15.34,935,5.50,626,5.54,309,5.42
1986M11,341,7.72,301,7.84,40,6.88,"1,570",-1.14,"1,297",-0.93,272,-2.12,815,2.74,223,-2.78,592,4.98,"4,216",8.35,"2,448",4.49,"1,768",14.18,926,9.27,625,7.56,300,13.02
1986M12,336,0.96,295,0.29,41,6.12,"1,577",-0.75,"1,299",-1.30,279,1.88,807,-1.52,221,-0.67,586,-1.84,"4,303",9.11,"2,499",6.44,"1,804",13.04,963,9.52,654,6.54,309,16.40
1987M01,329,1.13,289,2.30,40,-6.57,"1,572",-2.14,"1,282",-2.28,290,-1.52,814,-9.80,225,-11.75,589,-9.03,"4,368",10.30,"2,531",9.15,"1,837",11.92,966,3.49,648,0.61,318,9.91
1987M02,328,8.66,288,9.03,40,6.13,"1,560",-3.02,"1,276",-2.82,284,-3.90,818,-11.42,245,-11.12,573,-11.55,"4,323",12.91,"2,519",11.71,"1,804",14.63,917,-0.10,613,-1.09,304,1.97
1987M03,340,7.08,306,7.34,35,4.84,"1,529",-2.68,"1,250",-3.69,279,2.16,791,-10.73,240,-7.20,551,-12.18,"4,277",10.69,"2,502",9.06,"1,775",13.08,928,4.73,615,2.43,312,9.58
1987M04,335,3.38,304,4.03,31,-2.51,"1,512",-1.27,"1,253",0.13,259,-7.58,751,-12.86,229,-12.43,521,-13.05,"4,328",8.88,"2,514",6.91,"1,814",11.72,918,5.14,605,1.10,313,13.93
1987M05,338,4.38,306,4.40,33,4.21,"1,538",-1.18,"1,269",-0.03,268,-6.28,750,-7.97,203,-15.80,547,-4.69,"4,375",7.97,"2,525",5.73,"1,850",11.18,897,2.98,591,-0.79,307,11.13
1987M06,349,5.23,311,5.98,37,-0.60,"1,547",-0.77,"1,248",-0.69,299,-1.11,805,-1.66,212,-7.73,594,0.70,"4,426",7.72,"2,564",6.90,"1,862",8.88,902,2.25,595,-0.12,308,7.17
1987M07,341,-1.16,302,-1.77,39,3.79,"1,547",-0.48,"1,248",-0.62,299,0.10,826,-4.29,242,-2.58,585,-4.99,"4,466",7.00,"2,596",7.73,"1,870",6.01,937,0.63,631,0.78,306,0.31
1987M08,363,1.21,321,-0.70,42,18.59,"1,551",-0.39,"1,260",-1.64,291,5.42,819,3.70,231,-0.86,589,5.60,"4,451",8.22,"2,531",7.60,"1,920",9.04,954,-0.38,640,-0.73,314,0.35
1987M09,353,2.26,314,3.21,40,-4.74,"1,525",-0.66,"1,241",-1.67,284,4.01,772,-2.01,205,-10.38,567,1.41,"4,464",8.55,"2,576",7.52,"1,888",10.00,950,0.40,633,-0.69,317,2.64
1987M10,332,5.14,292,4.42,40,10.69,"1,538",0.53,"1,246",-1.00,292,7.64,771,-4.70,209,-10.64,562,-2.28,"4,478",5.05,"2,619",5.24,"1,859",4.80,979,4.71,651,4.09,328,5.95
1987M11,347,1.68,307,1.98,40,-0.63,"1,524",-2.90,"1,253",-3.38,271,-0.63,806,-1.08,218,-2.40,588,-0.59,"4,479",6.22,"2,610",6.60,"1,869",5.70,940,1.57,626,0.11,314,4.60
