期間,期中人口(人)_原始值,期中人口(人)_年增率(%),平均匯率(元/美元)_原始值,平均匯率(元/美元)_年增率(%),經濟成長(%)_原始值,經濟成長(%)_年增率(%),國內生產毛額(名目值，百萬元)_原始值,國內生產毛額(名目值，百萬元)_年增率(%),國內生產毛額(名目值，百萬美元)_原始值,國內生產毛額(名目值，百萬美元)_年增率(%),平均每人GDP(名目值，元)_原始值,平均每人GDP(名目值，元)_年增率(%),平均每人GDP(名目值，美元)_原始值,平均每人GDP(名目值，美元)_年增率(%),國民生產毛額(名目值，百萬元)_原始值,國民生產毛額(名目值，百萬元)_年增率(%),國民生產毛額(名目值，百萬美元)_原始值,國民生產毛額(名目值，百萬美元)_年增率(%),平均每人GNP(名目值，元)_原始值,平均每人GNP(名目值，元)_年增率(%),平均每人GNP(名目值，美元)_原始值,平均每人GNP(名目值，美元)_年增率(%),國民所得(名目值，百萬元)_原始值,國民所得(名目值，百萬元)_年增率(%),國民所得(名目值，百萬美元)_原始值,國民所得(名目值，百萬美元)_年增率(%),平均每人所得(名目值，元)_原始值,平均每人所得(名目值，元)_年增率(%),平均每人所得(名目值，美元)_原始值,平均每人所得(名目值，美元)_年增率(%)
1963Q3,"11,808,891",3.24,40.00,0.00,6.42,-,"20,489",10.37,512,10.34,"1,735",6.83,43,4.88,"20,461",10.38,512,10.58,"1,733",6.91,43,4.88,"19,284",10.76,482,10.80,"1,633",7.29,41,7.89
1963Q4,"11,902,471",3.24,40.00,0.00,9.43,-,"24,762",12.28,619,12.34,"2,081",8.78,53,12.77,"24,735",12.30,618,12.16,"2,080",8.79,52,10.64,"23,430",12.65,586,12.69,"1,969",9.03,49,8.89
1964Q1,"11,996,231",3.22,40.00,0.00,11.86,-,"26,235",19.78,656,19.71,"2,187",15.96,55,17.02,"26,216",19.86,655,19.74,"2,186",16.15,55,17.02,"24,871",20.09,622,20.08,"2,073",16.26,52,15.56
1964Q2,"12,090,172",3.20,40.00,0.00,12.84,-,"25,480",18.18,637,18.18,"2,107",14.51,53,15.22,"25,477",18.32,637,18.40,"2,107",14.64,53,15.22,"24,152",18.54,604,18.66,"1,998",14.89,50,16.28
1964Q3,"12,184,114",3.18,40.00,0.00,12.44,-,"23,683",15.59,592,15.63,"1,944",12.05,49,13.95,"23,691",15.79,592,15.63,"1,944",12.18,49,13.95,"22,379",16.05,559,15.98,"1,837",12.49,46,12.20
1964Q4,"12,278,055",3.16,40.00,0.00,9.45,-,"28,090",13.44,702,13.41,"2,289",10.00,56,5.66,"28,120",13.69,704,13.92,"2,291",10.14,56,7.69,"26,692",13.92,667,13.82,"2,174",10.41,54,10.20
1965Q1,"12,371,735",3.13,40.00,0.00,9.23,-,"28,088",7.06,702,7.01,"2,270",3.80,57,3.64,"28,040",6.96,701,7.02,"2,266",3.66,57,3.64,"26,596",6.94,665,6.91,"2,150",3.71,54,3.85
1965Q2,"12,465,154",3.10,40.00,0.00,10.66,-,"28,486",11.80,712,11.77,"2,286",8.50,57,7.55,"28,437",11.62,711,11.62,"2,282",8.31,57,7.55,"26,951",11.59,674,11.59,"2,163",8.26,54,8.00
1965Q3,"12,558,572",3.07,40.00,0.00,11.82,-,"26,719",12.82,668,12.84,"2,128",9.47,53,8.16,"26,670",12.57,667,12.67,"2,124",9.26,53,8.16,"25,186",12.54,630,12.70,"2,005",9.15,50,8.70
1965Q4,"12,651,991",3.05,40.00,0.00,11.73,-,"31,066",10.59,777,10.68,"2,456",7.30,62,10.71,"31,018",10.31,775,10.09,"2,453",7.07,61,8.93,"29,427",10.25,735,10.19,"2,327",7.04,58,7.41
1966Q1,"12,742,563",3.00,40.00,0.00,5.73,-,"30,261",7.74,757,7.83,"2,376",4.67,59,3.51,"30,250",7.88,756,7.85,"2,375",4.81,59,3.51,"28,688",7.87,717,7.82,"2,252",4.74,56,3.70
1966Q2,"12,830,290",2.93,40.00,0.00,8.77,-,"31,231",9.64,781,9.69,"2,435",6.52,61,7.02,"31,214",9.77,780,9.70,"2,434",6.66,61,7.02,"29,567",9.71,739,9.64,"2,305",6.56,58,7.41
1966Q3,"12,918,016",2.86,40.00,0.00,12.39,-,"30,755",15.11,769,15.12,"2,382",11.94,60,13.21,"30,733",15.23,768,15.14,"2,380",12.05,59,11.32,"28,979",15.06,724,14.92,"2,244",11.92,56,12.00
1966Q4,"13,005,742",2.80,40.00,0.00,8.29,-,"35,428",14.04,885,13.90,"2,724",10.91,68,9.68,"35,381",14.07,885,14.19,"2,721",10.93,69,13.11,"33,541",13.98,839,14.15,"2,580",10.87,65,12.07
1967Q1,"13,089,790",2.72,40.00,0.00,11.59,-,"35,053",15.84,876,15.72,"2,679",12.75,67,13.56,"34,985",15.65,875,15.74,"2,674",12.59,67,13.56,"33,116",15.44,828,15.48,"2,531",12.39,63,12.50
1967Q2,"13,170,160",2.65,40.00,0.00,9.54,-,"35,439",13.47,886,13.44,"2,692",10.55,67,9.84,"35,356",13.27,884,13.33,"2,686",10.35,67,9.84,"33,383",12.91,835,12.99,"2,536",10.02,63,8.62
1967Q3,"13,250,529",2.57,40.00,0.00,8.30,-,"35,789",16.37,895,16.38,"2,702",13.43,68,13.33,"35,709",16.19,893,16.28,"2,696",13.28,67,13.56,"33,632",16.06,841,16.16,"2,539",13.15,63,12.50
1967Q4,"13,330,899",2.50,40.00,0.00,12.02,-,"41,182",16.24,"1,030",16.38,"3,090",13.44,77,13.24,"41,090",16.14,"1,027",16.05,"3,082",13.27,77,11.59,"38,924",16.05,972,15.85,"2,920",13.18,74,13.85
1968Q1,"13,415,447",2.49,40.00,0.00,7.72,-,"39,708",13.28,993,13.36,"2,961",10.53,74,10.45,"39,623",13.26,991,13.26,"2,955",10.51,74,10.45,"37,370",12.85,934,12.80,"2,787",10.11,70,11.11
1968Q2,"13,504,174",2.54,40.00,0.00,8.22,-,"41,298",16.53,"1,032",16.48,"3,059",13.63,76,13.43,"41,238",16.64,"1,031",16.63,"3,055",13.74,76,13.43,"38,881",16.47,972,16.41,"2,880",13.56,72,14.29
1968Q3,"13,592,901",2.58,40.00,0.00,12.16,-,"42,735",19.41,"1,068",19.33,"3,145",16.40,79,16.18,"42,635",19.40,"1,066",19.37,"3,138",16.39,78,16.42,"40,096",19.22,"1,002",19.14,"2,951",16.23,74,17.46
1968Q4,"13,681,628",2.63,40.00,0.00,8.12,-,"48,076",16.74,"1,202",16.70,"3,517",13.82,88,14.29,"47,863",16.48,"1,196",16.46,"3,500",13.56,88,14.29,"45,239",16.22,"1,132",16.46,"3,308",13.29,82,10.81
1969Q1,"13,811,739",2.95,40.00,0.00,10.44,-,"47,558",19.77,"1,189",19.74,"3,445",16.35,86,16.22,"47,484",19.84,"1,187",19.78,"3,439",16.38,86,16.22,"44,684",19.57,"1,117",19.59,"3,236",16.11,81,15.71
1969Q2,"13,983,236",3.55,40.00,0.00,8.98,-,"48,366",17.11,"1,209",17.15,"3,461",13.14,86,13.16,"48,294",17.11,"1,207",17.07,"3,455",13.09,86,13.16,"45,359",16.66,"1,134",16.67,"3,245",12.67,81,12.50
1969Q3,"14,154,732",4.13,40.00,0.00,8.86,-,"48,974",14.60,"1,224",14.61,"3,462",10.08,86,8.86,"48,939",14.79,"1,223",14.73,"3,458",10.20,86,10.26,"45,884",14.44,"1,147",14.47,"3,243",9.89,81,9.46
1969Q4,"14,326,228",4.71,40.00,0.00,6.59,-,"54,256",12.85,"1,357",12.90,"3,788",7.71,96,9.09,"54,190",13.22,"1,356",13.38,"3,786",8.17,95,7.95,"51,037",12.82,"1,276",12.72,"3,565",7.77,89,8.54
1970Q1,"14,456,789",4.67,40.00,0.00,7.27,-,"53,023",11.49,"1,326",11.52,"3,668",6.47,92,6.98,"52,998",11.61,"1,325",11.63,"3,666",6.60,92,6.98,"49,847",11.55,"1,246",11.55,"3,448",6.55,86,6.17
1970Q2,"14,539,891",3.98,40.00,0.00,12.15,-,"56,693",17.22,"1,417",17.20,"3,899",12.66,97,12.79,"56,571",17.14,"1,414",17.15,"3,891",12.62,97,12.79,"53,252",17.40,"1,331",17.37,"3,662",12.85,92,13.58
1970Q3,"14,615,985",3.26,40.00,0.00,10.41,-,"56,874",16.13,"1,422",16.18,"3,891",12.39,97,12.79,"56,888",16.24,"1,422",16.27,"3,892",12.55,97,12.79,"53,411",16.40,"1,335",16.39,"3,654",12.67,91,12.35
1970Q4,"14,704,093",2.64,40.00,0.00,12.49,-,"62,800",15.75,"1,570",15.70,"4,272",12.78,107,11.46,"62,521",15.37,"1,563",15.27,"4,253",12.33,107,12.63,"58,835",15.28,"1,472",15.36,"4,003",12.29,100,12.36
1971Q1,"14,795,178",2.34,40.00,0.00,12.63,-,"62,396",17.68,"1,560",17.65,"4,217",14.97,105,14.13,"62,415",17.77,"1,560",17.74,"4,219",15.08,105,14.13,"58,621",17.60,"1,466",17.66,"3,962",14.91,99,15.12
1971Q2,"14,874,437",2.30,40.00,0.00,15.23,-,"66,456",17.22,"1,661",17.22,"4,468",14.59,112,15.46,"66,314",17.22,"1,658",17.26,"4,458",14.57,111,14.43,"62,381",17.14,"1,560",17.21,"4,194",14.53,105,14.13
1971Q3,"14,947,675",2.27,40.00,0.00,13.49,-,"65,972",16.00,"1,649",15.96,"4,414",13.44,110,13.40,"65,914",15.87,"1,648",15.89,"4,410",13.31,110,13.40,"61,824",15.75,"1,546",15.81,"4,136",13.19,103,13.19
1971Q4,"15,028,940",2.21,40.00,0.00,8.81,-,"71,770",14.28,"1,795",14.33,"4,777",11.82,120,12.15,"71,829",14.89,"1,796",14.91,"4,781",12.41,121,13.08,"67,383",14.53,"1,683",14.33,"4,485",12.04,112,12.00
1972Q1,"15,109,925",2.13,40.00,0.00,13.60,-,"74,918",20.07,"1,873",20.06,"4,957",17.55,124,18.10,"74,658",19.62,"1,866",19.62,"4,940",17.09,124,18.10,"69,896",19.23,"1,747",19.17,"4,625",16.73,116,17.17
1972Q2,"15,177,272",2.04,40.00,0.00,13.34,-,"79,755",20.01,"1,994",20.05,"5,253",17.57,131,16.96,"79,821",20.37,"1,996",20.39,"5,258",17.95,131,18.02,"74,837",19.97,"1,871",19.94,"4,930",17.55,123,17.14
1972Q3,"15,243,614",1.98,40.00,0.00,11.50,-,"79,292",20.19,"1,982",20.19,"5,201",17.83,130,18.18,"79,171",20.11,"1,979",20.08,"5,193",17.76,130,18.18,"73,902",19.54,"1,848",19.53,"4,847",17.19,121,17.48
1972Q4,"15,323,024",1.96,40.00,0.00,14.10,-,"85,608",19.28,"2,140",19.22,"5,585",16.91,140,16.67,"85,991",19.72,"2,150",19.71,"5,610",17.34,140,15.70,"80,290",19.15,"2,007",19.25,"5,238",16.79,131,16.96
1973Q1,"15,398,584",1.91,39.00,2.56,13.35,-,"91,567",22.22,"2,346",25.25,"5,948",19.99,152,22.58,"91,602",22.70,"2,347",25.78,"5,951",20.47,153,23.39,"85,370",22.14,"2,187",25.19,"5,546",19.91,142,22.41
1973Q2,"15,466,929",1.91,38.00,5.26,9.39,-,"97,170",21.84,"2,555",28.13,"6,285",19.65,165,25.95,"97,150",21.71,"2,555",28.01,"6,283",19.49,165,25.95,"90,291",20.65,"2,374",26.88,"5,840",18.46,154,25.20
1973Q3,"15,537,283",1.93,38.00,5.26,14.03,-,"104,590",31.90,"2,750",38.75,"6,735",29.49,177,36.15,"104,234",31.66,"2,740",38.45,"6,711",29.23,177,36.15,"96,360",30.39,"2,534",37.12,"6,204",28.00,163,34.71
1973Q4,"15,608,643",1.86,38.00,5.26,10.75,-,"121,784",42.26,"3,202",49.63,"7,805",39.75,206,47.14,"122,009",41.89,"3,208",49.21,"7,820",39.39,205,46.43,"113,152",40.93,"2,975",48.23,"7,252",38.45,190,45.04
1974Q1,"15,676,296",1.80,38.00,2.63,5.97,-,"137,115",49.74,"3,608",53.79,"8,745",47.02,230,51.32,"137,286",49.87,"3,613",53.94,"8,756",47.13,230,50.33,"125,944",47.53,"3,314",51.53,"8,032",44.83,211,48.59
1974Q2,"15,744,624",1.80,38.00,0.00,2.43,-,"141,859",45.99,"3,733",46.11,"9,008",43.33,237,43.64,"141,339",45.49,"3,719",45.56,"8,974",42.83,236,43.03,"129,491",43.42,"3,408",43.56,"8,222",40.79,216,40.26
1974Q3,"15,812,952",1.77,38.00,0.00,-0.69,-,"136,734",30.73,"3,598",30.84,"8,645",28.36,228,28.81,"136,523",30.98,"3,593",31.13,"8,632",28.62,227,28.25,"124,401",29.10,"3,274",29.20,"7,865",26.77,207,26.99
1974Q4,"15,889,319",1.80,38.00,0.00,-0.18,-,"140,595",15.45,"3,701",15.58,"8,845",13.32,232,12.62,"140,978",15.55,"3,710",15.65,"8,870",13.43,234,14.15,"128,650",13.70,"3,385",13.78,"8,095",11.62,214,12.63
1975Q1,"15,967,632",1.86,38.00,0.00,-3.40,-,"138,740",1.19,"3,651",1.19,"8,689",-0.64,229,-0.43,"138,358",0.78,"3,641",0.77,"8,665",-1.04,228,-0.87,"124,564",-1.10,"3,278",-1.09,"7,801",-2.88,205,-2.84
1975Q2,"16,036,952",1.86,38.00,0.00,3.87,-,"146,714",3.42,"3,861",3.43,"9,148",1.55,241,1.69,"145,972",3.28,"3,841",3.28,"9,102",1.43,240,1.69,"132,306",2.17,"3,482",2.17,"8,250",0.34,217,0.46
1975Q3,"16,101,248",1.82,38.00,0.00,9.90,-,"150,844",10.32,"3,970",10.34,"9,368",8.36,247,8.33,"149,503",9.51,"3,934",9.49,"9,285",7.56,244,7.49,"135,373",8.82,"3,562",8.80,"8,408",6.90,221,6.76
1975Q4,"16,180,614",1.83,38.00,0.00,11.61,-,"161,362",14.77,"4,246",14.73,"9,974",12.76,261,12.50,"160,483",13.84,"4,224",13.85,"9,919",11.83,261,11.54,"146,230",13.66,"3,848",13.68,"9,038",11.65,239,11.68
1976Q1,"16,256,774",1.81,38.00,0.00,15.18,-,"167,259",20.56,"4,402",20.57,"10,278",18.29,271,18.34,"166,244",20.15,"4,375",20.16,"10,215",17.89,269,17.98,"150,499",20.82,"3,961",20.84,"9,249",18.56,244,19.02
1976Q2,"16,328,089",1.82,38.00,0.00,13.43,-,"176,306",20.17,"4,640",20.18,"10,787",17.92,284,17.84,"174,612",19.62,"4,595",19.63,"10,683",17.37,281,17.08,"158,426",19.74,"4,169",19.73,"9,693",17.49,255,17.51
1976Q3,"16,414,471",1.95,38.00,0.00,11.95,-,"180,781",19.85,"4,757",19.82,"11,002",17.44,290,17.41,"179,750",20.23,"4,730",20.23,"10,940",17.82,288,18.03,"162,658",20.16,"4,280",20.16,"9,899",17.73,261,18.10
1976Q4,"16,521,945",2.11,38.00,0.00,13.35,-,"192,743",19.45,"5,072",19.45,"11,654",16.84,306,17.24,"191,467",19.31,"5,039",19.29,"11,577",16.72,305,16.86,"173,897",18.92,"4,576",18.92,"10,514",16.33,276,15.48
1977Q1,"16,615,413",2.21,38.00,0.00,11.63,-,"193,124",15.46,"5,082",15.45,"11,625",13.11,306,12.92,"192,828",15.99,"5,074",15.98,"11,607",13.63,305,13.38,"173,796",15.48,"4,574",15.48,"10,461",13.10,275,12.70
1977Q2,"16,688,719",2.21,38.00,0.00,13.21,-,"208,244",18.12,"5,480",18.10,"12,480",15.69,328,15.49,"206,208",18.09,"5,427",18.11,"12,358",15.68,325,15.66,"187,085",18.09,"4,923",18.09,"11,211",15.66,295,15.69
1977Q3,"16,765,038",2.14,38.00,0.00,8.51,-,"209,949",16.13,"5,525",16.14,"12,525",13.84,330,13.79,"209,196",16.38,"5,505",16.38,"12,480",14.08,328,13.89,"189,458",16.48,"4,986",16.50,"11,302",14.17,297,13.79
1977Q4,"16,844,369",1.95,38.00,0.00,10.27,-,"229,529",19.09,"6,041",19.10,"13,627",16.93,359,17.32,"227,490",18.81,"5,987",18.81,"13,506",16.66,357,17.05,"207,208",19.16,"5,452",19.14,"12,304",17.02,325,17.75
1978Q1,"16,916,769",1.81,38.00,0.00,12.86,-,"227,729",17.92,"5,978",17.63,"13,457",15.76,353,15.36,"228,128",18.31,"5,988",18.01,"13,480",16.14,354,16.07,"207,210",19.23,"5,439",18.91,"12,244",17.04,321,16.73
1978Q2,"16,985,043",1.78,38.00,0.00,12.34,-,"246,733",18.48,"6,476",18.18,"14,521",16.35,381,16.16,"244,769",18.70,"6,425",18.39,"14,406",16.57,378,16.31,"223,311",19.36,"5,862",19.07,"13,143",17.23,345,16.95
1978Q3,"17,063,356",1.78,36.12,5.20,17.06,-,"257,653",22.72,"7,115",28.78,"15,094",20.51,417,26.36,"258,517",23.58,"7,139",29.68,"15,144",21.35,418,27.44,"235,748",24.43,"6,510",30.57,"13,811",22.20,382,28.62
1978Q4,"17,156,731",1.85,35.68,6.50,11.92,-,"274,554",19.62,"7,675",27.05,"15,997",17.39,448,24.79,"272,924",19.97,"7,629",27.43,"15,902",17.74,445,24.65,"248,831",20.09,"6,955",27.57,"14,498",17.83,405,24.62
1979Q1,"17,238,277",1.90,35.94,5.73,10.00,-,"278,747",22.40,"7,759",29.79,"16,162",20.10,450,27.48,"279,465",22.50,"7,779",29.91,"16,204",20.21,451,27.40,"253,443",22.31,"7,054",29.69,"14,694",20.01,409,27.41
1979Q2,"17,311,551",1.92,36.01,5.53,9.04,-,"299,112",21.23,"8,309",28.30,"17,269",18.92,480,25.98,"299,856",22.51,"8,330",29.65,"17,312",20.17,481,27.25,"272,310",21.94,"7,564",29.03,"15,722",19.62,437,26.67
1979Q3,"17,393,858",1.94,36.06,0.17,6.74,-,"310,466",20.50,"8,613",21.05,"17,840",18.19,495,18.71,"310,662",20.17,"8,618",20.72,"17,851",17.88,495,18.42,"281,355",19.35,"7,805",19.89,"16,168",17.07,449,17.54
1979Q4,"17,492,224",1.96,36.03,-0.97,6.46,-,"327,070",19.13,"9,080",18.31,"18,689",16.83,518,15.63,"325,812",19.38,"9,045",18.56,"18,616",17.07,517,16.18,"295,187",18.63,"8,196",17.84,"16,866",16.33,468,15.56
1980Q1,"17,578,091",1.97,36.04,-0.28,7.31,-,"349,634",25.43,"9,701",25.03,"19,882",23.02,552,22.67,"351,655",25.83,"9,757",25.43,"19,996",23.40,555,23.06,"317,385",25.23,"8,806",24.84,"18,048",22.83,501,22.49
1980Q2,"17,648,339",1.95,36.04,-0.08,7.59,-,"372,950",24.69,"10,348",24.54,"21,123",22.32,586,22.08,"370,454",23.54,"10,279",23.40,"20,982",21.20,582,21.00,"334,431",22.81,"9,279",22.67,"18,941",20.47,526,20.37
1980Q3,"17,724,609",1.90,35.96,0.28,7.12,-,"382,869",23.32,"10,646",23.60,"21,592",21.03,601,21.41,"384,963",23.92,"10,704",24.21,"21,710",21.62,604,22.02,"347,040",23.35,"9,651",23.65,"19,571",21.05,544,21.16
1980Q4,"17,817,939",1.86,35.96,0.19,7.28,-,"414,493",26.73,"11,526",26.94,"23,254",24.43,646,24.71,"410,768",26.08,"11,422",26.28,"23,044",23.79,640,23.79,"371,228",25.76,"10,322",25.94,"20,826",23.48,579,23.72
1981Q1,"17,901,555",1.84,35.95,0.25,6.63,-,"424,595",21.44,"11,816",21.80,"23,710",19.25,660,19.57,"423,318",20.38,"11,780",20.73,"23,639",18.22,658,18.56,"380,920",20.02,"10,601",20.38,"21,272",17.86,592,18.16
1981Q2,"17,975,802",1.86,36.36,-0.88,6.38,-,"452,214",21.25,"12,442",20.24,"25,149",19.06,692,18.09,"449,489",21.33,"12,367",20.31,"24,997",19.14,688,18.21,"405,457",21.24,"11,156",20.23,"22,549",19.05,620,17.87
1981Q3,"18,058,075",1.88,37.06,-2.97,7.68,-,"461,027",20.41,"12,445",16.90,"25,522",18.20,689,14.64,"459,334",19.32,"12,399",15.84,"25,428",17.13,686,13.58,"416,502",20.02,"11,244",16.51,"23,057",17.81,622,14.34
1981Q4,"18,149,379",1.86,37.80,-4.87,5.21,-,"472,993",14.11,"12,518",8.61,"26,053",12.04,689,6.66,"469,035",14.18,"12,412",8.67,"25,835",12.11,683,6.72,"425,489",14.62,"11,260",9.09,"23,436",12.53,621,7.25
1982Q1,"18,227,453",1.82,37.91,-5.17,3.80,-,"463,038",9.05,"12,216",3.39,"25,385",7.06,670,1.52,"465,023",9.85,"12,268",4.14,"25,494",7.85,673,2.28,"415,862",9.17,"10,973",3.51,"22,800",7.18,602,1.69
1982Q2,"18,294,665",1.77,38.78,-6.24,4.35,-,"488,353",7.99,"12,595",1.23,"26,675",6.07,687,-0.72,"485,012",7.90,"12,509",1.15,"26,492",5.98,683,-0.73,"437,215",7.83,"11,278",1.09,"23,882",5.91,616,-0.65
1982Q3,"18,371,909",1.74,39.65,-6.53,3.85,-,"489,570",6.19,"12,349",-0.77,"26,629",4.34,672,-2.47,"491,112",6.92,"12,388",-0.09,"26,713",5.05,674,-1.75,"447,349",7.41,"11,286",0.37,"24,334",5.54,614,-1.29
1982Q4,"18,466,206",1.75,40.15,-5.85,3.89,-,"500,208",5.75,"12,461",-0.46,"27,069",3.90,674,-2.18,"499,340",6.46,"12,438",0.21,"27,022",4.59,672,-1.61,"454,696",6.86,"11,328",0.60,"24,606",4.99,612,-1.45
1983Q1,"18,547,823",1.76,39.97,-5.15,3.60,-,"496,231",7.17,"12,421",1.68,"26,754",5.39,670,0.00,"502,026",7.96,"12,567",2.44,"27,067",6.17,677,0.59,"449,421",8.07,"11,250",2.52,"24,230",6.27,606,0.66
1983Q2,"18,614,026",1.75,40.03,-3.12,7.65,-,"547,128",12.04,"13,675",8.57,"29,393",10.19,735,6.99,"542,225",11.80,"13,552",8.34,"29,130",9.96,728,6.59,"486,219",11.21,"12,152",7.75,"26,121",9.38,653,6.01
1983Q3,"18,683,238",1.69,40.12,-1.17,10.61,-,"552,796",12.91,"13,786",11.64,"29,588",11.11,738,9.82,"556,068",13.23,"13,867",11.94,"29,763",11.42,742,10.09,"502,485",12.33,"12,532",11.04,"26,896",10.53,671,9.28
1983Q4,"18,754,456",1.56,40.19,-0.10,11.23,-,"571,988",14.35,"14,240",14.28,"30,500",12.68,759,12.61,"571,080",14.37,"14,218",14.31,"30,449",12.68,759,12.95,"516,425",13.58,"12,857",13.50,"27,537",11.91,686,12.09
1984Q1,"18,816,526",1.45,40.15,-0.45,11.15,-,"562,185",13.29,"13,997",12.69,"29,853",11.58,743,10.90,"570,871",13.71,"14,213",13.10,"30,315",12.00,755,11.52,"515,206",14.64,"12,827",14.02,"27,359",12.91,681,12.38
1984Q2,"18,872,694",1.39,39.77,0.65,10.97,-,"618,055",12.96,"15,536",13.61,"32,723",11.33,822,11.84,"618,740",14.11,"15,553",14.77,"32,759",12.46,823,13.05,"556,348",14.42,"13,984",15.08,"29,456",12.77,740,13.32
1984Q3,"18,939,896",1.37,39.21,2.32,8.94,-,"617,449",11.70,"15,742",14.19,"32,574",10.09,830,12.47,"629,539",13.21,"16,051",15.75,"33,213",11.59,847,14.15,"574,118",14.26,"14,636",16.79,"30,289",12.62,772,15.05
1984Q4,"19,023,146",1.43,39.36,2.11,6.51,-,"616,688",7.81,"15,663",9.99,"32,393",6.21,824,8.56,"625,202",9.48,"15,878",11.68,"32,840",7.85,834,9.88,"564,733",9.35,"14,343",11.56,"29,664",7.72,754,9.91
1985Q1,"19,095,232",1.48,39.30,2.16,4.91,-,"597,057",6.20,"15,192",8.54,"31,251",4.68,795,7.00,"612,943",7.37,"15,597",9.74,"32,083",5.83,817,8.21,"558,590",8.42,"14,214",10.81,"29,238",6.87,744,9.25
1985Q2,"19,145,377",1.44,39.82,-0.13,3.55,-,"636,968",3.06,"15,996",2.96,"33,253",1.62,835,1.58,"643,001",3.92,"16,148",3.83,"33,568",2.47,842,2.31,"574,941",3.34,"14,439",3.25,"30,015",1.90,754,1.89
1985Q3,"19,203,545",1.39,40.31,-2.73,2.86,-,"632,720",2.47,"15,696",-0.29,"32,931",1.10,816,-1.69,"647,800",2.90,"16,070",0.12,"33,716",1.51,837,-1.18,"594,179",3.49,"14,741",0.72,"30,925",2.10,768,-0.52
1985Q4,"19,276,757",1.33,39.99,-1.58,4.99,-,"650,384",5.46,"16,265",3.84,"33,723",4.11,844,2.43,"660,539",5.65,"16,517",4.02,"34,248",4.29,856,2.64,"601,664",6.54,"15,045",4.89,"31,197",5.17,779,3.32
