期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%)
2003M02,"16,418,390",7.21,"1,955,981",4.00,"9,573,153",10.59,"1,283,206",1.42,"2,749,191",-8.79,"514,722",45.65,"342,137",136.92,0,--,"11,724,766",4.13,"1,390,108",-6.38,"7,070,188",9.54,"258,847",-10.72,"2,340,961",-12.68,"329,627",56.31,"335,035",141.42,0,--,"4,693,624",15.76,"565,873",42.94,"2,502,965",13.67,"1,024,359",5.02,"408,230",22.50,"185,095",29.86,"7,102",26.08,0,--
2003M03,"22,131,964",6.78,"3,210,977",14.76,"12,084,924",2.64,"1,815,123",-1.34,"4,056,589",10.14,"433,024",2.82,"531,327",153.53,0,--,"16,408,735",10.95,"2,495,686",17.30,"8,998,477",5.83,"518,857",9.69,"3,582,760",12.32,"287,634",-1.74,"525,321",159.38,0,--,"5,723,229",-3.60,"715,291",6.70,"3,086,447",-5.64,"1,296,266",-5.16,"473,829",-3.98,"145,390",13.24,"6,006",-14.70,0,--
2003M04,"20,898,693",7.78,"2,880,560",6.62,"11,353,350",5.55,"1,194,296",-23.71,"4,574,585",23.76,"402,717",-11.97,"493,185",132.49,0,--,"16,002,555",13.47,"2,309,473",11.78,"8,483,969",6.19,"245,401",-9.40,"4,197,597",28.92,"279,626",-11.42,"486,489",137.94,0,--,"4,896,138",-7.40,"571,087",-10.17,"2,869,381",3.70,"948,895",-26.70,"376,988",-14.41,"123,091",-13.20,"6,696",-12.77,0,--
2003M05,"20,631,150",0.30,"2,591,267",-12.31,"12,433,486",12.69,"1,421,740",-9.88,"3,423,852",-21.71,"296,437",-21.84,"464,368",85.28,0,--,"15,047,458",-1.49,"1,981,454",-14.81,"9,305,344",13.42,"123,118",-69.97,"3,007,975",-22.20,"169,930",-23.65,"459,637",86.38,0,--,"5,583,692",5.48,"609,813",-3.09,"3,128,142",10.58,"1,298,622",11.22,"415,877",-17.96,"126,507",-19.27,"4,731",17.98,0,--
2003M06,"19,797,461",-1.99,"3,005,583",6.73,"10,438,460",-8.43,"1,503,026",3.19,"4,039,807",4.25,"442,266",3.13,"368,319",65.76,0,--,"14,258,519",-4.83,"2,307,070",6.15,"7,440,955",-12.28,"290,651",-17.04,"3,590,661",3.79,"266,972",-11.75,"362,210",69.74,0,--,"5,538,942",6.17,"698,513",8.71,"2,997,505",2.75,"1,212,375",9.60,"449,146",8.04,"175,294",38.74,"6,109",-30.63,0,--
2003M07,"21,183,293",3.82,"2,954,907",4.64,"11,806,191",7.20,"1,578,435",-17.98,"3,842,984",-1.21,"678,301",38.64,"322,475",22.90,0,--,"15,110,242",0.94,"2,337,804",7.14,"8,424,018",3.30,"219,605",-63.84,"3,354,323",-3.38,"461,883",54.93,"312,609",22.15,0,--,"6,073,051",11.77,"617,103",-3.86,"3,382,173",18.32,"1,358,830",3.18,"488,661",16.78,"216,418",13.22,"9,866",52.58,0,--
2003M08,"19,287,171",-4.74,"2,925,859",0.06,"10,274,351",-8.29,"1,524,918",-4.74,"3,807,400",2.32,"416,233",-28.63,"338,410",57.36,0,--,"13,513,958",-8.40,"2,227,374",-3.03,"7,140,693",-13.45,"260,848",-6.13,"3,330,226",-0.17,"222,241",-42.15,"332,576",59.82,0,--,"5,773,213",5.08,"698,485",11.38,"3,133,658",6.12,"1,264,070",-4.45,"477,174",23.90,"193,992",-2.54,"5,834",-16.23,0,--
2003M09,"20,941,205",-3.89,"2,836,884",-26.17,"12,609,247",11.21,"1,413,096",-27.11,"3,378,722",-14.49,"462,009",-3.69,"241,247",1.22,0,--,"15,094,592",-7.94,"2,171,619",-32.06,"9,389,718",9.59,"87,188",-85.84,"2,925,426",-16.55,"284,070",2.11,"236,571",2.01,0,--,"5,846,613",8.42,"665,265",2.98,"3,219,529",16.24,"1,325,908",0.20,"453,296",1.65,"177,939",-11.70,"4,676",-27.17,0,--
2003M10,"20,317,537",-2.77,"3,014,320",-12.55,"11,212,975",1.85,"1,592,019",-14.01,"3,762,081",2.47,"415,602",-19.88,"320,540",-19.52,0,--,"14,293,278",-7.07,"2,310,562",-16.63,"7,938,234",-3.59,"252,610",-40.12,"3,240,286",0.25,"238,186",-28.33,"313,400",-19.51,0,--,"6,024,259",9.24,"703,758",4.22,"3,274,741",18.00,"1,339,409",-6.30,"521,795",18.79,"177,416",-4.82,"7,140",-20.05,0,--
2003M11,"21,582,525",6.64,"3,104,325",9.68,"12,433,904",11.17,"1,540,393",-21.16,"3,957,413",10.82,"235,577",-38.89,"310,913",-1.13,0,--,"15,402,709",5.56,"2,430,290",11.00,"8,819,951",6.79,"266,474",-49.14,"3,424,413",9.99,"159,843",-19.04,"301,738",-2.04,0,--,"6,179,816",9.41,"674,035",5.15,"3,613,953",23.54,"1,273,919",-10.91,"533,000",16.50,"75,734",-59.73,"9,175",42.16,0,--
