期間,總計_原始值,總計_年增率(%),初次尋職_原始值,初次尋職_年增率(%),非初次尋職_原始值,非初次尋職_年增率(%),非初次尋職-工作場所歇業或業務緊縮_原始值,非初次尋職-工作場所歇業或業務緊縮_年增率(%),非初次尋職-對原有工作不滿意_原始值,非初次尋職-對原有工作不滿意_年增率(%),非初次尋職-健康不良_原始值,非初次尋職-健康不良_年增率(%),非初次尋職-季節性或臨時性工作結束_原始值,非初次尋職-季節性或臨時性工作結束_年增率(%),非初次尋職-女性結婚或生育_原始值,非初次尋職-女性結婚或生育_年增率(%),非初次尋職-退休_原始值,非初次尋職-退休_年增率(%),非初次尋職-家務太忙_原始值,非初次尋職-家務太忙_年增率(%),非初次尋職-其他_原始值,非初次尋職-其他_年增率(%)
2001,450,53.62,75,29.17,375,59.67,206,128.63,88,-7.33,8,20.99,52,80.28,2,92.18,1,18.87,2,110.87,15,35.69
2002,515,14.53,81,7.44,435,15.95,248,20.10,110,25.04,9,20.45,47,-9.43,2,4.32,2,18.08,2,-17.86,15,-1.96
2003,503,-2.37,85,4.84,418,-3.71,228,-7.83,111,1.03,10,10.62,50,5.28,3,31.17,3,54.91,2,39.68,12,-23.20
2004,454,-9.68,85,1.02,369,-11.85,158,-30.68,131,18.29,11,11.41,49,-0.92,3,16.49,2,-7.94,2,-7.18,11,-4.43
2005,428,-5.73,82,-3.81,346,-6.18,130,-17.59,140,6.82,11,-6.17,49,-0.89,3,2.40,3,8.79,3,34.25,7,-33.12
2006,411,-4.01,82,-0.27,329,-4.91,117,-10.03,141,1.19,9,-16.62,44,-10.94,3,3.82,3,25.37,2,-22.20,9,18.84
2007,419,1.90,87,5.97,332,0.88,126,7.47,138,-2.27,10,10.48,41,-5.32,4,7.09,3,-9.08,3,23.61,7,-19.36
2008,450,7.42,93,6.93,357,7.54,152,20.63,139,0.19,9,-7.21,43,5.24,3,-22.46,2,-18.47,3,-0.73,6,-18.10
2009,639,41.96,102,10.31,536,50.19,337,121.38,119,-14.00,10,5.20,57,31.14,2,-38.13,3,5.94,3,5.57,7,11.07
2010,577,-9.66,105,2.14,472,-11.92,240,-28.83,142,19.01,11,10.26,64,12.76,2,27.04,2,-8.45,4,61.51,7,5.98
2011,491,-14.86,100,-4.26,391,-17.21,148,-38.36,160,13.05,10,-4.62,56,-13.07,3,45.68,2,-4.70,4,-0.37,7,2.50
2012,481,-2.15,105,5.20,375,-4.03,137,-7.47,162,1.14,10,1.61,50,-10.32,3,-19.42,2,9.27,4,-1.83,7,-5.92
2013,478,-0.54,112,6.18,366,-2.43,139,1.48,161,-0.94,10,-5.74,44,-12.43,2,-8.73,2,-22.19,3,-26.68,6,-13.44
