期間,合計_原始值,合計_年增率(%),公、民營企業-小計_原始值,公、民營企業-小計_年增率(%),公、民營企業-農林漁牧業_原始值,公、民營企業-農林漁牧業_年增率(%),公、民營企業-礦業及土石採取業_原始值,公、民營企業-礦業及土石採取業_年增率(%),公、民營企業-製造業_原始值,公、民營企業-製造業_年增率(%),公、民營企業-水電燃氣及污染整治業_原始值,公、民營企業-水電燃氣及污染整治業_年增率(%),公、民營企業-營造業_原始值,公、民營企業-營造業_年增率(%),公、民營企業-批發、零售、住宿及餐飲業_原始值,公、民營企業-批發、零售、住宿及餐飲業_年增率(%),公、民營企業-運輸及倉儲業_原始值,公、民營企業-運輸及倉儲業_年增率(%),公、民營企業-資訊及通訊傳播業_原始值,公、民營企業-資訊及通訊傳播業_年增率(%),公、民營企業-金融、保險及不動產業_原始值,公、民營企業-金融、保險及不動產業_年增率(%),公、民營企業-服務業_原始值,公、民營企業-服務業_年增率(%),政府機關_原始值,政府機關_年增率(%),非營利團體_原始值,非營利團體_年增率(%),非營利團體-社會保險及退休基金_原始值,非營利團體-社會保險及退休基金_年增率(%),個人_原始值,個人_年增率(%)
1997M11,"9,891,999",37.71,"2,180,224",34.46,"18,580",55.62,"6,205",79.18,"745,306",47.12,"16,418",39.49,"122,824",28.35,"614,949",36.34,"69,123",46.41,-,-,"453,130",14.21,"133,689",37.80,"584,686",2.86,"1,068,856",21.71,-,-,"6,058,233",47.22
1997M12,"10,283,738",40.51,"2,340,044",37.36,"18,083",40.06,"5,045",39.94,"800,762",50.72,"17,225",57.08,"131,895",21.37,"663,778",37.53,"74,925",44.74,-,-,"486,164",21.55,"142,167",39.60,"627,452",10.71,"1,068,098",20.66,-,-,"6,248,144",50.08
1998M01,"10,350,008",15.90,"2,226,036",12.89,"16,695",-12.57,"4,490",5.20,"776,864",17.52,"15,453",-16.48,"123,128",1.35,"632,361",15.36,"68,306",27.54,-,-,"458,403",7.86,"130,336",7.99,"623,840",7.09,"1,070,833",11.91,-,-,"6,429,299",18.65
1998M02,"10,547,696",17.58,"2,218,710",17.21,"16,403",-12.01,"5,025",22.00,"763,511",19.64,"16,523",17.69,"119,010",4.93,"627,588",19.99,"67,983",24.54,-,-,"468,214",12.40,"134,453",21.83,"625,011",11.04,"1,085,397",8.18,-,-,"6,618,578",20.09
1998M03,"10,606,054",17.35,"2,270,554",19.03,"19,290",2.80,"5,638",38.66,"768,027",22.19,"15,612",12.13,"116,783",1.73,"651,185",23.42,"65,923",27.86,-,-,"484,242",11.24,"143,854",27.42,"632,903",10.52,"1,087,832",8.56,-,-,"6,614,765",19.06
1998M04,"10,562,657",17.14,"2,263,312",20.28,"19,383",4.22,"5,581",24.83,"761,855",24.22,"15,247",17.49,"118,124",2.97,"642,416",22.57,"65,038",28.56,-,-,"490,814",14.55,"144,854",26.54,"571,726",-1.03,"1,084,215",8.90,-,-,"6,643,404",19.44
1998M05,"10,662,135",17.16,"2,284,505",18.25,"19,199",3.68,"5,578",40.43,"759,484",21.90,"16,363",22.62,"117,817",5.31,"645,476",20.75,"63,064",19.41,-,-,"508,050",12.26,"149,474",23.30,"603,550",-1.05,"1,066,960",6.82,-,-,"6,707,120",20.64
1998M06,"10,893,835",17.12,"2,469,142",23.26,"20,603",5.92,"4,378",-23.85,"836,544",26.61,"17,769",25.97,"124,142",1.58,"701,913",24.78,"87,169",31.52,-,-,"518,753",21.11,"157,871",27.49,"625,144",-1.60,"1,045,310",4.26,-,-,"6,754,239",19.33
1998M07,"10,933,056",17.46,"2,453,646",23.31,"20,125",7.50,"4,088",15.61,"843,516",29.78,"16,856",20.31,"116,365",0.99,"685,721",23.65,"69,195",15.44,-,-,"535,003",21.70,"162,777",21.22,"605,504",-2.58,"1,045,509",4.35,-,-,"6,828,397",19.91
1998M08,"11,019,532",17.25,"2,482,871",19.72,"20,269",7.34,"4,723",34.37,"831,224",21.25,"19,493",23.48,"117,659",-2.19,"708,169",21.73,"65,269",17.48,-,-,"549,849",21.22,"166,216",19.53,"594,473",-2.23,"1,097,985",5.31,-,-,"6,844,203",20.64
1998M09,"11,177,249",16.48,"2,569,789",22.70,"20,008",-0.70,"4,388",13.39,"843,807",21.93,"44,015",-0.73,"115,251",-4.24,"720,594",25.75,"66,076",8.69,-,-,"585,777",32.57,"169,873",23.18,"593,471",-4.75,"1,102,796",4.09,-,-,"6,911,193",18.77
1998M10,"11,260,347",15.37,"2,582,429",20.88,"19,849",1.36,"4,603",-7.83,"841,484",17.12,"17,662",-3.71,"117,370",-5.28,"723,075",19.01,"60,985",-5.08,-,-,"624,550",38.40,"172,851",35.11,"559,672",-3.17,"1,125,509",6.28,-,-,"6,992,737",16.80
1998M11,"11,438,996",15.64,"2,603,845",19.43,"20,949",12.75,"4,405",-29.01,"840,182",12.73,"18,593",13.25,"123,222",0.32,"711,870",15.76,"67,052",-3.00,-,-,"636,345",40.43,"181,227",35.56,"568,132",-2.83,"1,139,441",6.60,-,-,"7,127,578",17.65
1998M12,"11,609,415",12.89,"2,669,213",14.07,"20,766",14.84,"4,580",-9.22,"858,135",7.16,"17,316",0.53,"134,352",1.86,"754,693",13.70,"64,180",-14.34,-,-,"635,081",30.63,"180,110",26.69,"623,535",-0.62,"1,137,995",6.54,-,-,"7,178,672",14.89
1999M01,"11,737,729",13.41,"2,580,525",15.92,"20,394",22.16,"3,851",-14.23,"815,453",4.97,"16,540",7.03,"124,612",1.21,"722,383",14.24,"67,712",-0.87,-,-,"637,138",38.99,"172,442",32.31,"615,765",-1.29,"1,148,456",7.25,-,-,"7,392,983",14.99
1999M02,"11,785,049",11.73,"2,595,583",16.99,"21,345",30.13,"3,448",-31.38,"832,526",9.04,"18,078",9.41,"123,132",3.46,"720,902",14.87,"54,023",-20.53,-,-,"652,149",39.28,"169,980",26.42,"569,106",-8.94,"1,186,081",9.28,-,-,"7,434,279",12.32
1999M03,"11,848,715",11.72,"2,595,641",14.32,"20,567",6.62,"3,473",-38.40,"835,339",8.76,"15,015",-3.82,"120,410",3.11,"707,069",8.58,"57,363",-12.98,-,-,"662,708",36.85,"173,697",20.75,"579,792",-8.39,"1,193,369",9.70,-,-,"7,479,913",13.08
1999M04,"11,945,589",13.09,"2,592,771",14.56,"16,179",-16.53,"3,538",-36.61,"834,315",9.51,"15,516",1.76,"118,946",0.70,"707,854",10.19,"54,499",-16.20,-,-,"667,101",35.92,"174,823",20.69,"599,126",4.79,"1,204,071",11.05,-,-,"7,549,621",13.64
1999M05,"11,965,403",12.22,"2,596,205",13.64,"16,080",-16.25,"3,875",-30.53,"829,833",9.26,"17,482",6.84,"118,319",0.43,"714,493",10.69,"56,690",-10.11,-,-,"668,453",31.57,"170,980",14.39,"643,920",6.69,"1,201,159",12.58,-,-,"7,524,119",12.18
1999M06,"12,239,457",12.35,"2,695,110",9.15,"17,604",-14.56,"3,690",-15.71,"862,603",3.12,"16,571",-6.74,"133,719",7.71,"740,978",5.57,"71,144",-18.38,-,-,"673,916",29.91,"174,885",10.78,"680,512",8.86,"1,200,965",14.89,-,-,"7,662,870",13.45
1999M07,"12,101,711",10.69,"2,639,085",7.56,"16,892",-16.06,"3,548",-13.21,"842,061",-0.17,"15,160",-10.06,"116,276",-0.08,"725,732",5.83,"62,094",-10.26,-,-,"692,666",29.47,"164,656",1.15,"615,589",1.67,"1,215,438",16.25,-,-,"7,631,599",11.76
1999M08,"12,135,196",10.12,"2,624,617",5.71,"19,028",-6.12,"3,285",-30.45,"825,537",-0.68,"16,493",-15.39,"114,133",-3.00,"737,364",4.12,"63,604",-2.55,-,-,"677,487",23.21,"167,686",0.88,"620,296",4.34,"1,210,229",10.22,-,-,"7,680,054",12.21
1999M09,"12,221,332",9.34,"2,643,139",2.85,"17,795",-11.06,"3,444",-21.51,"831,385",-1.47,"17,126",-61.09,"115,478",0.20,"740,361",2.74,"60,370",-8.64,-,-,"688,767",17.58,"168,413",-0.86,"650,677",9.64,"1,212,219",9.92,-,-,"7,715,297",11.63
1999M10,"12,265,203",8.92,"2,674,844",3.58,"18,472",-6.94,"3,586",-22.09,"865,476",2.85,"15,362",-13.02,"118,251",0.75,"735,930",1.78,"58,004",-4.89,-,-,"686,828",9.97,"172,935",0.05,"648,074",15.80,"1,204,838",7.05,-,-,"7,737,447",10.65
1999M11,"12,333,343",7.82,"2,699,493",3.67,"18,669",-10.88,"3,605",-18.16,"871,318",3.71,"15,471",-16.79,"116,631",-5.35,"725,368",1.90,"59,525",-11.23,-,-,"705,336",10.84,"183,570",1.29,"657,020",15.65,"1,196,720",5.03,-,-,"7,780,110",9.16
1999M12,"12,650,359",8.97,"2,894,579",8.44,"18,046",-13.10,"3,959",-13.56,"954,558",11.24,"15,799",-8.76,"129,911",-3.31,"787,283",4.32,"90,410",40.87,-,-,"713,361",12.33,"181,252",0.63,"670,058",7.46,"1,211,566",6.46,-,-,"7,874,156",9.69
2000M01,"12,762,467",8.73,"2,852,499",10.54,"12,211",-40.12,"3,724",-3.30,"881,599",8.11,"44,352",168.15,"126,275",1.33,"744,946",3.12,"86,987",28.47,-,-,"758,921",19.11,"193,484",12.20,"640,748",4.06,"1,229,142",7.03,-,-,"8,040,078",8.75
2000M02,"12,828,671",8.86,"2,812,049",8.34,"11,874",-44.37,"4,011",16.33,"866,454",4.08,"15,111",-16.41,"118,502",-3.76,"740,523",2.72,"93,074",72.29,-,-,"773,636",18.63,"188,864",11.11,"672,134",18.10,"1,246,787",5.12,-,-,"8,097,701",8.92
2000M03,"12,997,984",9.70,"2,856,928",10.07,"12,482",-39.31,"4,118",18.57,"877,185",5.01,"15,382",2.44,"117,201",-2.67,"741,775",4.91,"111,587",94.53,-,-,"778,277",17.44,"198,921",14.52,"664,545",14.62,"1,245,982",4.41,-,-,"8,230,529",10.04
2000M04,"12,941,602",8.34,"2,924,273",12.79,"12,527",-22.57,"3,715",5.00,"868,573",4.11,"14,564",-6.14,"116,154",-2.35,"792,051",11.89,"131,174",140.69,-,-,"786,615",17.92,"198,900",13.77,"683,809",14.13,"1,250,662",3.87,-,-,"8,082,858",7.06
2000M05,"12,890,947",7.74,"2,969,716",14.39,"11,944",-25.72,"3,588",-7.41,"864,268",4.15,"13,936",-20.28,"114,774",-3.00,"801,448",12.17,"142,963",152.18,-,-,"811,300",21.37,"205,495",20.19,"720,165",11.84,"1,251,919",4.23,-,-,"7,949,147",5.65
2000M06,"13,028,294",6.45,"3,099,226",14.99,"12,195",-30.73,"3,712",0.60,"956,079",10.84,"14,241",-14.06,"122,308",-8.53,"841,661",13.59,"148,726",109.05,-,-,"792,555",17.60,"207,749",18.79,"713,791",4.89,"1,263,018",5.17,-,-,"7,952,259",3.78
2000M07,"13,009,132",7.50,"3,022,531",14.53,"11,600",-31.33,"3,772",6.31,"906,303",7.63,"14,100",-6.99,"115,663",-0.53,"800,249",10.27,"144,315",132.41,-,-,"817,107",17.97,"209,422",27.19,"723,427",17.52,"1,241,048",2.11,-,-,"8,022,126",5.12
2000M08,"13,092,165",7.89,"3,110,638",18.52,"11,597",-39.05,"3,540",7.76,"924,620",12.00,"13,873",-15.89,"117,000",2.51,"816,665",10.75,"174,439",174.26,-,-,"846,408",24.93,"202,496",20.76,"714,494",15.19,"1,260,429",4.15,-,-,"8,006,604",4.25
2000M09,"13,092,558",7.13,"3,155,253",19.38,"11,476",-35.51,"3,595",4.38,"962,306",15.75,"14,605",-14.72,"113,997",-1.28,"827,137",11.72,"184,286",205.26,-,-,"838,426",21.73,"199,425",18.41,"705,114",8.37,"1,264,855",4.34,-,-,"7,967,336",3.27
2000M10,"13,180,321",7.46,"3,223,564",20.51,"11,341",-38.60,"3,529",-1.59,"1,004,760",16.09,"14,740",-4.05,"117,518",-0.62,"851,748",15.74,"185,613",220.00,-,-,"832,102",21.15,"202,213",16.93,"691,006",6.62,"1,260,219",4.60,-,-,"8,005,532",3.46
2000M11,"13,345,154",8.20,"3,273,401",21.26,"11,842",-36.57,"3,685",2.22,"1,033,766",18.64,"14,194",-8.25,"120,980",3.73,"861,993",18.84,"189,010",217.53,-,-,"831,658",17.91,"206,273",12.37,"696,550",6.02,"1,270,321",6.15,-,-,"8,104,882",4.17
2000M12,"13,677,441",8.12,"3,447,628",19.11,"11,935",-33.86,"3,798",-4.07,"1,118,436",17.17,"14,835",-6.10,"136,536",5.10,"904,369",14.87,"213,154",135.76,-,-,"826,918",15.92,"217,647",20.08,"715,766",6.82,"1,285,021",6.06,-,-,"8,229,026",4.51
2001M01,"13,604,097",6.59,"3,231,605",13.29,"11,390",-6.72,"3,604",-3.22,"998,436",13.25,"14,433",-67.46,"119,477",-5.38,"845,006",13.43,"206,275",137.13,-,-,"820,962",8.17,"212,022",9.58,"671,026",4.73,"1,277,136",3.90,-,-,"8,424,330",4.78
2001M02,"13,693,475",6.74,"3,223,130",14.62,"11,749",-1.05,"3,761",-6.23,"985,941",13.79,"13,648",-9.68,"118,762",0.22,"843,771",13.94,"191,376",105.62,-,-,"850,595",9.95,"203,527",7.76,"658,355",-2.05,"1,324,050",6.20,-,-,"8,487,940",4.82
2001M03,"13,718,899",5.55,"3,196,768",11.90,"13,057",4.61,"3,665",-11.00,"976,790",11.36,"13,280",-13.67,"119,637",2.08,"837,363",12.89,"187,935",68.42,-,-,"845,020",8.58,"200,021",0.55,"663,869",-0.10,"1,318,105",5.79,-,-,"8,540,157",3.76
2001M04,"13,608,278",5.15,"3,148,595",7.67,"12,773",1.96,"3,470",-6.59,"954,792",9.93,"13,543",-7.01,"115,710",-0.38,"820,095",3.54,"172,127",31.22,-,-,"860,719",9.42,"195,366",-1.78,"678,773",-0.74,"1,323,688",5.84,-,-,"8,457,222",4.63
2001M05,"13,637,836",5.79,"3,147,355",5.98,"12,824",7.37,"3,657",1.92,"970,400",12.28,"14,127",1.37,"114,237",-0.47,"816,350",1.86,"166,219",16.27,-,-,"855,750",5.48,"193,791",-5.70,"691,596",-3.97,"1,328,689",6.13,-,-,"8,470,196",6.55
2001M06,"13,923,806",6.87,"3,293,345",6.26,"15,079",23.65,"3,609",-2.77,"1,021,484",6.84,"15,941",11.94,"120,565",-1.43,"860,837",2.28,"165,803",11.48,-,-,"899,333",13.47,"190,694",-8.21,"694,658",-2.68,"1,342,370",6.28,-,-,"8,593,433",8.06
2001M07,"13,887,956",6.76,"3,292,825",8.94,"13,309",14.73,"3,501",-7.18,"982,238",8.38,"49,336",249.90,"113,593",-1.79,"836,698",4.55,"165,553",14.72,-,-,"934,089",14.32,"194,508",-7.12,"706,509",-2.34,"1,348,574",8.66,-,-,"8,540,048",6.46
2001M08,"13,916,396",6.30,"3,240,261",4.17,"12,990",12.01,"3,361",-5.06,"954,188",3.20,"14,530",4.74,"115,685",-1.12,"825,832",1.12,"165,036",-5.39,-,-,"956,519",13.01,"192,120",-5.12,"699,503",-2.10,"1,373,903",9.00,-,-,"8,602,729",7.45
2001M09,"14,135,536",7.97,"3,075,550",-2.53,"18,624",62.29,"3,904",8.60,"1,040,786",8.16,"17,588",20.42,"115,627",1.43,"674,596",-18.44,"169,844",-7.84,-,-,"846,320",0.94,"188,261",-5.60,"730,888",3.66,"1,502,769",18.81,"224,991",-,"8,826,329",10.78
2001M10,"14,094,440",6.94,"3,014,050",-6.50,"13,794",21.63,"4,613",30.72,"1,011,457",0.67,"16,872",14.46,"120,198",2.28,"637,469",-25.16,"171,502",-7.60,-,-,"847,299",1.83,"190,846",-5.62,"708,781",2.57,"1,550,670",23.05,"243,374",-,"8,820,939",10.19
2001M11,"14,166,677",6.16,"2,984,082",-8.84,"18,108",52.91,"4,559",23.72,"992,625",-3.98,"16,177",13.97,"120,279",-0.58,"623,592",-27.66,"168,201",-11.01,-,-,"860,027",3.41,"180,514",-12.49,"720,284",3.41,"1,511,311",18.97,"262,882",-,"8,951,000",10.44
2001M12,"14,549,914",6.38,"3,150,737",-8.61,"18,417",54.31,"6,148",61.87,"1,060,685",-5.16,"18,411",24.11,"142,721",4.53,"653,024",-27.79,"163,692",-23.20,-,-,"881,668",6.62,"205,971",-5.36,"764,115",6.75,"1,492,488",16.15,"268,669",-,"9,142,574",11.10
2002M01,"14,480,765",6.44,"3,063,305",-5.21,"16,962",48.92,"4,518",25.36,"1,034,736",3.64,"18,303",26.81,"130,015",8.82,"631,229",-25.30,"147,516",-28.49,-,-,"886,230",7.95,"193,796",-8.60,"692,948",3.27,"1,472,751",15.32,"268,044",-,"9,251,761",9.82
2002M02,"14,496,002",5.86,"3,035,326",-5.83,"15,425",31.29,"4,193",11.49,"1,036,349",5.11,"19,167",40.44,"124,390",4.74,"622,142",-26.27,"139,368",-27.18,-,-,"882,279",3.72,"192,013",-5.66,"658,723",0.06,"1,500,759",13.35,"283,731",-,"9,301,194",9.58
2002M03,"14,578,559",6.27,"3,070,869",-3.94,"14,123",8.16,"4,564",24.53,"1,065,467",9.08,"17,270",30.05,"125,609",4.99,"627,848",-25.02,"130,277",-30.68,-,-,"892,091",5.57,"193,620",-3.20,"660,578",-0.50,"1,500,284",13.82,"291,348",-,"9,346,828",9.45
2002M04,"14,517,276",6.68,"3,032,935",-3.67,"13,494",5.64,"4,513",30.06,"1,036,920",8.60,"18,817",38.94,"120,944",4.52,"613,239",-25.22,"129,939",-24.51,-,-,"903,078",4.92,"191,991",-1.73,"671,185",-1.12,"1,486,460",12.30,"289,307",-,"9,326,696",10.28
2002M05,"14,466,218",6.07,"3,057,103",-2.87,"13,968",8.92,"4,057",10.94,"1,049,188",8.12,"19,261",36.34,"120,857",5.79,"604,314",-25.97,"120,358",-27.59,-,-,"932,405",8.96,"192,695",-0.57,"695,273",0.53,"1,483,273",11.63,"285,462",-,"9,230,569",8.98
2002M06,"14,621,074",5.01,"3,189,660",-3.15,"15,059",-0.13,"4,255",17.90,"1,103,929",8.07,"16,749",5.07,"127,756",5.96,"622,515",-27.68,"113,504",-31.54,-,-,"988,304",9.89,"197,589",3.62,"701,337",0.96,"1,514,855",12.85,"303,236",-,"9,215,222",7.24
2002M07,"14,492,997",4.36,"3,072,401",-6.69,"14,471",8.73,"4,210",20.25,"1,035,932",5.47,"18,620",-62.26,"119,196",4.93,"594,826",-28.91,"107,077",-35.32,-,-,"980,352",4.95,"197,717",1.65,"690,222",-2.31,"1,506,678",11.72,"305,074",-,"9,223,696",8.01
2002M08,"14,599,181",4.91,"3,098,394",-4.38,"14,945",15.05,"4,174",24.19,"1,036,964",8.68,"17,053",17.36,"122,753",6.11,"608,626",-26.30,"107,952",-34.59,-,-,"980,676",2.53,"205,251",6.83,"678,889",-2.95,"1,519,974",10.63,"298,582",-,"9,301,924",8.13
2002M09,"14,560,150",3.00,"3,069,142",-0.21,"14,732",-20.90,"4,561",16.83,"1,032,859",-0.76,"22,937",30.41,"121,277",4.89,"602,049",-10.75,"112,673",-33.66,-,-,"956,077",12.97,"201,977",7.29,"704,035",-3.67,"1,521,914",1.27,"299,717",33.21,"9,265,059",4.97
2002M10,"14,601,114",3.59,"3,064,234",1.67,"15,277",10.75,"4,483",-2.82,"1,040,439",2.87,"24,165",43.23,"126,723",5.43,"605,077",-5.08,"113,755",-33.67,-,-,"939,366",10.87,"194,949",2.15,"689,469",-2.72,"1,511,943",-2.50,"296,419",21.80,"9,335,468",5.83
2002M11,"14,714,082",3.86,"3,085,091",3.38,"15,301",-15.50,"4,387",-3.77,"1,028,904",3.65,"23,646",46.17,"128,527",6.86,"615,806",-1.25,"106,553",-36.65,-,-,"966,290",12.36,"195,677",8.40,"702,789",-2.43,"1,509,726",-0.10,"300,650",14.37,"9,416,476",5.20
2002M12,"14,962,324",2.83,"3,247,361",3.07,"16,643",-9.63,"4,508",-26.68,"1,108,600",4.52,"25,328",37.57,"148,878",4.31,"656,480",0.53,"113,297",-30.79,-,-,"970,095",10.03,"203,532",-1.18,"691,510",-9.50,"1,495,784",0.22,"297,857",10.86,"9,527,669",4.21
2003M01,"14,927,014",3.08,"3,041,997",-0.70,"13,847",-18.36,"4,294",-4.96,"1,037,644",0.28,"24,972",36.44,"130,754",0.57,"611,086",-3.19,"105,913",-28.20,-,-,"928,591",4.78,"184,896",-4.59,"646,872",-6.65,"1,508,669",2.44,"323,741",20.78,"9,729,476",5.16
2003M02,"14,977,857",3.32,"3,063,802",0.94,"14,513",-5.91,"4,476",6.75,"1,046,611",0.99,"28,548",48.94,"127,671",2.64,"616,627",-0.89,"103,134",-26.00,-,-,"929,755",5.38,"192,467",0.24,"654,528",-0.64,"1,532,023",2.08,"317,905",12.04,"9,727,504",4.58
2003M03,"14,932,534",2.43,"3,029,336",-1.35,"13,638",-3.43,"4,644",1.75,"1,054,962",-0.99,"26,608",54.07,"122,537",-2.45,"620,868",-1.11,"93,098",-28.54,-,-,"896,353",0.48,"196,628",1.55,"655,251",-0.81,"1,509,289",0.60,"314,188",7.84,"9,738,658",4.19
2003M04,"14,929,350",2.84,"3,013,569",-0.64,"13,977",3.58,"4,342",-3.79,"1,027,305",-0.93,"20,885",10.99,"127,083",5.08,"624,293",1.80,"90,709",-30.19,-,-,"907,679",0.51,"197,296",2.76,"649,923",-3.17,"1,510,545",1.62,"316,390",9.36,"9,755,313",4.60
2003M05,"15,021,987",3.84,"3,033,061",-0.79,"14,246",1.99,"4,612",13.68,"1,029,771",-1.85,"19,899",3.31,"126,441",4.62,"633,659",4.86,"94,051",-21.86,-,-,"915,974",-1.76,"194,408",0.89,"674,854",-2.94,"1,504,997",1.46,"314,495",10.17,"9,809,075",6.27
2003M06,"15,240,989",4.24,"3,169,360",-0.64,"14,562",-3.30,"4,716",10.83,"1,131,983",2.54,"20,080",19.89,"130,895",2.46,"657,626",5.64,"86,714",-23.60,-,-,"923,025",-6.61,"199,759",1.10,"696,859",-0.64,"1,520,204",0.35,"326,840",7.78,"9,854,566",6.94
2003M07,"15,293,563",5.52,"3,144,222",2.34,"12,623",-12.77,"4,263",1.26,"1,093,563",5.56,"20,997",12.77,"127,879",7.28,"655,834",10.26,"93,247",-12.92,-,-,"929,355",-5.20,"206,461",4.42,"685,113",-0.74,"1,533,380",1.77,"340,601",11.65,"9,930,848",7.67
2003M08,"15,412,014",5.57,"3,167,100",2.22,"13,230",-11.48,"4,554",9.10,"1,105,225",6.58,"20,111",17.93,"134,036",9.19,"662,945",8.92,"86,644",-19.74,-,-,"933,052",-4.86,"207,303",1.00,"683,783",0.72,"1,544,904",1.64,"334,463",12.02,"10,016,227",7.68
2003M09,"15,476,107",6.29,"3,210,952",4.62,"13,168",-10.62,"4,636",1.64,"1,140,985",10.47,"19,688",-14.16,"131,818",8.69,"666,749",10.75,"89,674",-20.41,-,-,"942,523",-1.42,"201,711",-0.13,"713,861",1.40,"1,540,337",1.21,"331,718",10.68,"10,010,957",8.05
2003M10,"15,527,199",6.34,"3,207,536",4.68,"13,980",-8.49,"4,516",0.74,"1,120,568",7.70,"19,273",-20.24,"133,768",5.56,"675,503",11.64,"90,150",-20.75,-,-,"934,242",-0.55,"215,536",10.56,"704,862",2.23,"1,524,812",0.85,"330,187",11.39,"10,089,989",8.08
2003M11,"15,632,634",6.24,"3,278,187",6.26,"13,712",-10.38,"4,306",-1.85,"1,169,070",13.62,"20,784",-12.10,"138,742",7.95,"689,803",12.02,"80,111",-24.82,-,-,"940,507",-2.67,"221,152",13.02,"722,515",2.81,"1,522,200",0.83,"333,918",11.07,"10,109,732",7.36
2003M12,"15,946,296",6.58,"3,546,188",9.20,"14,629",-12.10,"4,589",1.80,"1,302,242",17.47,"22,475",-11.26,"160,032",7.49,"740,808",12.85,"90,842",-19.82,-,-,"969,738",-0.04,"240,833",18.33,"709,255",2.57,"1,509,657",0.93,"323,417",8.58,"10,181,196",6.86
