期間,新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%)
1983,"5,487",3.86,248,0.40,6,-25.00,347,10.51,344,9.90,84,10.53,249,1.22,...,...,...,...,252,4.56,54,25.58,200,28.21,-,--,88,-16.19,637,-19.06,144,12.50,11,0.00,"1,011",17.69,497,-33.20,796,32.89,156,-8.24,83,53.70,280,53.85,"1,412",40.08,110,15.79,6,100.00,108,35.00,64,42.22,12,71.43,105,41.89,...,...,...,...,47,20.51,26,13.04,45,15.38,-,--,22,57.14,187,58.47,66,57.14,15,87.50,173,41.80,143,44.44,164,41.38,52,57.58,23,35.29,44,29.41
1984,"6,686",21.85,195,-21.37,7,16.67,495,42.65,316,-8.14,100,19.05,270,8.43,...,...,...,...,263,4.37,65,20.37,141,-29.50,3,--,115,30.68,926,45.37,160,11.11,46,318.18,"1,004",-0.69,715,43.86,952,19.60,292,87.18,123,48.19,498,77.86,"6,951",392.28,646,487.27,17,183.33,415,284.26,256,300.00,78,550.00,602,473.33,...,...,...,...,241,412.77,92,253.85,196,335.56,4,--,99,350.00,859,359.36,341,416.67,80,433.33,822,375.14,897,527.27,586,257.32,253,386.54,89,286.96,378,759.09
1985,"10,281",53.77,265,35.90,12,71.43,563,13.74,458,44.94,183,83.00,560,107.41,...,...,...,...,320,21.67,98,50.77,184,30.50,4,33.33,140,21.74,"1,073",15.87,459,186.88,160,247.83,"1,533",52.69,802,12.17,"1,332",39.92,427,46.23,325,164.23,"1,383",177.71,"3,749",-46.07,286,-55.73,8,-52.94,224,-46.02,171,-33.20,57,-26.92,330,-45.18,...,...,...,...,110,-54.36,64,-30.43,113,-42.35,4,0.00,76,-23.23,423,-50.76,171,-49.85,46,-42.50,449,-45.38,456,-49.16,354,-39.59,136,-46.25,61,-31.46,210,-44.44
1986,"13,071",27.14,563,112.45,10,-16.67,864,53.46,489,6.77,207,13.11,748,33.57,...,...,...,...,526,64.38,145,47.96,175,-4.89,3,-25.00,192,37.14,"1,565",45.85,452,-1.53,211,31.88,"2,088",36.20,"1,401",74.69,"1,547",16.14,472,10.54,223,-31.38,"1,190",-13.96,"2,917",-22.19,213,-25.52,6,-25.00,200,-10.71,120,-29.82,43,-24.56,193,-41.52,...,...,...,...,106,-3.64,51,-20.31,79,-30.09,5,25.00,46,-39.47,331,-21.75,137,-19.88,64,39.13,338,-24.72,291,-36.18,302,-14.69,109,-19.85,45,-26.23,238,13.33
1987,"10,721",-17.98,338,-39.96,7,-30.00,622,-28.01,356,-27.20,172,-16.91,375,-49.87,...,...,...,...,593,12.74,76,-47.59,192,9.71,4,33.33,148,-22.92,"1,138",-27.28,289,-36.06,236,11.85,"1,753",-16.04,"1,428",1.93,"1,518",-1.87,414,-12.29,239,7.17,823,-30.84,"2,201",-24.55,106,-50.23,6,0.00,169,-15.50,114,-5.00,42,-2.33,133,-31.09,...,...,...,...,104,-1.89,26,-49.02,58,-26.58,2,-60.00,27,-41.30,253,-23.56,82,-40.15,35,-45.31,240,-28.99,167,-42.61,307,1.66,77,-29.36,51,13.33,202,-15.13
1988,"10,312",-3.81,327,-3.25,11,57.14,529,-14.95,289,-18.82,112,-34.88,345,-8.00,...,...,...,...,554,-6.58,87,14.47,213,10.94,3,-25.00,247,66.89,"1,174",3.16,274,-5.19,217,-8.05,"1,684",-3.94,"1,501",5.11,"1,497",-1.38,440,6.28,200,-16.32,608,-26.12,"3,658",66.20,242,128.30,14,133.33,249,47.34,177,55.26,84,100.00,238,78.95,...,...,...,...,119,14.42,53,103.85,104,79.31,-,--,46,70.37,371,46.64,164,100.00,48,37.14,399,66.25,298,78.44,502,63.52,130,68.83,82,60.78,338,67.33
1989,"7,933",-23.07,220,-32.72,15,36.36,362,-31.57,226,-21.80,84,-25.00,187,-45.80,...,...,...,...,445,-19.68,46,-47.13,154,-27.70,5,66.67,141,-42.91,888,-24.36,184,-32.85,248,14.29,"1,504",-10.69,"1,094",-27.12,"1,188",-20.64,327,-25.68,172,-14.00,443,-27.14,"4,331",18.40,270,11.57,10,-28.57,299,20.08,171,-3.39,91,8.33,239,0.42,...,...,...,...,159,33.61,53,0.00,134,28.85,2,--,76,65.22,471,26.95,128,-21.95,51,6.25,599,50.13,446,49.66,505,0.60,166,27.69,108,31.71,353,4.44
1990,"6,543",-17.52,208,-5.45,7,-53.33,261,-27.90,203,-10.18,75,-10.71,135,-27.81,...,...,...,...,338,-24.04,41,-10.87,117,-24.03,6,20.00,97,-31.21,679,-23.54,146,-20.65,153,-38.31,"1,212",-19.41,899,-17.82,"1,181",-0.59,274,-16.21,116,-32.56,395,-10.84,"7,468",72.43,429,58.89,16,60.00,550,83.95,303,77.19,126,38.46,537,124.69,...,...,...,...,284,78.62,70,32.08,238,77.61,3,50.00,165,117.11,856,81.74,220,71.88,95,86.27,893,49.08,765,71.52,939,85.94,250,50.60,151,39.81,578,63.74
1991,"7,288",11.39,244,17.31,6,-14.29,340,30.27,238,17.24,80,6.67,160,18.52,...,...,...,...,354,4.73,56,36.59,124,5.98,2,-66.67,103,6.19,760,11.93,179,22.60,132,-13.73,"1,347",11.14,"1,027",14.24,"1,340",13.46,308,12.41,133,14.66,355,-10.13,"4,873",-34.75,255,-40.56,3,-81.25,306,-44.36,194,-35.97,82,-34.92,297,-44.69,...,...,...,...,198,-30.28,52,-25.71,106,-55.46,2,-33.33,94,-43.03,555,-35.16,191,-13.18,88,-7.37,601,-32.70,494,-35.42,737,-21.51,171,-31.60,85,-43.71,362,-37.37
1992,"7,259",-0.40,252,3.28,15,150.00,363,6.76,223,-6.30,82,2.50,174,8.75,...,...,...,...,376,6.21,77,37.50,133,7.26,6,200.00,75,-27.18,717,-5.66,142,-20.67,167,26.52,"1,385",2.82,"1,100",7.11,"1,180",-11.94,280,-9.09,130,-2.26,382,7.61,"6,988",43.40,310,21.57,10,233.33,640,109.15,454,134.02,130,58.54,221,-25.59,...,...,...,...,226,14.14,77,48.08,179,68.87,7,250.00,106,12.77,744,34.05,218,14.14,103,17.05,817,35.94,638,29.15,"1,154",56.58,230,34.50,114,34.12,610,68.51
1993,"6,718",-7.45,208,-17.46,4,-73.33,299,-17.63,245,9.87,50,-39.02,143,-17.82,...,...,...,...,379,0.80,60,-22.08,106,-20.30,2,-66.67,75,0.00,572,-20.22,155,9.15,195,16.77,"1,359",-1.88,"1,082",-1.64,"1,035",-12.29,337,20.36,103,-20.77,309,-19.11,"4,664",-33.26,340,9.68,8,-20.00,291,-54.53,153,-66.30,64,-50.77,316,42.99,...,...,...,...,218,-3.54,30,-61.04,78,-56.42,-,--,82,-22.64,548,-26.34,177,-18.81,92,-10.68,623,-23.75,492,-22.88,553,-52.08,149,-35.22,95,-16.67,355,-41.80
1994,"7,115",5.91,215,3.37,-,--,347,16.05,155,-36.73,53,6.00,64,-55.24,194,...,113,...,239,-36.94,93,55.00,128,20.75,14,600.00,67,-10.67,571,-0.17,221,42.58,203,4.10,"1,406",3.46,"1,037",-4.16,"1,200",15.94,319,-5.34,119,15.53,357,15.53,"6,917",48.31,345,1.47,-,--,494,69.76,252,64.71,98,53.12,289,-8.54,252,...,144,...,159,-27.06,52,73.33,126,61.54,6,--,138,68.29,787,43.61,241,36.16,105,14.13,825,32.42,757,53.86,980,77.22,211,41.61,99,4.21,557,56.90
1995,"6,905",-2.95,194,-9.77,1,--,279,-19.60,150,-3.23,36,-32.08,54,-15.62,146,-24.74,124,9.73,254,6.28,68,-26.88,98,-23.44,4,-71.43,81,20.90,595,4.20,148,-33.03,166,-18.23,"1,434",1.99,"1,043",0.58,"1,301",8.42,324,1.57,105,-11.76,300,-15.97,"5,992",-13.37,300,-13.04,-,--,340,-31.17,223,-11.51,88,-10.20,197,-31.83,193,-23.41,115,-20.14,175,10.06,59,13.46,124,-1.59,2,-66.67,85,-38.41,691,-12.20,134,-44.40,112,6.67,752,-8.85,642,-15.19,950,-3.06,203,-3.79,139,40.40,468,-15.98
1996,"5,414",-21.59,189,-2.58,-,--,210,-24.73,127,-15.33,26,-27.78,36,-33.33,119,-18.49,68,-45.16,172,-32.28,52,-23.53,90,-8.16,7,75.00,60,-25.93,455,-23.53,104,-29.73,117,-29.52,"1,175",-18.06,806,-22.72,"1,046",-19.60,275,-15.12,85,-19.05,195,-35.00,"5,507",-8.09,263,-12.33,-,--,328,-3.53,171,-23.32,64,-27.27,182,-7.61,218,12.95,94,-18.26,152,-13.14,52,-11.86,78,-37.10,5,150.00,108,27.06,628,-9.12,191,42.54,90,-19.64,742,-1.33,652,1.56,826,-13.05,208,2.46,93,-33.09,362,-22.65
1997,"6,039",11.54,195,3.17,-,--,304,44.76,107,-15.75,30,15.38,22,-38.89,88,-26.05,71,4.41,196,13.95,56,7.69,87,-3.33,5,-28.57,61,1.67,472,3.74,102,-1.92,116,-0.85,"1,222",4.00,977,21.22,"1,373",31.26,267,-2.91,84,-1.18,204,4.62,"2,904",-47.27,105,-60.08,-,--,169,-48.48,85,-50.29,18,-71.88,53,-70.88,77,-64.68,50,-46.81,83,-45.39,29,-44.23,66,-15.38,4,-20.00,40,-62.96,291,-53.66,80,-58.12,55,-38.89,453,-38.95,367,-43.71,514,-37.77,128,-38.46,53,-43.01,184,-49.17
1998,"5,726",-5.18,187,-4.10,-,--,274,-9.87,108,0.93,28,-6.67,40,81.82,71,-19.32,89,25.35,229,16.84,58,3.57,110,26.44,5,0.00,44,-27.87,427,-9.53,86,-15.69,132,13.79,"1,209",-1.06,858,-12.18,"1,226",-10.71,246,-7.87,93,10.71,206,0.98,"6,788",133.75,360,242.86,-,--,378,123.67,242,184.71,77,327.78,184,247.17,198,157.14,150,200.00,193,132.53,65,124.14,120,81.82,2,-50.00,101,152.50,636,118.56,268,235.00,127,130.91,926,104.42,809,120.44,"1,107",115.37,293,128.91,125,135.85,427,132.07
1999,"5,846",2.10,225,20.32,-,--,242,-11.68,128,18.52,24,-14.29,28,-30.00,83,16.90,78,-12.36,222,-3.06,51,-12.07,97,-11.82,9,80.00,63,43.18,422,-1.17,85,-1.16,159,20.45,"1,078",-10.84,922,7.46,"1,370",11.75,267,8.54,107,15.05,186,-9.71,"3,982",-41.34,141,-60.83,1,--,190,-49.74,103,-57.44,26,-66.23,83,-54.89,98,-50.51,75,-50.00,122,-36.79,31,-52.31,68,-43.33,4,100.00,34,-66.34,380,-40.25,94,-64.93,94,-25.98,629,-32.07,484,-40.17,816,-26.29,190,-35.15,102,-18.40,217,-49.18
2000,"5,711",-2.31,189,-16.00,-,--,169,-30.17,137,7.03,19,-20.83,30,7.14,59,-28.92,75,-3.85,265,19.37,69,35.29,103,6.19,13,44.44,42,-33.33,394,-6.64,101,18.82,161,1.26,"1,058",-1.86,761,-17.46,"1,495",9.12,265,-0.75,142,32.71,164,-11.83,"5,007",25.74,215,52.48,1,0.00,244,28.42,133,29.13,56,115.38,91,9.64,137,39.80,87,16.00,175,43.44,41,32.26,82,20.59,4,0.00,54,58.82,492,29.47,134,42.55,128,36.17,735,16.85,615,27.07,"1,003",22.92,200,5.26,110,7.84,270,24.42
2001,"3,792",-33.60,178,-5.82,-,--,88,-47.93,82,-40.15,19,0.00,18,-40.00,41,-30.51,51,-32.00,128,-51.70,81,17.39,93,-9.71,10,-23.08,47,11.90,261,-33.76,105,3.96,92,-42.86,680,-35.73,594,-21.94,902,-39.67,158,-40.38,78,-45.07,86,-47.56,"5,194",3.73,186,-13.49,-,--,243,-0.41,144,8.27,31,-44.64,118,29.67,163,18.98,97,11.49,159,-9.14,40,-2.44,68,-17.07,6,50.00,84,55.56,562,14.23,124,-7.46,119,-7.03,829,12.79,682,10.89,964,-3.89,224,12.00,71,-35.45,280,3.70
