期間,放款_原始值,放款_年增率(%),投資--對非金融機構證券投資--政府機關_原始值,投資--對非金融機構證券投資--政府機關_年增率(%),投資--對非金融機構證券投資--公營事業_原始值,投資--對非金融機構證券投資--公營事業_年增率(%),投資--對非金融機構證券投資--民營事業_原始值,投資--對非金融機構證券投資--民營事業_年增率(%),對金融機構證券投資_原始值,對金融機構證券投資_年增率(%),對金融機構債權_原始值,對金融機構債權_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),借入款_原始值,借入款_年增率(%),應付融券價款_原始值,應付融券價款_年增率(%),存入保證金_原始值,存入保證金_年增率(%),應付票據_原始值,應付票據_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%)
1998M07,"183,798",23.64,"2,011",-9.70,50,0.00,"15,079",76.92,"6,002",141.04,"3,525",-56.94,2,0.00,"210,467",23.70,"10,138",-42.14,"22,925",58.42,"15,554",121.79,"129,855",26.89,"31,995",11.12
1998M08,"162,965",7.44,"1,242",-37.37,50,0.00,"13,360",125.71,"2,802",14.37,"3,362",-39.56,2,0.00,"183,783",9.63,"9,336",-60.72,"19,344",31.12,"14,341",105.46,"116,815",22.46,"23,947",-10.49
1998M09,"182,964",45.26,"2,263",11.59,50,0.00,"14,035",53.96,"3,302",32.08,"3,311",-37.14,2,0.00,"205,927",42.10,"12,655",-25.95,"16,563",13.43,"13,757",101.21,"134,745",70.69,"28,207",2.75
1998M10,"195,928",49.77,"2,313",14.05,50,0.00,"14,755",38.17,"3,252",62.60,"3,258",-42.59,2,0.00,"219,558",45.16,"8,312",-19.57,"16,046",29.32,"13,762",53.20,"153,606",68.01,"27,832",-0.98
1998M11,"201,533",35.52,"2,300",13.41,50,0.00,"10,241",76.57,"1,012",-74.83,"3,435",-33.84,2,0.00,"218,573",31.82,"39,497",120.49,"14,149",-18.77,"12,264",-18.06,"120,074",37.98,"32,589",14.40
1998M12,"189,146",4.19,"2,293",13.18,50,0.00,"13,591",48.13,913,-74.57,"1,175",-61.45,2,0.00,"207,170",3.88,"33,205",51.22,"12,251",-37.70,"10,518",-38.86,"124,156",11.66,"27,040",-8.08
1999M01,"168,826",-10.95,"2,382",18.15,50,0.00,"14,738",149.04,"1,345",-66.21,697,-82.15,2,0.00,"188,040",-8.48,"23,387",-9.38,"12,231",-32.53,"10,624",-33.53,"117,331",-2.52,"24,467",-2.79
1999M02,"148,693",-37.66,"2,380",18.06,50,0.00,"18,620",208.38,"1,341",-65.30,673,-84.51,3,50.00,"171,760",-32.60,"16,904",-47.42,"10,477",0.29,"9,252",4.34,"110,151",-36.84,"24,976",-13.86
1999M03,"172,753",-31.60,"2,377",9.64,-,-,"14,851",92.20,"1,439",-62.89,598,-90.93,3,50.00,"192,021",-29.66,"22,556",-26.38,"7,532",-18.11,"6,674",-0.13,"129,141",-34.26,"26,118",-12.98
1999M04,"197,945",-12.84,"2,384",52.14,-,-,"14,328",-3.55,"1,231",-59.78,821,-81.56,3,50.00,"216,712",-13.69,"25,815",53.29,"6,279",-47.04,"5,591",-30.69,"152,601",-16.12,"26,426",-18.40
1999M05,"212,913",3.96,"2,428",11.99,-,-,"15,085",23.02,"1,047",-34.27,799,-76.79,3,50.00,"232,275",3.55,"26,067",138.71,"7,307",-47.34,"6,505",-30.94,"164,340",3.19,"28,056",-9.04
1999M06,"246,461",36.88,"2,429",12.40,-,-,"12,174",-13.20,965,-71.53,"1,352",-60.65,3,50.00,"263,384",29.67,"42,395",137.00,"8,254",-60.69,"7,237",-48.91,"176,295",46.39,"29,203",-1.47
1999M07,"187,818",2.19,"2,478",23.22,-,-,"24,912",65.21,"4,193",-30.14,603,-82.89,3,50.00,"220,007",4.53,"22,822",125.11,"13,541",-40.93,"9,582",-38.40,"146,644",12.93,"27,418",-14.31
1999M08,"186,828",14.64,"2,478",99.52,-,-,"14,657",9.71,746,-73.38,659,-80.40,3,50.00,"205,371",11.75,"21,276",127.89,"15,924",-17.68,"10,913",-23.90,"129,624",10.97,"27,634",15.40
1999M09,"177,648",-2.91,"2,480",9.59,-,-,"13,477",-3.98,688,-79.16,626,-81.09,4,100.00,"194,923",-5.34,"22,642",78.92,"12,232",-26.15,"8,378",-39.10,"134,900",0.12,"16,771",-40.54
1999M10,"169,505",-13.49,"2,477",7.09,-,-,"14,557",-1.34,788,-75.77,610,-81.28,3,50.00,"187,940",-14.40,"18,498",122.55,"11,008",-31.40,"7,466",-45.75,"137,644",-10.39,"13,324",-52.13
1999M11,"171,184",-15.06,"2,189",-4.83,-,-,"14,350",40.12,952,-5.93,"2,841",-17.29,3,50.00,"191,519",-12.38,"19,168",-51.47,"10,495",-25.83,"7,064",-42.40,"139,854",16.47,"14,938",-54.16
1999M12,"183,155",-3.17,"2,386",4.06,-,-,"11,291",-16.92,796,-12.81,"2,948",150.89,3,50.00,"200,579",-3.18,"31,260",-5.86,"11,939",-2.55,"8,054",-23.43,"132,944",7.08,"16,382",-39.42
2000M01,"236,367",40.01,"2,333",-2.06,-,-,"12,169",-17.43,775,-42.38,"2,125",204.88,3,50.00,"253,772",34.96,"37,902",62.06,"10,765",-11.99,"7,359",-30.73,"181,014",54.28,"16,732",-31.61
2000M02,"259,407",74.46,"2,492",4.71,-,-,"13,762",-26.09,810,-39.60,"2,109",213.37,3,0.00,"278,583",62.19,"43,874",159.55,"8,958",-14.50,"6,167",-33.34,"201,994",83.38,"17,590",-29.57
2000M03,"245,512",42.12,"2,273",-4.38,-,-,"14,890",0.26,765,-46.84,"2,920",388.29,3,0.00,"266,363",38.72,"42,464",88.26,"8,057",6.97,"5,569",-16.56,"190,396",47.43,"19,877",-23.90
2000M04,"246,229",24.39,"2,023",-15.14,-,-,"18,256",27.41,"1,379",12.02,"3,182",287.58,3,0.00,"271,072",25.08,"39,134",51.59,"4,871",-22.42,"3,260",-41.69,"203,461",33.33,"20,346",-23.01
2000M05,"226,262",6.27,"2,074",-14.58,-,-,"13,365",-11.40,814,-22.25,"3,644",356.07,3,0.00,"246,162",5.98,"38,888",49.18,"8,524",16.66,"5,487",-15.65,"171,736",4.50,"21,527",-23.27
2000M06,"213,192",-13.50,"1,989",-18.11,-,-,"14,345",17.83,716,-25.80,"3,268",141.72,3,0.00,"233,513",-11.34,"45,477",7.27,"9,071",9.90,"5,811",-19.70,"150,248",-14.77,"22,906",-21.56
2000M07,"181,508",-3.36,"2,004",-19.13,-,-,"15,393",-38.21,846,-79.82,"2,850",372.64,3,0.00,"202,604",-7.91,"30,315",32.83,"9,888",-26.98,"7,935",-17.19,"133,884",-8.70,"20,582",-24.93
2000M08,"176,734",-5.40,"2,055",-17.07,-,-,"15,884",8.37,941,26.14,"3,069",365.71,3,0.00,"198,686",-3.26,"24,556",15.42,"12,344",-22.48,"10,310",-5.53,"130,144",0.40,"21,332",-22.81
2000M09,"146,030",-17.80,"2,019",-18.59,-,-,"17,846",32.42,"1,260",83.14,"3,862",516.93,3,-25.00,"171,020",-12.26,"20,829",-8.01,"9,101",-25.60,"7,565",-9.70,"110,407",-18.16,"23,118",37.85
2000M10,"90,758",-46.46,"2,171",-12.35,-,-,"18,209",25.09,939,19.16,"4,453",630.00,3,0.00,"116,533",-37.99,"13,829",-25.24,"6,999",-36.42,"7,318",-1.98,"63,932",-53.55,"24,455",83.54
2000M11,"72,663",-57.55,"2,970",35.68,-,-,"17,941",25.02,"1,814",90.55,"3,163",11.33,3,0.00,"98,554",-48.54,"9,296",-51.50,"6,617",-36.95,"7,342",3.94,"51,201",-63.39,"24,098",61.32
2000M12,"62,999",-65.60,"2,962",24.14,-,-,"18,351",62.53,"3,104",289.95,"3,151",6.89,3,0.00,"90,570",-54.85,"17,052",-45.45,"6,115",-48.78,"6,923",-14.04,"36,371",-72.64,"24,109",47.17
2001M01,"64,964",-72.52,"3,115",33.52,-,-,"15,782",29.69,"1,810",133.55,"2,620",23.29,3,0.00,"88,294",-65.21,"10,465",-72.39,"6,440",-40.18,"7,424",0.88,"39,859",-77.98,"24,106",44.07
2001M02,"74,900",-71.13,"3,023",21.31,-,-,"15,563",13.09,"1,450",79.01,"2,843",34.80,3,0.00,"97,782",-64.90,"3,459",-92.12,"6,272",-29.98,"7,271",17.90,"55,550",-72.50,"25,230",43.43
2001M03,"83,260",-66.09,"3,463",52.35,-,-,"15,053",1.09,"1,398",82.75,"2,939",0.65,3,0.00,"106,116",-60.16,"10,452",-75.39,"5,248",-34.86,"6,025",8.19,"59,255",-68.88,"25,136",26.46
2001M04,"78,320",-68.19,"3,880",91.79,-,-,"15,138",-17.08,"1,099",-20.30,"2,801",-11.97,3,0.00,"101,241",-62.65,"7,748",-80.20,"3,240",-33.48,"3,819",17.15,"61,586",-69.73,"24,848",22.13
2001M05,"62,017",-72.59,"3,181",53.38,-,-,"19,482",45.77,643,-21.01,"3,148",-13.61,3,0.00,"88,474",-64.06,"9,929",-74.47,"5,023",-41.07,"5,939",8.24,"42,739",-75.11,"24,844",15.41
2001M06,"58,458",-72.58,"3,893",95.73,-,-,"22,079",53.91,250,-65.08,"3,118",-4.59,3,0.00,"87,801",-62.40,"15,443",-66.04,"3,886",-57.16,"4,777",-17.79,"38,991",-74.05,"24,704",7.85
2001M07,"43,923",-75.80,"5,418",170.36,-,-,"18,094",17.55,250,-70.45,"3,027",6.21,3,0.00,"70,715",-65.10,"4,272",-85.91,"5,446",-44.92,"5,230",-34.09,"31,920",-76.16,"23,847",15.86
2001M08,"44,048",-75.08,"6,780",229.93,-,-,"17,441",9.80,202,-78.53,"2,919",-4.89,3,0.00,"71,393",-64.07,"6,048",-75.37,"6,644",-46.18,"5,989",-41.91,"29,765",-77.13,"22,947",7.57
2001M09,"34,238",-76.55,"6,183",206.24,-,-,"17,459",-2.17,570,-54.76,"2,858",-26.00,3,0.00,"61,311",-64.15,"7,591",-63.56,"4,634",-49.08,"4,166",-44.93,"23,475",-78.74,"21,445",-7.24
2001M10,"34,135",-62.39,"6,548",201.61,-,-,"23,577",29.48,460,-51.01,"3,211",-27.89,3,0.00,"67,934",-41.70,"9,148",-33.85,"9,007",28.69,"7,891",7.83,"19,882",-68.90,"22,006",-10.01
2001M11,"40,350",-44.47,"7,714",159.73,-,-,"18,526",3.26,460,-74.64,"2,829",-10.56,3,0.00,"69,882",-29.09,"7,833",-15.74,"8,710",31.63,"7,718",5.12,"23,022",-55.04,"22,599",-6.22
2001M12,"61,000",-3.17,"7,728",160.90,-,-,"15,847",-13.65,888,-71.39,"3,826",21.42,3,0.00,"89,292",-1.41,"18,144",6.40,"8,410",37.53,"7,498",8.31,"31,512",-13.36,"23,728",-1.58
2002M01,"76,239",17.36,"6,836",119.45,-,-,"14,657",-7.13,639,-64.70,"2,715",3.63,3,0.00,"101,089",14.49,"11,140",6.45,"8,040",24.84,"6,889",-7.21,"50,478",26.64,"24,542",1.81
2002M02,"72,665",-2.98,"7,535",149.26,-,-,"15,263",-1.93,490,-66.21,"2,818",-0.88,3,0.00,"98,774",1.01,"10,626",207.20,"5,161",-17.71,"4,569",-37.16,"53,666",-3.39,"24,752",-1.89
2002M03,"80,765",-3.00,"7,828",126.05,-,-,"14,626",-2.84,760,-45.64,"2,518",-14.32,3,0.00,"106,500",0.36,"13,842",32.43,"4,166",-20.62,"3,569",-40.76,"59,299",0.07,"25,624",1.94
2002M04,"84,844",8.33,"7,820",101.55,-,-,"14,644",-3.26,450,-59.05,"2,574",-8.10,3,0.00,"110,335",8.98,"13,429",73.32,"4,816",48.64,"3,865",1.20,"62,748",1.89,"25,477",2.53
2002M05,"70,003",12.88,"7,582",138.35,-,-,"15,220",-21.88,367,-42.92,"2,843",-9.69,3,0.00,"96,018",8.53,"12,885",29.77,"6,055",20.55,"4,879",-17.85,"46,439",8.66,"25,760",3.69
2002M06,"64,214",9.85,"7,089",82.10,-,-,"14,806",-32.94,"1,396",458.40,"3,417",9.59,3,0.00,"90,925",3.56,"20,579",33.26,"7,876",102.68,"6,211",30.02,"31,009",-20.47,"25,250",2.21
2002M07,"59,140",34.64,"6,899",27.33,-,-,"15,069",-16.72,697,178.80,"3,233",6.81,3,0.00,"85,041",20.26,"14,757",245.44,"10,773",97.81,"8,839",69.01,"24,925",-21.91,"25,747",7.97
2002M08,"57,920",31.49,"6,611",-2.49,-,-,"15,557",-10.80,797,294.55,"3,464",18.67,3,0.00,"84,352",18.15,"15,468",155.75,"10,014",50.72,"8,078",34.88,"27,384",-8.00,"23,408",2.01
2002M09,"53,514",56.30,"6,108",-1.21,-,-,"14,367",-17.71,909,59.47,"3,142",9.94,3,0.00,"78,043",27.29,"14,521",91.29,"6,108",31.81,"5,070",21.70,"28,671",22.13,"23,673",10.39
2002M10,"54,044",58.32,"5,959",-9.00,-,-,"16,737",-29.01,952,106.96,"2,905",-9.53,3,0.00,"80,600",18.64,"15,074",64.78,"8,733",-3.04,"7,068",-10.43,"26,269",32.12,"23,456",6.59
2002M11,"57,991",43.72,"5,696",-26.16,-,-,"14,749",-20.39,"2,404",422.61,"3,144",11.13,3,0.00,"83,987",20.18,"14,773",88.60,"8,783",0.84,"6,969",-9.70,"29,657",28.82,"23,805",5.34
2002M12,"57,433",-5.85,"4,175",-45.98,-,-,"13,217",-16.60,"2,754",210.14,"3,683",-3.74,3,0.00,"81,265",-8.99,"18,820",3.73,"8,857",5.32,"7,133",-4.87,"22,435",-28.80,"24,020",1.23
2003M01,"61,134",-19.81,"4,399",-35.65,-,-,"12,660",-13.62,"2,664",316.90,"2,998",10.42,3,0.00,"83,858",-17.05,"12,303",10.44,"5,936",-26.17,"4,776",-30.67,"36,544",-27.60,"24,299",-0.99
2003M02,"57,689",-20.61,"4,606",-38.87,-,-,"12,976",-14.98,"2,614",433.47,"3,479",23.46,3,0.00,"81,367",-17.62,"11,019",3.70,"4,984",-3.43,"4,019",-12.04,"36,884",-31.27,"24,461",-1.18
2003M03,"50,237",-37.80,"4,651",-40.59,-,-,"13,926",-4.79,"2,564",237.37,"3,081",22.36,3,0.00,"74,462",-30.08,"10,889",-21.33,"2,927",-29.74,"2,513",-29.59,"33,320",-43.81,"24,813",-3.17
2003M04,"44,354",-47.72,"4,470",-42.84,-,-,"12,744",-12.97,"2,564",469.78,"2,984",15.93,3,0.00,"67,119",-39.17,"9,255",-31.08,"1,870",-61.17,"1,504",-61.09,"29,270",-53.35,"25,220",-1.01
2003M05,"40,009",-42.85,"5,370",-29.17,-,-,"12,476",-18.03,"2,997",716.62,"3,264",14.81,3,0.00,"64,119",-33.22,"10,101",-21.61,"4,519",-25.37,"3,704",-24.08,"20,970",-54.84,"24,825",-3.63
2003M06,"47,466",-26.08,"5,311",-25.08,10,-,"14,110",-4.70,"2,927",109.67,"4,227",23.71,3,0.00,"74,054",-18.55,"15,998",-22.26,"6,908",-12.29,"5,348",-13.89,"20,875",-32.68,"24,925",-1.29
2003M07,"55,418",-6.29,"5,426",-21.35,46,-,"12,396",-17.74,"2,797",301.29,"3,249",0.49,3,0.00,"79,335",-6.71,"8,070",-45.31,"8,903",-17.36,"6,956",-21.30,"30,090",20.72,"25,316",-1.67
2003M08,"56,580",-2.31,"5,339",-19.24,46,-,"13,586",-12.67,"2,597",225.85,"3,039",-12.27,3,0.00,"81,190",-3.75,"11,910",-23.00,"8,749",-12.63,"7,002",-13.32,"28,000",2.25,"25,529",9.06
2003M09,"58,851",9.97,"4,971",-18.61,46,-,"12,973",-9.70,"2,396",163.59,"3,013",-4.11,3,0.00,"82,253",5.39,"10,702",-26.30,"8,277",35.51,"6,640",30.97,"31,070",8.37,"25,564",7.99
2003M10,"61,337",13.49,"4,823",-19.06,46,-,"12,132",-27.51,"2,396",151.68,"3,063",5.44,3,0.00,"83,800",3.97,"9,893",-34.37,"9,334",6.88,"7,493",6.01,"30,835",17.38,"26,245",11.89
2003M11,"61,429",5.93,"4,815",-15.47,46,-,"11,353",-23.03,"2,546",5.91,"3,076",-2.16,3,0.00,"83,268",-0.86,"13,055",-11.63,"6,616",-24.67,"5,484",-21.31,"31,775",7.14,"26,338",10.64
2003M12,"61,567",7.20,"4,605",10.30,46,-,"12,347",-6.58,"2,566",-6.83,"3,297",-10.48,3,0.00,"84,431",3.90,"23,772",26.31,"4,579",-48.30,"3,791",-46.85,"25,910",15.49,"26,379",9.82
2004M01,"61,483",0.57,"4,449",1.14,46,-,"12,476",-1.45,"2,566",-3.68,"6,456",115.34,3,0.00,"87,479",4.32,"18,184",47.80,"5,814",-2.06,"4,504",-5.70,"31,569",-13.61,"27,408",12.79
2004M02,"72,566",25.79,"4,435",-3.71,46,-,"11,418",-12.01,"2,576",-1.45,"6,381",83.41,3,0.00,"97,425",19.74,"19,215",74.38,"5,936",19.10,"4,765",18.56,"41,955",13.75,"25,554",4.47
2004M03,"71,392",42.11,"4,619",-0.69,46,-,"11,013",-20.92,"2,766",7.88,"6,050",96.36,3,0.00,"95,889",28.78,"21,475",97.22,"3,166",8.17,"2,551",1.51,"43,308",29.98,"25,389",2.32
2004M04,"77,873",75.57,"4,481",0.25,46,-,"12,311",-3.40,"2,786",8.66,"6,064",103.22,3,0.00,"103,564",54.30,"24,950",169.58,"4,525",141.98,"3,592",138.83,"44,658",52.57,"25,839",2.45
2004M05,"69,852",74.59,"4,522",-15.79,46,-,"12,229",-1.98,"2,776",-7.37,"5,829",78.58,3,0.00,"95,257",48.56,"20,715",105.08,"5,313",17.57,"4,297",16.01,"39,196",86.91,"25,736",3.67
2004M06,"66,461",40.02,"3,883",-26.89,46,360.00,"12,249",-13.19,"2,476",-15.41,"5,847",38.33,3,0.00,"90,965",22.84,"21,469",34.20,"4,560",-33.99,"3,769",-29.53,"35,554",70.32,"25,613",2.76
2004M07,"60,195",8.62,"4,855",-10.52,46,0.00,"12,505",0.88,"2,476",-11.48,"5,815",78.98,3,0.00,"85,895",8.27,"17,357",115.08,"3,441",-61.35,"3,009",-56.74,"35,091",16.62,"26,997",6.64
2004M08,"57,982",2.48,"4,440",-16.84,46,0.00,"12,100",-10.94,"2,476",-4.66,"5,729",88.52,3,0.00,"82,776",1.95,"16,508",38.61,"5,485",-37.31,"4,650",-33.59,"29,427",5.10,"26,706",4.61
2004M09,"62,124",5.56,"4,862",-2.19,46,0.00,"13,078",0.81,"3,701",54.47,"5,744",90.64,3,0.00,"89,558",8.88,"19,003",77.56,"6,395",-22.74,"5,214",-21.48,"31,852",2.52,"27,094",5.98
2004M10,"61,346",0.01,"4,488",-6.95,46,0.00,"12,782",5.36,"3,842",60.35,"5,722",86.81,3,0.00,"88,229",5.29,"18,078",82.74,"4,512",-51.66,"3,796",-49.34,"34,287",11.20,"27,556",5.00
2004M11,"58,199",-5.26,"3,418",-29.01,46,0.00,"12,023",5.90,"3,660",43.75,"5,648",83.62,3,0.00,"82,997",-0.33,"14,434",10.56,"5,879",-11.14,"4,972",-9.34,"30,705",-3.37,"27,007",2.54
2004M12,"57,049",-7.34,"3,626",-21.26,46,0.00,"12,207",-1.13,"4,009",56.24,"5,905",79.10,3,0.00,"82,845",-1.88,"20,163",-15.18,"6,161",34.55,"5,210",37.43,"24,680",-4.75,"26,631",0.96
2005M01,"53,926",-12.29,"3,364",-24.39,46,0.00,"11,233",-9.96,"4,279",66.76,"5,237",-18.88,3,0.00,"78,088",-10.74,"11,981",-34.11,"5,271",-9.34,"4,386",-2.62,"29,460",-6.68,"26,990",-1.53
2005M02,"52,349",-27.86,"3,154",-28.88,46,0.00,"10,682",-6.45,"4,579",77.76,"5,132",-19.57,3,0.00,"75,945",-22.05,"10,938",-43.08,"5,378",-9.40,"4,373",-8.23,"28,040",-33.17,"27,216",6.50
2005M03,"49,016",-31.34,"2,751",-40.44,80,73.91,"11,717",6.39,"4,576",65.44,"5,150",-14.88,3,0.00,"73,293",-23.56,"13,906",-35.25,"3,111",-1.74,"2,571",0.78,"26,830",-38.05,"26,875",5.85
2005M04,"42,595",-45.30,"2,549",-43.12,109,136.96,"9,965",-19.06,"4,575",64.21,"1,920",-68.34,3,0.00,"61,716",-40.41,"10,828",-56.60,"2,763",-38.94,"2,366",-34.13,"22,280",-50.11,"23,479",-9.13
2005M05,"40,171",-42.49,"2,548",-43.65,109,136.96,"9,836",-19.57,"4,374",57.56,"1,831",-68.59,3,0.00,"58,872",-38.20,"8,908",-57.00,"4,235",-20.29,"3,553",-17.31,"18,690",-52.32,"23,486",-8.74
2005M06,"41,366",-37.76,"2,547",-34.41,109,136.96,"10,321",-15.74,"4,374",76.66,"1,356",-76.81,3,0.00,"60,076",-33.96,"11,361",-47.08,"4,930",8.11,"3,970",5.33,"16,270",-54.24,"23,545",-8.07
2005M07,"44,554",-25.98,"2,854",-41.22,109,136.96,"9,096",-27.26,"4,473",80.65,"1,438",-75.27,3,0.00,"62,527",-27.21,"8,871",-48.89,"3,817",10.93,"3,071",2.06,"22,820",-34.97,"23,948",-11.29
2005M08,"44,538",-23.19,"2,750",-38.06,-,-,"8,778",-27.45,"4,573",84.69,"1,465",-74.43,3,0.00,"62,107",-24.97,"12,127",-26.54,"4,131",-24.69,"3,361",-27.72,"19,400",-34.07,"23,088",-13.55
2005M09,"43,032",-30.73,"2,665",-45.19,-,-,"8,028",-38.61,"4,690",26.72,"1,440",-74.93,3,0.00,"59,858",-33.16,"14,027",-26.19,"4,361",-31.81,"3,530",-32.30,"15,620",-50.96,"22,320",-17.62
2005M10,"41,496",-32.36,"2,467",-45.03,-,-,"9,694",-24.16,"4,569",18.92,"1,649",-71.18,3,0.00,"59,878",-32.13,"12,810",-29.14,"3,345",-25.86,"2,798",-26.29,"18,510",-46.01,"22,415",-18.66
2005M11,"40,712",-30.05,"2,362",-30.90,-,-,"10,243",-14.80,"4,769",30.30,"1,369",-75.76,3,0.00,"59,458",-28.36,"14,119",-2.18,"5,308",-9.71,"4,525",-8.99,"13,230",-56.91,"22,276",-17.52
2005M12,"46,357",-18.74,"2,670",-26.37,-,-,"9,992",-18.15,"5,334",33.05,"1,512",-74.39,3,0.00,"65,868",-20.49,"22,078",9.50,"5,451",-11.52,"4,702",-9.75,"12,060",-51.13,"21,577",-18.98
2006M01,"48,156",-10.70,"3,605",7.16,-,-,"7,873",-29.91,"4,935",15.33,"1,615",-69.16,3,0.00,"66,187",-15.24,"18,584",55.11,"3,973",-24.63,"3,365",-23.28,"19,510",-33.77,"20,755",-23.10
2006M02,"47,188",-9.86,"2,664",-15.54,-,-,"6,644",-37.80,"4,934",7.75,"1,597",-68.88,3,0.00,"63,030",-17.01,"12,922",18.14,"3,260",-39.38,"2,792",-36.15,"22,130",-21.08,"21,926",-19.44
