期間,合計_原始值,合計_年增率(%),食品及飲料製造業_原始值,食品及飲料製造業_年增率(%),食品及飲料製造業-飲料製造業_原始值,食品及飲料製造業-飲料製造業_年增率(%),菸草製造業_原始值,菸草製造業_年增率(%),紡織業_原始值,紡織業_年增率(%),成衣及服飾品製造業_原始值,成衣及服飾品製造業_年增率(%),皮革、毛皮及其製品製造業_原始值,皮革、毛皮及其製品製造業_年增率(%),木竹製品製造業_原始值,木竹製品製造業_年增率(%),紙漿、紙及紙製品製造業_原始值,紙漿、紙及紙製品製造業_年增率(%),印刷及資料儲存媒體複製業_原始值,印刷及資料儲存媒體複製業_年增率(%),石油及煤製品製造業_原始值,石油及煤製品製造業_年增率(%),化學材料製造業_原始值,化學材料製造業_年增率(%),化學製品製造業_原始值,化學製品製造業_年增率(%),化學製品製造業-藥品製造業_原始值,化學製品製造業-藥品製造業_年增率(%),橡膠製品製造業_原始值,橡膠製品製造業_年增率(%),塑膠製品製造業_原始值,塑膠製品製造業_年增率(%),非金屬礦物製品製造業_原始值,非金屬礦物製品製造業_年增率(%),基本金屬製造業_原始值,基本金屬製造業_年增率(%),金屬製品製造業_原始值,金屬製品製造業_年增率(%),電子零組件製造業_原始值,電子零組件製造業_年增率(%),電腦、電子產品及光學製品製造業_原始值,電腦、電子產品及光學製品製造業_年增率(%),電力設備製造業_原始值,電力設備製造業_年增率(%),機械設備製造業_原始值,機械設備製造業_年增率(%),運輸工具製造業_原始值,運輸工具製造業_年增率(%),運輸工具製造業-汽車及其零件製造業_原始值,運輸工具製造業-汽車及其零件製造業_年增率(%),家具製造業_原始值,家具製造業_年增率(%),其他製造業_原始值,其他製造業_年增率(%),產業用機械設備維修及安裝業_原始值,產業用機械設備維修及安裝業_年增率(%)
1998M06,"2,176,109",12.81,"137,277",6.69,-,-,"7,993",-32.18,"193,165",16.02,"22,247",2.13,"19,698",3.43,"34,695",0.38,"57,213",6.30,"24,824",13.69,"100,281",-0.79,"57,136",39.45,"83,773",15.22,-,-,"30,203",2.92,"140,999",22.95,"68,203",2.51,"166,093",8.81,"288,278",10.75,"254,292",27.65,"116,657",23.07,"99,637",14.75,"106,096",11.39,"80,635",15.44,-,-,"13,824",1.81,"72,890",-0.36,-,-
1998M07,"2,134,097",9.45,"133,909",4.02,-,-,"3,865",-49.96,"187,234",13.95,"22,150",3.73,"19,668",7.20,"34,143",-2.43,"56,187",1.40,"25,262",13.07,"104,572",-2.61,"52,796",25.14,"81,483",7.47,-,-,"31,209",5.26,"136,717",12.88,"68,210",5.35,"158,049",2.48,"284,985",9.17,"250,288",24.70,"114,167",20.48,"99,106",14.00,"104,043",9.90,"81,295",10.67,-,-,"13,379",-7.71,"71,380",-5.24,-,-
1998M08,"2,119,830",6.70,"134,747",3.52,-,-,"1,772",-26.44,"189,409",9.25,"21,319",1.64,"19,269",3.00,"33,988",-1.28,"54,273",-6.21,"25,562",12.25,"96,089",-4.40,"51,204",14.39,"80,562",3.39,-,-,"29,876",-1.81,"132,152",5.44,"68,347",1.05,"151,935",-6.70,"284,721",8.44,"254,538",25.86,"116,278",17.02,"101,206",10.73,"104,940",8.97,"83,322",10.73,-,-,"13,491",-5.58,"70,830",-5.87,-,-
1998M09,"2,147,324",6.29,"132,569",1.77,-,-,"1,162",-16.76,"196,404",10.20,"22,191",5.93,"19,400",3.87,"32,029",-6.11,"53,551",-9.22,"24,234",6.02,"96,970",-2.15,"50,405",10.69,"78,701",0.27,-,-,"28,198",-9.37,"134,659",7.45,"66,131",-3.13,"150,600",-6.72,"281,163",5.47,"262,989",24.58,"135,703",24.37,"108,692",18.17,"104,615",7.28,"81,618",4.07,-,-,"13,918",-4.40,"71,422",-6.28,-,-
1998M10,"2,142,383",4.69,"139,353",5.05,-,-,"1,261",-21.87,"193,410",10.73,"23,134",13.05,"20,148",3.57,"31,160",-9.20,"51,605",-11.19,"25,963",12.93,"97,793",-0.86,"52,068",9.29,"78,407",-2.41,-,-,"29,459",-6.86,"130,637",6.77,"68,384",2.59,"160,318",-0.12,"269,236",-0.43,"265,747",21.23,"132,859",14.25,"105,439",9.95,"107,942",9.10,"83,576",6.69,-,-,"14,064",-1.59,"60,420",-25.37,-,-
1998M11,"2,182,039",3.65,"141,294",3.16,-,-,"1,303",-71.63,"200,680",9.51,"23,284",10.77,"20,710",2.83,"31,123",-9.24,"52,158",-14.71,"26,091",11.43,"99,465",-3.26,"53,603",6.44,"77,862",-1.94,-,-,"28,932",-12.04,"129,709",3.54,"69,190",-1.95,"162,185",-1.12,"272,602",-2.09,"268,877",17.43,"134,803",12.46,"115,126",17.88,"108,360",8.03,"88,600",7.23,-,-,"14,461",-1.13,"61,621",-15.16,-,-
1998M12,"2,194,150",3.87,"141,883",2.26,-,-,"7,431",13.29,"203,066",12.47,"24,112",13.11,"19,705",-4.13,"30,764",-9.88,"53,028",-11.20,"25,594",5.51,"105,879",0.00,"58,218",14.35,"77,487",-3.65,-,-,"28,841",-12.41,"132,205",0.98,"70,967",-0.03,"160,776",-1.34,"271,532",-1.99,"269,088",16.97,"127,633",7.38,"114,537",21.13,"110,938",8.63,"84,961",6.30,-,-,"14,776",3.02,"60,729",-18.67,-,-
1999M01,"2,219,699",-0.77,"138,221",-3.60,-,-,"11,858",-20.81,"202,393",4.24,"23,816",8.35,"20,238",-3.00,"29,776",-14.08,"54,131",-12.53,"26,283",5.71,"106,789",-8.01,"56,264",-2.33,"81,388",-5.01,-,-,"29,399",-14.47,"135,892",0.10,"71,282",-4.85,"161,160",-6.16,"271,874",-4.71,"282,848",13.49,"132,626",2.88,"108,215",9.59,"109,391",3.84,"84,860",0.75,-,-,"14,876",1.25,"66,119",-14.71,-,-
1999M02,"2,245,776",4.47,"139,667",5.83,-,-,"11,771",134.95,"205,405",10.52,"24,557",12.17,"20,427",3.96,"29,651",-13.71,"55,134",-7.10,"26,006",6.57,"112,532",10.69,"59,229",6.48,"80,977",-3.73,-,-,"30,575",-2.78,"132,545",0.69,"72,465",2.28,"159,090",-4.67,"274,374",-2.69,"287,237",15.97,"136,987",11.52,"111,399",14.49,"111,710",6.54,"86,156",5.12,-,-,"14,959",5.26,"62,923",-15.07,-,-
1999M03,"2,231,588",4.23,"137,397",7.64,-,-,"7,193",72.54,"207,253",12.70,"23,682",8.38,"19,967",-2.15,"29,439",-15.11,"54,041",-3.80,"25,922",2.56,"109,831",4.51,"57,838",4.94,"82,688",0.19,-,-,"29,429",-12.03,"126,696",-3.15,"71,437",3.27,"156,393",-4.15,"273,267",-2.24,"292,785",17.08,"138,656",10.10,"112,733",13.34,"114,127",8.78,"83,762",6.08,-,-,"14,736",-1.87,"62,316",-15.40,-,-
1999M04,"2,231,654",4.96,"136,699",5.72,-,-,"4,136",-38.89,"207,598",13.61,"23,702",9.25,"19,984",3.94,"29,282",-17.54,"53,235",-4.60,"26,132",5.54,"104,782",-0.38,"59,532",11.33,"83,343",1.83,-,-,"29,634",-3.07,"129,396",-1.02,"71,222",5.90,"156,813",-2.13,"273,203",-4.26,"294,199",17.75,"140,421",15.05,"111,901",16.61,"115,007",10.26,"84,122",6.78,-,-,"15,088",8.17,"62,223",-12.24,-,-
1999M05,"2,265,674",5.97,"138,162",5.74,-,-,"4,972",-42.42,"208,487",11.91,"24,056",12.32,"20,789",5.58,"29,010",-16.55,"53,031",-4.92,"25,923",5.24,"106,012",5.31,"64,665",20.70,"86,056",2.82,-,-,"29,849",-3.19,"137,464",2.77,"72,750",8.41,"158,468",-2.83,"273,721",-4.14,"299,679",18.70,"143,717",19.13,"112,811",17.13,"115,260",11.12,"83,139",4.44,-,-,"15,416",10.58,"62,237",-12.71,-,-
1999M06,"2,317,411",6.49,"144,326",5.13,-,-,"3,158",-60.49,"213,429",10.49,"23,763",6.81,"21,992",11.65,"28,864",-16.81,"54,510",-4.72,"26,539",6.91,"112,019",11.71,"66,161",15.80,"89,297",6.59,-,-,"30,419",0.72,"136,958",-2.87,"75,326",10.44,"164,479",-0.97,"277,560",-3.72,"305,175",20.01,"144,017",23.45,"114,220",14.64,"114,347",7.78,"87,186",8.12,-,-,"15,560",12.56,"68,106",-6.56,-,-
1999M07,"2,333,051",9.32,"141,970",6.02,-,-,"1,400",-63.78,"216,203",15.47,"23,847",7.66,"20,573",4.60,"29,043",-14.94,"53,907",-4.06,"25,828",2.24,"112,504",7.59,"65,942",24.90,"95,077",16.68,-,-,"29,473",-5.56,"152,403",11.47,"71,881",5.38,"166,213",5.17,"273,588",-4.00,"313,625",25.31,"145,978",27.86,"114,289",15.32,"113,375",8.97,"86,025",5.82,-,-,"14,293",6.83,"65,614",-8.08,-,-
1999M08,"2,333,917",10.10,"142,261",5.58,-,-,756,-57.34,"218,742",15.49,"23,849",11.87,"20,838",8.14,"29,026",-14.60,"54,344",0.13,"25,495",-0.26,"112,519",17.10,"66,392",29.66,"90,798",12.71,-,-,"30,064",0.63,"142,343",7.71,"72,967",6.76,"167,415",10.19,"272,870",-4.16,"315,804",24.07,"153,446",31.96,"118,500",17.09,"110,887",5.67,"84,331",1.21,-,-,"14,721",9.12,"65,549",-7.46,-,-
1999M09,"2,368,823",10.32,"144,116",8.71,-,-,766,-34.08,"221,274",12.66,"23,798",7.24,"20,715",6.78,"29,560",-7.71,"56,429",5.37,"26,256",8.34,"115,088",18.68,"67,625",34.16,"94,756",20.40,-,-,"30,910",9.62,"135,024",0.27,"72,448",9.55,"171,012",13.55,"274,061",-2.53,"325,658",23.83,"154,884",14.13,"121,931",12.18,"114,710",9.65,"87,398",7.08,-,-,"15,345",10.25,"65,059",-8.91,-,-
1999M10,"2,343,895",9.41,"142,627",2.35,-,-,"1,927",52.82,"219,498",13.49,"23,088",-0.20,"20,094",-0.27,"28,689",-7.93,"53,847",4.34,"26,148",0.71,"108,623",11.07,"65,688",26.16,"92,176",17.56,-,-,"28,761",-2.37,"135,909",4.04,"71,587",4.68,"168,928",5.37,"273,279",1.50,"326,627",22.91,"156,728",17.97,"120,024",13.83,"113,716",5.35,"86,660",3.69,-,-,"14,888",5.86,"64,383",6.56,-,-
1999M11,"2,395,613",9.79,"146,591",3.75,-,-,769,-40.98,"220,279",9.77,"23,186",-0.42,"20,682",-0.14,"28,313",-9.03,"54,474",4.44,"26,909",3.14,"115,751",16.37,"68,105",27.05,"93,139",19.62,-,-,"29,180",0.86,"138,628",6.88,"72,183",4.33,"168,381",3.82,"271,722",-0.32,"338,415",25.86,"161,460",19.77,"125,066",8.63,"114,426",5.60,"86,771",-2.06,-,-,"15,409",6.56,"75,774",22.97,-,-
1999M12,"2,427,380",10.63,"154,450",8.86,-,-,"7,804",5.02,"229,487",13.01,"23,318",-3.29,"21,413",8.67,"28,115",-8.61,"56,255",6.09,"27,353",6.87,"109,104",3.05,"66,071",13.49,"91,934",18.64,-,-,"29,750",3.15,"148,038",11.98,"76,308",7.53,"169,837",5.64,"279,584",2.97,"341,474",26.90,"159,391",24.88,"127,592",11.40,"112,858",1.73,"86,023",1.25,-,-,"16,328",10.50,"64,893",6.86,-,-
2000M01,"2,431,405",9.54,"149,509",8.17,-,-,"3,864",-67.41,"230,867",14.07,"24,439",2.62,"20,298",0.30,"26,739",-10.20,"55,926",3.32,"26,876",2.26,"117,520",10.05,"66,397",18.01,"93,558",14.95,-,-,"29,418",0.06,"152,674",12.35,"72,522",1.74,"165,564",2.73,"276,441",1.68,"347,076",22.71,"161,572",21.83,"133,053",22.95,"111,621",2.04,"83,157",-2.01,-,-,"15,669",5.33,"66,645",0.80,-,-
2000M02,"2,438,521",8.58,"151,212",8.27,-,-,835,-92.91,"233,400",13.63,"23,900",-2.68,"20,496",0.34,"26,446",-10.81,"56,234",2.00,"26,789",3.01,"118,018",4.88,"64,673",9.19,"94,800",17.07,-,-,"30,040",-1.75,"150,894",13.84,"71,755",-0.98,"165,753",4.19,"276,335",0.71,"348,743",21.41,"164,436",20.04,"134,597",20.82,"112,293",0.52,"83,059",-3.59,-,-,"16,576",10.81,"67,237",6.86,-,-
2000M03,"2,459,525",10.21,"150,610",9.62,-,-,"1,148",-84.04,"235,185",13.48,"24,277",2.51,"20,593",3.14,"26,288",-10.70,"55,418",2.55,"26,559",2.46,"116,486",6.06,"69,992",21.01,"93,313",12.85,-,-,"30,256",2.81,"148,786",17.44,"72,578",1.60,"167,079",6.83,"278,086",1.76,"360,510",23.13,"169,721",22.40,"137,466",21.94,"108,131",-5.25,"85,116",1.62,-,-,"15,371",4.31,"66,556",6.80,-,-
2000M04,"2,484,622",11.34,"151,601",10.90,-,-,"1,223",-70.43,"238,124",14.70,"24,840",4.80,"20,948",4.82,"26,605",-9.14,"55,358",3.99,"26,505",1.43,"113,863",8.67,"70,661",18.69,"91,761",10.10,-,-,"29,969",1.13,"150,850",16.58,"73,669",3.44,"169,204",7.90,"279,522",2.31,"373,672",27.01,"174,903",24.56,"137,153",22.57,"108,733",-5.46,"82,930",-1.42,-,-,"15,454",2.43,"67,074",7.80,-,-
2000M05,"2,507,578",10.68,"146,246",5.85,-,-,"1,088",-78.12,"239,719",14.98,"25,173",4.64,"21,336",2.63,"26,643",-8.16,"56,877",7.25,"27,293",5.28,"117,153",10.51,"72,562",12.21,"88,218",2.51,-,-,"29,538",-1.04,"148,882",8.31,"77,925",7.11,"169,261",6.81,"282,085",3.06,"380,543",26.98,"182,319",26.86,"141,011",25.00,"108,833",-5.58,"82,927",-0.25,-,-,"15,404",-0.08,"66,542",6.92,-,-
2000M06,"2,547,851",9.94,"148,072",2.60,-,-,"1,302",-58.77,"243,390",14.04,"25,511",7.36,"21,406",-2.66,"26,867",-6.92,"57,879",6.18,"27,641",4.15,"120,984",8.00,"77,305",16.84,"87,666",-1.83,-,-,"29,249",-3.85,"148,939",8.75,"82,341",9.31,"171,000",3.96,"285,893",3.00,"389,245",27.55,"182,745",26.89,"140,449",22.96,"112,323",-1.77,"83,336",-4.42,-,-,"15,792",1.49,"68,516",0.60,-,-
2000M07,"2,548,707",9.24,"145,679",2.61,-,-,"1,226",-12.43,"236,662",9.46,"25,138",5.41,"21,241",3.25,"25,819",-11.10,"56,255",4.36,"27,698",7.24,"130,106",15.65,"75,865",15.05,"86,598",-8.92,-,-,"29,071",-1.36,"153,526",0.74,"82,114",14.24,"172,670",3.88,"281,866",3.03,"389,277",24.12,"184,372",26.30,"144,176",26.15,"113,018",-0.31,"84,733",-1.50,-,-,"15,779",10.40,"65,818",0.31,-,-
2000M08,"2,548,103",9.18,"143,968",1.20,-,-,"1,437",90.08,"232,849",6.45,"25,175",5.56,"20,243",-2.86,"25,355",-12.65,"56,144",3.31,"27,456",7.69,"118,431",5.25,"75,532",13.77,"87,626",-3.49,-,-,"29,877",-0.62,"154,979",8.88,"84,054",15.19,"170,031",1.56,"280,603",2.83,"398,337",26.13,"188,213",22.66,"150,363",26.89,"111,625",0.67,"85,477",1.36,-,-,"15,802",7.34,"64,526",-1.56,-,-
2000M09,"2,584,165",9.09,"146,561",1.70,-,-,"1,547",101.96,"235,466",6.41,"24,912",4.68,"20,208",-2.45,"25,256",-14.56,"55,300",-2.00,"27,269",3.86,"127,989",11.21,"75,489",11.63,"87,855",-7.28,-,-,"30,462",-1.45,"154,706",14.58,"84,932",17.23,"173,982",1.74,"278,431",1.59,"414,759",27.36,"189,574",22.40,"149,287",22.44,"113,218",-1.30,"86,721",-0.77,-,-,"15,667",2.10,"64,574",-0.75,-,-
2000M10,"2,643,572",12.79,"154,617",8.41,-,-,"1,823",-5.40,"237,925",8.40,"26,297",13.90,"20,507",2.06,"25,335",-11.69,"54,735",1.65,"27,458",5.01,"134,783",24.08,"78,363",19.30,"87,762",-4.79,-,-,"30,578",6.32,"156,274",14.98,"86,605",20.98,"173,403",2.65,"283,199",3.63,"435,838",33.44,"191,778",22.36,"154,825",29.00,"113,067",-0.57,"88,655",2.30,-,-,"15,632",5.00,"64,113",-0.42,-,-
2000M11,"2,645,038",10.41,"147,078",0.33,-,-,"1,386",80.23,"234,889",6.63,"26,691",15.12,"20,003",-3.28,"25,426",-10.20,"54,000",-0.87,"28,666",6.53,"135,292",16.88,"78,722",15.59,"90,899",-2.41,-,-,"30,498",4.52,"157,293",13.46,"86,239",19.47,"171,087",1.61,"285,973",5.24,"441,161",30.36,"194,199",20.28,"147,202",17.70,"113,193",-1.08,"89,146",2.74,-,-,"15,876",3.03,"70,119",-7.46,-,-
2000M12,"2,691,477",10.88,"151,357",-2.00,-,-,"1,208",-84.52,"243,472",6.09,"27,445",17.70,"20,489",-4.32,"25,148",-10.55,"55,143",-1.98,"29,110",6.42,"150,097",37.57,"78,997",19.56,"96,294",4.74,-,-,"31,213",4.92,"165,243",11.62,"90,083",18.05,"173,880",2.38,"287,854",2.96,"441,469",29.28,"188,460",18.24,"147,967",15.97,"115,262",2.13,"94,014",9.29,-,-,"15,289",-6.36,"61,983",-4.48,-,-
2001M01,"2,655,559",9.22,"151,212",1.14,-,-,981,-74.61,"236,837",2.59,"26,030",6.51,"19,459",-4.13,"24,375",-8.84,"53,177",-4.92,"28,026",4.28,"159,375",35.62,"77,334",16.47,"97,026",3.71,-,-,"31,764",7.97,"162,955",6.73,"86,832",19.73,"166,646",0.65,"279,910",1.25,"421,390",21.41,"202,091",25.08,"150,608",13.19,"110,315",-1.17,"93,464",12.39,-,-,"15,340",-2.10,"60,412",-9.35,-,-
2001M02,"2,614,765",7.23,"144,842",-4.21,-,-,881,5.51,"231,982",-0.61,"25,669",7.40,"18,638",-9.07,"24,396",-7.75,"51,904",-7.70,"29,647",10.67,"152,251",29.01,"75,635",16.95,"95,151",0.37,-,-,"30,890",2.83,"154,018",2.07,"86,927",21.14,"162,796",-1.78,"275,487",-0.31,"436,030",25.03,"195,804",19.08,"144,670",7.48,"108,488",-3.39,"91,891",10.63,-,-,"14,807",-10.67,"61,961",-7.85,-,-
