期間,總計_原始值,總計_年增率(%),農林業_原始值,農林業_年增率(%),畜牧業_原始值,畜牧業_年增率(%),漁業_原始值,漁業_年增率(%),礦業_原始值,礦業_年增率(%),製造業_原始值,製造業_年增率(%),加工業_原始值,加工業_年增率(%),銀樓業_原始值,銀樓業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),建築業_原始值,建築業_年增率(%),打撈業_原始值,打撈業_年增率(%),承攬業_原始值,承攬業_年增率(%),運送業_原始值,運送業_年增率(%),出版業_原始值,出版業_年增率(%),印刷製板裝訂業_原始值,印刷製板裝訂業_年增率(%),金融業_原始值,金融業_年增率(%),典當業_原始值,典當業_年增率(%),買賣業_原始值,買賣業_年增率(%),國際貿易業_原始值,國際貿易業_年增率(%),出租業_原始值,出租業_年增率(%),倉庫業_原始值,倉庫業_年增率(%),行紀業_原始值,行紀業_年增率(%),代辦業_原始值,代辦業_年增率(%),廣告傳播業_原始值,廣告傳播業_年增率(%),居間業_原始值,居間業_年增率(%),服務業_原始值,服務業_年增率(%),飲食業_原始值,飲食業_年增率(%),娛樂業_原始值,娛樂業_年增率(%),旅館業_原始值,旅館業_年增率(%),其他營利事業_原始值,其他營利事業_年增率(%)
1981,"482,975",5.66,740,4.96,241,-1.23,395,0.51,720,1.41,"36,030",1.52,"34,952",0.95,"3,093",8.87,469,1.52,"6,952",3.95,18,5.88,"4,843",14.03,"4,764",25.34,948,19.25,"1,863",3.21,14,16.67,"1,252",5.03,"295,911",6.12,"1,020",4.51,"5,320",63.64,337,-1.75,"1,646",1.35,632,12.06,439,6.30,154,0.65,"58,474",4.49,"13,431",5.99,"2,793",0.18,"3,124",-0.10,"2,400",1.48
1982,"505,378",4.64,746,0.81,237,-1.66,390,-1.27,717,-0.42,"36,106",0.21,"34,531",-1.20,"3,364",8.76,524,11.73,"7,203",3.61,18,0.00,"5,279",9.00,"5,910",24.06,"1,075",13.40,"1,912",2.63,14,0.00,"1,298",3.67,"309,674",4.65,"1,070",4.90,"8,627",62.16,331,-1.78,"1,677",1.88,658,4.11,447,1.82,157,1.95,"61,104",4.50,"13,921",3.65,"2,796",0.11,"3,135",0.35,"2,457",2.37
1983,"532,323",5.33,764,2.41,235,-0.84,390,0.00,712,-0.70,"36,323",0.60,"34,687",0.45,"3,553",5.62,533,1.72,"7,456",3.51,19,5.56,"5,900",11.76,"7,087",19.92,"1,223",13.77,"1,963",2.67,14,0.00,"1,304",0.46,"326,201",5.34,"1,133",5.89,"11,828",37.10,334,0.91,"1,781",6.20,646,-1.82,497,11.19,159,1.27,"64,222",5.10,"14,794",6.27,"2,962",5.94,"3,153",0.57,"2,450",-0.28
1984,"554,560",4.18,797,4.32,240,2.13,391,0.26,712,0.00,"36,310",-0.04,"34,498",-0.54,"3,634",2.28,"1,006",88.74,"7,572",1.56,19,0.00,"6,297",6.73,"8,888",25.41,"1,392",13.82,"1,981",0.92,15,7.14,"1,268",-2.76,"339,178",3.98,"1,206",6.44,"14,687",24.17,332,-0.60,"1,847",3.71,647,0.15,520,4.63,163,2.52,"66,495",3.54,"15,643",5.74,"3,187",7.60,"3,150",-0.10,"2,485",1.43
1985,"577,222",4.09,839,5.27,252,5.00,390,-0.26,741,4.07,"36,653",0.94,"34,337",-0.47,"3,833",5.48,"1,039",3.28,"7,619",0.62,18,-5.26,"6,711",6.57,"12,978",46.02,"1,548",11.21,"2,014",1.67,13,-13.33,"1,270",0.16,"351,711",3.70,"1,254",3.98,"15,544",5.84,323,-2.71,"1,883",1.95,654,1.08,572,10.00,168,3.07,"69,118",3.94,"16,723",6.90,"3,361",5.46,"3,175",0.79,"2,481",-0.16
1986,"601,127",4.14,890,6.08,248,-1.59,392,0.51,754,1.75,"37,612",2.62,"35,062",2.11,"3,913",2.09,"1,048",0.87,"7,804",2.43,19,5.56,"7,272",8.36,"14,047",8.24,"1,750",13.05,"2,066",2.58,14,7.69,"1,272",0.16,"367,356",4.45,"1,252",-0.16,"15,705",1.04,315,-2.48,"1,941",3.08,661,1.07,609,6.47,178,5.95,"71,860",3.97,"17,872",6.87,"3,542",5.39,"3,187",0.38,"2,486",0.20
1987,"623,285",3.69,915,2.81,248,0.00,389,-0.77,770,2.12,"38,251",1.70,"35,833",2.20,"3,972",1.51,"1,052",0.38,"7,959",1.99,19,0.00,"7,866",8.17,"15,513",10.44,"1,843",5.31,"2,132",3.19,13,-7.14,"1,263",-0.71,"380,136",3.48,"1,261",0.72,"16,241",3.41,312,-0.95,"1,964",1.18,676,2.27,651,6.90,181,1.69,"75,870",5.58,"18,676",4.50,"3,594",1.47,"3,194",0.22,"2,491",0.20
1988,"640,626",2.78,925,1.09,250,0.81,386,-0.77,784,1.82,"38,341",0.24,"35,927",0.26,"4,010",0.96,"1,044",-0.76,"8,098",1.75,19,0.00,"8,298",5.49,"16,725",7.81,"2,039",10.63,"2,143",0.52,14,7.69,"1,259",-0.32,"390,083",2.62,"1,265",0.32,"16,822",3.58,302,-3.21,"2,081",5.96,681,0.74,695,6.76,211,16.57,"79,359",4.60,"19,446",4.12,"3,739",4.03,"3,182",-0.38,"2,498",0.28
1989,"646,473",0.91,936,1.19,247,-1.20,390,1.04,799,1.91,"37,974",-0.96,"35,757",-0.47,"4,002",-0.20,"1,042",-0.19,"8,318",2.72,19,0.00,"8,635",4.06,"16,465",-1.55,"2,136",4.76,"2,148",0.23,17,21.43,"1,258",-0.08,"395,437",1.37,"1,333",5.38,"16,888",0.39,302,0.00,"2,130",2.35,677,-0.59,750,7.91,255,20.85,"79,421",0.08,"19,696",1.29,"3,751",0.32,"3,159",-0.72,"2,531",1.32
1990,"617,395",-4.50,"1,620",73.08,243,-1.62,400,2.56,774,-3.13,"36,663",-3.45,"33,958",-5.03,"4,097",2.37,603,-42.13,"10,364",24.60,17,-10.53,"8,666",0.36,"26,265",59.52,630,-70.51,"1,791",-16.62,8,-52.94,"1,260",0.16,"377,761",-4.47,984,-26.18,"16,797",-0.54,288,-4.64,"2,157",1.27,"1,004",48.30,"4,302",473.60,458,79.61,"59,051",-25.65,"18,195",-7.62,"3,326",-11.33,"3,159",0.00,"2,554",0.91
