期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),台鐵_原始值,台鐵_年增率(%),台鐵_原始值,台鐵_年增率(%),台鐵_原始值,台鐵_年增率(%),台鐵_原始值,台鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),捷運_原始值,捷運_年增率(%),捷運_原始值,捷運_年增率(%),捷運_原始值,捷運_年增率(%),捷運_原始值,捷運_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%)
2001M11,"33,216",...,"917,839",...,27.6,...,...,--,"14,558",...,"772,303",...,53.1,...,"1,242,582",...,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"18,647",...,"145,464",...,7.8,...,"418,567",...,...,--,...,--,...,--,...,--
2001M12,"40,762",...,"1,020,662",...,25.0,...,...,--,"15,445",...,"824,376",...,53.4,...,"1,329,265",...,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"25,298",...,"196,146",...,7.8,...,"556,820",...,...,--,...,--,...,--,...,--
2002M01,"39,921",-3.68,"1,024,145",-8.21,25.7,-4.70,...,--,"14,293",-16.04,"828,622",-10.77,58.0,6.28,"1,345,041",-11.57,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"25,603",5.07,"195,376",4.91,7.6,-0.16,"542,435",-3.57,...,--,...,--,...,--,...,--
2002M02,"38,186",-12.49,"969,281",-9.89,25.4,2.97,...,--,"14,630",-13.45,"785,695",-9.69,53.7,4.35,"1,282,936",-9.68,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"23,473",-12.00,"182,519",-10.85,7.8,1.31,"576,358",-5.60,...,--,...,--,...,--,...,--
2002M03,"42,449",-4.17,"1,045,287",-4.60,24.6,-0.45,...,--,"15,222",-7.75,"833,552",-5.42,54.8,2.52,"1,345,098",-6.00,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"27,119",-2.05,"209,746",-1.33,7.7,0.74,"607,805",-3.44,...,--,...,--,...,--,...,--
2002M04,"40,500",-5.13,"996,996",-9.39,24.6,-4.49,...,--,"14,638",-10.83,"794,506",-11.37,54.3,-0.61,"1,278,447",-12.01,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"25,769",-1.52,"200,902",-0.56,7.8,0.97,"581,725",-0.68,...,--,...,--,...,--,...,--
2002M05,"41,684",-3.55,"999,700",-4.92,24.0,-1.43,...,--,"14,634",-9.20,"790,589",-6.26,54.0,3.24,"1,275,234",-6.95,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"27,020",-0.18,"208,534",0.53,7.7,0.71,"598,038",-0.06,...,--,...,--,...,--,...,--
2002M06,"39,152",-3.57,"981,055",-4.85,25.1,-1.33,...,--,"13,580",-7.51,"784,564",-5.82,57.8,1.82,"1,282,528",-7.51,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"25,533",-1.40,"195,629",-0.95,7.7,0.46,"578,014",-0.39,...,--,...,--,...,--,...,--
2002M07,"42,673",-0.72,"1,091,572",-0.30,25.6,0.42,...,--,"14,729",-4.06,"878,654",-0.64,59.7,3.56,"1,420,887",-0.81,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"27,890",1.15,"211,686",1.09,7.6,-0.06,"624,439",-0.81,...,--,...,--,...,--,...,--
2002M08,"43,345",-3.27,"1,083,750",-6.71,25.0,-3.56,...,--,"14,927",-6.23,"871,029",-7.32,58.4,-1.16,"1,415,853",-7.68,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"28,353",-1.82,"211,041",-4.77,7.4,-3.01,"640,286",-2.61,...,--,...,--,...,--,...,--
2002M09,"40,095",38.71,"964,836",33.35,24.1,-3.87,...,--,"14,313",13.38,"765,546",26.78,53.5,11.82,"1,250,407",27.12,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"25,747",58.19,"198,532",66.06,7.7,4.97,"567,765",61.21,...,--,...,--,...,--,...,--
2002M10,"43,754",47.55,"1,012,732",15.05,23.1,-22.03,...,--,"15,014",3.26,"788,403",3.81,52.5,0.53,"1,260,652",2.48,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"28,684",89.83,"223,367",84.93,7.8,-2.58,"625,673",84.21,...,--,...,--,...,--,...,--
2002M11,"43,197",30.05,"965,540",5.20,22.4,-19.11,...,--,"14,421",-0.94,"764,313",-1.03,53.0,-0.10,"1,233,454",-0.73,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"28,725",54.04,"200,255",37.67,7.0,-10.63,"617,025",47.41,...,--,...,--,...,--,...,--
2002M12,"45,507",11.64,"1,012,605",-0.79,22.3,-11.13,...,--,"14,940",-3.27,"780,186",-5.36,52.2,-2.16,"1,318,403",-0.82,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"30,516",20.63,"231,546",18.05,7.6,-2.14,"646,588",16.12,...,--,...,--,...,--,...,--
2003M01,"41,895",4.95,"1,015,385",-0.86,24.2,-5.53,...,--,"13,829",-3.24,"803,868",-2.99,58.1,0.26,"1,314,643",-2.26,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"28,014",9.42,"210,533",7.76,7.5,-1.52,"625,032",15.23,...,--,...,--,...,--,...,--
2003M02,"41,132",7.72,"985,943",1.72,24.0,-5.57,...,--,"14,778",1.01,"778,556",-0.91,52.7,-1.90,"1,267,171",-1.23,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"26,241",11.79,"205,738",12.72,7.8,0.83,"598,651",3.87,...,--,...,--,...,--,...,--
2003M03,"43,883",3.38,"1,006,302",-3.73,22.9,-6.87,...,--,"14,779",-2.91,"780,783",-6.33,52.8,-3.52,"1,253,387",-6.82,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"29,041",7.09,"224,553",7.06,7.7,-0.03,"636,769",4.77,...,--,...,--,...,--,...,--
2003M04,"39,257",-3.07,"888,898",-10.84,22.6,-8.02,...,--,"13,431",-8.24,"689,641",-13.20,51.3,-5.40,"1,119,488",-12.43,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"25,791",0.09,"198,627",-1.13,7.7,-1.22,"572,285",-1.62,...,--,...,--,...,--,...,--
2003M05,"28,171",-32.42,"574,558",-42.53,20.4,-14.96,...,--,"9,512",-35.00,"428,131",-45.85,45.0,-16.69,"686,764",-46.15,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"18,647",-30.99,"146,251",-29.87,7.8,1.62,"405,126",-32.26,...,--,...,--,...,--,...,--
2003M06,"31,509",-19.52,"736,333",-24.94,23.4,-6.74,...,--,"10,777",-20.64,"574,898",-26.72,53.3,-7.67,"949,101",-26.00,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"20,714",-18.88,"161,090",-17.66,7.8,1.51,"453,731",-21.50,...,--,...,--,...,--,...,--
2003M07,"39,782",-6.77,"1,000,389",-8.35,25.1,-1.69,...,--,"13,622",-7.52,"799,116",-9.05,58.7,-1.66,"1,295,718",-8.81,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"26,105",-6.40,"200,117",-5.47,7.7,1.00,"571,383",-8.50,...,--,...,--,...,--,...,--
2003M08,"40,993",-5.43,"1,036,530",-4.36,25.3,1.13,...,--,"13,987",-6.29,"828,778",-4.85,59.3,1.54,"1,373,262",-3.01,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"26,947",-4.96,"206,511",-2.15,7.7,2.96,"605,729",-5.40,...,--,...,--,...,--,...,--
2003M09,"41,221",2.81,"978,867",1.45,23.7,-1.32,...,--,"14,235",-0.54,"770,186",0.61,54.1,1.16,"1,267,152",1.34,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"26,920",4.56,"207,886",4.71,7.7,0.15,"584,196",2.89,...,--,...,--,...,--,...,--
2003M10,"43,661",-0.21,"1,015,221",0.25,23.3,0.46,...,--,"14,476",-3.58,"786,005",-0.30,54.3,3.40,"1,274,290",1.08,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"29,091",1.42,"228,269",2.19,7.8,0.77,"643,659",2.87,...,--,...,--,...,--,...,--
2003M11,"42,138",-2.45,"954,553",-1.14,22.7,1.35,...,--,"13,860",-3.89,"736,133",-3.69,53.1,0.21,"1,206,351",-2.20,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"28,189",-1.86,"217,577",8.65,7.7,10.71,"588,187",-4.67,...,--,...,--,...,--,...,--
2003M12,"44,697",-1.78,"984,695",-2.76,22.0,-0.99,...,--,"14,138",-5.37,"750,297",-3.83,53.1,1.62,"1,225,207",-7.07,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"30,489",-0.09,"233,605",0.89,7.7,0.98,"693,440",7.25,...,--,...,--,...,--,...,--
2004M01,"40,271",-3.88,"1,015,621",0.02,25.2,4.06,...,--,"13,532",-2.15,"811,373",0.93,60.0,3.15,"1,352,588",2.89,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"26,616",-4.99,"203,063",-3.55,7.6,1.52,"584,627",-6.46,...,--,...,--,...,--,...,--
2004M02,"42,592",3.55,"936,564",-5.01,22.0,-8.26,...,--,"13,935",-5.70,"717,436",-7.85,51.5,-2.28,"1,173,323",-7.41,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"28,581",8.92,"218,285",6.10,7.6,-2.59,"626,352",4.63,...,--,...,--,...,--,...,--
2004M03,"44,471",1.34,"1,000,369",-0.59,22.5,-1.90,...,--,"14,134",-4.37,"769,484",-1.45,54.4,3.05,"1,258,750",0.43,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"30,223",4.07,"229,518",2.21,7.6,-1.79,"650,144",2.10,...,--,...,--,...,--,...,--
2004M04,"42,416",8.05,"975,734",9.77,23.0,1.59,...,--,"13,746",2.34,"754,460",9.40,54.9,6.90,"1,231,408",10.00,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"28,548",10.69,"219,875",10.70,7.7,0.01,"619,744",8.29,...,--,...,--,...,--,...,--
2004M05,"43,377",53.98,"988,724",72.08,22.8,11.76,...,--,"14,162",48.88,"763,010",78.22,53.9,19.70,"1,246,099",81.44,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"29,122",56.18,"224,728",53.66,7.7,-1.61,"635,243",56.80,...,--,...,--,...,--,...,--
2004M06,"40,701",29.18,"953,591",29.51,23.4,0.26,...,--,"12,937",20.04,"740,830",28.86,57.3,7.35,"1,227,724",29.36,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"27,682",33.64,"211,817",31.49,7.7,-1.61,"601,338",32.53,...,--,...,--,...,--,...,--
2004M07,"44,565",12.02,"1,083,663",8.32,24.3,-3.30,...,--,"14,272",4.78,"852,726",6.71,59.7,1.84,"1,396,317",7.76,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"30,234",15.82,"230,360",15.11,7.6,-0.61,"660,841",15.66,...,--,...,--,...,--,...,--
2004M08,"42,702",4.17,"1,052,210",1.51,24.6,-2.55,...,--,"14,398",2.94,"836,156",0.89,58.1,-1.99,"1,369,646",-0.26,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"28,219",4.72,"215,056",4.14,7.6,-0.56,"611,296",0.92,...,--,...,--,...,--,...,--
2004M09,"42,671",3.52,"1,000,077",2.17,23.4,-1.30,...,--,"14,017",-1.54,"783,106",1.68,55.9,3.26,"1,294,903",2.19,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"28,610",6.28,"216,574",4.18,7.6,-1.97,"618,333",5.84,...,--,...,--,...,--,...,--
2004M10,"44,817",2.65,"1,015,318",0.01,22.7,-2.57,...,--,"14,490",0.10,"780,286",-0.73,53.8,-0.83,"1,269,412",-0.38,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"30,246",3.97,"234,220",2.61,7.7,-1.31,"660,269",2.58,...,--,...,--,...,--,...,--
2004M11,"44,520",5.65,"1,006,238",5.41,22.6,-0.23,...,--,"14,293",3.12,"772,144",4.89,54.0,1.72,"1,259,770",4.43,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"30,125",6.87,"233,057",7.11,7.7,0.23,"654,144",11.21,...,--,...,--,...,--,...,--
2004M12,"46,573",4.20,"1,022,558",3.85,22.0,-0.34,...,--,"14,556",2.96,"777,905",3.68,53.4,0.70,"1,283,942",4.79,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"31,937",4.75,"243,802",4.37,7.6,-0.37,"693,406",-0.01,...,--,...,--,...,--,...,--
2005M01,"43,593",8.25,"1,028,985",1.32,23.6,-6.40,...,--,"13,697",1.22,"804,234",-0.88,58.7,-2.07,"1,337,164",-1.14,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"29,812",12.01,"223,866",10.24,7.5,-1.57,"637,558",9.05,...,--,...,--,...,--,...,--
2005M02,"39,692",-6.81,"940,858",0.46,23.7,7.80,...,--,"13,663",-1.95,"743,246",3.60,54.4,5.66,"1,241,079",5.77,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"25,879",-9.45,"195,997",-10.21,7.6,-0.84,"568,197",-9.28,...,--,...,--,...,--,...,--
2005M03,"46,449",4.45,"1,038,195",3.78,22.4,-0.64,...,--,"14,476",2.42,"794,718",3.28,54.9,0.84,"1,306,624",3.80,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"31,867",5.44,"242,076",5.47,7.6,0.03,"686,470",5.59,...,--,...,--,...,--,...,--
2005M04,"44,193",4.19,"1,030,746",5.64,23.3,1.39,...,--,"14,502",5.51,"802,421",6.36,55.3,0.81,"1,321,791",7.34,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"29,576",3.60,"227,019",3.25,7.7,-0.34,"638,890",3.09,...,--,...,--,...,--,...,--
2005M05,"44,711",3.08,"1,020,347",3.20,22.8,0.12,...,--,"14,379",1.53,"789,162",3.43,54.9,1.87,"1,297,412",4.12,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"30,252",3.88,"230,294",2.48,7.6,-1.35,"652,121",2.66,...,--,...,--,...,--,...,--
2005M06,"42,257",3.82,"984,244",3.21,23.3,-0.58,...,--,"13,167",1.77,"764,064",3.14,58.0,1.34,"1,272,465",3.64,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"29,030",4.87,"219,425",3.59,7.6,-1.22,"624,995",3.93,...,--,...,--,...,--,...,--
2005M07,"44,302",-0.59,"1,083,091",-0.05,24.4,0.54,...,--,"14,177",-0.67,"855,385",0.31,60.3,0.99,"1,407,991",0.84,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"30,012",-0.73,"226,410",-1.71,7.5,-0.99,"650,465",-1.57,...,--,...,--,...,--,...,--
2005M08,"45,007",5.40,"1,070,569",1.74,23.8,-3.47,...,--,"14,571",1.20,"840,352",0.50,57.7,-0.69,"1,378,426",0.64,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"30,344",7.53,"229,095",6.53,7.5,-0.93,"661,654",8.24,...,--,...,--,...,--,...,--
2005M09,"43,474",1.88,"1,011,337",1.13,23.3,-0.74,...,--,"14,011",-0.04,"786,212",0.40,56.1,0.44,"1,291,990",-0.22,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"29,409",2.79,"224,511",3.66,7.6,0.85,"637,217",3.05,...,--,...,--,...,--,...,--
2005M10,"45,238",0.94,"1,022,355",0.69,22.6,-0.24,...,--,"14,444",-0.32,"785,452",0.66,54.4,0.98,"1,273,388",0.31,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"30,689",1.47,"235,769",0.66,7.7,-0.79,"662,046",0.27,...,--,...,--,...,--,...,--
2005M11,"44,706",0.42,"996,708",-0.95,22.3,-1.36,...,--,"14,002",-2.03,"759,673",-1.62,54.3,0.43,"1,232,667",-2.15,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"30,604",1.59,"235,883",1.21,7.7,-0.37,"664,114",1.52,...,--,...,--,...,--,...,--
2005M12,"47,824",2.68,"1,027,911",0.52,21.5,-2.10,...,--,"14,471",-0.58,"774,751",-0.41,53.5,0.18,"1,269,756",-1.10,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"33,256",4.13,"252,026",3.37,7.6,-0.73,"705,330",1.72,...,--,...,--,...,--,...,--
2006M01,"42,904",-1.58,"1,031,047",0.20,24.0,1.81,...,--,"13,332",-2.66,"806,205",0.25,60.5,2.99,"1,347,605",0.78,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"29,453",-1.21,"223,629",-0.11,7.6,1.11,"637,342",-0.03,...,--,...,--,...,--,...,--
2006M02,"43,400",9.34,"986,306",4.83,22.7,-4.12,...,--,"14,471",5.91,"764,920",2.92,52.9,-2.83,"1,246,919",0.47,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"28,772",11.18,"219,789",12.14,7.6,0.86,"624,456",9.90,...,--,...,--,...,--,...,--
2006M03,"46,467",0.04,"1,037,482",-0.07,22.3,-0.11,...,--,"14,393",-0.57,"792,215",-0.31,55.0,0.26,"1,294,780",-0.91,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"31,936",0.22,"243,751",0.69,7.6,0.47,"685,128",-0.20,...,--,...,--,...,--,...,--
2006M04,"43,945",-0.56,"1,000,198",-2.96,22.8,-2.41,...,--,"14,245",-1.78,"772,329",-3.75,54.2,-2.01,"1,259,546",-4.71,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"29,566",-0.03,"226,467",-0.24,7.7,-0.21,"637,531",-0.21,...,--,...,--,...,--,...,--
2006M05,"45,076",0.82,"1,002,529",-1.75,22.2,-2.54,...,--,"14,130",-1.73,"766,230",-2.91,54.2,-1.19,"1,252,764",-3.44,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"30,871",2.05,"235,454",2.24,7.6,0.19,"663,662",1.77,...,--,...,--,...,--,...,--
2006M06,"44,487",5.28,"986,871",0.27,22.2,-4.76,...,--,"12,943",-1.70,"738,934",-3.29,57.1,-1.62,"1,217,941",-4.28,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"31,493",8.49,"247,343",12.72,7.9,3.91,"688,769",10.20,...,--,...,--,...,--,...,--
2006M07,"46,908",5.88,"1,073,215",-0.91,22.9,-6.42,...,--,"13,883",-2.07,"812,223",-5.05,58.5,-3.04,"1,325,449",-5.86,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"32,933",9.73,"259,984",14.83,7.9,4.64,"722,872",11.13,...,--,...,--,...,--,...,--
2006M08,"48,372",7.48,"1,099,298",2.68,22.7,-4.46,...,--,"14,660",0.61,"831,819",-1.02,56.7,-1.62,"1,355,140",-1.69,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"33,606",10.75,"266,144",16.17,7.9,4.89,"737,967",11.53,...,--,...,--,...,--,...,--
2006M09,"47,059",8.25,"1,024,979",1.35,21.8,-6.37,...,--,"13,914",-0.69,"764,084",-2.81,54.9,-2.13,"1,253,069",-3.01,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"33,071",12.45,"259,929",15.78,7.9,2.96,"719,815",12.96,...,--,...,--,...,--,...,--
2006M10,"48,197",6.54,"1,042,774",2.00,21.6,-4.26,...,--,"14,836",2.71,"775,489",-1.27,52.3,-3.87,"1,258,466",-1.17,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"33,233",8.29,"265,902",12.78,8.0,4.15,"732,501",10.64,...,--,...,--,...,--,...,--
2006M11,"47,030",5.20,"995,547",-0.12,21.2,-5.05,...,--,"13,608",-2.82,"727,297",-4.26,53.4,-1.49,"1,175,397",-4.65,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"33,331",8.91,"267,265",13.30,8.0,4.03,"732,116",10.24,...,--,...,--,...,--,...,--
2006M12,"50,350",5.28,"1,072,240",4.31,21.3,-0.92,...,--,"14,575",0.71,"787,423",1.64,54.0,0.92,"1,284,274",1.14,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"35,682",7.30,"283,719",12.57,8.0,4.92,"786,575",11.52,...,--,...,--,...,--,...,--
2007M01,"49,244",14.78,"1,300,924",26.17,26.4,9.93,...,--,"13,717",2.89,"773,942",-4.00,56.4,-6.70,"1,275,673",-5.34,"1,161",--,"252,905",--,217.8,--,...,--,...,--,...,--,...,--,...,--,"34,294",16.44,"273,144",22.14,8.0,4.90,"751,063",17.84,...,--,...,--,...,--,...,--
2007M02,"43,894",1.14,"1,116,907",13.24,25.4,11.97,...,--,"13,557",-6.32,"713,493",-6.72,52.6,-0.43,"1,172,346",-5.98,725,--,"163,397",--,225.4,--,...,--,...,--,...,--,...,--,...,--,"29,436",2.31,"238,137",8.35,8.1,5.90,"659,497",5.61,...,--,...,--,...,--,...,--
2007M03,"51,700",11.26,"1,277,437",23.13,24.7,10.67,...,--,"14,493",0.70,"779,101",-1.66,53.8,-2.34,"1,266,514",-2.18,919,--,"211,535",--,230.1,--,...,--,...,--,...,--,...,--,...,--,"36,156",13.21,"285,161",16.99,7.9,3.33,"783,941",14.42,...,--,...,--,...,--,...,--
2007M04,"48,804",11.06,"1,252,661",25.24,25.7,12.77,...,--,"14,164",-0.56,"733,509",-5.03,51.8,-4.49,"1,185,085",-5.91,"1,076",--,"251,319",--,233.5,--,...,--,...,--,...,--,...,--,...,--,"33,430",13.07,"266,317",17.60,8.0,4.00,"733,586",15.07,...,--,...,--,...,--,...,--
2007M05,"50,233",11.44,"1,269,920",26.67,25.3,13.67,...,--,"14,081",-0.35,"725,493",-5.32,51.5,-4.99,"1,175,869",-6.14,"1,155",--,"266,817",--,231.0,--,...,--,...,--,...,--,...,--,...,--,"34,925",13.13,"276,639",17.49,7.9,3.86,"763,347",15.02,...,--,...,--,...,--,...,--
2007M06,"47,472",6.71,"1,275,430",29.24,26.9,21.11,...,--,"13,177",1.80,"727,289",-1.58,55.2,-3.32,"1,195,204",-1.87,"1,241",--,"287,557",--,231.7,--,...,--,...,--,...,--,...,--,...,--,"32,984",4.73,"259,727",5.01,7.9,0.26,"718,462",4.31,...,--,...,--,...,--,...,--
2007M07,"52,098",11.06,"1,436,977",33.89,27.6,20.56,...,--,"14,742",6.18,"827,213",1.85,56.1,-4.09,"1,351,899",2.00,"1,426",--,"327,990",--,230.0,--,...,--,...,--,...,--,...,--,...,--,"35,817",8.76,"280,511",7.90,7.8,-0.79,"784,175",8.48,...,--,...,--,...,--,...,--
2007M08,"50,166",3.71,"1,332,453",21.21,26.6,16.87,...,--,"13,910",-5.12,"746,885",-10.21,53.7,-5.37,"1,221,887",-9.83,"1,374",--,"313,322",--,228.1,--,...,--,...,--,...,--,...,--,...,--,"34,828",3.64,"271,681",2.08,7.8,-1.50,"759,816",2.96,...,--,...,--,...,--,...,--
2007M09,"48,866",3.84,"1,339,115",30.65,27.4,25.82,...,--,"14,417",3.62,"762,069",-0.26,52.9,-3.75,"1,249,424",-0.29,"1,367",--,"313,786",--,229.5,--,...,--,...,--,...,--,...,--,...,--,"33,011",-0.18,"262,483",0.98,8.0,1.17,"726,986",1.00,...,--,...,--,...,--,...,--
2007M10,"51,432",6.71,"1,319,668",26.55,25.7,18.59,...,--,"14,247",-3.97,"708,683",-8.61,49.7,-4.84,"1,144,542",-9.05,"1,449",--,"325,844",--,224.9,--,...,--,...,--,...,--,...,--,...,--,"35,679",7.36,"284,720",7.08,8.0,-0.27,"780,404",6.54,...,--,...,--,...,--,...,--
