期間,出生人數_原始值,出生人數_年增率(%),粗出生率(0/00)_原始值,粗出生率(0/00)_年增率(%),男性出生人數_原始值,男性出生人數_年增率(%),女性出生人數_原始值,女性出生人數_年增率(%),死亡人數_原始值,死亡人數_年增率(%),粗死亡率(0/00)_原始值,粗死亡率(0/00)_年增率(%),男性死亡人數_原始值,男性死亡人數_年增率(%),女性死亡人數_原始值,女性死亡人數_年增率(%),自然增加-人數_原始值,自然增加-人數_年增率(%),自然增加-增加率(0/00)_原始值,自然增加-增加率(0/00)_年增率(%),社會增加-增加人數_原始值,社會增加-增加人數_年增率(%),社會增加-增加率(0/00)_原始值,社會增加-增加率(0/00)_年增率(%),總增加-增加人數_原始值,總增加-增加人數_年增率(%),總增加-總增加率(0/00)_原始值,總增加-總增加率(0/00)_年增率(%),婚生-計_原始值,婚生-計_年增率(%),婚生-男性_原始值,婚生-男性_年增率(%),婚生-女性_原始值,婚生-女性_年增率(%),非婚生-已認領-計_原始值,非婚生-已認領-計_年增率(%),非婚生-已認領-男性_原始值,非婚生-已認領-男性_年增率(%),非婚生-已認領-女性_原始值,非婚生-已認領-女性_年增率(%),非婚生-未認領-計_原始值,非婚生-未認領-計_年增率(%),非婚生-未認領-男性_原始值,非婚生-未認領-男性_年增率(%),非婚生-未認領-女性_原始值,非婚生-未認領-女性_年增率(%),棄嬰或無依兒童-計_原始值,棄嬰或無依兒童-計_年增率(%),棄嬰或無依兒童-男性_原始值,棄嬰或無依兒童-男性_年增率(%),棄嬰或無依兒童-女性_原始值,棄嬰或無依兒童-女性_年增率(%),出生登記人數-遺腹子-計_原始值,出生登記人數-遺腹子-計_年增率(%),出生登記人數-遺腹子-男性_原始值,出生登記人數-遺腹子-男性_年增率(%),出生登記人數-遺腹子-女性_原始值,出生登記人數-遺腹子-女性_年增率(%),出生登記人數-雙生者-計_原始值,出生登記人數-雙生者-計_年增率(%),出生登記人數-雙生者-男性_原始值,出生登記人數-雙生者-男性_年增率(%),出生登記人數-雙生者-女性_原始值,出生登記人數-雙生者-女性_年增率(%),出生登記人數-三生以上者-計_原始值,出生登記人數-三生以上者-計_年增率(%),出生登記人數-三生以上者-男性_原始值,出生登記人數-三生以上者-男性_年增率(%),出生登記人數-三生以上者-女性_原始值,出生登記人數-三生以上者-女性_年增率(%)
2001,"260,354",-14.73,11.65,-,"135,596",-15.11,"124,758",-14.31,"127,647",1.34,5.71,-,"79,319",1.40,"48,328",1.24,"132,707",-,5.94,-,"-3,811",-,-0.17,-,"128,896",-,5.77,-,"250,858",-15.05,"130,704",-15.48,"120,154",-14.58,"3,882",-2.39,"1,970",-2.04,"1,912",-2.75,"5,551",-7.10,"2,886",-4.97,"2,665",-9.29,63,-4.55,36,-14.29,27,12.50,78,-40.00,42,-36.36,36,-43.75,"6,246",-13.56,"3,262",-12.94,"2,984",-14.23,218,-50.00,117,-47.06,101,-53.02
2002,"247,530",-4.93,11.02,-,"129,537",-4.47,"117,993",-5.42,"128,636",0.77,5.73,-,"79,348",0.04,"49,288",1.99,"118,894",-,5.29,-,"-3,686",-,-0.16,-,"115,208",-,5.13,-,"238,521",-4.92,"124,805",-4.51,"113,716",-5.36,"3,415",-12.03,"1,735",-11.93,"1,680",-12.13,"5,530",-0.38,"2,963",2.67,"2,567",-3.68,64,1.59,35,-2.78,29,7.41,81,3.85,39,-7.14,42,16.67,"6,135",-1.78,"3,109",-4.69,"3,026",1.41,225,3.21,114,-2.56,111,9.90
2003,"227,070",-8.27,10.06,-,"118,984",-8.15,"108,086",-8.40,"130,801",1.68,5.80,-,"80,384",1.31,"50,417",2.29,"96,269",-,4.27,-,"-12,495",-,-0.55,-,"83,774",-,3.71,-,"218,978",-8.19,"114,801",-8.02,"104,177",-8.39,"2,880",-15.67,"1,506",-13.20,"1,374",-18.21,"5,150",-6.87,"2,642",-10.83,"2,508",-2.30,62,-3.12,35,0.00,27,-6.90,63,-22.22,36,-7.69,27,-35.71,"5,498",-10.38,"2,917",-6.18,"2,581",-14.71,211,-6.22,111,-2.63,100,-9.91
2004,"216,419",-4.69,9.56,-,"113,639",-4.49,"102,780",-4.91,"135,092",3.28,5.97,-,"83,696",4.12,"51,396",1.94,"81,327",-,3.59,-,"3,245",-,0.14,-,"84,572",-,3.73,-,"208,471",-4.80,"109,450",-4.66,"99,021",-4.95,"3,373",17.12,"1,799",19.46,"1,574",14.56,"4,514",-12.35,"2,357",-10.79,"2,157",-14.00,61,-1.61,33,-5.71,28,3.70,73,15.87,37,2.78,36,33.33,"5,490",-0.15,"2,880",-1.27,"2,610",1.12,198,-6.16,100,-9.91,98,-2.00
2005,"205,854",-4.88,9.06,-,"107,378",-5.51,"98,476",-4.19,"139,398",3.19,6.13,-,"86,778",3.68,"52,620",2.38,"66,456",-,2.92,-,"14,805",-,0.65,-,"81,261",-,3.58,-,"197,572",-5.23,"103,143",-5.76,"94,429",-4.64,"3,474",2.99,"1,763",-2.00,"1,711",8.70,"4,771",5.69,"2,453",4.07,"2,318",7.46,37,-39.34,19,-42.42,18,-35.71,65,-10.96,35,-5.41,30,-16.67,"5,335",-2.82,"2,785",-3.30,"2,550",-2.30,127,-35.86,62,-38.00,65,-33.67
2006,"204,459",-0.68,8.96,-,"106,936",-0.41,"97,523",-0.97,"135,839",-2.55,5.95,-,"84,800",-2.28,"51,039",-3.00,"68,620",-,3.01,-,"37,524",-,1.64,-,"106,144",-,4.65,-,"195,864",-0.86,"102,503",-0.62,"93,361",-1.13,"2,381",-31.46,"1,232",-30.12,"1,149",-32.85,"6,179",29.51,"3,182",29.72,"2,997",29.29,35,-5.41,19,0.00,16,-11.11,65,0.00,24,-31.43,41,36.67,"5,403",1.27,"2,744",-1.47,"2,659",4.27,139,9.45,70,12.90,69,6.15
2007,"204,414",-0.02,8.92,-,"106,898",-0.04,"97,516",-0.01,"141,111",3.88,6.16,-,"87,029",2.63,"54,082",5.96,"63,303",-,2.76,-,"18,530",-,0.81,-,"81,833",-,3.57,-,"195,375",-0.25,"102,245",-0.25,"93,130",-0.25,"2,565",7.73,"1,317",6.90,"1,248",8.62,"6,414",3.80,"3,300",3.71,"3,114",3.90,60,71.43,36,89.47,24,50.00,55,-15.38,32,33.33,23,-43.90,"5,552",2.76,"2,890",5.32,"2,662",0.11,156,12.23,80,14.29,76,10.14
2008,"198,733",-2.78,8.64,-,"103,937",-2.77,"94,796",-2.79,"143,624",1.78,6.25,-,"88,541",1.74,"55,083",1.85,"55,109",-,2.40,-,"23,562",-,1.02,-,"78,671",-,3.42,-,"190,498",-2.50,"99,790",-2.40,"90,708",-2.60,"3,304",28.81,"1,671",26.88,"1,633",30.85,"4,891",-23.74,"2,453",-25.67,"2,438",-21.71,40,-33.33,23,-36.11,17,-29.17,50,-9.09,21,-34.38,29,26.09,"5,313",-4.30,"2,691",-6.89,"2,622",-1.50,126,-19.23,55,-31.25,71,-6.58
2009,"191,310",-3.74,8.29,-,"99,492",-4.28,"91,818",-3.14,"143,582",-0.03,6.22,-,"88,088",-0.51,"55,494",0.75,"47,728",-,2.07,-,"35,013",-,1.52,-,"82,741",-,3.59,-,"183,801",-3.52,"95,644",-4.15,"88,157",-2.81,"2,960",-10.41,"1,506",-9.87,"1,454",-10.96,"4,512",-7.75,"2,321",-5.38,"2,191",-10.13,37,-7.50,21,-8.70,16,-5.88,37,-26.00,13,-38.10,24,-17.24,"5,382",1.30,"2,770",2.94,"2,612",-0.38,148,17.46,76,38.18,72,1.41
2010,"166,886",-12.77,7.21,-,"87,213",-12.34,"79,673",-13.23,"145,772",1.53,6.30,-,"89,152",1.21,"56,620",2.03,"21,114",-,0.91,-,"21,237",-,0.92,-,"42,351",-,1.83,-,"159,328",-13.31,"83,286",-12.92,"76,042",-13.74,"3,062",3.45,"1,617",7.37,"1,445",-0.62,"4,470",-0.93,"2,297",-1.03,"2,173",-0.82,26,-29.73,13,-38.10,13,-18.75,32,-13.51,15,15.38,17,-29.17,"5,145",-4.40,"2,683",-3.14,"2,462",-5.74,103,-30.41,57,-25.00,46,-36.11
2011,"196,627",17.82,8.48,-,"101,943",16.89,"94,684",18.84,"152,915",4.90,6.59,-,"93,810",5.22,"59,105",4.39,"43,712",-,1.88,-,"19,077",-,0.82,-,"62,789",-,2.71,-,"189,162",18.72,"98,098",17.78,"91,064",19.75,"2,966",-3.14,"1,538",-4.89,"1,428",-1.18,"4,486",0.36,"2,300",0.13,"2,186",0.60,13,-50.00,7,-46.15,6,-53.85,37,15.62,17,13.33,20,17.65,"6,141",19.36,"3,061",14.09,"3,080",25.10,130,26.21,63,10.53,67,45.65
2012,"229,481",16.71,9.86,-,"118,848",16.58,"110,633",16.84,"154,251",0.87,6.63,-,"93,618",-0.20,"60,633",2.59,"75,230",-,3.23,-,"15,680",-,0.67,-,"90,910",-,3.91,-,"221,213",16.94,"114,511",16.73,"106,702",17.17,"3,273",10.35,"1,720",11.83,"1,553",8.75,"4,977",10.95,"2,605",13.26,"2,372",8.51,18,38.46,12,71.43,6,0.00,33,-10.81,15,-11.76,18,-10.00,"7,638",24.38,"3,923",28.16,"3,715",20.62,126,-3.08,75,19.05,51,-23.88
2013,"199,113",-13.23,8.53,-,"103,120",-13.23,"95,993",-13.23,"155,908",1.07,6.68,-,"94,505",0.95,"61,403",1.27,"43,205",-,1.85,-,"14,490",-,0.62,-,"57,695",-,2.47,-,"191,137",-13.60,"99,037",-13.51,"92,100",-13.68,"3,166",-3.27,"1,604",-6.74,"1,562",0.58,"4,798",-3.60,"2,474",-5.03,"2,324",-2.02,12,-33.33,5,-58.33,7,16.67,35,6.06,18,20.00,17,-5.56,"6,265",-17.98,"3,208",-18.23,"3,057",-17.71,113,-10.32,56,-25.33,57,11.76
