期間,新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%)
1989M07,753,-15.20,17,21.43,-,--,38,-19.15,19,-42.42,11,10.00,18,-14.29,...,...,...,...,51,21.43,4,-50.00,12,-45.45,-,--,14,-41.67,88,-25.42,15,-11.76,19,0.00,135,-6.25,122,-10.29,93,-25.60,30,-11.76,23,21.05,44,-13.73,208,-1.89,11,22.22,1,--,18,20.00,4,-50.00,9,50.00,5,-37.50,...,...,...,...,8,166.67,3,50.00,6,50.00,-,--,4,100.00,25,-3.85,9,28.57,2,0.00,20,-23.08,22,37.50,35,-12.50,8,14.29,6,100.00,12,-57.14
1989M08,747,-0.93,18,12.50,2,100.00,32,33.33,25,25.00,9,-18.18,27,28.57,...,...,...,...,35,-5.41,6,-33.33,6,-76.00,-,--,8,-63.64,91,18.18,13,-27.78,23,155.56,146,2.10,90,-21.05,119,2.59,25,-24.24,15,25.00,57,23.91,245,2.08,12,9.09,1,-50.00,16,6.67,16,6.67,3,-50.00,11,-35.29,...,...,...,...,10,100.00,4,-42.86,7,40.00,1,--,6,20.00,24,0.00,6,-14.29,2,--,42,31.25,26,23.81,33,-5.71,9,0.00,2,-60.00,14,-26.32
1989M09,547,-31.19,12,-63.64,2,--,25,-46.81,15,-21.05,5,-28.57,13,-40.91,...,...,...,...,39,-17.02,2,-75.00,12,-47.83,-,--,12,-40.00,49,-48.42,18,-14.29,27,92.86,93,-23.77,75,-28.57,77,-29.36,22,-24.14,13,8.33,36,-41.94,262,-4.03,13,-31.58,1,0.00,14,-26.32,9,12.50,4,-33.33,24,20.00,...,...,...,...,10,0.00,6,50.00,8,-38.46,-,--,6,200.00,34,25.93,8,-50.00,3,0.00,29,11.54,19,-13.64,39,-2.50,8,14.29,5,400.00,22,-24.14
1989M10,649,-5.26,24,4.35,-,--,25,-19.35,17,-10.53,7,-36.36,11,-26.67,...,...,...,...,32,14.29,3,-50.00,14,27.27,-,--,13,-55.17,63,-25.00,12,-29.41,38,216.67,145,19.83,85,-16.67,95,1.06,22,-29.03,18,12.50,25,-26.47,233,-45.31,16,-36.00,1,-66.67,14,-57.58,5,-90.00,7,0.00,9,-75.00,...,...,...,...,7,-46.15,2,-33.33,12,-14.29,-,--,5,25.00,31,0.00,6,-86.36,4,0.00,30,25.00,24,-44.19,34,-29.17,10,42.86,1,-80.00,15,-53.12
1989M11,648,-14.85,13,-7.14,1,--,25,-28.57,20,-20.00,5,-28.57,14,-46.15,...,...,...,...,36,-16.28,5,-37.50,8,-52.94,-,--,11,-56.00,72,-1.37,11,-38.89,16,14.29,131,3.97,95,4.40,118,-10.61,21,-40.00,12,-47.83,34,-30.61,221,-72.58,7,-93.14,-,--,19,-57.78,4,-88.89,1,-94.12,12,-82.35,...,...,...,...,15,-44.44,3,-75.00,2,-91.67,-,--,8,33.33,19,-76.54,4,-80.00,4,-69.23,37,-61.46,24,-50.00,32,-45.76,8,-83.33,6,-83.33,16,-74.19
1989M12,550,-39.09,15,-42.31,2,--,24,-55.56,18,-35.71,9,12.50,9,-59.09,...,...,...,...,37,-26.00,1,-75.00,23,-8.00,-,--,5,-82.76,68,-20.93,11,-59.26,17,0.00,101,-38.04,71,-52.98,85,-35.11,20,-48.72,7,-12.50,27,-22.86,828,84.82,66,266.67,1,--,37,42.31,40,185.71,14,55.56,57,111.11,...,...,...,...,25,92.31,4,-50.00,31,287.50,-,--,11,175.00,87,81.25,36,5.88,2,-60.00,96,108.70,72,188.00,97,-1.02,26,271.43,30,150.00,96,108.70
1990M01,507,-21.15,13,-27.78,-,--,14,-58.82,20,-9.09,8,60.00,6,-70.00,...,...,...,...,26,4.00,5,66.67,8,-46.67,1,0.00,12,-7.69,52,-31.58,14,-22.22,11,-42.11,90,-22.41,70,-21.35,82,-13.68,19,-9.52,12,-40.00,44,33.33,624,-51.44,66,-32.65,3,0.00,30,-68.42,18,-65.38,9,-67.86,58,-10.77,...,...,...,...,26,-48.00,10,-23.08,25,-24.24,-,--,8,-46.67,70,-43.55,21,10.53,5,-70.59,88,-60.36,43,-74.56,43,-51.69,23,-57.41,26,-35.00,52,-46.94
1990M02,360,-30.37,10,-33.33,-,--,13,-43.48,10,11.11,4,-20.00,11,-8.33,...,...,...,...,24,-31.43,-,--,7,-30.00,-,--,6,-25.00,35,-44.44,11,-8.33,10,-28.57,69,-17.86,59,-15.71,51,-40.70,16,-44.83,7,-12.50,17,-45.16,165,26.92,5,0.00,1,--,13,44.44,10,150.00,2,-60.00,8,0.00,...,...,...,...,7,-12.50,2,100.00,3,-40.00,-,--,5,400.00,17,21.43,3,-50.00,2,-33.33,23,35.29,15,15.38,35,84.21,7,250.00,1,-66.67,6,-14.29
1990M03,636,-14.29,13,-53.57,1,-75.00,33,13.79,21,-25.00,10,42.86,15,-21.05,...,...,...,...,45,12.50,3,-57.14,9,-25.00,-,--,12,-33.33,61,-29.89,19,5.56,18,38.46,110,-18.52,73,-26.26,114,8.57,23,-41.03,14,16.67,42,5.00,252,16.67,9,0.00,-,--,17,-5.56,13,18.18,6,50.00,15,50.00,...,...,...,...,5,25.00,2,0.00,11,57.14,-,--,4,300.00,33,37.50,6,-25.00,2,0.00,24,-25.00,30,42.86,41,57.69,7,-46.15,6,0.00,21,16.67
1990M04,500,-22.24,21,0.00,2,--,19,-42.42,13,-7.14,4,0.00,11,0.00,...,...,...,...,26,-31.58,2,100.00,12,0.00,1,0.00,4,-69.23,47,-34.72,10,-47.37,15,-28.57,104,-18.11,49,-41.67,105,5.00,26,-13.33,10,-28.57,19,-32.14,201,-4.74,8,-20.00,-,--,17,0.00,6,-14.29,6,20.00,8,-33.33,...,...,...,...,8,14.29,1,-80.00,11,10.00,-,--,4,-42.86,26,18.18,8,0.00,3,-40.00,16,-30.43,20,17.65,32,-8.57,9,12.50,9,350.00,9,-10.00
