期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%)
2007M12,90,1.12,"21,171",0.36,70.68,-,0,-1.48,60,0.00,"17,733",-0.54,72.24,-,0,-1.66,30,3.45,"3,438",5.30,62.76,-,0,0.65
2008M01,90,1.12,"21,171",0.37,61.61,-,"3,148","38,738,285.88",60,0.00,"17,733",-0.53,63.00,-,"3,298","33,191,039.01",30,3.45,"3,438",5.30,54.55,-,"2,264","5,665,710.99"
2008M02,90,0.00,"21,171",-0.48,61.88,-,"3,280","36,773,669.62",60,0.00,"17,733",-0.53,63.44,-,"3,436","31,621,367.99",30,0.00,"3,438",-0.26,53.93,-,"2,342","5,132,046.09"
2008M03,90,0.00,"21,171",-0.48,65.95,-,"3,290","47,261,688.87",60,0.00,"17,733",-0.53,67.12,-,"3,468","40,313,681.27",30,0.00,"3,438",-0.26,59.98,-,"2,271","6,960,676.54"
2008M04,90,0.00,"21,059",-1.01,64.16,-,"3,289","45,021,741.08",59,-1.67,"17,505",-1.81,64.74,-,"3,483","38,393,002.93",31,3.33,"3,554",3.10,61.24,-,"2,254","6,782,839.49"
2008M05,90,0.00,"21,059",-1.01,62.90,-,"3,174","41,833,242.22",59,-1.67,"17,505",-1.81,63.48,-,"3,374","35,771,828.45",31,3.33,"3,554",3.10,60.08,-,"2,146","6,257,444.85"
2008M06,90,0.00,"21,051",-1.05,65.79,-,"3,438","45,254,032.16",59,-1.67,"17,497",-1.85,67.06,-,"3,653","38,585,908.63",31,3.33,"3,554",3.10,59.63,-,"2,262","6,792,960.96"
2008M07,90,1.12,"21,052",0.36,67.50,-,"3,283","43,678,447.25",59,0.00,"17,497",-0.18,69.18,-,"3,465","37,045,134.92",31,3.33,"3,555",3.13,59.35,-,"2,250","6,565,131.01"
2008M08,90,1.12,"21,052",0.36,64.35,-,"3,221","42,380,298.46",59,0.00,"17,497",-0.18,65.69,-,"3,399","36,259,404.62",31,3.33,"3,555",3.13,57.87,-,"2,243","6,208,351.17"
2008M09,90,1.12,"21,058",0.43,61.94,-,"3,167","40,392,179.93",59,0.00,"17,503",-0.15,63.23,-,"3,344","34,369,586.92",31,3.33,"3,555",3.40,55.53,-,"2,163","6,024,705.30"
