期間,新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%)
1985M09,"1,018",3.77,527,10.02,66,34.69,111,38.75,113,15.31,23,-14.81,"2,524",0.67,"1,305",6.27,163,28.35,274,33.66,280,11.55,58,-17.14
1985M10,"1,115",11.28,573,15.29,68,15.25,128,25.49,121,2.54,15,-40.00,"2,776",8.09,"1,429",12.43,169,12.67,318,22.78,303,0.33,37,-43.08
1985M11,"1,070",7.11,563,13.51,62,5.08,117,11.43,118,6.31,17,-29.17,"2,683",5.89,"1,411",11.81,156,4.00,292,9.36,296,4.96,42,-31.15
1985M12,"1,123",16.74,588,25.37,73,-9.88,122,17.31,112,3.70,21,-12.50,"2,828",15.64,"1,478",24.10,184,-10.68,308,16.23,281,2.55,54,-12.90
1986M01,"1,235",21.32,626,19.01,84,9.09,137,30.48,128,45.45,25,-16.67,"3,120",20.05,"1,579",17.75,211,7.11,345,28.73,324,44.00,63,-18.18
1986M02,978,9.89,519,15.85,52,-20.00,106,21.84,106,2.91,20,66.67,"2,487",9.12,"1,323",15.65,132,-20.96,270,21.62,269,1.89,52,62.50
1986M03,"1,285",14.73,667,28.27,63,-50.39,164,56.19,132,10.92,23,-54.90,"3,288",15.75,"1,708",29.39,161,-50.15,420,59.70,339,12.62,58,-54.69
1986M04,"1,247",19.56,664,21.61,69,-10.39,142,43.43,133,24.30,24,-4.00,"3,226",22.65,"1,717",24.60,179,-7.73,366,45.24,344,27.41,62,-3.13
1986M05,"1,334",20.72,710,27.47,77,11.59,158,49.06,147,38.68,23,-54.90,"3,477",25.08,"1,848",32.00,200,14.94,409,52.04,382,43.07,61,-51.97
1986M06,"1,273",23.35,680,28.06,76,20.63,146,50.52,132,14.78,22,-24.14,"3,336",30.80,"1,781",35.64,198,27.74,383,58.26,346,21.40,58,-18.31
1986M07,"1,343",28.89,694,26.18,78,9.86,164,57.69,143,31.19,20,17.65,"3,521",35.67,"1,820",32.46,205,15.82,430,66.02,376,37.73,54,25.58
1986M08,"1,347",25.89,704,25.27,84,25.37,161,51.89,141,27.03,23,15.00,"3,589",35.42,"1,877",34.84,223,35.15,431,63.88,375,36.86,61,22.00
1986M09,"1,272",24.95,632,19.92,83,25.76,155,39.64,155,37.17,22,-4.35,"3,448",36.61,"1,713",31.26,225,38.04,421,53.65,419,49.64,60,3.45
1986M10,"1,435",28.70,688,20.07,94,38.24,189,47.66,182,50.41,24,60.00,"3,915",41.05,"1,877",31.35,258,52.66,515,61.95,496,63.70,65,75.68
1986M11,"1,412",31.96,743,31.97,78,25.81,169,44.44,168,42.37,18,5.88,"3,872",44.31,"2,040",44.58,213,36.54,468,60.27,460,55.41,49,16.67
1986M12,"1,394",24.13,691,17.52,79,8.22,190,55.74,169,50.89,27,28.57,"3,863",36.58,"1,914",29.50,219,19.02,526,70.78,467,66.19,75,38.89
1987M01,"1,338",8.34,662,5.75,91,8.33,182,32.85,150,17.19,25,0.00,"3,799",21.78,"1,879",19.00,259,22.75,517,49.86,426,31.48,72,14.29
1987M02,"1,318",34.76,679,30.83,70,34.62,182,71.70,138,30.19,26,30.00,"3,769",51.54,"1,943",46.86,200,51.52,523,93.70,396,47.21,75,44.23
1987M03,"1,486",15.64,742,11.24,81,28.57,207,26.22,164,24.24,33,43.48,"4,286",30.35,"2,143",25.47,235,45.96,597,42.14,474,39.82,95,63.79
1987M04,"1,574",26.22,780,17.47,87,26.09,214,50.70,197,48.12,31,29.17,"4,650",44.15,"2,305",34.25,258,44.13,630,72.13,583,69.48,93,50.00
1987M05,"1,455",9.07,695,-2.11,93,20.78,202,27.85,187,27.21,27,17.39,"4,495",29.29,"2,148",16.23,288,44.00,623,52.32,578,51.31,83,36.07
1987M06,"1,452",14.06,696,2.35,89,17.11,190,30.14,186,40.91,27,22.73,"4,665",39.83,"2,237",25.60,285,43.94,608,58.75,597,72.54,87,50.00
1987M07,"1,439",7.15,662,-4.61,87,11.54,199,21.34,188,31.47,29,45.00,"4,644",31.87,"2,133",17.20,281,37.07,641,49.07,605,60.90,92,70.37
1987M08,"1,370",1.71,640,-9.09,83,-1.19,191,18.63,176,24.82,26,13.04,"4,530",26.23,"2,116",12.73,273,22.42,629,45.94,582,55.20,88,44.26
1987M09,"1,419",11.56,661,4.59,102,22.89,194,25.16,205,32.26,24,9.09,"4,720",36.88,"2,200",28.43,340,51.11,646,53.44,681,62.53,80,33.33
1987M10,"1,401",-2.37,642,-6.69,89,-5.32,190,0.53,215,18.13,30,25.00,"4,680",19.55,"2,144",14.22,298,15.50,633,22.91,717,44.56,100,53.85
1987M11,"1,393",-1.35,610,-17.90,100,28.21,221,30.77,209,24.40,33,83.33,"4,684",20.99,"2,050",0.49,337,58.22,739,57.91,702,52.61,111,126.53
1987M12,"1,396",0.14,616,-10.85,87,10.13,199,4.74,187,10.65,31,14.81,"4,819",24.74,"2,130",11.29,299,36.53,688,30.80,647,38.54,107,42.67
1988M01,"1,319",-1.42,572,-13.60,105,15.38,199,9.34,183,22.00,27,8.00,"4,624",21.72,"2,005",6.71,368,42.08,701,35.59,642,50.70,96,33.33
1988M02,"1,232",-6.53,541,-20.32,81,15.71,185,1.65,170,23.19,27,3.85,"4,309",14.33,"1,892",-2.62,283,41.50,650,24.28,594,50.00,95,26.67
1988M03,"1,481",-0.34,640,-13.75,123,51.85,235,13.53,184,12.20,36,9.09,"5,174",20.70,"2,240",4.53,430,82.98,822,37.69,643,35.65,125,31.58
1988M04,"1,508",-4.19,650,-16.67,119,36.78,245,14.49,196,-0.51,35,12.90,"5,275",13.44,"2,273",-1.39,417,61.63,853,35.40,685,17.50,121,30.11
1988M05,"1,474",1.31,612,-11.94,135,45.16,243,20.30,183,-2.14,38,40.74,"5,165",14.91,"2,145",-0.14,472,63.89,850,36.44,642,11.07,133,60.24
1988M06,"1,455",0.21,579,-16.81,125,40.45,223,17.37,228,22.58,39,44.44,"5,090",9.11,"2,027",-9.39,437,53.33,778,27.96,798,33.67,138,58.62
1988M07,"1,450",0.76,613,-7.40,125,43.68,216,8.54,200,6.38,34,17.24,"5,064",9.04,"2,139",0.28,436,55.16,755,17.78,696,15.04,119,29.35
1988M08,"1,437",4.89,612,-4.38,124,49.40,215,12.57,197,11.93,38,46.15,"5,036",11.17,"2,143",1.28,434,58.97,751,19.40,690,18.56,133,51.14
1988M09,"1,427",0.56,584,-11.65,127,24.51,220,13.40,212,3.41,31,29.17,"4,952",4.92,"2,026",-7.91,441,29.71,764,18.27,734,7.78,109,36.25
1988M10,"1,545",10.28,648,0.93,131,47.19,226,18.95,227,5.58,45,50.00,"5,366",14.65,"2,248",4.85,453,52.01,786,24.17,788,9.90,156,56.00
1988M11,"1,471",5.60,579,-5.08,139,39.00,231,4.52,216,3.35,39,18.18,"5,238",11.82,"2,064",0.68,494,46.59,824,11.50,771,9.83,137,23.42
1988M12,"1,537",10.10,641,4.06,139,59.77,249,25.13,214,14.44,37,19.35,"5,476",13.64,"2,282",7.14,495,65.55,887,28.92,761,17.62,133,24.30
1989M01,"1,506",14.18,610,6.64,139,32.38,210,5.53,244,33.33,46,70.37,"5,429",17.40,"2,200",9.73,500,35.87,760,8.42,881,37.23,167,73.96
1989M02,"1,285",4.30,537,-0.74,107,32.10,192,3.78,203,19.41,35,29.63,"4,658",8.09,"1,947",2.91,387,36.75,696,7.08,734,23.57,127,33.68
1989M03,"1,723",16.34,695,8.59,127,3.25,240,2.13,266,44.57,49,36.11,"6,260",20.99,"2,523",12.63,460,6.98,873,6.20,968,50.54,179,43.20
1989M04,"1,573",4.31,619,-4.77,120,0.84,220,-10.20,256,30.61,34,-2.86,"5,820",10.34,"2,290",0.75,446,6.95,814,-4.57,946,38.10,127,4.96
1989M05,"1,476",0.14,613,0.16,120,-11.11,203,-16.46,238,30.05,34,-10.53,"5,744",11.21,"2,383",11.10,468,-0.85,791,-6.94,926,44.24,131,-1.50
1989M06,"1,475",1.37,586,1.21,108,-13.60,213,-4.48,218,-4.39,47,20.51,"5,685",11.70,"2,259",11.45,417,-4.58,820,5.40,840,5.26,182,31.88
1989M07,"1,440",-0.69,539,-12.07,107,-14.40,256,18.52,235,17.50,46,35.29,"5,609",10.76,"2,093",-2.15,415,-4.82,995,31.79,912,31.03,179,50.42
1989M08,"1,360",-5.36,532,-13.07,112,-9.68,197,-8.37,208,5.58,45,18.42,"5,294",5.13,"2,073",-3.27,435,0.23,767,2.13,811,17.54,174,30.83
1989M09,"1,400",-1.89,560,-4.11,107,-15.75,221,0.45,200,-5.66,42,35.48,"5,458",10.22,"2,182",7.70,416,-5.67,861,12.70,778,5.99,162,48.62
1989M10,"1,314",-14.95,533,-17.75,92,-29.77,221,-2.21,186,-18.06,36,-20.00,"5,131",-4.37,"2,078",-7.56,357,-21.19,859,9.29,724,-8.12,140,-10.26
1989M11,"1,421",-3.40,555,-4.15,96,-30.94,264,14.29,197,-8.80,41,5.13,"5,476",4.54,"2,140",3.68,371,-24.90,"1,018",23.54,761,-1.30,159,16.06
1989M12,"1,360",-11.52,527,-17.78,99,-28.78,216,-13.25,221,3.27,42,13.51,"5,207",-4.90,"2,020",-11.48,379,-23.43,828,-6.65,846,11.17,160,20.30
1990M01,"1,278",-15.14,525,-13.93,86,-38.13,234,11.43,169,-30.74,42,-8.70,"4,910",-9.55,"2,018",-8.27,329,-34.20,901,18.55,648,-26.45,162,-2.99
1990M02,"1,313",2.18,524,-2.42,103,-3.74,216,12.50,185,-8.87,35,0.00,"5,038",8.16,"2,011",3.29,396,2.33,829,19.11,711,-3.13,133,4.72
1990M03,"1,558",-9.58,607,-12.66,129,1.57,253,5.42,215,-19.17,40,-18.37,"5,932",-5.23,"2,309",-8.48,492,6.96,966,10.65,819,-15.39,153,-14.53
1990M04,"1,537",-2.29,564,-8.89,150,25.00,294,33.64,200,-21.88,53,55.88,"5,851",0.54,"2,145",-6.33,570,27.80,"1,118",37.35,758,-19.87,200,57.48
1990M05,"1,606",8.81,636,3.75,165,37.50,232,14.29,204,-14.29,37,8.82,"5,997",4.40,"2,375",-0.34,616,31.62,869,9.86,761,-17.82,140,6.87
1990M06,"1,520",3.05,566,-3.41,152,40.74,237,11.27,214,-1.83,49,4.26,"5,556",-2.28,"2,069",-8.41,555,33.09,867,5.73,782,-6.90,180,-1.10
1990M07,"1,573",9.24,559,3.71,156,45.79,289,12.89,210,-10.64,48,4.35,"5,798",3.38,"2,062",-1.48,576,38.80,"1,064",6.93,773,-15.24,178,-0.56
1990M08,"1,521",11.84,591,11.09,167,49.11,230,16.75,191,-8.17,53,17.78,"5,580",5.40,"2,171",4.73,613,40.92,844,10.04,700,-13.69,193,10.92
1990M09,"1,520",8.57,568,1.43,171,59.81,267,20.81,191,-4.50,43,2.38,"5,577",2.18,"2,083",-4.54,627,50.72,980,13.82,700,-10.03,159,-1.85
1990M10,"1,629",23.97,554,3.94,175,90.22,292,32.13,222,19.35,47,30.56,"5,979",16.52,"2,035",-2.07,643,80.11,"1,074",25.03,815,12.57,172,22.86
1990M11,"1,614",13.58,515,-7.21,162,68.75,287,8.71,230,16.75,49,19.51,"5,935",8.39,"1,895",-11.45,595,60.38,"1,058",3.93,845,11.04,180,13.21
1990M12,"1,505",10.66,534,1.33,151,52.53,281,30.09,206,-6.79,46,9.52,"5,551",6.60,"1,968",-2.57,557,46.97,"1,038",25.36,761,-10.05,169,5.63
1991M01,"1,575",23.24,514,-2.10,177,105.81,282,20.51,233,37.87,52,23.81,"5,807",18.27,"1,896",-6.05,654,98.78,"1,039",15.32,858,32.41,193,19.14
1991M02,"1,461",11.27,459,-12.40,137,33.01,321,48.61,196,5.95,45,28.57,"5,393",7.05,"1,696",-15.66,505,27.53,"1,186",43.06,724,1.83,165,24.06
1991M03,"1,743",11.87,549,-9.56,186,44.19,309,22.13,256,19.07,53,32.50,"6,415",8.13,"2,017",-12.65,682,38.62,"1,136",17.60,943,15.14,194,26.80
1991M04,"1,703",10.80,570,1.06,202,34.67,325,10.54,212,6.00,56,5.66,"6,256",6.93,"2,089",-2.61,741,30.00,"1,191",6.53,776,2.37,206,3.00
1991M05,"1,782",10.96,599,-5.82,266,61.21,276,18.97,231,13.24,55,48.65,"6,540",9.05,"2,197",-7.49,977,58.60,"1,015",16.80,849,11.56,203,45.00
1991M06,"1,726",13.55,620,9.54,266,75.00,257,8.44,216,0.93,41,-16.33,"6,360",14.47,"2,287",10.54,981,76.76,950,9.57,796,1.79,152,-15.56
1991M07,"1,704",8.33,608,8.77,234,50.00,292,1.04,201,-4.29,45,-6.25,"6,324",9.07,"2,255",9.36,869,50.87,"1,083",1.79,746,-3.49,166,-6.74
1991M08,"1,706",12.16,623,5.41,223,33.53,269,16.96,201,5.24,39,-26.42,"6,394",14.59,"2,333",7.46,835,36.22,"1,014",20.14,754,7.71,144,-25.39
1991M09,"1,676",10.26,612,7.75,244,42.69,264,-1.12,201,5.24,38,-11.63,"6,315",13.23,"2,307",10.75,919,46.57,995,1.53,758,8.29,143,-10.06
1991M10,"1,671",2.58,621,12.09,228,30.29,272,-6.85,210,-5.41,33,-29.79,"6,336",5.97,"2,356",15.77,864,34.37,"1,036",-3.54,796,-2.33,127,-26.16
1991M11,"1,670",3.47,618,20.00,223,37.65,287,0.00,206,-10.43,35,-28.57,"6,434",8.40,"2,379",25.54,859,44.37,"1,105",4.44,792,-6.27,135,-25.00
1991M12,"1,639",8.90,583,9.18,222,47.02,302,7.47,203,-1.46,40,-13.04,"6,379",14.91,"2,268",15.24,863,54.94,"1,180",13.68,791,3.94,156,-7.69
1992M01,"1,620",2.86,566,10.12,219,23.73,266,-5.67,233,0.00,36,-30.77,"6,438",10.85,"2,247",18.51,871,33.18,"1,055",1.54,927,8.04,144,-25.39
1992M02,"1,361",-6.84,491,6.97,160,16.79,252,-21.50,177,-9.69,31,-31.11,"5,451",1.08,"1,968",16.04,641,26.93,"1,008",-15.01,709,-2.07,123,-25.45
1992M03,"1,721",-1.26,569,3.64,216,16.13,325,5.18,230,-10.16,53,0.00,"6,795",5.93,"2,245",11.30,852,24.93,"1,281",12.76,907,-3.82,211,8.76
1992M04,"1,817",6.69,616,8.07,231,14.36,292,-10.15,247,16.51,54,-3.57,"7,188",14.89,"2,440",16.80,914,23.35,"1,157",-2.85,979,26.16,215,4.37
1992M05,"1,735",-2.64,602,0.50,230,-13.53,274,-0.72,212,-8.23,51,-7.27,"6,936",6.05,"2,410",9.70,922,-5.63,"1,092",7.59,849,0.00,204,0.49
1992M06,"1,675",-2.95,598,-3.55,262,-1.50,244,-5.06,199,-7.87,46,12.20,"6,771",6.47,"2,419",5.77,"1,060",8.05,984,3.58,804,1.01,185,21.71
1992M07,"1,679",-1.47,589,-3.13,268,14.53,237,-18.84,197,-1.99,55,22.22,"6,802",7.57,"2,389",5.94,"1,086",24.97,959,-11.45,800,7.24,223,34.34
1992M08,"1,661",-2.64,581,-6.74,274,22.87,253,-5.95,176,-12.44,47,20.51,"6,625",3.61,"2,319",-0.60,"1,094",31.02,"1,009",-0.49,702,-6.90,186,29.17
1992M09,"1,711",2.09,572,-6.54,278,13.93,262,-0.76,198,-1.49,43,13.16,"6,784",7.42,"2,271",-1.56,"1,105",20.24,"1,038",4.32,786,3.69,172,20.28
1992M10,"1,802",7.84,590,-4.99,282,23.68,283,4.04,207,-1.43,46,39.39,"7,147",12.79,"2,340",-0.68,"1,117",29.28,"1,122",8.30,823,3.39,183,44.09
1992M11,"1,787",7.01,625,1.13,276,23.77,278,-3.14,193,-6.31,46,31.43,"7,046",9.51,"2,463",3.53,"1,086",26.43,"1,093",-1.09,759,-4.17,183,35.56
1992M12,"1,764",7.63,576,-1.20,269,21.17,271,-10.26,191,-5.91,58,45.00,"6,935",8.73,"2,266",-0.09,"1,058",22.60,"1,064",-9.83,752,-4.93,229,46.79
1993M01,"1,550",-4.32,523,-7.60,249,13.70,240,-9.77,161,-30.90,43,19.44,"6,107",-5.13,"2,060",-8.32,980,12.51,946,-10.33,633,-31.72,170,18.06
1993M02,"1,791",31.59,599,22.00,309,93.13,274,8.73,192,8.47,48,54.84,"6,943",27.37,"2,322",17.99,"1,197",86.74,"1,061",5.26,745,5.08,186,51.22
1993M03,"1,987",15.46,659,15.82,351,62.50,307,-5.54,233,1.30,58,9.43,"7,650",12.59,"2,538",13.05,"1,350",58.45,"1,184",-7.57,896,-1.21,222,5.21
1993M04,"1,861",2.42,582,-5.52,298,29.00,314,7.53,228,-7.69,60,11.11,"7,156",-0.45,"2,241",-8.16,"1,148",25.60,"1,207",4.32,880,-10.11,230,6.98
1993M05,"1,936",11.59,653,8.47,317,37.83,270,-1.46,233,9.91,67,31.37,"7,463",7.60,"2,520",4.56,"1,225",32.86,"1,045",-4.30,900,6.01,259,26.96
1993M06,"1,829",9.19,627,4.85,370,41.22,235,-3.69,199,0.00,49,6.52,"6,991",3.24,"2,393",-1.07,"1,412",33.21,898,-8.74,761,-5.35,189,2.16
1993M07,"1,895",12.86,654,11.04,367,36.94,252,6.33,198,0.51,54,-1.82,"7,140",4.96,"2,466",3.22,"1,384",27.44,952,-0.73,749,-6.38,204,-8.52
1993M08,"1,954",17.64,677,16.52,343,25.18,286,13.04,201,14.20,67,42.55,"7,268",9.70,"2,517",8.54,"1,274",16.45,"1,062",5.25,748,6.55,248,33.33
1993M09,"1,880",9.88,609,6.47,349,25.54,275,4.96,203,2.53,63,46.51,"6,993",3.07,"2,266",-0.22,"1,300",17.65,"1,020",-1.73,757,-3.69,233,35.47
1993M10,"1,996",10.77,646,9.49,365,29.43,322,13.78,220,6.28,67,45.65,"7,418",3.79,"2,401",2.61,"1,356",21.40,"1,197",6.68,817,-0.73,250,36.61
1993M11,"1,948",9.01,633,1.28,380,37.68,293,5.40,207,7.25,55,19.57,"7,265",3.12,"2,358",-4.26,"1,415",30.29,"1,095",0.18,772,1.71,205,12.02
1993M12,"2,005",13.66,670,16.32,357,32.71,311,14.76,213,11.52,64,10.34,"7,490",8.00,"2,505",10.55,"1,335",26.18,"1,162",9.21,795,5.72,238,3.93
1994M01,"1,874",20.90,614,17.40,345,38.55,290,20.83,201,24.84,57,32.56,"7,094",16.16,"2,323",12.77,"1,305",33.16,"1,096",15.86,760,20.06,216,27.06
1994M02,"1,685",-5.92,559,-6.68,281,-9.06,252,-8.03,183,-4.69,53,10.42,"6,382",-8.07,"2,118",-8.79,"1,067",-10.86,957,-9.80,692,-7.11,201,8.06
1994M03,"2,056",3.47,667,1.21,374,6.55,298,-2.93,222,-4.72,72,24.14,"7,814",2.14,"2,532",-0.24,"1,421",5.26,"1,132",-4.39,844,-5.80,274,23.42
1994M04,"2,054",10.37,635,9.11,422,41.61,287,-8.60,231,1.32,69,15.00,"7,802",9.03,"2,409",7.50,"1,602",39.55,"1,093",-9.44,875,-0.57,262,13.91
1994M05,"2,068",6.82,703,7.66,357,12.62,272,0.74,251,7.73,76,13.43,"7,764",4.03,"2,636",4.60,"1,339",9.31,"1,021",-2.30,942,4.67,287,10.81
1994M06,"2,091",14.32,670,6.86,382,3.24,288,22.55,251,26.13,75,53.06,"7,747",10.82,"2,480",3.64,"1,415",0.21,"1,067",18.82,931,22.34,276,46.03
1994M07,"2,075",9.50,633,-3.21,384,4.63,291,15.48,259,30.81,84,55.56,"7,802",9.27,"2,381",-3.45,"1,443",4.26,"1,091",14.60,974,30.04,315,54.41
1994M08,"2,031",3.94,631,-6.79,372,8.45,271,-5.24,265,31.84,68,1.49,"7,698",5.92,"2,389",-5.09,"1,407",10.44,"1,026",-3.39,"1,003",34.09,259,4.44
1994M09,"2,214",17.77,688,12.97,428,22.64,306,11.27,270,33.00,72,14.29,"8,433",20.60,"2,621",15.67,"1,631",25.46,"1,165",14.22,"1,029",35.93,274,17.60
1994M10,"2,191",9.77,656,1.55,423,15.89,332,3.11,256,16.36,68,1.49,"8,412",13.40,"2,515",4.75,"1,621",19.54,"1,273",6.35,981,20.07,262,4.80
1994M11,"2,248",15.40,680,7.42,451,18.68,335,14.33,264,27.54,70,27.27,"8,606",18.45,"2,606",10.52,"1,727",22.05,"1,280",16.89,"1,011",30.96,269,31.22
1994M12,"2,376",18.50,704,5.07,470,31.65,349,12.22,263,23.47,78,21.88,"9,034",20.60,"2,676",6.83,"1,785",33.71,"1,328",14.29,999,25.66,298,25.21
1995M01,"2,089",11.47,598,-2.61,425,23.19,305,5.17,241,19.90,66,15.79,"7,965",12.27,"2,280",-1.85,"1,619",24.06,"1,165",6.30,920,21.05,252,16.67
1995M02,"2,003",18.87,573,2.50,423,50.53,291,15.48,226,23.50,68,28.30,"7,616",19.33,"2,181",2.97,"1,611",50.98,"1,107",15.67,858,23.99,258,28.36
1995M03,"2,584",25.68,701,5.10,540,44.39,368,23.49,312,40.54,113,56.94,"9,915",26.88,"2,689",6.20,"2,074",45.95,"1,412",24.73,"1,198",41.94,433,58.03
1995M04,"2,347",14.26,660,3.94,491,16.35,321,11.85,270,16.88,87,26.09,"9,248",18.53,"2,599",7.89,"1,934",20.72,"1,267",15.92,"1,064",21.60,342,30.53
1995M05,"2,540",22.82,731,3.98,496,38.94,357,31.25,355,41.43,92,21.05,"9,962",28.32,"2,868",8.80,"1,948",45.48,"1,396",36.73,"1,392",47.77,360,25.44
1995M06,"2,315",10.71,666,-0.60,430,12.57,328,13.89,316,25.90,96,28.00,"8,991",16.05,"2,592",4.52,"1,674",18.30,"1,279",19.87,"1,229",32.01,373,35.14
1995M07,"2,507",20.82,711,12.32,475,23.70,352,20.96,355,37.07,91,8.33,"9,601",23.05,"2,724",14.41,"1,818",25.99,"1,349",23.65,"1,361",39.73,348,10.48
1995M08,"2,736",34.71,863,36.77,529,42.20,362,33.58,347,30.94,92,35.29,"10,093",31.11,"3,183",33.24,"1,953",38.81,"1,336",30.21,"1,279",27.52,339,30.89
1995M09,"2,695",21.73,847,23.11,498,16.36,356,16.34,364,34.81,112,55.56,"9,816",16.39,"3,088",17.82,"1,815",11.28,"1,298",11.42,"1,326",28.86,409,49.27
1995M10,"2,649",20.90,757,15.40,516,21.99,393,18.37,366,42.97,134,97.06,"9,866",17.29,"2,817",12.01,"1,923",18.63,"1,458",14.53,"1,361",38.74,501,91.22
1995M11,"2,843",26.47,885,30.15,542,20.18,404,20.60,361,36.74,120,71.43,"10,460",21.55,"3,254",24.87,"1,992",15.34,"1,489",16.33,"1,329",31.45,440,63.57
1995M12,"2,741",15.36,793,12.64,543,15.53,391,12.03,361,37.26,104,33.33,"10,018",10.89,"2,900",8.37,"1,983",11.09,"1,430",7.68,"1,319",32.03,380,27.52
1996M01,"2,644",26.57,747,24.92,530,24.71,399,30.82,344,42.74,110,66.67,"9,675",21.47,"2,733",19.87,"1,939",19.77,"1,461",25.41,"1,257",36.63,404,60.32
1996M02,"2,422",20.92,716,24.96,413,-2.36,380,30.58,325,43.81,104,52.94,"8,847",16.16,"2,616",19.94,"1,510",-6.27,"1,388",25.38,"1,186",38.23,381,47.67
1996M03,"2,717",5.15,816,16.41,519,-3.89,409,11.14,351,12.50,118,4.42,"9,919",0.04,"2,978",10.75,"1,896",-8.58,"1,490",5.52,"1,281",6.93,431,-0.46
1996M04,"2,688",14.53,762,15.45,514,4.68,394,22.74,375,38.89,114,31.03,"9,904",7.10,"2,811",8.16,"1,894",-2.07,"1,452",14.60,"1,384",30.08,420,22.81
