期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),金屬、機械加工類_原始值,金屬、機械加工類_年增率(%),金屬、機械加工類_原始值,金屬、機械加工類_年增率(%),焊接、配管類_原始值,焊接、配管類_年增率(%),焊接、配管類_原始值,焊接、配管類_年增率(%),電機、電匠類_原始值,電機、電匠類_年增率(%),電機、電匠類_原始值,電機、電匠類_年增率(%),電子、儀表類_原始值,電子、儀表類_年增率(%),電子、儀表類_原始值,電子、儀表類_年增率(%),營建、土木類_原始值,營建、土木類_年增率(%),營建、土木類_原始值,營建、土木類_年增率(%),紡織、服飾類_原始值,紡織、服飾類_年增率(%),紡織、服飾類_原始值,紡織、服飾類_年增率(%),印刷、製版類_原始值,印刷、製版類_年增率(%),印刷、製版類_原始值,印刷、製版類_年增率(%),電腦設計類_原始值,電腦設計類_年增率(%),電腦設計類_原始值,電腦設計類_年增率(%),美容、美髮及其他服務類_原始值,美容、美髮及其他服務類_年增率(%),美容、美髮及其他服務類_原始值,美容、美髮及其他服務類_年增率(%),其他技工類_原始值,其他技工類_年增率(%),其他技工類_原始值,其他技工類_年增率(%),漁業人員_原始值,漁業人員_年增率(%),漁業人員_原始值,漁業人員_年增率(%)
2002M02,"2,029",-31.13,515,-26.11,374,-59.91,46,-80.59,22,-80.18,13,-89.68,341,33.73,42,110.00,300,19.52,49,122.73,80,-41.18,0,--,83,-17.82,0,--,79,31.67,0,--,429,-25.13,212,13.37,274,-33.82,60,7.14,30,-61.04,56,--,17,-51.43,37,-24.49
2002M03,"3,352",71.20,"1,301",-21.01,813,103.25,384,1.05,118,35.63,53,-24.29,231,45.28,25,-73.96,456,870.21,129,174.47,160,--,25,-21.88,34,209.09,14,--,0,--,0,--,648,57.66,210,-51.95,345,70.79,116,-47.27,494,-19.41,314,0.96,53,89.29,31,-42.59
2002M04,"1,887",19.35,"1,820",-27.58,285,-36.10,429,-14.54,87,148.57,36,--,97,-1.02,145,-38.82,343,390.00,331,85.96,0,-100.00,60,-60.00,8,-20.00,10,-97.93,0,--,20,--,374,-11.79,394,20.12,440,195.30,225,-40.79,189,11.18,86,-66.14,64,0.00,84,--
2002M05,"2,971",113.43,"3,476",134.55,520,56.63,442,-3.28,67,24.07,89,304.55,174,64.15,221,"1,005.00",357,432.84,123,412.50,22,--,0,-100.00,20,81.82,512,--,0,--,0,--,572,69.23,544,39.49,604,219.58,875,299.54,470,124.88,531,164.18,165,91.86,139,40.40
2002M06,"3,176",30.38,"5,201",14.26,399,31.68,"1,520",-3.86,37,2.78,133,-32.14,133,16.67,586,12.91,223,182.28,570,48.05,31,121.43,315,4.30,515,-13.15,35,-37.50,0,-100.00,31,10.71,484,-2.22,631,-11.25,704,64.10,688,124.84,482,122.12,574,49.87,168,27.27,118,38.82
2002M07,"5,139",-8.64,"4,732",70.22,"1,215",-21.10,848,21.49,154,-34.47,121,245.71,527,-35.57,468,26.49,565,28.41,668,123.41,199,-61.95,133,47.78,92,-35.21,143,11.72,75,8.70,75,-6.25,787,-9.23,733,69.28,"1,085",83.90,"1,018",142.96,325,-13.33,369,177.44,115,342.31,156,64.21
2002M08,"6,317",53.44,"5,175",51.36,"1,219",8.26,574,-44.16,99,-10.81,57,-56.82,410,14.53,375,-19.70,765,124.34,603,171.62,211,7.11,95,-66.19,108,-6.90,467,--,60,0.00,0,--,794,14.08,557,-4.62,"1,821",293.30,"1,609",502.62,271,-50.00,308,-24.51,559,422.43,530,"1,666.67"
2002M09,"3,762",-0.69,"2,930",-8.98,719,-16.69,528,35.38,78,41.82,67,103.03,331,-33.13,121,-36.98,518,55.56,292,88.39,146,17.74,0,-100.00,52,-35.00,9,-98.28,0,-100.00,0,-100.00,727,-24.11,546,3.21,712,27.14,873,52.09,240,13.21,253,-58.18,239,171.59,241,66.21
2002M10,"3,852",2.37,"3,030",7.26,756,24.75,504,-18.18,57,-40.62,101,-12.17,324,6.23,203,-21.01,626,261.85,638,237.57,33,26.92,92,-15.60,15,-97.67,0,-100.00,0,-100.00,20,--,703,-2.90,618,1.81,928,27.82,492,14.15,338,-14.65,268,-31.28,72,53.19,94,34.29
2002M11,"2,960",45.60,"2,591",10.30,340,1.49,181,-51.99,31,14.81,62,158.33,158,-7.60,107,-14.40,202,46.38,219,79.51,72,380.00,63,-19.23,50,117.39,56,12.00,0,--,0,-100.00,311,-29.00,437,-40.95,"1,576",230.40,"1,266",185.14,172,-45.40,158,-51.08,48,-48.94,42,-8.70
2002M12,"3,091",301.95,"8,010",25.98,110,26.44,"1,240",5.08,7,--,114,-45.71,44,120.00,493,-33.65,"1,136","1,647.69","1,907",401.84,0,--,208,10.05,24,--,138,-80.73,0,--,57,-42.42,459,393.55,"1,119",-6.59,977,308.79,"2,295",85.53,250,40.45,366,26.64,84,-3.45,73,-37.61
2003M01,"1,971",-48.34,"1,938",18.97,592,-6.62,243,-7.60,76,-36.13,23,--,329,-26.73,357,75.86,185,12.80,226,2.26,46,-69.13,92,318.18,48,-93.03,104,0.97,69,38.00,60,106.90,253,-41.71,395,68.80,330,-62.50,359,-13.08,26,-87.62,28,-71.72,17,-54.05,51,21.43
2003M02,"3,618",78.31,667,29.51,719,92.25,138,200.00,102,363.64,15,15.38,412,20.82,22,-47.62,543,81.00,159,224.49,258,222.50,0,--,90,8.43,0,--,55,-30.38,0,--,717,67.13,142,-33.02,520,89.78,96,60.00,125,316.67,95,69.64,77,352.94,0,-100.00
2003M03,"1,946",-41.95,"1,609",23.67,282,-65.31,341,-11.20,67,-43.22,45,-15.09,148,-35.93,92,268.00,300,-34.21,239,85.27,30,-81.25,80,220.00,17,-50.00,0,-100.00,0,--,4,--,197,-69.60,203,-3.33,426,23.48,298,156.90,412,-16.60,199,-36.62,67,26.42,108,248.39
2003M04,"2,501",32.54,"2,640",45.05,369,29.47,551,28.44,87,0.00,123,241.67,235,142.27,434,199.31,952,177.55,382,15.41,15,--,120,100.00,17,112.50,17,70.00,0,--,36,80.00,192,-48.66,366,-7.11,406,-7.73,427,89.78,172,-8.99,133,54.65,56,-12.50,51,-39.29
2003M05,"3,366",13.30,"2,093",-39.79,543,4.42,250,-43.44,87,29.85,65,-26.97,172,-1.15,55,-75.11,930,160.50,480,290.24,117,431.82,32,--,72,260.00,61,-88.09,29,--,30,--,520,-9.09,225,-58.64,595,-1.49,460,-47.43,203,-56.81,329,-38.04,98,-40.61,106,-23.74
2003M06,"1,795",-43.48,"4,196",-19.32,111,-72.18,"1,224",-19.47,28,-24.32,73,-45.11,0,-100.00,445,-24.06,870,290.13,678,18.95,21,-32.26,151,-52.06,0,-100.00,52,48.57,0,--,30,-3.23,131,-72.93,495,-21.55,186,-73.58,566,-17.73,401,-16.80,412,-28.22,47,-72.02,70,-40.68
2003M07,"4,181",-18.64,"2,956",-37.53,"1,067",-12.18,550,-35.14,64,-58.44,107,-11.57,627,18.98,353,-24.57,667,18.05,327,-51.05,138,-30.65,165,24.06,74,-19.57,42,-70.63,34,-54.67,30,-60.00,458,-41.80,550,-24.97,644,-40.65,397,-61.00,303,-6.77,392,6.23,105,-8.70,43,-72.44
2003M08,"4,728",-25.15,"2,607",-49.62,641,-47.42,422,-26.48,112,13.13,62,8.77,356,-13.17,119,-68.27,"1,112",45.36,553,-8.29,85,-59.72,77,-18.95,108,0.00,54,-88.44,77,28.33,27,--,732,-7.81,213,-61.76,786,-56.84,569,-64.64,626,131.00,442,43.51,93,-83.36,69,-86.98
2003M09,"4,181",11.14,"2,755",-5.97,436,-39.36,266,-49.62,53,-32.05,13,-80.60,178,-46.22,226,86.78,"1,570",203.09,804,175.34,40,-72.60,6,--,0,-100.00,12,33.33,0,--,0,--,507,-30.26,266,-51.28,850,19.38,558,-36.08,425,77.08,492,94.47,122,-48.95,112,-53.53
2003M10,"3,194",-17.08,"3,444",13.66,241,-68.12,554,9.92,95,66.67,68,-32.67,191,-41.05,272,33.99,893,42.65,496,-22.26,0,-100.00,62,-32.61,15,0.00,14,--,0,--,20,0.00,440,-37.41,553,-10.52,619,-33.30,665,35.16,457,35.21,462,72.39,243,237.50,278,195.74
2003M11,"2,574",-13.04,"3,116",20.26,463,36.18,180,-0.55,30,-3.23,111,79.03,283,79.11,61,-42.99,347,71.78,631,188.13,41,-43.06,23,-63.49,0,-100.00,65,16.07,11,--,27,--,379,21.86,490,12.13,316,-79.95,812,-35.86,435,152.91,448,183.54,269,460.42,268,538.10
2003M12,"2,986",-3.40,"7,326",-8.54,272,147.27,"1,041",-16.05,0,-100.00,76,-33.33,49,11.36,548,11.16,606,-46.65,"2,854",49.66,40,--,139,-33.17,0,-100.00,46,-66.67,0,--,32,-43.86,144,-68.63,565,-49.51,"1,670",70.93,"1,799",-21.61,169,-32.40,152,-58.47,36,-57.14,74,1.37
2004M01,"1,578",-19.94,"1,699",-12.33,527,-10.98,275,13.17,89,17.11,84,265.22,321,-2.43,354,-0.84,167,-9.73,203,-10.18,138,200.00,48,-47.83,48,0.00,49,-52.88,33,-52.17,39,-35.00,56,-77.87,480,21.52,171,-48.18,80,-77.72,0,-100.00,87,210.71,28,64.71,0,-100.00
2004M02,"3,356",-7.24,857,28.49,729,1.39,269,94.93,112,9.80,26,73.33,397,-3.64,87,295.45,209,-61.51,25,-84.28,218,-15.50,105,--,60,-33.33,0,--,0,-100.00,0,--,810,12.97,67,-52.82,454,-12.69,25,-73.96,332,165.60,191,101.05,35,-54.55,62,--
2004M03,"2,590",33.09,"1,231",-23.49,484,71.63,77,-77.42,102,52.24,36,-20.00,297,100.68,106,15.22,153,-49.00,91,-61.92,45,50.00,48,-40.00,13,-23.53,12,--,0,--,4,0.00,381,93.40,170,-16.26,197,-53.76,70,-76.51,864,109.71,585,193.97,54,-19.40,32,-70.37
2004M04,"1,433",-42.70,"2,471",-6.40,157,-57.45,518,-5.99,76,-12.64,170,38.21,108,-54.04,244,-43.78,56,-94.12,207,-45.81,85,466.67,56,-53.33,0,-100.00,41,141.18,0,--,1,-97.22,335,74.48,457,24.86,220,-45.81,219,-48.71,329,91.28,469,252.63,67,19.64,89,74.51
2004M05,"2,899",-13.87,"1,657",-20.83,860,58.38,516,106.40,69,-20.69,48,-26.15,315,83.14,142,158.18,182,-80.43,17,-96.46,108,-7.69,93,190.62,58,-19.44,0,-100.00,0,-100.00,1,-96.67,562,8.08,329,46.22,322,-45.88,113,-75.43,309,52.22,291,-11.55,114,16.33,107,0.94
2004M06,"1,250",-30.36,"4,110",-2.05,363,227.03,"1,152",-5.88,126,350.00,104,42.47,80,--,678,52.36,65,-92.53,457,-32.60,84,300.00,223,47.68,0,--,58,11.54,0,--,27,-10.00,154,17.56,604,22.02,230,23.66,583,3.00,84,-79.05,160,-61.17,64,36.17,64,-8.57
2004M07,"4,317",3.25,"2,465",-16.61,845,-20.81,418,-24.00,121,89.06,106,-0.93,671,7.02,255,-27.76,601,-9.90,204,-37.61,325,135.51,154,-6.67,131,77.03,27,-35.71,27,-20.59,0,-100.00,468,2.18,489,-11.09,949,47.36,505,27.20,138,-54.46,270,-31.12,41,-60.95,37,-13.95
2004M08,"3,594",-23.98,"2,056",-21.14,766,19.50,513,21.56,101,-9.82,51,-17.74,394,10.67,240,101.68,612,-44.96,190,-65.64,39,-54.12,79,2.60,63,-41.67,28,-48.15,0,-100.00,0,-100.00,588,-19.67,137,-35.68,696,-11.45,654,14.94,216,-65.50,46,-89.59,119,27.96,118,71.01
