期間,勞動力參與率_合計,勞動力參與率_15-19,勞動力參與率_20-24,勞動力參與率_25-29,勞動力參與率_30-34,勞動力參與率_35-39,勞動力參與率_40-44,勞動力參與率_45-49,勞動力參與率_50-54,勞動力參與率_55-59,勞動力參與率_60-64,勞動力參與率_65以上,勞動力參與率_合計,勞動力參與率_15-19,勞動力參與率_20-24,勞動力參與率_25-29,勞動力參與率_30-34,勞動力參與率_35-39,勞動力參與率_40-44,勞動力參與率_45-49,勞動力參與率_50-54,勞動力參與率_55-59,勞動力參與率_60-64,勞動力參與率_65以上,勞動力參與率_合計,勞動力參與率_15-19,勞動力參與率_20-24,勞動力參與率_25-29,勞動力參與率_30-34,勞動力參與率_35-39,勞動力參與率_40-44,勞動力參與率_45-49,勞動力參與率_50-54,勞動力參與率_55-59,勞動力參與率_60-64,勞動力參與率_65以上,失業率_合計,失業率_15-19,失業率_20-24,失業率_25-29,失業率_30-34,失業率_35-39,失業率_40-44,失業率_45-49,失業率_50-54,失業率_55-59,失業率_60-64,失業率_65以上,失業率_合計,失業率_15-19,失業率_20-24,失業率_25-29,失業率_30-34,失業率_35-39,失業率_40-44,失業率_45-49,失業率_50-54,失業率_55-59,失業率_60-64,失業率_65以上,失業率_合計,失業率_15-19,失業率_20-24,失業率_25-29,失業率_30-34,失業率_35-39,失業率_40-44,失業率_45-49,失業率_50-54,失業率_55-59,失業率_60-64,失業率_65以上
1988,60.21,28.98,68.31,75.67,76.23,77.59,76.59,72.94,65.62,58.49,41.68,9.64,74.83,28.01,71.71,94.50,97.93,98.12,97.66,96.55,91.06,80.18,57.50,15.21,45.56,29.94,66.14,56.77,54.02,56.39,54.86,48.85,39.47,30.90,19.05,3.43,1.69,5.02,4.78,1.95,0.94,0.70,0.56,0.57,0.43,0.41,0.55,0.12,1.70,4.79,6.29,2.20,1.10,0.86,0.70,0.75,0.56,0.50,0.65,0.10,1.68,5.23,3.74,1.53,0.64,0.42,0.31,0.20,0.13,0.10,0.11,0.18
1989,60.12,27.62,67.83,76.39,76.00,77.13,76.66,72.73,65.54,58.07,41.98,10.34,74.84,26.85,70.88,94.23,97.85,98.12,97.57,96.29,91.71,80.68,58.12,16.03,45.35,28.39,65.85,58.49,53.62,55.58,55.06,48.56,39.03,30.71,18.95,3.92,1.57,5.03,4.39,1.88,0.89,0.68,0.50,0.55,0.47,0.42,0.25,0.22,1.57,4.78,5.77,2.05,1.02,0.85,0.68,0.74,0.62,0.53,0.29,0.27,1.56,5.27,3.43,1.61,0.66,0.37,0.18,0.17,0.10,0.04,0.09,0.00
1990,59.24,24.68,65.73,76.32,75.67,76.60,76.21,72.33,65.04,56.43,40.90,9.77,73.96,24.12,67.95,93.75,97.49,97.95,97.71,96.03,90.87,79.73,56.38,14.80,44.50,25.24,64.26,58.79,53.34,54.68,54.02,47.93,39.16,29.95,19.06,4.02,1.67,5.68,4.79,1.92,0.99,0.84,0.64,0.64,0.52,0.36,0.22,0.03,1.68,5.84,6.01,2.17,1.11,1.05,0.79,0.84,0.69,0.46,0.27,0.04,1.64,5.53,3.93,1.53,0.75,0.47,0.36,0.22,0.15,0.06,0.04,0.00
1991,59.11,22.86,65.42,76.95,75.68,76.86,76.71,71.96,65.64,56.29,41.84,9.93,73.80,22.28,68.09,93.87,97.44,97.78,97.78,96.24,91.23,80.92,57.87,14.92,44.39,23.45,63.63,59.93,53.37,55.38,54.94,47.05,39.97,29.94,20.04,4.12,1.51,4.93,4.41,1.91,0.91,0.76,0.62,0.49,0.55,0.41,0.23,0.11,1.50,4.46,5.66,2.04,1.03,0.91,0.76,0.65,0.71,0.51,0.26,0.14,1.53,5.37,3.52,1.71,0.68,0.49,0.36,0.16,0.17,0.13,0.14,0.00
1992,59.34,21.20,65.13,77.88,76.67,78.10,76.78,72.89,65.98,56.72,41.97,9.69,73.78,21.07,68.80,93.88,97.59,97.83,97.50,96.19,91.63,81.77,58.50,14.48,44.83,21.32,62.59,61.76,55.17,57.80,55.37,48.93,40.19,30.92,20.34,4.07,1.51,4.98,4.70,2.00,1.00,0.64,0.53,0.52,0.48,0.35,0.31,0.08,1.47,4.40,5.96,2.02,1.05,0.83,0.62,0.66,0.60,0.43,0.34,0.05,1.57,5.55,3.75,1.97,0.90,0.31,0.36,0.26,0.19,0.15,0.19,0.19
1993,58.82,19.44,63.69,77.92,77.07,78.36,77.36,72.91,65.80,56.06,41.61,9.83,72.67,19.30,65.94,93.16,97.26,97.71,97.26,95.71,91.00,81.15,58.25,14.72,44.89,19.59,62.08,62.66,56.40,58.56,56.92,49.41,40.46,30.81,20.88,4.00,1.45,4.78,4.60,1.94,0.96,0.68,0.53,0.48,0.45,0.40,0.25,0.10,1.36,3.85,5.26,1.93,1.05,0.82,0.60,0.63,0.56,0.48,0.31,0.12,1.59,5.72,4.10,1.96,0.80,0.45,0.40,0.19,0.22,0.16,0.06,0.03
1994,58.96,20.21,63.88,78.38,77.68,78.29,78.27,73.48,66.11,55.52,40.61,9.68,72.44,20.98,65.06,92.92,97.14,97.40,97.14,95.70,90.62,80.75,58.04,14.38,45.40,19.43,63.02,63.87,57.75,58.78,58.91,50.61,41.41,30.44,20.14,4.04,1.56,4.96,4.67,2.19,1.19,0.74,0.65,0.60,0.46,0.43,0.29,0.13,1.51,4.02,5.09,2.29,1.38,0.89,0.76,0.77,0.59,0.58,0.35,0.13,1.65,5.99,4.35,2.04,0.86,0.47,0.45,0.26,0.17,0.04,0.09,0.10
1995,58.71,19.46,62.95,78.93,77.76,78.27,77.86,73.98,65.79,55.75,41.06,9.79,72.03,20.40,64.83,92.75,96.79,97.18,96.64,95.43,90.12,80.86,59.13,14.39,45.34,18.50,61.57,65.18,58.33,59.07,58.67,51.96,41.30,31.13,21.09,4.24,1.79,5.59,5.16,2.55,1.36,1.00,0.82,0.78,0.70,0.42,0.31,0.12,1.79,4.56,5.78,2.68,1.61,1.21,1.00,1.03,0.93,0.47,0.38,0.13,1.80,6.73,4.69,2.37,0.92,0.65,0.53,0.30,0.19,0.28,0.09,0.09
1996,58.44,18.71,61.68,79.47,78.30,78.57,78.03,74.20,65.30,55.18,39.79,8.95,71.13,19.40,62.87,92.59,96.21,96.72,96.08,94.47,88.68,80.09,57.81,13.05,45.76,18.00,60.82,66.46,60.04,60.18,59.62,53.45,41.78,30.89,21.03,3.98,2.60,7.47,6.72,3.65,2.08,1.65,1.49,1.37,1.20,1.05,0.65,0.15,2.72,6.56,7.41,4.00,2.40,2.00,1.96,1.81,1.61,1.37,0.77,0.17,2.42,8.45,6.21,3.16,1.55,1.10,0.74,0.59,0.35,0.23,0.29,0.04
1997,58.33,17.94,60.91,79.81,78.59,78.57,78.22,74.07,65.09,54.75,40.10,8.76,71.09,18.69,62.40,92.53,96.41,96.33,96.14,94.37,88.57,79.21,59.31,12.87,45.64,17.18,59.84,67.18,60.45,60.54,60.00,53.31,41.48,30.89,20.99,3.86,2.72,7.35,6.76,3.68,2.15,1.84,1.63,1.61,1.76,1.31,0.80,0.28,2.94,6.52,7.46,4.11,2.64,2.33,2.08,2.09,2.34,1.71,1.01,0.32,2.37,8.25,6.23,3.09,1.34,1.05,0.89,0.73,0.53,0.31,0.21,0.12
1998,58.04,16.13,60.48,80.51,79.27,78.84,78.05,73.61,65.49,53.52,38.25,8.51,70.58,16.82,61.27,92.44,96.32,96.26,95.53,94.03,89.08,77.92,57.89,12.45,45.60,15.44,59.92,68.65,61.91,61.09,60.33,52.83,41.77,29.72,19.26,3.89,2.69,8.26,7.01,3.61,2.06,1.76,1.60,1.64,1.60,1.20,0.68,0.19,2.93,8.23,8.20,4.07,2.45,2.21,2.01,2.17,2.01,1.55,0.89,0.17,2.33,8.29,6.13,2.99,1.44,1.04,0.96,0.68,0.73,0.32,0.09,0.27
1999,57.93,16.09,60.13,81.01,79.35,79.24,77.87,73.64,64.25,52.31,37.24,7.92,69.93,17.13,59.82,92.17,95.78,95.89,95.21,92.65,86.82,74.91,56.27,11.49,46.03,15.03,60.36,69.89,62.58,62.28,60.33,54.33,41.60,30.13,19.01,3.84,2.92,9.03,6.83,3.82,2.42,2.08,1.87,1.89,1.79,1.35,0.87,0.29,3.23,8.62,7.96,4.36,2.85,2.59,2.45,2.40,2.43,1.73,1.08,0.33,2.46,9.49,5.99,3.11,1.75,1.28,0.95,1.02,0.45,0.41,0.25,0.18
2000,57.68,15.14,59.41,81.22,80.08,79.15,78.04,73.43,63.91,50.54,35.68,7.71,69.42,16.24,59.43,91.49,95.72,95.80,94.91,92.48,85.56,72.59,53.92,11.25,46.02,14.00,59.39,71.00,64.20,62.21,60.98,54.13,42.14,28.84,18.42,3.73,2.99,9.04,6.89,3.77,2.59,2.24,1.98,1.93,1.85,1.61,0.92,0.24,3.36,8.73,8.31,4.19,3.07,2.82,2.54,2.55,2.44,2.06,1.19,0.28,2.44,9.42,5.78,3.24,1.87,1.32,1.09,0.85,0.63,0.48,0.16,0.09
2001,57.23,13.73,58.11,80.98,80.37,79.85,77.71,73.43,62.33,49.22,34.15,7.39,68.47,14.19,56.90,90.93,95.06,95.62,94.45,91.76,83.37,71.12,52.01,10.91,46.10,13.24,59.08,71.24,65.53,63.90,60.80,54.90,41.14,27.71,17.30,3.52,4.57,13.64,9.65,5.46,4.19,3.72,3.36,3.34,3.08,2.41,1.33,0.06,5.16,12.93,11.17,6.47,5.02,4.68,4.22,4.18,3.86,3.01,1.60,0.05,3.71,14.43,8.49,4.21,2.97,2.26,2.01,1.92,1.50,0.89,0.55,0.08
2002,57.34,13.03,57.22,81.34,80.86,79.88,77.86,72.73,62.78,49.13,33.89,7.79,68.22,13.42,54.70,90.12,94.90,95.31,93.76,90.59,82.86,70.78,51.66,11.54,46.59,12.62,59.23,72.74,66.75,64.28,61.77,54.73,42.60,27.88,17.17,3.78,5.17,14.59,11.31,6.46,4.64,3.87,4.00,3.84,3.60,2.78,1.45,0.13,5.91,14.57,13.91,7.32,5.58,4.81,5.10,4.98,4.73,3.54,1.81,0.15,4.10,14.61,9.40,5.42,3.30,2.46,2.30,1.95,1.37,0.88,0.42,0.05
2003,57.34,11.71,54.83,81.51,81.45,80.53,77.97,73.67,63.59,48.53,34.03,7.78,67.69,11.77,51.33,89.31,94.82,94.92,93.34,91.02,83.07,68.80,50.24,11.38,47.14,11.65,57.64,73.86,68.09,66.01,62.42,56.23,44.09,28.59,18.76,4.01,4.99,13.84,10.95,6.26,4.16,3.61,3.85,3.97,3.77,3.77,2.69,0.14,5.51,13.34,13.48,7.45,4.80,4.23,4.59,4.56,4.47,4.17,2.80,0.15,4.25,14.38,9.14,4.86,3.26,2.73,2.75,3.01,2.45,2.82,2.41,0.10
2004,57.66,11.00,54.44,82.67,82.14,81.39,78.91,74.32,64.31,48.63,33.49,7.42,67.78,11.51,51.01,89.44,94.85,95.18,93.73,90.97,83.65,68.49,49.88,10.83,47.71,10.47,57.26,76.06,69.51,67.52,63.93,57.64,45.00,29.10,17.97,3.93,4.44,13.00,10.44,5.69,3.86,3.12,3.18,3.22,3.56,3.01,2.19,0.07,4.83,13.40,13.00,6.28,4.41,3.59,3.79,3.66,4.10,3.30,2.57,0.08,3.89,12.54,8.57,5.01,3.12,2.46,2.29,2.53,2.56,2.35,1.18,0.04
2005,57.78,10.46,53.33,83.38,82.91,81.94,79.34,75.28,64.51,48.76,32.49,7.27,67.62,11.04,49.36,89.18,94.60,95.22,93.91,91.50,83.72,68.75,48.00,10.66,48.12,9.85,56.62,77.71,71.35,68.64,64.64,59.09,45.39,29.13,17.78,3.86,4.13,11.97,10.33,5.75,3.63,2.84,2.81,2.89,2.91,2.63,2.08,0.43,4.31,12.15,11.42,6.58,3.90,3.05,3.17,3.16,3.38,2.94,2.47,0.53,3.88,11.75,9.54,4.81,3.27,2.55,2.28,2.47,2.05,1.92,1.06,0.17
2006,57.92,9.77,52.61,84.53,84.08,82.86,80.51,75.20,64.85,48.15,31.60,7.58,67.35,9.95,48.68,89.34,94.71,95.39,94.16,91.08,83.44,68.03,46.87,11.18,48.68,9.58,55.96,79.85,73.66,70.42,66.81,59.36,46.39,28.70,17.13,4.04,3.91,11.46,10.10,5.92,3.80,2.86,2.40,2.31,2.50,2.25,1.60,0.28,4.05,10.25,11.90,6.51,4.18,3.19,2.60,2.46,3.00,2.39,1.81,0.23,3.71,12.80,8.76,5.27,3.34,2.42,2.13,2.09,1.61,1.93,1.08,0.40
2007,58.25,9.80,52.88,84.68,84.37,83.17,81.42,75.57,65.57,49.64,32.04,8.13,67.24,9.80,48.86,88.68,94.14,95.32,94.03,90.80,83.25,68.15,46.32,11.95,49.44,9.81,56.38,80.79,74.80,71.18,68.79,60.39,48.09,31.58,18.48,4.45,3.91,11.13,10.56,5.87,3.87,2.76,2.81,2.47,2.33,1.95,1.29,0.16,4.05,10.84,11.54,6.53,4.01,3.09,3.21,2.88,2.67,2.15,1.59,0.16,3.72,11.43,9.82,5.15,3.70,2.31,2.26,1.85,1.74,1.54,0.58,0.15
2008,58.28,9.74,51.66,85.02,84.75,83.86,81.56,76.18,65.94,50.60,31.86,8.10,67.09,10.07,48.10,88.32,94.19,95.52,93.96,90.69,82.69,68.64,45.87,11.74,49.67,9.39,54.85,81.82,75.50,72.39,69.14,61.72,49.44,33.06,18.56,4.64,4.14,11.42,11.89,6.38,3.89,2.97,2.63,2.76,2.65,2.33,1.38,0.17,4.39,11.28,12.72,7.19,4.25,3.39,3.10,3.23,3.17,2.60,1.68,0.22,3.83,11.58,11.23,5.53,3.45,2.43,1.99,2.07,1.80,1.78,0.67,0.07
2009,57.90,8.84,49.64,85.82,85.18,84.24,81.45,76.62,65.43,49.95,31.75,8.05,66.40,8.50,45.34,89.35,94.11,95.39,93.20,90.41,81.57,66.90,45.79,11.95,49.62,9.20,53.57,82.39,76.46,73.35,69.72,62.89,49.56,33.51,18.38,4.40,5.85,13.55,14.67,8.77,5.82,4.64,4.23,4.27,4.14,3.54,2.00,0.13,6.53,13.39,16.15,10.26,6.76,5.52,5.31,5.07,5.02,4.43,2.30,0.18,4.96,13.71,13.53,7.19,4.69,3.54,2.80,3.12,2.70,1.82,1.31,0.00
2010,58.07,8.93,50.26,86.88,85.18,84.56,82.22,77.20,65.93,50.67,32.20,8.09,66.51,9.09,46.56,90.17,93.90,95.23,93.37,90.53,81.67,67.59,45.73,12.07,49.89,8.76,53.68,83.69,76.71,74.25,71.17,63.97,50.49,34.33,19.32,4.43,5.21,10.93,13.51,8.15,5.19,4.10,3.77,3.89,3.50,3.06,1.50,0.19,5.80,10.97,14.20,9.40,6.04,4.76,4.79,4.88,4.26,3.83,1.73,0.19,4.45,10.89,12.96,6.86,4.17,3.28,2.44,2.50,2.29,1.60,0.99,0.19
2011,58.17,8.69,50.27,89.39,85.89,84.13,82.92,77.84,67.14,51.66,32.01,7.93,66.67,8.92,46.92,92.01,94.59,94.76,94.07,91.22,82.74,68.62,46.37,12.00,49.97,8.44,53.39,86.91,77.50,73.94,71.97,64.63,51.85,35.31,18.38,4.23,4.39,11.22,12.71,7.11,4.32,3.32,3.02,2.99,2.66,2.44,1.57,0.15,4.71,10.68,13.04,7.86,4.67,4.13,3.67,3.65,3.22,3.05,1.83,0.18,3.96,11.82,12.44,6.36,3.90,2.32,2.18,2.07,1.78,1.31,0.94,0.09
2012,58.35,8.45,51.65,91.87,86.40,83.96,83.60,78.70,67.73,52.52,32.56,8.10,66.83,8.72,48.34,94.66,95.05,94.36,94.28,91.49,82.89,69.32,47.24,12.46,50.19,8.15,54.73,89.22,78.08,74.00,73.17,66.09,52.89,36.36,18.67,4.20,4.24,9.80,13.17,7.08,4.34,3.37,2.76,2.55,2.35,2.14,1.69,0.17,4.49,9.90,13.28,7.72,4.86,3.85,3.38,3.03,2.89,2.69,2.06,0.19,3.92,9.68,13.08,6.44,3.72,2.78,1.99,1.89,1.53,1.13,0.80,0.13
2013,58.43,8.11,52.73,92.50,86.71,84.10,84.02,79.56,68.27,53.21,33.42,8.34,66.74,8.42,51.45,94.77,94.60,94.05,94.55,91.32,82.30,68.64,48.57,12.82,50.46,7.77,53.92,90.30,79.13,74.59,73.82,68.00,54.53,38.40,19.09,4.38,4.18,9.65,13.75,7.11,4.20,3.37,2.51,2.59,2.26,2.15,1.32,0.14,4.47,8.62,14.13,7.96,4.91,3.90,2.97,3.27,2.65,2.48,1.64,0.17,3.80,10.84,13.41,6.25,3.40,2.72,1.94,1.69,1.68,1.58,0.57,0.07
