期間,件數總計(件)_原始值,件數總計(件)_年增率(%),金額總計(新台幣千元)_原始值,金額總計(新台幣千元)_年增率(%),違反金融件數(件)_原始值,違反金融件數(件)_年增率(%),違反金融金額(新台幣千元)_原始值,違反金融金額(新台幣千元)_年增率(%),違法販賣汽柴油件數(件)_原始值,違法販賣汽柴油件數(件)_年增率(%),違法販賣汽柴油金額(新台幣千元)_原始值,違法販賣汽柴油金額(新台幣千元)_年增率(%),走私件數(件)_原始值,走私件數(件)_年增率(%),走私金額(新台幣千元)_原始值,走私金額(新台幣千元)_年增率(%),私造菸酒件數(件)_原始值,私造菸酒件數(件)_年增率(%),私造菸酒金額(新台幣千元)_原始值,私造菸酒金額(新台幣千元)_年增率(%),侵害智慧財產權件數(件)_原始值,侵害智慧財產權件數(件)_年增率(%),侵害智慧財產權金額(新台幣千元)_原始值,侵害智慧財產權金額(新台幣千元)_年增率(%),盜採砂(土)石件數(件)_原始值,盜採砂(土)石件數(件)_年增率(%),濫盜(伐)林木件數 (件)_原始值,濫盜(伐)林木件數 (件)_年增率(%),濫墾林地、山坡地件數(件)_原始值,濫墾林地、山坡地件數(件)_年增率(%),違反公平交易法件數(件)_原始值,違反公平交易法件數(件)_年增率(%),違反公平交易法金額(新台幣千元)_原始值,違反公平交易法金額(新台幣千元)_年增率(%),其他件數(件)_原始值,其他件數(件)_年增率(%),其他金額(新台幣千元)_原始值,其他金額(新台幣千元)_年增率(%)
2004M07,613,-25.88,"619,720",-52.82,78,-11.36,"46,575",-56.40,36,63.64,"3,426",18.75,37,-15.91,"86,018",356.77,9,-35.71,"12,646",595.22,426,-8.78,"467,593",-59.82,7,-74.07,4,-42.86,16,-23.81,0,--,0,--,0,-100.00,"3,462",-82.33
2004M08,567,-27.40,"557,742",-53.42,73,-2.67,"31,731",15.69,25,31.58,"2,686",110.83,36,-20.00,"81,267",322.45,4,-69.23,652,-96.30,395,-0.25,"381,914",-64.16,10,-28.57,7,133.33,16,-20.00,0,--,0,--,1,-99.49,"59,491",-10.22
2004M09,511,-28.63,"390,184",-45.93,136,86.30,"81,019",200.28,30,76.47,"2,086",49.11,30,3.45,"38,673",74.40,7,-12.50,38,-99.03,270,4.25,"223,992",-64.74,16,-38.46,9,200.00,13,-13.33,0,--,0,--,0,-100.00,"44,377",38.72
2004M10,685,-25.05,"583,173",-68.29,72,-56.10,"260,247",598.87,46,170.59,"2,692",75.15,40,11.11,"20,750",-68.47,18,80.00,"10,587",-27.25,467,66.79,"279,082",-83.50,18,-35.71,9,--,15,-25.00,0,--,0,--,0,-100.00,"9,815",-65.66
2004M11,572,-44.47,"1,216,803",-37.14,106,-3.64,"61,721",2.08,45,87.50,"3,803",112.81,30,-49.15,"201,985",473.17,17,-88.28,"1,585",-98.95,333,-4.31,"937,679",-37.95,12,-61.29,3,-62.50,26,100.00,0,--,0,--,0,-100.00,"10,030",-94.31
2004M12,639,-34.99,"978,736",-58.65,98,-7.55,"217,416",-67.42,49,133.33,"2,830",85.33,50,-18.03,"47,308",-25.92,13,-62.86,"1,525",-90.29,387,-14.19,"698,142",-54.72,17,-32.00,11,266.67,4,-69.23,0,--,0,--,10,-96.27,"11,515",-84.94
2005M01,495,-15.38,"399,630",-74.56,62,-16.22,"37,770",-58.85,75,341.18,"3,706",317.81,37,5.71,"38,422",102.82,21,16.67,"6,996",-49.78,263,-33.25,"297,153",-77.43,22,29.41,7,250.00,8,-20.00,0,--,0,--,0,-100.00,"15,582",-87.85
2005M02,534,-8.72,"804,237",-66.73,50,-35.06,"30,544",-21.28,46,109.09,"6,669",275.72,38,-25.49,"22,619",-77.71,16,-36.00,"8,472",-77.58,365,-2.67,"734,351",-67.02,8,-50.00,3,-25.00,8,-42.86,0,--,0,--,0,-100.00,"1,583",-85.73
2005M03,604,16.60,"1,352,621",31.88,63,-25.00,"79,346",-31.09,101,320.83,"16,699",578.82,33,-42.11,"100,616",47.76,25,31.58,"1,886",-88.04,324,10.96,"1,142,146",42.45,19,-13.64,14,366.67,25,56.25,0,--,0,--,0,-100.00,"11,927",-46.80
2005M04,624,23.32,"1,139,060",35.37,153,66.30,"419,277",89.35,33,10.00,999,-78.77,35,-12.50,"48,057",166.07,12,-29.41,721,-78.06,352,25.27,"659,058",27.23,19,-5.00,10,0.00,10,-37.50,0,--,0,--,0,--,"10,946",-85.59
2005M05,770,42.86,"1,449,459",172.19,62,-28.74,"173,345",958.40,45,50.00,"2,170",-58.20,51,30.77,"83,284",-48.66,15,-25.00,838,-84.52,557,72.45,"1,158,606",261.40,25,47.06,4,33.33,11,-45.00,0,--,0,--,0,--,"31,216",37.38
2005M06,649,24.57,"1,012,461",50.09,120,25.00,"84,426",10.37,37,94.74,"6,238",763.99,27,-46.00,"48,452",-29.45,15,-55.88,"12,580",59.28,407,53.01,"846,389",94.73,22,-26.67,10,100.00,11,-45.00,0,--,0,--,0,-100.00,"14,375",-83.31
2005M07,546,-10.93,"695,099",12.16,78,0.00,"136,338",192.73,28,-22.22,"4,389",28.11,12,-67.57,"7,666",-91.09,7,-22.22,144,-98.86,378,-11.27,"536,713",14.78,14,100.00,7,75.00,22,37.50,0,--,0,--,0,--,"9,850",184.52
2005M08,715,26.10,"1,391,748",149.53,124,69.86,"250,768",690.29,24,-4.00,"1,885",-29.82,47,30.56,"101,158",24.48,9,125.00,"16,673","2,457.21",475,20.25,"1,017,910",166.53,13,30.00,6,-14.29,17,6.25,0,--,0,--,0,-100.00,"3,354",-94.36
2005M09,549,7.44,"775,563",98.77,62,-54.41,"74,823",-7.65,52,73.33,"1,745",-16.35,28,-6.67,"27,939",-27.76,26,271.43,"4,573","11,934.21",365,35.19,"657,388",193.49,6,-62.50,5,-44.44,5,-61.54,0,--,0,--,0,--,"9,095",-79.51
2005M10,658,-3.94,"707,907",21.39,82,13.89,"157,444",-39.50,72,56.52,"2,408",-10.55,30,-25.00,"41,571",100.34,31,72.22,"11,669",10.22,293,-37.26,"456,627",63.62,53,194.44,21,133.33,75,400.00,1,--,0,--,0,--,"38,188",289.08
2005M11,673,17.66,"2,257,222",85.50,67,-36.79,"35,946",-41.76,47,4.44,"3,256",-14.38,42,40.00,"27,534",-86.37,8,-52.94,79,-95.02,478,43.54,"1,962,454",109.29,14,16.67,7,133.33,8,-69.23,2,--,"200,000",--,0,--,"27,951",178.67
