期間,就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%)
1988,"8,107",1.06,"3,047",-4.45,"1,608",1.09,636,7.46,"1,624",5.28,661,7.70,532,7.42,"5,043",1.56,"1,844",-3.57,"1,099",1.86,424,6.93,904,5.28,411,7.42,361,7.38,"3,064",0.23,"1,203",-5.78,508,-0.53,212,8.52,719,5.29,250,8.16,172,7.52,139,-13.42,19,-19.51,29,-13.91,15,-17.54,47,-12.50,18,-5.80,11,-9.86,87,-12.49,14,-23.59,22,-11.34,10,-19.11,24,-10.94,10,2.58,6,-2.40,52,-14.94,5,-4.17,7,-21.49,6,-14.69,23,-14.09,7,-15.67,5,-17.60,"5,449",3.83,"2,602",1.79,740,4.84,592,3.98,929,6.34,272,11.06,314,5.42,"1,725",3.51,608,1.93,216,3.39,266,4.56,333,3.55,128,10.76,174,2.56,"3,724",3.98,"1,994",1.75,524,5.44,326,3.50,596,7.97,143,11.34,140,9.18
1989,"8,258",1.86,"2,957",-2.97,"1,646",2.40,662,4.10,"1,726",6.32,702,6.25,565,6.21,"5,149",2.09,"1,795",-2.70,"1,126",2.42,437,3.14,970,7.29,436,6.15,385,6.65,"3,110",1.49,"1,162",-3.38,520,2.35,225,6.00,756,5.09,266,6.42,181,5.28,132,-5.55,17,-9.73,27,-6.27,17,10.10,43,-8.54,17,-5.83,11,-4.61,82,-5.52,14,-3.76,20,-11.98,10,9.21,22,-10.03,10,0.37,6,-1.31,49,-5.59,3,-27.65,8,12.71,6,11.64,21,-6.96,6,-14.71,5,-8.68,"5,565",2.13,"2,602",0.00,769,3.92,614,3.61,958,3.11,295,8.46,328,4.31,"1,758",1.91,616,1.23,224,3.63,273,2.40,330,-1.03,138,7.29,179,3.06,"3,807",2.22,"1,987",-0.38,545,4.03,341,4.60,628,5.43,157,9.51,149,5.85
1990,"8,283",0.30,"2,807",-5.06,"1,649",0.14,704,6.29,"1,770",2.52,758,8.00,596,5.43,"5,175",0.51,"1,700",-5.27,"1,142",1.39,459,5.09,"1,005",3.53,472,8.20,397,3.30,"3,108",-0.04,"1,107",-4.73,507,-2.56,244,8.64,765,1.22,286,7.67,199,9.95,140,6.69,16,-4.78,29,6.65,17,2.75,46,7.39,19,15.00,12,15.76,88,7.49,12,-11.06,22,12.01,11,1.03,25,14.76,11,8.41,7,18.36,52,5.37,4,20.26,7,-7.26,7,5.67,21,-0.15,8,26.11,5,12.30,"5,795",4.14,"2,621",0.71,817,6.33,664,8.23,992,3.55,332,12.67,369,12.57,"1,853",5.40,633,2.75,233,4.36,292,7.11,336,1.97,154,11.63,205,14.66,"3,942",3.56,"1,988",0.08,584,7.14,372,9.14,656,4.38,178,13.57,164,10.05
1991,"8,439",1.88,"2,753",-1.91,"1,707",3.55,745,5.94,"1,826",3.20,798,5.18,609,2.26,"5,274",1.92,"1,667",-1.95,"1,193",4.49,488,6.32,"1,032",2.68,492,4.27,403,1.36,"3,165",1.82,"1,086",-1.86,514,1.44,257,5.24,795,3.89,306,6.69,207,4.05,130,-7.65,16,-5.59,28,-3.60,16,-6.12,41,-12.06,18,-4.85,11,-9.75,80,-9.00,13,2.55,21,-6.64,10,-7.72,21,-14.67,10,-9.06,6,-17.99,49,-5.34,3,-29.61,7,5.90,6,-3.54,19,-8.99,8,1.26,5,1.79,"5,927",2.27,"2,656",1.35,852,4.17,692,4.14,"1,014",2.22,347,4.40,367,-0.51,"1,901",2.60,647,2.21,247,5.87,303,3.79,341,1.48,161,4.87,202,-1.48,"4,026",2.12,"2,010",1.08,605,3.49,389,4.41,673,2.60,185,4.00,165,0.70
1992,"8,632",2.29,"2,654",-3.59,"1,760",3.08,745,-0.12,"1,946",6.57,884,10.80,643,5.59,"5,380",2.00,"1,588",-4.70,"1,234",3.47,486,-0.43,"1,102",6.83,548,11.42,421,4.47,"3,252",2.76,"1,066",-1.89,525,2.18,258,0.48,844,6.23,336,9.81,223,7.78,132,2.18,13,-15.38,27,-2.85,16,-3.24,43,5.64,19,1.96,15,34.87,81,0.06,10,-23.23,20,-2.56,10,3.35,23,7.32,10,-0.41,8,27.95,52,5.66,3,18.37,7,-3.66,5,-13.44,20,3.78,8,5.05,7,42.69,"6,006",1.34,"2,605",-1.95,877,3.03,701,1.28,"1,063",4.85,360,3.73,401,9.34,"1,940",2.05,657,1.61,248,0.56,305,0.71,350,2.46,161,-0.42,220,8.52,"4,066",1.00,"1,948",-3.09,629,4.03,395,1.73,713,6.06,199,7.33,182,10.35
1993,"8,745",1.31,"2,516",-5.22,"1,750",-0.58,759,1.88,"2,064",6.02,954,7.96,704,9.42,"5,422",0.79,"1,493",-6.00,"1,232",-0.18,492,1.13,"1,166",5.75,585,6.79,454,8.00,"3,323",2.19,"1,023",-4.07,517,-1.51,267,3.30,898,6.38,369,9.87,250,12.09,128,-3.15,12,-9.71,24,-9.89,14,-10.03,41,-4.69,22,18.84,15,-0.77,75,-7.43,9,-9.58,17,-13.90,9,-11.70,21,-9.63,12,13.84,7,-3.91,54,3.47,3,-10.07,7,1.31,5,-6.94,20,0.93,10,25.01,8,2.42,"6,213",3.44,"2,606",0.06,898,2.38,716,2.22,"1,147",7.87,392,9.01,454,13.07,"2,068",6.56,678,3.21,256,3.22,316,3.70,391,11.90,176,9.28,250,13.87,"4,145",1.94,"1,928",-1.01,642,2.04,400,1.08,755,5.90,217,8.79,204,12.10
1994,"8,939",2.21,"2,458",-2.30,"1,804",3.13,774,2.10,"2,151",4.23,"1,019",6.76,732,4.05,"5,511",1.63,"1,453",-2.67,"1,267",2.81,497,1.03,"1,220",4.65,609,4.12,465,2.30,"3,428",3.15,"1,005",-1.75,537,3.88,278,4.07,931,3.69,409,10.94,268,7.24,142,10.63,15,25.61,28,14.72,14,1.48,45,9.14,22,0.42,18,19.75,84,13.29,11,26.15,21,21.93,9,-3.72,23,10.60,12,-0.19,9,27.50,58,6.94,4,24.12,7,-2.41,6,10.58,22,7.65,10,1.11,9,12.38,"6,321",1.73,"2,650",1.67,901,0.36,712,-0.53,"1,196",4.30,399,1.69,463,2.00,"2,129",2.98,711,4.80,258,0.81,312,-1.43,405,3.66,183,4.13,260,3.95,"4,191",1.11,"1,939",0.56,643,0.17,400,0.19,790,4.63,216,-0.29,203,-0.41
1995,"9,045",1.19,"2,361",-3.95,"1,819",0.80,767,-0.99,"2,232",3.76,"1,066",4.69,800,9.25,"5,558",0.85,"1,394",-4.06,"1,281",1.12,493,-0.72,"1,266",3.82,626,2.77,496,6.82,"3,487",1.73,967,-3.80,538,0.04,274,-1.48,966,3.69,440,7.55,304,13.47,165,16.26,16,10.42,33,19.08,17,16.66,52,16.69,26,15.93,21,15.70,101,19.65,12,11.06,25,21.36,11,23.63,28,20.64,14,22.59,11,16.16,64,11.28,4,8.60,8,12.31,6,6.03,25,12.55,11,8.53,10,15.19,"6,478",2.48,"2,670",0.78,926,2.78,717,0.60,"1,250",4.50,430,7.97,484,4.61,"2,197",3.18,733,3.20,269,3.93,317,1.67,420,3.64,189,3.53,268,3.24,"4,281",2.13,"1,937",-0.11,658,2.32,399,-0.22,829,4.93,241,11.72,216,6.37
1996,"9,068",0.26,"2,194",-7.05,"1,759",-3.29,786,2.50,"2,309",3.47,"1,162",8.93,858,7.20,"5,508",-0.89,"1,276",-8.48,"1,229",-4.06,502,1.89,"1,307",3.18,672,7.30,522,5.13,"3,560",2.09,918,-4.98,530,-1.45,284,3.61,"1,003",3.85,489,11.25,336,10.59,242,46.93,31,89.48,50,50.16,23,37.62,73,39.55,38,46.81,28,34.15,154,52.58,25,105.90,41,59.97,15,45.28,39,41.60,19,35.78,14,32.06,88,38.02,6,41.61,9,18.71,7,24.02,34,37.24,18,60.64,14,36.43,"6,621",2.22,"2,671",0.02,952,2.78,723,0.88,"1,307",4.58,455,5.63,514,6.16,"2,298",4.58,764,4.14,284,5.79,322,1.58,452,7.68,193,2.11,282,5.00,"4,324",1.01,"1,907",-1.54,668,1.55,401,0.33,854,3.01,261,8.39,232,7.60
1997,"9,176",1.19,"2,112",-3.75,"1,765",0.36,805,2.48,"2,304",-0.22,"1,250",7.63,938,9.39,"5,562",0.98,"1,227",-3.80,"1,223",-0.52,521,3.70,"1,298",-0.68,727,8.24,566,8.42,"3,613",1.50,884,-3.69,543,2.41,285,0.31,"1,007",0.38,523,6.79,373,10.91,256,5.67,38,22.20,59,18.22,24,4.96,73,-0.33,37,-2.34,25,-8.43,169,9.35,31,23.92,48,18.06,16,6.76,41,3.86,19,-4.05,13,-5.33,88,-0.76,7,14.94,11,18.89,8,1.21,32,-5.19,18,-0.53,12,-11.70,"6,738",1.77,"2,670",-0.02,"1,002",5.23,756,4.64,"1,287",-1.52,469,3.13,554,7.74,"2,331",1.45,782,2.32,301,6.10,325,0.99,438,-3.28,191,-1.21,294,4.35,"4,407",1.93,"1,889",-0.95,700,4.85,431,7.57,849,-0.59,278,6.33,260,11.86
1998,"9,289",1.24,"1,985",-6.03,"1,778",0.70,854,6.08,"2,359",2.39,"1,308",4.62,"1,005",7.14,"5,610",0.87,"1,159",-5.59,"1,238",1.23,556,6.69,"1,313",1.21,747,2.73,597,5.56,"3,679",1.81,826,-6.64,540,-0.50,299,4.98,"1,046",3.90,561,7.26,408,9.53,257,0.26,33,-12.38,54,-8.22,25,4.50,77,6.39,39,6.36,28,8.73,169,0.33,27,-13.58,44,-8.52,17,3.91,46,12.13,21,13.69,14,5.72,88,0.15,6,-6.88,10,-6.97,8,5.80,32,-0.91,18,-1.14,13,12.12,"6,902",2.43,"2,703",1.24,988,-1.39,792,4.66,"1,318",2.38,508,8.37,593,7.11,"2,409",3.34,810,3.66,295,-2.02,337,3.47,448,2.46,208,8.88,310,5.53,"4,493",1.95,"1,893",0.24,693,-1.12,455,5.55,869,2.34,300,8.02,283,8.89
1999,"9,385",1.03,"1,815",-8.55,"1,794",0.92,874,2.25,"2,443",3.56,"1,394",6.61,"1,065",5.90,"5,624",0.24,"1,045",-9.84,"1,237",-0.09,571,2.76,"1,349",2.72,789,5.62,633,5.94,"3,761",2.23,770,-6.75,557,3.23,303,1.29,"1,094",4.62,605,7.93,432,5.84,283,10.05,37,10.62,61,11.69,26,4.93,85,9.32,45,14.31,29,6.78,188,11.16,30,10.03,49,10.48,19,12.82,51,12.32,23,10.70,16,10.36,95,7.92,7,13.14,12,16.79,7,-12.11,33,5.01,21,18.55,14,2.98,"7,020",1.71,"2,657",-1.72,"1,011",2.37,808,2.08,"1,350",2.47,535,5.30,658,10.93,"2,499",3.76,813,0.31,313,5.82,340,0.95,465,3.69,222,6.84,347,11.87,"4,521",0.60,"1,844",-2.59,699,0.90,468,2.92,885,1.83,313,4.24,311,9.90
2000,"9,491",1.14,"1,724",-5.02,"1,797",0.15,877,0.37,"2,498",2.25,"1,473",5.64,"1,123",5.46,"5,670",0.82,987,-5.57,"1,241",0.32,573,0.26,"1,380",2.30,828,4.87,662,4.69,"3,821",1.60,737,-4.26,556,-0.23,304,0.60,"1,118",2.19,645,6.65,460,6.60,293,3.56,36,-2.17,65,7.05,27,1.57,90,6.47,44,-1.53,31,4.70,197,4.97,29,-2.10,53,8.72,19,0.14,56,9.11,24,0.70,17,5.58,95,0.75,7,-2.50,12,0.39,7,5.52,34,2.40,20,-3.97,14,3.69,"7,178",2.26,"2,687",1.12,"1,019",0.77,843,4.25,"1,353",0.22,553,3.33,724,10.03,"2,585",3.42,833,2.52,318,1.81,358,5.36,458,-1.46,231,3.95,386,11.27,"4,594",1.62,"1,854",0.51,701,0.30,485,3.45,895,1.10,322,2.88,338,8.64
2001,"9,383",-1.15,"1,602",-7.07,"1,716",-4.48,859,-2.05,"2,512",0.55,"1,525",3.53,"1,169",4.08,"5,553",-2.07,918,-6.99,"1,179",-4.96,555,-3.01,"1,369",-0.83,848,2.48,684,3.24,"3,830",0.22,684,-7.18,537,-3.41,304,-0.25,"1,143",2.25,677,4.88,485,5.30,450,53.62,59,63.73,105,60.80,44,64.33,138,53.21,64,45.58,40,30.00,302,53.07,47,62.82,82,55.19,32,64.26,83,48.44,36,53.54,22,31.00,148,54.76,12,67.50,23,85.01,12,64.53,55,61.02,28,36.42,18,28.84,"7,347",2.35,"2,719",1.20,977,-4.16,887,5.24,"1,349",-0.31,578,4.52,838,15.69,"2,696",4.32,845,1.49,317,-0.42,387,8.08,459,0.10,239,3.74,449,16.17,"4,651",1.24,"1,874",1.07,660,-5.86,500,3.14,890,-0.52,338,5.08,389,15.14
2002,"9,454",0.76,"1,532",-4.39,"1,647",-4.01,857,-0.20,"2,567",2.19,"1,581",3.64,"1,271",8.74,"5,547",-0.10,866,-5.63,"1,135",-3.74,553,-0.38,"1,384",1.10,868,2.30,742,8.46,"3,907",2.02,666,-2.72,512,-4.61,304,0.13,"1,183",3.49,713,5.32,529,9.13,515,14.53,62,4.25,110,5.47,50,14.67,165,19.67,76,19.04,51,28.27,348,15.29,50,6.22,90,10.14,36,14.29,100,20.94,44,20.70,27,25.32,167,12.97,11,-3.70,20,-11.47,14,15.67,65,17.74,33,16.89,24,31.76,"7,417",0.96,"2,705",-0.53,932,-4.63,918,3.49,"1,323",-1.94,575,-0.53,966,15.28,"2,746",1.85,840,-0.67,316,-0.27,403,4.11,438,-4.43,237,-0.94,512,14.08,"4,671",0.43,"1,865",-0.46,615,-6.73,515,3.02,884,-0.66,338,-0.24,454,16.67
2003,"9,573",1.26,"1,452",-5.18,"1,611",-2.20,869,1.33,"2,622",2.16,"1,628",3.02,"1,391",9.42,"5,579",0.57,818,-5.52,"1,110",-2.20,549,-0.69,"1,419",2.57,890,2.61,792,6.73,"3,994",2.24,634,-4.73,501,-2.21,319,5.02,"1,203",1.69,738,3.52,599,13.20,503,-2.37,62,0.77,105,-5.06,48,-3.86,159,-3.78,73,-3.59,55,7.41,326,-6.52,43,-14.36,84,-6.88,34,-6.20,96,-4.67,41,-6.16,28,1.32,177,6.28,19,67.94,21,3.13,14,2.22,63,-2.42,33,-0.14,28,14.24,"7,495",1.06,"2,676",-1.05,931,-0.10,912,-0.64,"1,314",-0.67,571,-0.75,"1,092",13.12,"2,818",2.62,855,1.82,328,3.70,402,-0.20,428,-2.25,231,-2.55,574,12.03,"4,677",0.14,"1,821",-2.34,603,-2.05,510,-0.99,885,0.12,339,0.52,519,14.34
