期間,勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),勞動生產力指數_原始值,勞動生產力指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%),單位產出勞動成本指數_原始值,單位產出勞動成本指數_年增率(%)
1992,38.28,3.88,74.99,-0.78,100.45,-0.06,37.87,8.01,37.87,3.70,96.36,0.60,62.35,5.55,73.54,4.97,258.56,-2.87,142.69,-5.22,172.18,1.10,63.54,2.12,66.70,9.06,23.68,-2.35,30.01,11.40,53.47,6.90,82.46,2.73,91.12,-0.58,90.52,-2.81,63.35,1.82,47.23,3.87,103.77,-1.52,19.01,5.91,25.35,3.43,61.34,0.36,67.02,0.34,83.37,6.87,88.24,-2.09,107.34,-0.39,65.44,4.02,40.25,5.48,46.20,7.32,147.51,6.26,75.48,13.45,47.24,17.95,206.41,3.16,148.66,6.58,68.89,7.76,99.87,7.66,89.37,4.75,19.95,10.96,31.10,11.91,32.42,6.89,111.02,9.68,123.13,2.51,244.56,17.84,174.53,-5.71,99.02,3.73,73.57,11.08,77.79,7.65,70.45,12.32,107.74,12.69,114.88,-0.37,67.26,13.69,252.68,4.27,188.83,8.44,101.97,5.52,98.32,11.54,83.44,0.16,78.40,9.96,62.05,6.23,79.51,8.38,143.15,-0.14,105.37,1.63
1993,39.74,3.81,73.50,-1.99,101.54,1.09,37.35,-1.37,39.14,3.35,97.23,0.90,64.85,4.01,74.51,1.32,233.23,-9.80,132.96,-6.82,166.43,-3.34,61.12,-3.81,68.05,2.02,26.53,12.04,31.82,6.03,55.59,3.96,77.07,-6.54,85.25,-6.44,90.77,0.28,65.72,3.74,49.46,4.72,98.14,-5.43,21.89,15.15,26.68,5.25,67.76,10.47,63.92,-4.63,78.02,-6.42,90.07,2.07,99.03,-7.74,66.77,2.03,43.17,7.25,50.27,8.81,152.21,3.19,78.10,3.47,46.62,-1.31,218.96,6.08,154.17,3.71,73.35,6.47,96.35,-3.52,93.00,4.06,23.42,17.39,37.51,20.61,37.29,15.02,119.77,7.88,131.74,6.99,222.96,-8.83,165.49,-5.18,98.86,-0.16,81.83,11.23,85.09,9.38,75.57,7.27,109.54,1.67,112.54,-2.04,75.29,11.94,242.98,-3.84,193.30,2.37,101.08,-0.87,107.91,9.75,95.18,14.07,82.08,4.69,72.23,16.41,83.41,4.91,141.84,-0.92,101.48,-3.69
1994,41.23,3.75,77.21,5.05,109.25,7.59,38.92,4.20,40.52,3.53,100.98,3.86,69.18,6.68,78.03,4.72,211.88,-9.15,125.66,-5.49,141.25,-15.13,62.39,2.08,64.38,-5.39,26.16,-1.39,37.01,16.31,61.77,11.12,78.30,1.60,82.67,-3.03,91.43,0.73,66.45,1.11,50.69,2.49,97.61,-0.54,22.61,3.29,29.46,10.42,72.52,7.02,65.63,2.68,79.57,1.99,85.00,-5.63,94.37,-4.71,64.77,-3.00,46.63,8.01,53.93,7.28,155.95,2.46,77.34,-0.97,47.87,2.68,212.13,-3.12,158.32,2.69,75.79,3.33,96.30,-0.05,89.87,-3.37,27.13,15.84,42.50,13.30,47.84,28.29,125.41,4.71,142.03,7.81,251.65,12.87,147.41,-10.93,98.56,-0.30,86.03,5.13,90.30,6.12,78.39,3.73,113.38,3.51,114.71,1.93,80.70,7.19,253.26,4.23,189.98,-1.72,104.28,3.17,111.51,3.34,95.95,0.81,89.21,8.69,80.47,11.41,93.72,12.36,140.29,-1.09,111.32,9.70
1995,44.34,7.54,81.35,5.36,117.92,7.94,39.89,2.49,43.53,7.43,105.78,4.75,73.46,6.19,80.58,3.27,208.30,-1.69,122.99,-2.12,128.78,-8.83,62.89,0.80,66.09,2.66,31.25,19.46,39.25,6.05,62.60,1.34,82.40,5.24,85.37,3.27,84.26,-7.84,71.00,6.85,53.26,5.07,104.37,6.93,25.50,12.78,33.55,13.88,75.12,3.59,68.26,4.01,80.56,1.24,89.22,4.96,91.63,-2.90,70.18,8.35,50.82,8.99,55.88,3.62,154.01,-1.24,77.93,0.76,46.55,-2.76,221.44,4.39,156.57,-1.11,75.72,-0.09,93.85,-2.54,92.11,2.49,28.91,6.56,47.15,10.94,55.14,15.26,134.69,7.40,152.15,7.13,224.30,-10.87,160.29,8.74,101.00,2.48,87.71,1.95,91.70,1.55,90.70,15.70,110.39,-2.64,112.88,-1.60,79.31,-1.72,240.76,-4.94,174.33,-8.24,104.39,0.11,115.22,3.33,97.89,2.02,85.39,-4.28,86.12,7.02,93.60,-0.13,135.46,-3.44,111.32,-
1996,46.85,5.66,54.33,-33.21,122.30,3.71,38.36,-3.84,45.80,5.21,109.13,3.17,74.14,0.93,86.36,7.17,202.04,-3.01,128.64,4.59,130.13,1.05,65.19,3.66,64.51,-2.39,34.69,11.01,41.27,5.15,66.75,6.63,86.43,4.89,86.61,1.45,90.17,7.01,71.50,0.70,57.78,8.49,107.42,2.92,25.57,0.27,37.35,11.33,75.18,0.08,71.37,4.56,76.93,-4.51,89.17,-0.06,93.96,2.54,74.53,6.20,57.67,13.48,57.41,2.74,152.67,-0.87,122.51,57.21,49.36,6.04,237.41,7.21,155.55,-0.65,76.67,1.25,98.42,4.87,86.81,-5.75,30.06,3.98,47.86,1.51,56.17,1.87,131.13,-2.64,160.56,5.53,205.95,-8.18,164.19,2.43,105.32,4.28,84.77,-3.35,92.61,0.99,89.42,-1.41,111.27,0.80,105.78,-6.29,79.27,-0.05,258.44,7.34,165.31,-5.17,110.14,5.51,113.91,-1.14,105.81,8.09,89.45,4.75,87.00,1.02,92.75,-0.91,133.39,-1.53,111.95,0.57
1997,49.44,5.53,58.08,6.90,127.56,4.30,42.27,10.19,48.35,5.57,103.57,-5.09,79.60,7.36,92.17,6.73,200.14,-0.94,119.10,-7.42,137.39,5.58,69.86,7.16,65.55,1.61,39.94,15.13,44.08,6.81,74.38,11.43,92.11,6.57,84.10,-2.90,92.73,2.84,77.13,7.87,69.28,19.90,106.51,-0.85,25.65,0.31,41.14,10.15,81.01,7.75,73.98,3.66,79.62,3.50,88.05,-1.26,95.77,1.93,76.77,3.01,61.83,7.21,60.93,6.13,150.65,-1.32,117.09,-4.42,49.08,-0.57,220.95,-6.93,153.65,-1.22,84.83,10.64,98.20,-0.22,88.05,1.43,31.75,5.62,53.27,11.30,54.38,-3.19,124.88,-4.77,161.28,0.45,205.40,-0.27,154.55,-5.87,95.70,-9.13,85.38,0.72,97.47,5.25,89.78,0.40,106.69,-4.12,90.62,-14.33,83.25,5.02,264.97,2.53,156.98,-5.04,105.95,-3.80,112.48,-1.26,112.97,6.77,96.18,7.52,87.54,0.62,94.71,2.11,126.17,-5.41,111.81,-0.13
1998,52.22,5.62,58.93,1.46,136.99,7.39,47.51,12.40,50.89,5.25,102.43,-1.10,84.83,6.57,97.31,5.58,220.56,10.20,117.50,-1.34,142.16,3.47,73.42,5.10,73.14,11.58,46.32,15.97,45.62,3.49,76.77,3.21,92.49,0.41,78.79,-6.31,91.25,-1.60,80.59,4.49,76.11,9.86,106.56,0.05,26.10,1.75,45.24,9.97,90.23,11.38,69.61,-5.91,81.74,2.66,87.71,-0.39,100.96,5.42,76.77,-,69.47,12.36,68.00,11.60,150.07,-0.38,120.43,2.85,48.42,-1.34,202.32,-8.43,153.41,-0.16,88.86,4.75,92.65,-5.65,85.57,-2.82,30.37,-4.35,57.95,8.79,56.89,4.62,120.89,-3.20,146.11,-9.41,181.26,-11.75,154.71,0.10,99.55,4.02,84.68,-0.82,104.90,7.62,96.54,7.53,106.87,0.17,87.54,-3.40,86.99,4.49,270.52,2.09,156.52,-0.29,101.29,-4.40,125.50,11.58,117.76,4.24,100.40,4.39,86.54,-1.14,98.29,3.78,124.86,-1.04,109.74,-1.85
1999,55.52,6.32,59.98,1.78,139.42,1.77,46.26,-2.63,54.29,6.68,102.24,-0.19,83.44,-1.64,101.68,4.49,225.67,2.32,110.82,-5.69,136.16,-4.22,75.73,3.15,67.39,-7.86,54.06,16.71,44.82,-1.75,75.88,-1.16,90.65,-1.99,78.12,-0.85,97.98,7.38,79.70,-1.10,86.26,13.34,110.61,3.80,29.32,12.34,48.33,6.83,105.55,16.98,72.57,4.25,78.44,-4.04,80.02,-8.77,107.98,6.95,76.69,-0.10,68.47,-1.44,71.54,5.21,145.65,-2.95,124.93,3.74,49.88,3.02,214.88,6.21,148.26,-3.36,93.91,5.68,95.41,2.98,82.51,-3.58,30.66,0.95,63.89,10.25,59.70,4.94,118.97,-1.59,161.45,10.50,177.68,-1.98,162.54,5.06,103.17,3.64,92.67,9.44,109.52,4.40,94.06,-2.57,107.82,0.89,82.78,-5.44,83.86,-3.60,250.06,-7.56,154.50,-1.29,88.42,-12.71,121.69,-3.04,126.87,7.74,110.85,10.41,81.41,-5.93,100.57,2.32,130.31,4.36,114.24,4.10
2000,58.76,5.84,61.21,2.05,133.59,-4.18,49.10,6.14,57.48,5.88,107.57,5.21,78.10,-6.40,105.32,3.58,213.25,-5.50,104.86,-5.38,129.32,-5.02,80.55,6.36,71.79,6.53,60.88,12.62,47.69,6.40,76.47,0.78,89.20,-1.60,76.55,-2.01,97.19,-0.81,80.48,0.98,87.57,1.52,110.53,-0.07,32.82,11.94,51.65,6.87,100.81,-4.49,76.22,5.03,86.34,10.07,79.04,-1.22,119.14,10.34,82.17,7.15,73.32,7.08,82.20,14.90,142.09,-2.44,127.57,2.11,54.15,8.56,210.02,-2.26,144.75,-2.37,90.04,-4.12,106.36,11.48,81.60,-1.10,32.94,7.44,67.67,5.92,63.54,6.43,118.32,-0.55,155.19,-3.88,149.80,-15.69,158.39,-2.55,104.38,1.17,94.07,1.51,114.65,4.68,95.28,1.30,109.37,1.44,84.51,2.09,86.49,3.14,236.10,-5.58,152.29,-1.43,94.38,6.74,121.01,-0.56,113.58,-10.48,113.30,2.21,78.11,-4.05,97.95,-2.61,122.94,-5.66,93.22,-18.40
2001,60.92,3.68,70.64,15.41,197.26,47.66,49.58,0.98,59.17,2.94,118.95,10.58,87.85,12.48,108.08,2.62,191.61,-10.15,112.19,6.99,134.25,3.81,83.28,3.39,76.25,6.21,79.03,29.81,57.92,21.45,74.22,-2.94,92.28,3.45,76.16,-0.51,100.68,3.59,86.43,7.39,90.17,2.97,106.73,-3.44,28.78,-12.31,56.41,9.22,97.56,-3.22,69.71,-8.54,84.73,-1.86,79.15,0.14,102.02,-14.37,83.11,1.14,79.24,8.07,90.27,9.82,146.35,3.00,113.72,-10.86,43.21,-20.20,205.15,-2.32,149.85,3.52,87.70,-2.60,100.65,-5.37,83.94,2.87,36.97,12.23,69.11,2.13,65.50,3.08,122.11,3.20,154.99,-0.13,118.12,-21.15,142.58,-9.98,119.46,14.45,99.73,6.02,119.34,4.09,96.99,1.79,108.31,-0.97,90.24,6.78,94.23,8.95,285.62,20.97,147.40,-3.21,101.90,7.97,138.31,14.30,118.47,4.31,124.39,9.79,95.82,22.67,106.34,8.57,127.16,3.43,91.47,-1.88
2002,65.92,8.21,80.76,14.33,203.16,2.99,60.06,21.14,64.23,8.55,115.13,-3.21,72.99,-16.92,109.39,1.21,180.04,-6.04,128.80,14.81,125.17,-6.76,90.06,8.14,77.06,1.06,93.21,17.94,66.27,14.42,78.59,5.89,88.79,-3.78,86.38,13.42,107.52,6.79,91.43,5.79,100.07,10.98,106.41,-0.30,33.35,15.88,56.95,0.96,111.13,13.91,75.75,8.66,101.16,19.39,86.16,8.86,90.01,-11.77,85.21,2.53,85.93,8.44,86.29,-4.41,132.93,-9.17,99.07,-12.88,40.01,-7.41,169.74,-17.26,135.84,-9.35,89.47,2.02,120.89,20.11,81.24,-3.22,42.80,15.77,62.83,-9.09,72.14,10.14,104.26,-14.62,139.64,-9.90,97.09,-17.80,120.76,-15.30,109.39,-8.43,100.35,0.62,106.47,-10.78,92.97,-4.14,102.37,-5.48,75.66,-16.16,91.50,-2.90,248.18,-13.11,145.21,-1.49,88.48,-13.17,123.64,-10.61,95.46,-19.42,101.57,-18.35,101.74,6.18,103.43,-2.74,112.86,-11.25,93.43,2.14
2003,70.12,6.37,83.77,3.73,192.53,-5.23,62.95,4.81,68.56,6.74,112.40,-2.37,76.66,5.03,107.02,-2.17,167.20,-7.13,131.03,1.73,113.83,-9.06,98.22,9.06,89.29,15.87,107.37,15.19,74.85,12.95,82.15,4.53,96.15,8.29,91.16,5.53,108.82,1.21,95.20,4.12,102.03,1.96,102.15,-4.00,38.42,15.20,58.11,2.04,116.90,5.19,80.02,5.64,106.76,5.54,85.90,-0.30,83.92,-6.77,85.12,-0.11,89.61,4.28,91.00,5.46,128.12,-3.62,103.25,4.22,46.82,17.02,161.34,-4.95,130.53,-3.91,89.74,0.30,113.15,-6.40,83.70,3.03,47.53,11.05,64.75,3.06,80.84,12.06,93.81,-10.02,114.19,-18.23,84.81,-12.65,115.10,-4.69,103.46,-5.42,93.53,-6.80,100.29,-5.80,93.38,0.44,101.46,-0.89,80.10,5.87,99.59,8.84,222.02,-10.54,145.49,0.19,84.45,-4.55,119.01,-3.74,94.79,-0.70,103.59,1.99,111.63,9.72,106.89,3.35,110.88,-1.75,88.28,-5.51
2004,73.16,4.34,88.56,5.72,179.84,-6.59,70.24,11.58,71.83,4.77,108.91,-3.10,69.55,-9.27,109.45,2.27,157.87,-5.58,130.69,-0.26,104.43,-8.26,101.57,3.41,97.65,9.36,120.20,11.95,79.71,6.49,88.56,7.80,99.39,3.37,95.29,4.53,108.91,0.08,100.56,5.63,103.38,1.32,99.13,-2.96,40.62,5.73,57.54,-0.98,120.13,2.76,84.89,6.09,115.38,8.07,96.70,12.57,90.78,8.17,84.77,-0.41,93.90,4.79,93.76,3.03,124.48,-2.84,95.37,-7.63,47.01,0.41,139.19,-13.73,126.56,-3.04,90.13,0.43,122.99,8.70,82.81,-1.06,51.68,8.73,63.94,-1.25,86.77,7.34,93.96,0.16,104.89,-8.14,72.33,-14.72,105.55,-8.30,103.22,-0.23,92.33,-1.28,99.44,-0.85,88.47,-5.26,100.71,-0.74,88.91,11.00,100.34,0.75,216.88,-2.32,145.94,0.31,82.57,-2.23,113.26,-4.83,94.30,-0.52,89.08,-14.01,103.51,-7.27,112.91,5.63,104.60,-5.66,84.85,-3.89
2005,75.76,3.55,91.64,3.48,148.65,-17.34,81.58,16.14,74.40,3.58,111.43,2.31,74.83,7.59,104.55,-4.48,149.63,-5.22,132.45,1.35,98.20,-5.97,103.05,1.46,106.04,8.59,121.13,0.77,83.46,4.70,89.87,1.48,97.81,-1.59,93.46,-1.92,106.71,-2.02,101.93,1.36,94.70,-8.40,95.01,-4.16,47.84,17.77,57.35,-0.33,116.73,-2.83,86.23,1.58,114.27,-0.96,106.29,9.92,92.67,2.08,89.05,5.05,100.09,6.59,96.60,3.03,124.99,0.41,96.61,1.30,60.87,29.48,123.33,-11.39,127.30,0.58,87.64,-2.76,124.83,1.50,90.66,9.48,60.73,17.51,65.96,3.16,96.10,10.75,91.60,-2.51,98.58,-6.02,83.46,15.39,111.93,6.04,106.56,3.24,94.07,1.88,104.70,5.29,89.67,1.36,100.39,-0.32,99.40,11.80,104.86,4.50,194.77,-10.19,155.04,6.24,87.85,6.39,116.16,2.56,95.59,1.37,84.65,-4.97,102.20,-1.27,107.10,-5.15,95.25,-8.94,91.20,7.48
2006,78.77,3.97,93.93,2.50,131.50,-11.54,88.45,8.42,77.43,4.07,113.41,1.78,75.37,0.72,104.76,0.20,144.28,-3.58,120.55,-8.98,106.57,8.52,99.98,-2.98,100.84,-4.90,114.35,-5.60,86.02,3.07,93.72,4.28,97.56,-0.26,91.42,-2.18,102.51,-3.94,102.72,0.78,98.23,3.73,95.76,0.79,55.71,16.45,53.50,-6.71,112.25,-3.84,86.19,-0.05,97.08,-15.04,104.33,-1.84,93.74,1.15,89.43,0.43,102.49,2.40,100.02,3.54,122.89,-1.68,104.55,8.22,82.54,35.60,113.21,-8.21,124.89,-1.89,87.46,-0.21,123.06,-1.42,94.25,3.96,67.33,10.87,74.84,13.46,91.01,-5.30,97.55,6.50,102.37,3.84,90.48,8.41,113.83,1.70,97.77,-8.25,93.33,-0.79,109.24,4.34,93.87,4.68,98.77,-1.61,96.43,-2.99,104.44,-0.40,170.20,-12.61,175.39,13.13,91.01,3.60,116.85,0.59,116.76,22.15,88.76,4.86,104.00,1.76,105.05,-1.91,98.91,3.84,97.42,6.82
2007,84.21,6.91,84.57,-9.96,129.49,-1.53,77.11,-12.82,83.03,7.23,110.29,-2.75,79.78,5.85,109.00,4.05,140.08,-2.91,111.48,-7.52,98.48,-7.59,103.75,3.77,100.25,-0.59,117.78,3.00,97.82,13.72,95.46,1.86,103.38,5.97,94.18,3.02,102.66,0.15,101.26,-1.42,97.11,-1.14,94.27,-1.56,66.52,19.40,57.34,7.18,107.18,-4.52,88.06,2.17,89.48,-7.83,111.34,6.72,102.48,9.32,94.29,5.43,104.31,1.78,100.26,0.24,117.04,-4.76,110.07,5.28,76.82,-6.93,130.31,15.10,118.64,-5.00,89.56,2.40,120.28,-2.26,90.93,-3.52,71.52,6.22,82.35,10.03,97.64,7.28,93.98,-3.66,102.20,-0.17,88.40,-2.30,98.89,-13.12,103.70,6.07,89.98,-3.59,109.54,0.27,95.05,1.26,100.93,2.19,103.62,7.46,107.53,2.96,147.30,-13.45,170.22,-2.95,97.95,7.63,112.90,-3.38,114.43,-2.00,84.37,-4.95,94.57,-9.07,102.58,-2.35,98.64,-0.27,92.14,-5.42
2008,84.07,-0.17,82.70,-2.21,109.18,-15.68,79.64,3.28,82.93,-0.12,106.52,-3.42,80.26,0.60,105.51,-3.20,117.96,-15.79,112.37,0.80,88.43,-10.21,104.75,0.96,99.71,-0.54,112.76,-4.26,91.24,-6.73,90.92,-4.76,104.26,0.85,96.06,2.00,96.22,-6.27,98.33,-2.89,89.44,-7.90,90.94,-3.53,71.72,7.82,61.43,7.13,99.85,-6.84,82.32,-6.52,78.79,-11.95,118.54,6.47,104.38,1.85,90.55,-3.97,101.08,-3.10,98.26,-1.99,118.57,1.31,113.29,2.93,88.98,15.83,126.94,-2.59,120.42,1.50,95.19,6.29,125.97,4.73,94.82,4.28,85.83,20.01,85.14,3.39,110.26,12.93,94.78,0.85,100.20,-1.96,90.55,2.43,107.95,9.16,112.06,8.06,90.67,0.77,106.57,-2.71,100.83,6.08,105.06,4.09,111.53,7.63,111.05,3.27,141.27,-4.09,162.19,-4.72,102.35,4.49,122.58,8.57,128.80,12.56,79.96,-5.23,92.72,-1.96,105.90,3.24,91.67,-7.07,96.88,5.14
2009,85.08,1.20,83.20,0.60,104.73,-4.08,81.89,2.83,83.87,1.13,104.65,-1.76,83.38,3.89,100.87,-4.40,97.22,-17.58,106.44,-5.28,85.47,-3.35,99.38,-5.13,95.55,-4.17,116.72,3.51,99.18,8.70,88.44,-2.73,102.06,-2.11,89.67,-6.65,86.84,-9.75,92.19,-6.24,84.89,-5.09,81.23,-10.68,77.81,8.49,58.05,-5.50,88.18,-11.69,70.75,-14.05,83.56,6.05,96.58,-18.53,87.32,-16.34,88.54,-2.22,96.74,-4.29,94.49,-3.84,110.09,-7.15,109.73,-3.14,83.24,-6.45,120.69,-4.92,111.31,-7.57,93.68,-1.59,111.99,-11.10,100.98,6.50,96.86,12.85,88.93,4.45,116.33,5.51,88.12,-7.03,101.75,1.55,78.81,-12.97,84.61,-21.62,107.26,-4.28,93.42,3.03,109.93,3.15,108.03,7.14,106.53,1.40,100.52,-9.87,119.10,7.25,116.77,-17.34,161.63,-0.35,108.44,5.95,137.01,11.77,114.54,-11.07,100.33,25.48,110.92,19.63,104.16,-1.64,103.31,12.70,95.74,-1.18
2010,97.12,14.15,103.01,23.81,87.39,-16.56,103.29,26.13,96.88,15.51,103.19,-1.40,91.04,9.19,108.43,7.49,110.04,13.19,108.84,2.25,90.27,5.62,98.20,-1.19,99.67,4.31,105.08,-9.97,106.26,7.14,101.44,14.70,102.25,0.19,102.45,14.25,97.17,11.90,98.00,6.30,96.79,14.02,92.23,13.54,98.22,26.23,73.71,26.98,97.24,10.27,95.47,34.94,97.83,17.08,101.42,5.01,98.59,12.91,99.87,12.80,98.11,1.42,96.82,2.47,98.73,-10.32,92.70,-15.52,107.33,28.94,95.74,-20.67,98.84,-11.20,94.44,0.81,106.62,-4.80,89.59,-11.28,88.71,-8.41,85.78,-3.54,105.09,-9.66,92.83,5.34,96.51,-5.15,91.52,16.13,90.21,6.62,99.52,-7.22,100.47,7.55,98.53,-10.37,99.31,-8.07,99.45,-6.65,96.90,-3.60,104.05,-12.64,97.18,-16.78,128.01,-20.80,100.80,-7.05,98.75,-27.92,96.20,-16.01,95.81,-4.51,97.35,-12.23,94.71,-9.07,101.59,-1.66,98.55,2.94
2011,100.00,2.97,100.00,-2.92,100.00,14.43,100.00,-3.19,100.00,3.22,100.00,-3.09,100.00,9.84,100.00,-7.77,100.00,-9.12,100.00,-8.12,100.00,10.78,100.00,1.83,100.00,0.33,100.00,-4.83,100.00,-5.89,100.00,-1.42,100.00,-2.20,100.00,-2.39,100.00,2.91,100.00,2.04,100.00,3.32,100.00,8.42,100.00,1.81,100.00,35.67,100.00,2.84,100.00,4.74,100.00,2.22,100.00,-1.40,100.00,1.43,100.00,0.13,100.00,1.93,100.00,3.28,100.00,1.29,100.00,7.87,100.00,-6.83,100.00,4.45,100.00,1.17,100.00,5.89,100.00,-6.21,100.00,11.62,100.00,12.73,100.00,16.58,100.00,-4.84,100.00,7.72,100.00,3.62,100.00,9.27,100.00,10.85,100.00,0.48,100.00,-0.47,100.00,1.49,100.00,0.69,100.00,0.55,100.00,3.20,100.00,-3.89,100.00,2.90,100.00,-21.88,100.00,-0.79,100.00,1.27,100.00,3.95,100.00,4.37,100.00,2.72,100.00,5.59,100.00,-1.57,100.00,1.47
2012,99.26,-0.74,97.10,-2.90,129.68,29.68,96.30,-3.70,99.34,-0.66,96.58,-3.42,101.74,1.74,98.07,-1.93,90.76,-9.24,96.59,-3.41,96.84,-3.16,97.17,-2.83,94.44,-5.56,104.30,4.30,99.59,-0.41,97.37,-2.63,98.48,-1.52,93.95,-6.05,101.45,1.45,95.76,-4.24,94.58,-5.42,96.95,-3.05,105.23,5.23,87.12,-12.88,97.42,-2.58,90.71,-9.29,97.89,-2.11,102.91,2.91,100.12,0.12,100.32,0.32,94.90,-5.10,97.82,-2.18,102.19,2.19,99.97,-0.03,71.36,-28.64,106.60,6.60,102.25,2.25,108.15,8.15,95.80,-4.20,101.71,1.71,115.94,15.94,105.34,5.34,102.74,2.74,99.01,-0.99,106.09,6.09,90.70,-9.30,98.66,-1.34,113.02,13.02,105.12,5.12,111.18,11.18,103.44,3.44,106.39,6.39,96.49,-3.51,106.32,6.32,96.51,-3.49,117.52,17.52,108.76,8.76,112.75,12.75,106.74,6.74,98.28,-1.72,102.13,2.13,97.88,-2.12,99.17,-0.83,92.08,-7.92
2013,99.35,0.09,99.49,2.46,110.38,-14.88,103.66,7.64,99.37,0.03,94.41,-2.25,96.86,-4.80,102.54,4.56,86.71,-4.46,91.80,-4.96,87.71,-9.43,96.04,-1.16,89.99,-4.71,112.14,7.52,100.45,0.86,99.53,2.22,96.50,-2.01,91.18,-2.95,100.80,-0.64,93.71,-2.14,98.05,3.67,96.96,0.01,108.48,3.09,80.70,-7.37,92.95,-4.59,83.59,-7.85,93.90,-4.08,99.33,-3.48,99.07,-1.05,104.76,4.43,96.92,2.13,99.91,2.14,102.33,0.14,102.10,2.13,85.51,19.83,98.00,-8.07,102.53,0.27,111.59,3.18,98.96,3.30,99.44,-2.23,111.56,-3.78,109.80,4.23,116.50,13.39,99.96,0.96,117.04,10.32,84.85,-6.45,93.62,-5.11,105.29,-6.84,102.78,-2.23,117.82,5.97,103.75,0.30,108.63,2.11,95.10,-1.44,106.77,0.42,95.30,-1.25,130.26,10.84,111.03,2.09,120.89,7.22,110.54,3.56,98.41,0.13,103.94,1.77,92.94,-5.05,94.00,-5.21,96.77,5.09
